Variable:,pr
Country:,"Papua New Guinea"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,373.47,428.37,400.56,313.86,406.66,222.64,246.85,209.50,244.91,226.00,211.75,288.96
1902,314.83,358.61,336.31,245.71,238.95,241.25,207.85,258.40,181.48,187.40,182.52,258.38
1903,287.90,322.97,375.08,255.36,283.47,181.94,184.93,160.97,182.70,196.29,173.21,314.00
1904,285.88,361.56,291.80,297.99,240.72,202.51,187.66,170.06,242.96,200.32,210.09,363.09
1905,300.95,366.65,232.85,213.48,190.24,209.99,308.05,167.95,245.47,219.44,157.35,227.99
1906,388.35,289.37,321.08,249.81,247.23,235.94,198.00,219.61,221.36,177.77,325.51,345.36
1907,265.67,265.24,372.04,287.55,280.88,249.51,222.74,243.48,291.67,224.59,208.80,298.27
1908,398.92,399.36,372.68,372.50,244.86,180.27,211.38,247.35,228.70,258.28,242.71,338.34
1909,305.61,240.64,443.81,238.20,376.40,199.78,232.21,230.89,185.76,216.91,323.07,361.88
1910,279.94,278.84,288.49,290.65,241.20,197.40,204.67,261.68,231.19,217.62,290.38,269.26
1911,255.25,358.46,305.98,259.09,218.33,203.02,170.38,178.73,193.64,173.64,146.91,237.87
1912,387.04,310.31,286.71,204.53,218.56,238.40,182.83,211.57,158.66,158.44,296.31,212.76
1913,316.75,329.11,356.72,280.96,311.66,174.84,164.22,166.84,211.61,156.21,162.49,298.42
1914,299.31,395.76,310.43,303.71,201.46,150.06,146.42,153.35,130.97,146.23,149.66,260.86
1915,340.08,287.90,355.95,260.06,269.46,194.96,202.73,247.55,208.99,202.25,279.44,270.18
1916,382.01,315.52,287.84,282.73,263.93,154.28,159.99,161.67,280.10,281.55,324.69,253.85
1917,338.33,231.35,415.84,237.41,322.57,219.29,185.02,200.15,205.37,244.31,316.47,309.02
1918,216.14,320.57,295.13,274.05,288.92,164.53,189.20,177.57,161.60,196.43,166.41,256.08
1919,361.47,360.77,403.97,339.97,318.20,234.28,158.99,147.53,153.07,162.06,175.37,257.15
1920,268.25,363.06,371.72,300.50,314.59,210.05,193.56,167.76,224.71,303.80,184.68,462.48
1921,360.21,279.62,295.73,344.68,183.74,174.37,309.12,164.85,231.44,370.10,284.34,264.55
1922,308.30,291.58,368.22,342.13,233.42,175.61,272.09,200.99,198.61,219.48,235.52,248.67
1923,305.98,366.60,378.47,232.21,316.56,199.70,188.01,163.39,109.34,190.59,211.43,198.41
1924,338.48,342.30,310.14,280.74,216.77,211.45,161.18,173.62,188.89,230.53,307.95,310.36
