Variable:,pr
Country:,"Puerto Rico"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,147.22,23.93,128.91,111.63,232.73,240.86,313.23,180.60,284.57,272.77,357.09,189.36
1902,211.30,34.88,66.92,185.45,342.38,361.56,134.49,148.35,169.14,108.87,202.45,195.41
1903,66.78,27.81,85.71,116.54,244.93,152.00,229.88,236.52,184.85,221.46,163.57,233.42
1904,105.39,164.05,163.60,162.79,142.89,98.77,179.94,219.54,259.96,220.65,250.99,107.26
1905,156.03,73.65,132.23,104.13,235.78,108.31,149.70,231.05,240.69,277.62,231.14,71.26
1906,45.16,46.93,95.38,136.16,115.78,263.85,252.54,172.14,311.96,112.98,96.00,169.86
1907,79.49,108.18,42.76,23.67,196.39,140.03,183.05,203.85,199.50,224.20,152.51,230.91
1908,131.38,147.52,138.96,110.69,160.14,143.81,131.77,183.35,291.84,116.67,214.32,131.43
1909,101.43,109.35,61.45,119.40,103.86,262.18,139.62,334.07,193.61,191.81,313.39,63.26
1910,173.34,54.98,113.29,103.57,158.75,179.21,153.77,216.52,308.51,122.14,101.12,298.08
1911,138.56,115.87,33.15,165.51,255.83,114.96,204.55,163.36,226.80,188.01,204.17,299.92
1912,58.74,50.74,98.31,182.66,139.52,120.92,115.39,154.72,206.52,356.11,218.70,70.56
1913,116.74,66.30,152.70,135.37,182.29,168.41,136.61,178.53,220.78,213.13,129.85,109.11
1914,78.30,146.76,137.69,120.44,337.15,157.19,161.18,173.68,200.16,185.37,170.78,158.85
1915,102.35,100.15,51.24,210.75,134.74,205.92,202.80,162.11,211.88,114.88,233.31,143.28
1916,109.55,86.64,25.82,107.27,196.24,169.59,240.74,296.15,269.63,283.71,276.14,30.91
1917,76.32,80.08,46.92,116.60,229.41,161.35,172.10,187.21,203.41,158.36,218.75,96.49
1918,78.09,131.96,82.54,135.11,155.89,147.57,168.30,128.19,242.41,185.77,182.16,135.25
1919,108.23,30.18,52.18,224.96,115.96,213.16,253.55,106.55,269.99,156.14,140.99,164.16
1920,148.48,144.79,107.44,43.31,144.20,134.88,152.27,174.89,272.35,160.95,179.51,127.54
1921,197.44,84.19,117.11,77.55,198.15,124.64,242.90,200.20,287.93,165.72,97.22,86.56
1922,126.32,139.76,123.56,93.72,149.72,148.69,128.38,221.60,244.81,183.60,82.76,242.70
1923,86.02,86.61,44.57,245.27,90.25,138.44,154.37,156.89,167.68,213.21,170.21,95.59
1924,93.31,140.40,32.15,147.77,180.28,150.18,161.51,199.88,203.95,151.76,312.38,118.18
1925,82.60,104.98,73.74,190.83,97.78,185.23,191.28,139.46,254.13,158.65,231.00,20.13
1926,126.80,62.68,67.13,135.49,195.20,139.11,286.82,220.78,193.60,228.28,105.79,56.35
1927,120.65,51.38,111.98,146.37,153.21,197.25,276.89,210.10,195.47,294.92,201.10,51.17
1928,87.33,59.21,74.50,69.16,386.28,91.12,160.90,297.79,550.97,212.20,276.40,211.38
1929,128.06,65.42,114.51,72.99,264.53,138.60,95.10,305.55,233.67,133.81,89.67,102.72
1930,205.50,52.90,80.11,83.55,141.04,129.01,107.75,119.74,215.28,207.72,138.33,121.50
1931,44.18,160.71,63.14,188.70,389.31,279.54,234.69,199.80,393.76,238.13,269.21,92.74
1932,152.52,16.03,58.31,171.46,405.36,252.56,249.70,266.84,382.78,207.46,197.10,107.93
1933,88.09,23.06,133.60,142.21,396.04,230.30,165.97,220.53,340.37,167.81,164.27,126.99
1934,142.33,110.57,129.20,92.97,139.63,171.64,239.65,229.51,264.95,193.42,120.37,240.26
1935,118.40,206.87,45.76,101.05,223.63,174.96,171.90,191.51,268.80,219.92,123.13,131.03
1936,66.93,46.14,31.94,82.63,384.44,233.01,264.17,322.74,299.23,199.92,135.48,174.56
1937,152.99,22.27,44.46,121.12,164.99,122.99,151.73,286.36,176.69,162.89,205.71,72.20
1938,62.69,75.27,104.48,65.32,151.51,334.01,181.23,170.40,224.86,169.56,311.66,177.89
1939,83.79,57.46,109.70,151.17,219.46,97.07,160.17,215.50,249.87,233.99,218.82,113.03
1940,141.36,113.45,60.40,189.61,398.67,191.97,143.19,167.38,177.45,229.36,164.07,114.02
1941,145.65,12.09,76.07,181.72,256.52,207.42,218.99,236.29,245.44,169.42,178.39,178.45
1942,168.96,62.51,70.13,232.69,217.49,264.65,203.09,211.28,233.28,288.75,246.20,81.89
1943,149.18,90.66,104.19,199.86,286.07,202.34,158.45,232.79,190.20,307.94,87.69,97.89
1944,86.00,56.33,34.09,100.88,215.37,278.91,271.44,330.25,324.47,160.04,96.85,84.47
1945,84.77,75.56,46.52,200.44,325.93,87.05,195.16,265.29,236.47,161.24,124.87,96.11
1946,80.32,110.72,47.99,99.64,280.72,175.21,128.64,194.57,229.00,265.46,118.59,107.46
1947,146.59,72.02,47.09,118.63,221.63,134.42,94.30,152.63,268.90,200.72,63.16,99.07
1948,132.32,83.30,41.65,76.23,239.17,181.66,235.56,202.57,284.18,214.34,237.87,149.78
1949,95.19,46.09,129.91,76.81,197.60,181.36,237.84,206.68,372.20,228.96,112.92,165.60
1950,131.39,199.31,54.51,163.65,149.86,132.79,173.91,281.01,199.40,241.86,194.76,102.27
1951,91.71,18.03,13.60,160.91,214.65,206.79,264.06,181.84,303.98,150.25,217.67,248.53
1952,141.87,56.08,60.05,233.62,235.34,187.73,263.61,221.00,335.27,184.48,143.74,50.61
1953,67.43,29.98,63.12,113.64,201.06,182.36,187.54,195.54,250.12,180.00,157.72,165.01
1954,107.90,151.05,49.08,106.09,156.30,205.24,156.20,222.87,322.14,306.85,105.15,61.15
1955,61.82,60.04,60.85,73.66,159.92,206.03,150.25,210.49,265.89,138.98,118.24,115.29
1956,126.91,114.72,81.74,182.59,224.42,275.67,122.95,215.10,158.20,281.59,151.15,118.92
1957,82.68,43.23,36.70,89.20,101.01,211.40,162.94,221.76,201.30,141.38,106.49,161.39
1958,134.16,55.17,44.91,196.23,346.24,273.83,273.61,175.40,238.13,207.09,164.11,70.66
1959,138.13,58.29,25.72,209.07,270.65,120.17,181.48,218.20,178.15,144.30,149.82,170.15
1960,71.37,103.65,135.41,260.80,172.18,220.77,189.24,228.18,423.70,140.12,199.26,203.92
1961,152.23,62.59,116.67,221.09,139.37,148.84,237.24,311.65,143.47,247.29,201.42,169.06
1962,131.87,64.56,64.69,206.15,156.59,234.35,173.70,241.05,182.04,190.59,109.68,101.33
1963,145.09,85.61,135.75,202.47,230.38,123.95,190.84,250.57,294.01,104.10,183.13,49.47
1964,74.37,54.83,49.52,226.43,107.22,136.26,213.51,224.64,192.79,153.23,72.04,60.93
1965,83.17,32.95,40.95,129.47,328.76,239.29,210.27,235.96,205.78,163.13,193.01,190.68
1966,89.90,42.08,116.09,152.17,239.15,143.91,215.65,169.53,249.95,231.80,106.47,146.80
1967,61.39,94.37,44.95,51.67,159.00,153.72,131.86,166.49,146.94,154.15,124.43,63.50
1968,72.43,55.49,38.78,55.33,203.04,228.37,195.00,224.69,184.13,97.65,267.34,157.18
1969,151.78,66.91,90.79,122.99,399.12,206.85,224.03,181.35,223.31,201.34,296.42,97.55
1970,125.96,52.09,23.24,49.71,233.67,252.47,186.03,222.63,257.93,403.13,237.88,225.02
1971,100.52,98.09,76.70,178.54,253.96,110.46,140.64,210.30,116.13,233.97,110.86,92.85
1972,130.58,80.04,127.35,86.91,88.88,139.98,122.68,173.76,198.60,218.99,133.25,129.33
1973,75.37,62.59,106.49,139.53,109.12,144.12,109.54,272.31,186.44,191.00,75.37,74.65
1974,117.86,58.77,69.47,115.78,89.58,120.29,89.50,243.41,288.74,311.23,309.51,94.44
1975,95.07,54.97,94.99,48.42,107.89,95.72,125.89,213.99,446.73,186.45,200.09,235.16
1976,59.49,109.70,68.81,137.08,125.08,152.30,96.51,182.11,200.53,208.93,103.31,104.26
1977,151.31,31.88,53.14,77.24,145.71,77.36,199.32,231.83,215.29,256.78,320.14,82.65
1978,86.24,98.64,99.96,179.96,189.37,154.00,130.87,209.63,233.15,304.87,123.04,86.74
