Variable:,pr
Country:,"Korea, Democratic People's Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.70,8.91,26.85,45.72,73.29,65.46,139.50,136.08,63.50,51.22,25.16,23.89
1902,7.79,22.23,54.29,38.50,76.90,103.83,208.83,204.02,117.48,41.20,34.38,23.94
1903,33.94,23.80,35.14,52.13,148.65,83.75,263.17,280.61,122.03,36.80,27.39,20.34
1904,6.18,16.99,23.39,70.19,64.98,98.08,259.66,175.99,62.59,36.98,21.71,19.48
1905,9.70,7.44,29.28,36.73,116.44,88.96,272.81,215.91,178.42,37.94,29.72,29.44
1906,10.94,16.61,16.73,29.19,84.68,94.54,161.01,156.65,89.94,45.37,12.68,29.33
1907,9.42,6.93,12.72,58.70,144.47,67.57,120.32,198.48,54.31,59.96,56.47,17.92
1908,12.87,10.22,26.42,15.97,72.06,94.14,265.42,176.96,149.27,33.76,16.37,7.00
1909,6.98,12.41,21.98,66.15,55.20,104.66,218.67,287.35,86.13,56.27,32.02,28.81
1910,15.07,2.16,24.71,32.40,27.23,177.79,236.78,211.84,66.39,35.70,51.96,11.80
1911,33.55,7.33,65.40,51.20,41.29,94.89,276.02,154.28,201.93,40.50,81.72,18.32
1912,3.56,31.55,14.49,48.86,126.71,103.07,188.11,229.22,44.13,67.27,29.49,17.25
1913,10.62,7.72,9.09,60.11,58.16,154.41,193.93,98.09,45.00,35.77,32.37,10.01
1914,35.72,7.54,65.16,25.12,38.78,133.12,303.56,214.18,175.49,57.33,78.77,13.39
1915,39.16,31.98,33.80,33.92,115.85,120.47,251.74,194.40,138.43,53.54,38.97,8.94
1916,25.34,23.10,14.04,63.80,107.17,147.32,161.95,216.96,151.20,38.39,41.70,19.61
1917,9.84,9.35,20.67,25.08,52.67,44.31,218.61,129.86,192.61,41.68,19.45,30.61
1918,6.96,12.48,46.43,22.36,114.71,107.11,234.46,242.62,142.32,33.15,42.87,14.49
1919,24.92,3.56,22.08,34.71,109.54,129.28,97.61,205.15,141.43,80.00,25.95,13.91
1920,16.54,18.37,13.06,34.55,50.02,90.05,235.45,251.27,127.74,16.30,60.44,22.40
1921,8.76,13.76,27.47,46.31,86.30,91.16,191.53,149.30,110.16,45.84,29.52,20.98
1922,16.64,26.94,25.84,37.39,81.26,114.09,304.87,304.28,216.91,39.00,43.65,6.26
1923,16.27,6.55,66.62,85.36,61.75,100.21,242.96,271.62,70.43,64.75,44.14,22.26
1924,11.06,33.42,19.09,49.29,69.52,98.16,253.56,71.65,53.63,42.88,36.87,14.07
1925,8.23,14.80,46.35,35.84,129.99,77.27,246.41,360.74,125.37,31.26,26.72,33.74
1926,16.27,8.23,13.55,23.81,74.13,48.23,290.57,331.18,129.60,81.22,23.68,22.51
1927,24.37,4.48,53.10,50.64,126.96,88.95,302.32,205.98,66.93,74.24,29.81,34.47
1928,42.89,11.85,24.10,17.02,80.69,98.04,215.45,244.06,155.25,46.20,62.79,18.34
1929,17.13,10.68,10.64,38.01,63.68,129.88,257.67,196.71,75.53,44.84,23.94,46.83
1930,6.07,21.34,58.11,48.12,55.46,91.53,351.97,198.20,51.31,74.57,54.18,7.82
