Variable:,pr
Country:,Portugal
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,101.46,101.54,168.02,61.95,44.06,12.08,5.16,3.72,92.17,87.36,77.93,105.97
1902,15.48,264.66,55.30,110.11,38.21,46.19,21.17,18.17,27.05,107.61,200.42,78.28
1903,81.23,29.21,53.98,69.85,131.20,72.47,19.65,6.89,79.30,84.21,30.56,198.87
1904,127.17,166.89,101.92,33.02,18.86,32.15,2.91,2.48,54.97,52.13,92.86,109.45
1905,61.06,16.19,71.72,73.36,36.74,61.08,17.80,6.92,36.00,67.61,193.19,71.63
1906,67.18,78.25,64.38,59.37,81.77,43.07,2.15,1.73,67.21,106.81,136.06,30.35
1907,27.75,44.94,10.29,95.10,128.29,3.86,11.51,5.88,104.42,232.28,176.94,164.01
1908,107.83,14.49,67.55,58.01,28.97,61.52,1.82,7.86,24.70,61.84,146.54,103.93
1909,54.07,26.73,144.14,35.27,79.04,35.14,1.30,7.52,46.67,70.45,186.29,208.84
1910,36.45,70.46,56.07,76.33,85.28,36.39,5.36,2.61,35.36,140.75,128.67,311.38
1911,54.73,22.08,125.32,82.18,60.67,57.72,14.08,14.28,35.49,199.61,132.03,150.94
1912,142.79,236.46,94.81,45.56,25.71,28.67,16.01,16.39,55.84,119.04,36.58,34.17
1913,171.15,83.69,91.92,42.42,43.25,31.91,1.26,5.92,73.64,243.43,90.38,43.79
1914,69.61,169.64,77.10,71.94,34.68,47.09,16.88,3.45,13.67,84.81,101.30,220.96
1915,153.07,150.30,154.55,26.87,78.14,13.83,5.71,3.17,22.85,38.18,142.45,187.04
1916,31.80,143.45,206.73,37.20,58.76,20.44,13.60,3.46,40.40,28.95,151.76,227.40
1917,132.99,165.05,112.43,58.63,65.79,30.76,0.90,7.68,12.43,37.65,6.09,56.58
1918,195.60,29.34,89.20,95.56,44.52,14.54,6.15,10.51,65.68,40.68,107.00,58.46
1919,132.80,216.88,102.34,73.56,32.59,27.35,12.64,2.73,40.81,66.72,168.95,65.11
1920,58.48,91.51,78.55,67.24,85.91,20.72,1.11,1.79,27.32,149.16,84.62,86.71
1921,44.91,69.55,43.37,25.37,73.68,21.83,7.63,5.34,56.61,96.61,102.62,51.64
1922,134.89,37.25,110.08,44.75,32.19,49.58,5.41,17.28,31.91,143.91,43.32,111.67
1923,19.87,134.25,46.13,119.20,25.69,27.87,5.34,3.17,28.03,103.67,177.19,42.28
1924,101.83,118.42,185.07,71.96,38.84,8.09,5.13,6.80,49.98,59.07,124.09,107.74
1925,41.77,127.91,22.92,58.78,59.98,66.00,16.84,9.09,13.51,80.20,138.51,193.25
1926,64.84,156.70,104.19,68.24,50.27,14.96,1.25,3.23,2.76,154.09,194.77,36.77
1927,92.74,88.35,106.58,19.85,65.87,22.79,16.49,17.33,23.60,81.34,120.92,220.72
1928,46.29,92.37,131.71,134.94,74.63,46.59,3.63,22.16,92.26,52.90,58.62,70.92
1929,55.85,139.51,45.31,55.03,28.39,24.39,15.86,1.26,43.16,57.23,111.39,95.40
1930,121.61,61.39,81.83,110.22,28.78,51.48,19.03,6.03,18.14,82.08,73.76,84.84
1931,89.59,28.17,178.71,41.41,68.31,17.66,7.67,21.57,18.78,113.30,104.14,7.82
1932,74.28,51.81,94.82,52.50,50.42,35.39,14.84,6.73,86.37,72.42,91.20,199.37
1933,110.99,36.22,121.89,21.93,38.50,21.53,3.09,2.72,25.97,131.45,92.24,106.47
1934,32.40,14.77,114.26,124.57,38.22,9.13,6.55,13.65,10.42,14.20,89.61,238.31
1935,7.13,54.93,48.46,46.52,102.92,36.36,1.97,9.24,8.00,32.66,162.60,217.72
1936,238.86,232.93,205.40,119.10,82.90,26.97,8.18,1.61,24.11,56.02,64.23,50.02
1937,232.07,74.85,201.87,71.02,36.42,26.70,2.08,0.25,21.08,179.60,209.69,149.92
1938,52.45,32.64,36.48,52.19,75.91,8.36,2.67,2.28,71.04,44.73,55.31,171.92
1939,193.12,56.77,30.36,82.88,25.19,78.10,8.13,7.74,77.13,180.62,81.19,131.27
1940,203.99,165.64,109.25,57.95,66.59,39.44,3.41,6.14,20.13,152.98,109.78,35.74
1941,288.73,160.10,115.77,127.22,83.98,29.17,30.46,7.50,24.58,11.10,159.82,20.74
1942,94.72,55.43,185.21,120.10,39.63,33.95,1.89,18.03,62.90,121.25,68.11,151.00
1943,151.08,61.25,136.40,85.55,29.08,6.06,21.85,3.56,86.78,90.65,28.46,111.72
1944,14.42,51.60,44.86,84.33,29.54,37.16,11.23,26.97,44.43,81.62,67.17,64.19
1945,96.62,16.38,37.43,42.19,35.10,28.21,6.41,7.70,4.40,53.46,155.02,189.78
1946,70.47,46.90,134.45,122.71,147.99,20.33,1.90,7.62,31.89,63.74,75.20,76.41
1947,119.73,338.40,222.10,28.63,48.13,20.04,5.01,4.90,40.84,82.52,61.88,85.59
1948,225.72,118.22,43.40,91.15,117.59,5.68,0.78,10.86,8.50,66.81,18.49,171.81
1949,43.98,19.33,79.17,53.42,42.57,25.35,12.89,7.69,104.87,38.70,111.98,103.01
1950,54.68,86.86,69.88,22.40,105.03,37.37,12.80,4.78,27.26,51.55,62.28,130.90
1951,141.59,157.93,134.57,56.56,47.02,40.62,8.94,8.31,35.38,54.95,231.55,63.92
1952,91.53,42.11,185.61,52.16,110.49,55.44,16.14,10.77,54.30,83.81,73.05,90.93
1953,71.05,61.21,58.95,106.48,19.53,32.08,8.50,1.81,40.87,150.61,42.27,131.28
1954,45.20,50.07,131.75,49.71,29.06,20.73,3.88,8.46,8.97,32.70,135.04,52.93
1955,244.21,186.75,96.91,30.07,55.91,32.73,5.73,13.20,13.36,97.35,163.49,229.67
1956,153.06,73.08,206.74,98.59,43.81,9.37,5.10,23.23,65.79,78.96,39.24,70.35
1957,38.36,101.65,62.61,68.80,77.84,47.20,2.92,3.80,55.77,43.36,74.48,83.97
1958,129.75,69.94,127.56,39.30,42.91,32.53,6.15,13.12,19.28,70.88,23.23,300.62
1959,127.25,65.32,123.10,59.06,89.53,24.44,9.69,13.90,77.62,100.39,127.70,171.80
1960,131.95,207.04,159.55,48.09,93.70,29.35,8.63,9.91,38.74,239.44,133.65,134.41
1961,81.94,33.01,50.69,94.30,100.95,46.27,23.88,2.24,50.14,86.90,183.35,186.22
1962,120.60,44.94,199.39,52.52,21.97,26.61,5.26,0.58,43.16,103.86,84.52,88.61
1963,236.73,199.59,104.49,114.30,37.12,47.69,3.11,3.04,33.20,51.63,286.89,217.18
1964,45.10,209.11,152.51,43.73,23.74,53.20,7.54,4.56,37.32,38.59,38.93,59.00
1965,109.50,82.12,131.27,13.39,17.28,18.12,3.85,2.48,107.27,190.59,172.28,124.43
1966,219.26,263.21,3.94,180.82,19.27,39.99,1.51,17.88,24.90,162.16,79.76,34.40
1967,88.02,109.67,60.96,43.75,78.92,26.25,0.33,10.95,20.94,72.32,140.99,19.13
1968,7.17,221.88,76.60,82.67,57.37,11.84,1.13,13.09,40.68,66.97,184.51,140.58
1969,166.25,164.15,221.66,54.16,95.17,46.99,5.54,2.04,84.43,74.93,123.78,63.81
1970,359.20,34.97,36.80,18.81,92.74,78.49,2.87,10.75,4.75,8.97,95.52,50.14
1971,200.11,18.37,72.98,149.25,119.46,81.00,31.75,21.26,2.97,22.60,21.14,56.47
1972,158.23,208.02,111.16,27.71,43.37,14.64,14.77,5.01,51.40,174.00,71.31,139.66
1973,120.73,27.31,38.09,25.00,123.69,30.42,18.00,2.00,29.07,62.14,61.77,94.48
1974,154.97,109.09,67.90,61.98,46.08,93.34,2.72,1.30,13.14,8.94,103.03,23.70
1975,99.13,109.55,162.75,35.84,59.76,20.90,2.49,3.80,50.67,38.93,55.16,81.99
1976,46.99,74.22,54.73,90.27,19.20,21.99,16.15,32.20,96.94,169.75,112.43,200.21
1977,195.96,208.36,46.53,31.70,38.69,64.28,17.73,20.14,23.06,138.86,101.08,222.26
1978,92.11,209.63,85.69,103.12,67.77,40.36,0.41,1.36,14.68,55.42,60.37,355.83
1979,166.27,264.33,131.26,87.28,32.64,24.56,17.95,1.58,13.76,244.80,41.49,74.41
1980,64.87,79.01,95.06,48.34,79.73,18.95,10.05,15.49,24.24,73.67,89.34,23.07
1981,4.59,49.69,81.95,90.34,62.47,12.03,4.17,6.43,56.00,64.97,1.67,297.72
1982,90.76,77.33,26.45,42.59,31.36,21.02,12.82,16.18,82.16,48.20,130.43,77.94
1983,7.05,67.80,10.97,140.70,79.83,19.00,8.35,17.94,13.88,51.10,255.83,149.85
1984,90.33,28.79,113.66,83.72,88.10,63.43,6.79,11.25,16.36,108.41,212.96,86.41
1985,191.02,174.00,49.08,106.03,57.39,29.66,7.21,1.54,5.47,8.22,123.94,148.39
1986,98.91,176.66,37.85,67.31,26.92,11.22,0.50,7.06,89.45,52.63,82.05,63.97
1987,137.89,134.18,40.92,95.20,10.31,21.01,22.46,23.06,64.59,178.48,69.77,183.60
1988,175.40,67.43,12.96,89.70,99.65,109.14,37.78,0.70,7.08,107.86,101.80,16.56
1989,44.77,88.95,47.01,105.03,78.07,16.87,3.20,13.42,29.44,116.90,239.93,344.06
1990,92.16,31.76,31.44,104.07,22.29,12.57,6.92,10.52,26.98,191.92,94.19,66.90
1991,80.53,128.47,137.39,37.10,7.51,17.68,9.00,7.03,42.19,81.47,70.83,56.51
1992,49.17,31.56,31.03,70.65,55.49,49.58,1.92,27.67,36.99,106.93,24.94,126.23
1993,33.38,34.32,59.78,96.11,123.91,42.84,2.03,10.20,73.37,217.31,131.36,31.91
1994,117.40,127.91,17.27,35.83,140.59,10.45,5.95,9.84,21.17,89.58,99.40,63.15
1995,85.90,96.85,32.85,34.10,41.27,23.60,13.90,2.30,41.70,35.28,170.02,271.93
1996,340.03,98.80,87.19,52.75,124.89,9.33,7.61,8.34,59.97,55.67,95.48,281.18
1997,169.04,13.08,0.40,40.89,116.65,60.49,21.43,23.18,30.92,132.51,319.61,192.14
1998,83.89,74.21,31.48,100.49,110.19,23.91,4.41,3.30,91.29,28.03,41.99,64.63
1999,88.11,21.24,87.25,61.06,69.55,8.84,8.24,24.27,108.24,219.96,34.93,85.43
2000,25.65,22.32,32.95,188.74,95.36,7.54,15.67,7.11,29.02,71.11,192.00,303.71
2001,236.93,110.92,172.25,17.69,57.73,14.58,15.77,7.02,49.41,155.84,37.71,45.55
2002,101.26,38.81,115.61,58.41,55.91,23.26,3.33,10.56,86.45,119.87,168.92,187.90
2003,142.88,119.16,83.71,112.53,15.49,18.81,9.12,12.45,32.57,213.83,138.28,106.58
2004,83.49,90.70,78.70,35.00,67.20,7.62,2.53,29.22,18.15,187.03,45.54,45.62
2005,11.11,37.91,57.63,41.52,42.94,7.80,2.37,4.27,15.02,206.22,86.16,73.18
2006,67.96,87.28,117.96,65.31,17.26,47.16,9.38,18.34,54.98,223.94,218.70,76.68
2007,48.75,131.16,36.65,78.43,83.04,46.39,6.23,16.25,54.97,54.78,83.19,41.78
2008,86.32,118.50,39.42,164.81,102.13,13.92,3.13,8.19,42.94,112.24,49.05,108.92
