Variable:,pr
Country:,Paraguay
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,114.52,107.28,88.96,95.56,84.62,45.71,34.22,51.49,80.28,101.52,123.66,69.53
1902,181.30,75.30,92.52,74.60,121.15,30.66,47.79,19.10,76.13,124.99,134.79,142.07
1903,89.86,187.75,133.10,77.48,39.78,66.35,48.75,70.61,31.90,159.38,93.19,200.42
1904,112.49,88.57,77.02,91.26,85.50,42.00,68.40,38.10,99.18,147.53,114.69,137.24
1905,83.33,137.51,113.69,110.66,191.63,58.94,65.63,34.58,68.66,177.03,116.91,148.95
1906,63.74,64.03,68.30,77.27,58.30,76.89,35.11,28.51,36.30,83.96,78.22,103.64
1907,131.91,100.55,131.94,99.50,56.11,40.69,34.32,44.14,77.27,105.33,141.53,193.11
1908,124.56,114.80,83.85,78.54,125.10,54.47,65.43,34.93,59.01,152.94,130.84,176.64
1909,85.06,142.62,89.75,77.52,54.59,47.35,42.73,20.22,64.31,72.63,84.87,129.36
1910,116.01,151.06,90.13,145.45,64.10,40.63,24.25,24.13,60.96,60.33,98.73,89.02
1911,103.03,87.85,116.80,109.01,108.04,59.15,43.56,35.25,90.30,74.33,190.35,171.86
1912,105.70,135.35,94.67,110.25,57.14,50.06,25.10,36.60,55.83,94.22,112.32,131.10
1913,114.85,116.10,129.91,117.41,62.30,39.50,27.01,29.07,63.41,111.23,118.73,87.41
1914,114.24,117.02,138.44,127.61,67.26,68.88,69.49,65.89,56.52,166.69,180.30,107.53
1915,124.56,76.93,127.37,113.32,135.25,26.41,26.49,29.88,56.91,95.11,90.89,146.29
1916,139.90,115.51,66.15,78.37,159.22,77.70,57.45,41.17,45.34,58.70,79.51,128.14
1917,82.58,102.48,102.08,87.02,53.50,31.50,42.23,14.89,88.39,113.77,79.05,91.83
1918,109.34,117.06,126.59,104.93,149.45,75.85,38.81,14.77,51.36,139.49,139.99,157.71
1919,108.76,131.85,113.27,88.09,136.64,110.38,49.43,31.23,33.83,185.19,171.59,137.50
1920,176.67,110.73,78.46,70.61,69.54,102.74,39.15,26.91,89.26,125.69,111.91,136.59
1921,147.76,112.64,153.59,74.33,38.34,71.96,26.94,37.47,138.50,138.10,68.09,109.89
1922,130.15,89.93,119.55,79.70,102.15,68.49,82.19,38.61,40.00,133.14,90.93,101.72
1923,123.77,79.47,71.83,84.77,116.08,80.82,22.65,21.55,68.58,172.93,94.39,157.64
1924,80.87,91.93,95.07,79.13,72.93,79.05,26.48,22.46,68.20,59.11,113.32,85.02
1925,120.36,87.21,55.52,166.06,149.57,18.38,27.70,29.20,80.67,172.37,155.63,92.13
1926,149.14,101.55,87.76,79.56,84.27,28.82,40.54,18.75,37.40,105.94,134.54,145.14
1927,166.47,85.14,118.35,78.71,48.98,48.39,16.46,17.61,54.70,95.92,144.97,116.52
1928,78.82,116.76,104.49,154.46,120.06,54.67,30.90,32.43,128.17,177.65,105.53,98.79
1929,123.57,66.93,110.81,57.31,46.53,57.31,45.16,39.04,110.49,161.14,100.22,109.13
