Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,164.12,2.46,15.24,7.04,19.96,0.00,0.00,0.00,0.04,3.96,42.40,125.63
1902,184.67,41.87,45.24,38.12,0.70,0.00,0.00,0.00,0.00,11.63,118.30,121.39
1903,119.84,95.12,70.47,3.44,0.54,0.05,0.00,0.00,0.00,3.23,41.43,74.18
1904,170.71,77.99,61.28,41.22,6.37,0.05,0.00,0.00,0.04,21.33,104.95,264.39
1905,105.69,102.29,129.06,32.36,4.07,0.05,0.00,0.00,0.35,14.16,14.56,239.72
1906,123.70,99.38,55.42,56.17,21.76,0.14,0.00,0.00,0.00,16.18,38.52,44.50
1907,286.33,115.32,79.76,12.54,0.51,0.00,0.00,0.00,0.57,6.26,72.42,81.69
1908,164.66,115.97,113.55,34.02,2.58,0.23,0.00,0.00,0.04,0.37,66.61,107.06
1909,104.91,44.40,27.30,81.42,9.17,0.00,0.00,0.00,1.19,37.72,52.97,64.96
1910,111.20,36.17,125.33,27.25,6.05,0.05,0.00,0.00,0.53,13.87,43.62,60.06
1911,189.57,170.30,79.90,57.17,3.87,0.00,0.00,0.00,0.31,18.83,56.92,220.37
1912,184.87,82.20,57.15,18.29,11.50,0.00,0.00,0.00,0.04,37.67,50.87,158.91
1913,130.09,131.67,39.25,19.23,3.41,0.05,0.00,0.00,0.40,32.60,43.28,132.38
1914,81.37,36.51,52.45,62.15,5.47,0.09,0.00,0.00,0.00,4.76,168.94,103.07
1915,37.83,70.69,79.84,33.73,0.38,0.00,0.00,0.00,0.66,2.65,47.05,35.99
1916,199.11,119.99,102.30,46.00,0.00,0.00,0.00,0.00,1.00,1.31,28.25,149.89
1917,248.47,124.83,44.71,2.39,1.11,0.00,0.00,0.00,2.53,6.36,33.75,150.64
1918,131.71,128.42,118.47,21.74,17.58,0.00,0.00,0.00,3.41,57.54,69.12,154.95
1919,121.15,117.48,44.04,21.30,2.62,0.05,0.00,0.00,0.00,1.97,43.02,177.87
1920,147.35,211.40,92.91,26.20,5.09,0.00,0.00,0.00,0.13,5.41,67.77,106.47
1921,139.34,132.24,54.95,10.20,8.56,0.33,0.00,0.00,0.17,1.21,32.22,176.38
1922,144.61,145.15,42.90,5.43,2.92,0.00,0.00,0.00,0.00,0.46,39.94,121.26
1923,81.63,128.70,31.11,27.10,4.35,0.00,0.00,0.00,1.40,36.72,10.90,104.04
1924,92.90,183.88,61.24,0.88,2.84,0.05,0.00,0.00,0.04,25.42,99.89,88.86
1925,47.67,40.40,15.81,66.28,0.65,0.38,0.00,0.00,0.53,3.83,81.05,69.40
1926,132.50,119.56,92.19,21.00,2.58,0.00,0.00,0.00,0.00,0.91,22.15,107.32
1927,74.26,253.53,18.62,44.95,1.53,0.00,0.00,0.00,0.00,16.80,35.54,43.34
1928,78.37,206.22,13.61,0.56,0.31,0.00,0.00,0.00,0.00,2.38,51.66,120.91
1929,123.64,102.91,24.67,45.10,0.87,0.09,0.00,0.00,0.13,2.05,120.75,90.61
1930,137.46,80.89,9.15,31.33,0.71,0.00,0.00,0.00,2.43,1.00,43.65,96.96
1931,161.31,101.03,46.60,15.99,0.83,0.09,0.00,0.00,1.37,3.32,55.84,167.73
1932,87.07,130.31,13.34,12.35,0.05,0.00,0.00,0.00,0.00,12.67,26.81,5.18
1933,102.33,58.18,48.12,26.65,0.74,0.00,0.00,0.00,2.16,5.41,21.01,33.28
1934,232.30,120.55,12.61,10.87,2.16,0.00,0.00,0.00,0.00,4.59,8.85,162.90
1935,121.08,200.76,16.78,17.54,2.08,0.00,0.00,0.00,1.14,41.39,57.67,29.54
1936,61.27,107.92,28.49,11.39,1.97,0.00,0.00,0.00,0.43,1.49,144.63,144.77
1937,202.19,51.99,13.14,38.87,2.99,0.00,0.00,0.00,0.00,37.37,81.64,47.01
1938,236.15,143.44,72.73,5.75,13.19,0.00,0.00,0.00,0.43,0.09,162.87,74.03
1939,63.56,154.70,113.49,10.75,0.00,0.05,0.00,0.00,0.00,11.81,146.87,88.88
1940,194.80,30.38,45.45,44.31,1.11,0.00,0.00,0.00,0.13,17.67,74.71,113.83
1941,88.56,45.20,77.60,7.05,0.01,0.00,0.00,0.00,0.09,6.00,15.20,272.16
1942,109.73,96.10,122.63,0.88,0.15,0.00,0.00,0.00,0.70,49.61,69.45,36.69
1943,172.89,90.35,153.75,50.09,1.54,0.00,0.00,0.00,0.04,16.04,6.11,48.57
