Variable:,pr
Country:,Reunion
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1902,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1903,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1904,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1905,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1906,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1907,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1908,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1909,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1910,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1911,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1912,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1913,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1914,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1915,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1916,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1917,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1918,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1919,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1920,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1921,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
1922,241.10,221.18,216.84,167.67,106.00,82.24,80.63,75.31,53.35,60.00,92.20,154.56
