Variable:,pr
Country:,Romania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,52.92,46.95,49.08,63.80,35.61,134.97,87.96,106.35,29.92,74.05,20.91,44.32
1902,27.28,33.02,39.54,45.67,85.63,101.41,66.04,80.34,37.96,60.25,6.13,62.77
1903,25.60,20.73,14.20,73.86,74.27,99.44,78.03,40.38,14.15,50.15,31.37,23.12
1904,17.14,48.29,25.25,20.00,42.60,67.33,34.72,57.69,96.25,50.23,52.85,21.46
1905,25.42,30.21,14.65,64.83,62.63,100.63,52.06,37.57,50.73,112.07,43.01,27.72
1906,31.75,23.10,41.65,44.93,107.23,106.73,80.05,71.57,58.87,30.44,45.20,61.57
1907,29.64,31.92,44.62,43.46,40.36,97.51,65.09,23.68,29.59,8.57,42.88,38.72
1908,28.86,52.50,21.46,53.10,35.24,72.52,106.92,59.12,52.79,33.67,56.78,28.43
1909,37.00,40.52,45.16,31.27,63.89,98.27,57.88,49.46,91.50,27.78,46.43,46.63
1910,45.90,32.79,11.56,60.74,60.54,86.04,94.90,61.38,35.09,57.69,71.00,25.83
1911,31.52,28.65,21.46,53.93,61.60,100.03,61.96,75.43,56.10,27.84,22.81,44.59
1912,53.01,41.93,48.11,61.56,95.15,65.30,87.23,81.15,128.54,61.44,69.43,30.95
1913,30.56,10.16,20.69,41.24,83.27,103.88,99.94,95.44,68.32,12.19,48.82,28.93
1914,42.45,9.16,72.49,38.88,102.03,125.60,103.87,59.40,73.94,65.74,20.58,25.96
1915,55.84,25.36,72.44,55.20,94.19,81.84,119.30,78.18,41.61,81.23,50.42,31.70
1916,34.76,45.14,37.70,53.25,96.82,61.98,86.82,45.99,33.34,68.91,37.26,38.63
1917,60.35,24.98,46.75,52.50,36.84,68.22,55.33,47.94,21.95,46.65,37.76,24.36
1918,23.25,24.24,17.93,20.46,51.51,80.03,97.06,77.11,26.65,90.11,72.91,51.30
1919,30.90,30.35,46.82,66.46,99.18,82.53,102.24,59.92,33.93,82.93,51.99,46.13
1920,50.92,34.82,43.74,38.74,75.12,117.55,71.79,58.89,49.03,26.17,35.58,26.80
1921,33.89,42.89,9.42,40.30,75.44,85.02,52.65,50.88,30.02,19.54,65.44,41.76
1922,59.74,34.54,37.82,71.92,87.32,114.00,32.26,44.40,78.02,103.82,59.13,24.01
1923,56.73,47.73,46.69,45.68,49.56,94.23,62.34,27.54,34.41,29.35,39.47,66.40
1924,22.51,43.12,33.58,80.02,42.75,104.31,63.07,75.64,52.81,34.20,51.02,10.46
1925,13.87,30.37,31.68,46.66,67.48,97.85,93.62,76.32,78.99,24.42,63.42,70.23
1926,42.26,25.13,31.74,33.12,98.85,107.33,103.08,70.14,25.59,39.24,5.69,50.91
1927,43.26,19.87,29.18,43.36,80.47,55.10,59.09,98.94,54.38,45.75,43.03,47.23
1928,21.79,30.20,17.63,46.27,92.08,87.81,19.51,65.21,56.14,42.44,52.56,44.61
1929,49.17,21.54,16.12,64.20,64.68,83.42,59.87,71.74,29.66,45.37,37.21,31.14
1930,13.27,22.33,26.58,72.93,106.22,65.72,57.34,84.53,41.02,49.45,33.84,56.73
1931,44.11,20.00,55.52,48.23,52.29,89.21,65.39,60.45,86.92,57.28,45.48,26.82
1932,36.31,38.12,51.34,43.69,94.96,105.64,66.09,54.65,26.53,69.32,21.24,23.16
1933,42.36,47.75,47.52,70.89,103.78,99.61,101.42,84.96,42.62,56.36,48.28,35.58
1934,26.88,17.89,14.47,13.68,43.09,87.01,99.97,90.86,69.38,45.38,27.62,21.70
1935,51.27,43.45,23.67,77.05,64.70,75.43,53.21,45.30,32.14,28.41,30.54,46.33
1936,22.40,55.92,22.97,56.90,51.75,95.73,57.06,89.65,58.03,63.03,32.70,17.51
1937,43.43,46.62,28.31,83.08,49.38,65.08,62.77,128.26,34.96,46.76,66.50,57.44
1938,33.93,26.04,20.43,52.79,85.75,51.52,68.28,79.89,46.80,60.30,26.82,59.28
1939,25.99,18.27,61.94,18.17,105.69,80.08,65.98,71.10,40.39,115.85,35.30,44.64
1940,35.78,45.72,38.66,56.21,110.82,153.25,67.86,79.17,35.90,57.07,36.62,53.87
1941,53.30,56.00,39.19,77.53,80.03,119.57,105.09,71.32,88.00,76.81,45.34,31.51
1942,56.21,29.73,24.97,77.87,69.31,95.95,64.74,26.41,18.73,34.63,69.99,11.80
1943,45.03,22.03,11.56,24.27,97.25,73.47,75.00,17.59,53.09,23.80,56.70,68.62
1944,31.92,61.85,51.13,55.95,59.24,63.48,80.73,50.07,67.61,92.13,59.41,26.21
1945,39.11,16.27,17.83,60.40,52.56,49.23,41.75,68.74,28.58,44.34,28.92,48.92
1946,18.44,37.40,21.08,21.76,72.18,67.82,45.29,26.43,29.21,72.58,65.69,41.52
1947,52.21,38.97,31.31,19.76,32.67,103.28,77.01,82.58,15.18,36.90,66.99,69.38
1948,47.65,25.75,21.24,24.50,82.06,161.74,69.57,43.46,25.71,23.62,27.34,7.90
1949,19.11,13.24,38.40,24.22,67.57,117.36,100.72,90.42,28.31,9.54,62.23,45.85
1950,28.91,19.51,27.54,53.36,56.92,42.82,57.65,48.02,34.50,62.29,64.10,50.73
1951,23.31,31.78,43.16,69.17,68.03,71.28,76.60,72.61,44.80,21.32,25.41,21.98
1952,35.63,56.56,32.10,24.42,77.40,84.53,28.71,26.41,42.24,74.95,83.22,70.45
1953,47.62,53.65,9.87,41.56,78.87,97.32,52.79,74.99,17.15,28.58,18.82,19.14
1954,36.90,47.88,22.25,48.66,95.69,107.41,84.05,65.68,37.34,50.36,54.87,48.69
1955,54.92,56.52,42.69,73.03,59.70,92.26,130.83,93.30,71.57,42.74,46.15,38.40
1956,37.66,62.08,28.05,44.50,79.52,106.46,50.13,41.49,25.30,35.85,46.51,56.89
1957,26.30,29.26,12.59,59.16,126.51,85.74,76.63,65.06,66.88,41.10,37.58,37.61
1958,40.29,44.57,39.84,87.41,30.75,102.72,44.73,66.77,35.57,44.43,34.24,26.96
1959,50.52,7.31,22.68,29.17,64.96,93.74,69.87,75.07,46.79,14.07,54.52,51.72
1960,44.13,38.84,28.03,48.80,92.48,87.67,90.14,45.52,42.00,52.84,68.56,57.72
1961,29.82,22.56,18.96,54.17,104.71,67.91,63.94,48.08,4.27,32.95,48.40,43.64
1962,30.33,47.16,83.35,63.07,42.37,59.54,75.14,26.27,37.18,17.35,74.40,39.93
1963,79.80,46.98,37.86,36.61,53.24,66.25,57.63,51.41,34.95,26.14,16.71,55.62
1964,8.56,36.20,37.84,47.73,76.12,63.26,76.44,69.60,86.87,65.18,48.69,40.81
1965,46.95,43.54,31.53,51.03,77.95,96.99,55.52,38.59,22.17,9.84,54.47,64.66
1966,75.40,32.15,52.68,46.35,76.83,92.87,84.46,77.45,33.42,46.31,90.14,58.26
1967,36.87,32.31,34.58,55.38,78.61,84.04,50.29,54.95,52.21,27.81,22.12,56.53
1968,54.68,45.39,19.36,17.73,44.28,45.50,85.51,104.50,86.75,30.50,49.97,39.32
