Variable:,pr
Country:,Russia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.52,17.70,18.87,25.65,32.84,43.87,61.22,65.30,43.31,30.34,33.16,28.18
1902,23.28,17.24,20.09,23.01,35.41,55.42,63.96,66.36,50.57,38.40,25.54,23.79
1903,21.71,18.57,15.73,22.96,38.49,52.15,66.09,72.75,50.40,38.24,27.24,20.42
1904,18.31,21.69,13.29,19.56,38.31,57.49,65.97,67.70,43.63,33.51,29.96,25.78
1905,20.46,13.98,14.65,22.68,37.61,51.32,66.37,68.83,54.16,44.01,30.74,25.82
1906,21.63,14.24,23.88,18.89,37.17,55.77,70.41,67.10,46.26,34.39,29.45,26.18
1907,20.40,13.32,14.85,23.27,40.16,49.72,66.03,70.56,45.06,35.29,26.06,27.09
1908,21.36,16.51,15.11,19.38,39.64,57.43,64.31,70.26,50.24,35.82,28.43,23.82
1909,18.42,15.07,15.67,27.43,36.40,52.15,71.72,62.01,44.79,30.16,35.97,24.91
1910,22.92,13.95,17.65,22.45,34.03,53.18,65.13,66.79,43.65,33.88,30.12,25.67
1911,17.73,16.47,15.66,23.55,31.83,50.12,62.26,66.45,47.98,34.95,31.29,21.26
1912,22.78,19.00,19.99,26.62,42.18,58.21,62.41,65.87,41.30,35.80,28.82,25.16
1913,19.21,15.69,22.38,20.59,33.36,54.12,69.55,66.17,48.87,34.18,33.13,28.43
1914,23.38,17.84,21.93,23.91,35.65,53.30,63.70,68.42,49.92,29.78,27.39,21.96
1915,25.06,19.63,21.25,22.30,37.84,61.52,66.28,67.24,53.72,31.46,29.67,28.39
1916,23.85,14.99,12.98,21.91,37.29,54.34,65.65,72.90,48.86,31.93,28.29,22.97
1917,21.06,16.77,17.64,22.73,29.62,45.95,68.10,64.91,49.37,33.42,30.15,21.43
1918,23.62,15.56,16.90,17.85,31.11,55.88,68.55,62.09,53.00,33.67,25.42,23.90
1919,16.60,20.58,19.19,23.90,30.93,55.97,68.18,74.61,52.24,38.76,30.36,24.58
1920,23.94,14.42,16.77,22.45,32.59,58.51,62.07,61.25,42.42,33.51,24.73,20.48
1921,23.98,14.60,18.46,20.77,35.20,51.28,63.98,59.69,48.93,37.35,24.93,25.01
1922,19.27,16.90,22.06,23.87,40.85,58.19,72.75,67.45,49.21,39.26,29.39,24.69
1923,20.35,13.88,16.95,23.03,36.69,53.70,72.35,68.77,44.56,44.20,34.17,24.65
1924,19.48,13.61,17.78,24.86,36.62,53.40,71.90,61.34,48.11,34.26,29.86,22.35
1925,20.33,16.93,21.30,22.53,34.46,59.62,63.39,68.94,55.10,37.08,32.26,27.59
1926,19.15,13.77,18.13,21.94,35.27,50.93,66.19,70.77,51.27,41.14,29.36,25.09
1927,17.98,14.03,18.33,27.35,39.04,56.45,73.48,68.28,51.42,43.95,34.92,23.50
1928,19.30,15.16,13.94,22.78,35.39,61.41,70.63,71.11,51.13,37.23,30.65,19.24
1929,16.92,12.47,20.52,26.76,33.62,57.04,73.08,64.76,47.19,39.66,26.67,18.84
1930,19.20,17.02,22.83,20.41,36.32,51.11,69.07,66.61,50.97,36.50,32.97,21.65
1931,19.63,10.79,20.94,20.04,31.60,52.48,59.20,68.23,54.92,42.10,23.47,23.87
1932,22.69,14.91,17.86,25.49,38.51,62.64,64.83,57.21,45.14,42.56,30.98,22.65
1933,14.37,14.08,16.66,25.25,37.56,49.81,69.57,73.25,49.16,30.95,30.67,23.07
