Variable:,pr
Country:,"St. Helena"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,40.90,47.90,122.10,152.80,49.90,29.20,27.30,83.70,127.10,47.10,54.40,78.00
1902,33.60,27.10,50.20,38.20,61.20,59.20,81.00,132.00,158.90,74.80,20.20,51.90
1903,81.70,118.40,62.20,42.50,95.40,128.60,80.10,48.80,37.80,80.90,71.80,37.00
1904,103.70,40.70,102.60,194.50,97.00,63.10,53.30,82.70,72.30,84.00,49.00,68.70
1905,62.90,74.40,85.00,10.60,75.40,37.80,11.30,120.00,52.90,34.60,62.70,37.00
1906,89.90,104.20,114.90,79.80,71.20,152.60,128.00,104.50,73.50,50.70,35.40,87.20
1907,77.80,34.70,116.00,157.80,90.60,92.20,70.90,39.40,53.60,97.40,31.00,50.90
1908,95.70,65.70,29.30,57.10,66.20,101.80,62.80,131.70,64.70,53.20,31.00,55.90
1909,122.90,89.90,86.80,68.00,113.30,67.40,95.70,94.10,92.60,27.10,12.10,61.40
1910,72.70,87.50,114.60,91.80,72.30,161.80,114.30,105.50,64.70,102.70,25.20,35.70
1911,30.60,58.90,62.80,38.70,123.20,122.50,79.20,125.10,20.20,50.30,20.90,27.40
1912,113.20,134.90,73.80,62.50,127.70,163.40,100.40,17.90,79.10,24.20,22.60,44.60
1913,44.40,110.40,83.40,107.50,154.70,110.50,132.00,46.80,120.10,46.30,43.30,27.60
1914,89.50,95.10,131.30,132.30,135.00,94.60,73.70,125.70,82.70,41.00,31.00,92.20
1915,67.10,91.00,31.20,55.60,112.70,123.90,173.20,82.60,60.10,23.00,66.30,47.40
1916,39.60,54.40,136.50,77.70,142.70,92.10,97.30,43.60,14.80,45.50,17.50,29.00
1917,100.00,114.30,158.80,83.10,93.20,133.90,105.90,70.30,70.10,24.00,44.50,17.80
1918,98.60,172.20,132.80,40.50,94.30,137.70,72.60,10.60,33.20,20.20,16.20,50.10
1919,62.50,93.30,89.70,71.00,112.20,118.10,120.30,80.90,94.90,40.10,40.10,37.50
1920,46.50,62.30,112.20,22.40,123.00,70.20,106.80,54.70,66.00,88.20,21.90,19.50
1921,67.50,92.50,132.00,109.20,69.90,159.30,178.10,104.50,43.00,29.30,56.50,7.50
1922,63.10,111.90,97.80,90.70,75.40,84.60,70.70,125.90,48.30,55.40,34.90,76.80
1923,48.70,103.60,132.50,162.40,185.80,130.00,82.90,122.60,51.00,24.20,21.70,30.80
1924,48.80,88.10,131.30,51.10,45.40,95.40,68.10,47.00,51.60,78.90,55.60,32.80
1925,70.30,49.90,147.40,66.80,173.70,94.30,52.90,43.30,50.20,53.40,35.00,37.50
1926,55.10,58.80,80.40,57.80,79.90,71.90,74.80,65.90,69.10,26.90,58.00,59.40
1927,44.10,41.00,93.60,82.90,106.70,28.10,108.30,69.80,43.90,53.20,20.00,37.50
1928,55.60,42.40,143.50,51.50,48.00,35.00,57.70,50.50,50.50,35.10,11.70,47.60
1929,38.40,62.40,85.50,23.40,85.20,80.70,133.00,67.60,54.60,40.60,14.90,45.60
1930,42.50,21.80,106.50,93.40,75.20,98.60,117.30,70.30,38.10,52.00,31.80,20.10
1931,60.20,29.30,84.30,94.80,29.40,78.30,131.20,95.70,64.10,43.00,53.90,17.20
1932,42.80,41.60,143.50,17.40,160.60,81.80,130.10,30.70,94.80,19.80,23.00,33.40
1933,46.00,46.40,46.30,27.00,24.20,84.40,114.70,43.10,25.00,20.40,47.70,19.90
1934,92.70,107.10,141.90,161.10,66.80,53.20,107.40,96.90,63.10,64.60,28.80,61.00
1935,45.70,125.30,61.40,120.70,91.40,171.10,93.20,37.70,53.90,12.60,18.50,19.90
1936,88.80,41.70,82.20,41.40,97.80,82.10,87.40,29.70,19.20,110.90,19.60,41.50
1937,32.30,60.20,109.20,122.80,119.00,55.90,118.50,48.80,56.80,31.60,16.40,52.70
1938,105.20,53.80,62.20,53.10,30.40,59.90,73.40,98.00,111.40,80.30,22.60,84.70
1939,51.00,125.90,141.20,97.30,29.90,39.50,177.80,64.60,25.20,32.20,57.80,37.00
1940,44.10,39.50,174.80,113.80,81.00,118.00,134.60,79.80,119.30,49.10,46.50,52.90
1941,116.30,115.70,44.90,83.70,23.60,87.70,74.80,91.10,33.70,74.00,84.40,31.20
1942,79.00,51.00,128.70,49.20,53.60,66.60,27.30,75.80,71.80,39.30,7.90,81.50
1943,60.00,47.20,48.10,68.90,87.20,45.10,91.50,80.30,56.70,59.70,25.80,45.60
1944,26.60,57.60,120.30,19.10,71.40,148.00,63.10,142.70,63.60,16.90,18.30,10.90
1945,59.50,91.90,114.30,24.80,46.80,51.80,139.10,54.10,6.30,28.50,10.20,49.40
1946,52.90,54.30,124.70,20.50,126.70,17.30,100.70,53.50,43.40,26.90,22.80,30.40
1947,86.30,69.20,159.10,96.90,126.60,120.80,98.30,41.10,110.60,61.10,21.50,27.20
1948,68.00,76.10,124.50,88.70,48.00,55.60,160.60,31.30,26.50,104.80,17.10,22.10
1949,9.40,22.10,90.40,100.50,130.30,138.10,60.80,78.30,89.70,49.10,33.70,17.60
1950,64.50,115.60,208.20,71.40,72.30,79.40,190.40,81.50,77.40,33.80,26.60,57.10
1951,54.00,124.00,92.70,47.60,68.80,135.90,71.30,68.10,43.40,57.90,33.30,44.00
1952,20.30,46.50,39.80,36.60,99.60,98.60,148.50,70.90,49.30,37.50,45.40,51.90
1953,27.00,80.30,30.80,62.40,70.70,206.50,110.60,122.20,22.00,24.00,17.50,22.50
1954,40.50,102.20,82.20,55.30,108.20,189.50,139.40,34.40,101.60,51.20,27.30,43.80
1955,17.40,146.90,117.60,97.30,71.70,112.10,116.80,107.10,45.90,65.60,17.70,30.80
1956,60.40,66.80,143.70,151.40,57.20,87.10,60.20,75.80,54.30,52.20,24.10,8.10
1957,53.50,73.90,213.40,47.10,93.60,129.40,69.30,79.70,106.50,52.60,4.70,23.90
1958,54.90,74.40,66.40,32.70,54.40,77.60,21.60,41.60,60.70,54.00,38.20,39.50
1959,46.70,56.10,76.30,42.20,128.50,108.80,91.30,62.40,42.90,45.50,45.60,35.70
1960,32.70,53.80,55.60,55.30,22.10,61.80,39.60,122.50,42.20,52.60,35.60,35.30
1961,93.30,34.50,174.80,115.90,93.50,101.40,103.70,72.70,52.70,70.70,35.00,61.20
1962,20.40,27.90,96.40,59.20,37.80,42.30,89.10,94.80,69.90,62.00,78.60,26.10
1963,97.30,79.60,113.40,92.60,82.20,141.40,105.90,74.70,30.80,52.80,50.70,32.80
1964,25.60,37.10,61.60,17.30,81.20,108.30,91.30,163.20,108.70,30.80,25.10,12.00
1965,95.70,96.70,158.00,60.60,4.40,114.60,77.90,50.20,81.30,43.80,18.30,63.20
1966,74.40,108.70,75.10,11.70,131.30,42.30,125.80,120.00,88.50,13.20,23.20,32.40
1967,53.10,38.60,113.00,143.00,171.90,115.00,35.70,100.00,20.90,71.90,18.10,30.40
1968,98.20,83.00,104.80,81.30,67.80,72.30,128.00,23.70,29.10,34.00,20.90,44.40
1969,57.00,79.20,91.20,22.30,67.20,96.40,67.20,38.20,36.80,46.30,13.80,27.80
1970,84.90,22.70,33.90,18.70,34.70,53.70,109.90,95.20,108.90,17.50,16.00,9.30
1971,65.20,79.90,60.10,42.10,84.90,93.50,156.80,68.60,46.60,17.30,15.60,15.60
1972,38.50,45.10,66.40,43.40,39.40,123.90,78.50,48.80,42.20,47.90,29.60,34.70
1973,18.10,18.70,48.10,31.80,40.50,77.10,50.10,43.10,24.30,17.50,35.00,38.70
1974,68.90,125.90,85.00,67.10,184.70,87.10,81.20,51.90,55.00,44.20,39.70,42.80
1975,42.80,26.60,99.60,37.30,42.80,82.40,81.70,82.30,63.60,49.90,18.60,63.40
1976,104.60,163.90,113.30,58.20,94.00,87.60,76.00,81.70,48.10,46.50,24.90,26.30
1977,67.90,88.10,145.30,27.20,36.00,119.70,85.20,29.40,100.70,36.10,22.20,34.90
1978,18.30,62.40,182.60,86.20,64.10,18.60,69.00,128.50,54.10,31.20,29.00,20.50
1979,34.30,139.70,105.00,22.30,68.50,54.00,101.00,67.20,38.30,52.60,39.60,23.90
1980,19.70,39.30,53.20,47.50,95.90,124.90,41.10,44.10,34.70,43.80,37.90,47.80
1981,43.00,61.30,61.00,50.60,51.00,94.00,78.50,83.00,32.00,31.00,36.70,44.20
1982,69.10,104.00,130.40,141.50,27.80,157.00,91.90,87.70,9.20,37.30,36.90,15.40
1983,10.80,53.00,49.30,25.30,77.50,75.90,85.80,63.90,17.20,31.60,60.10,64.90
1984,17.90,49.60,44.60,68.80,38.60,13.40,32.60,18.00,43.40,67.00,40.30,63.40
1985,19.50,140.70,121.10,104.90,86.20,29.20,52.80,40.50,63.00,61.30,18.10,34.00
1986,37.80,35.40,87.60,63.10,29.20,107.70,62.40,30.40,79.50,74.60,48.20,32.20
1987,40.90,87.40,75.10,12.50,119.50,79.60,77.40,95.50,45.90,25.50,45.20,39.50
1988,74.60,45.10,66.10,122.50,29.10,59.30,146.10,35.40,59.50,58.90,15.10,55.30
1989,69.30,39.50,28.50,89.10,64.60,99.90,73.10,75.50,78.30,44.00,24.50,25.70
1990,58.60,56.40,55.60,96.10,84.00,107.70,64.30,61.60,86.80,58.90,13.20,47.40
1991,60.40,47.90,61.60,18.10,59.70,87.40,92.10,92.40,35.70,62.80,28.30,80.90
1992,83.50,43.70,33.00,39.00,35.50,128.00,45.30,64.70,73.20,31.40,33.90,15.80
1993,53.30,67.70,37.60,78.00,58.10,87.40,76.00,61.60,6.80,21.60,22.60,82.90
1994,58.60,62.00,70.60,50.10,100.10,143.60,58.50,67.80,32.30,9.80,35.80,29.60
1995,33.80,29.60,102.10,19.50,67.80,64.00,62.80,55.50,32.30,53.00,33.90,27.60
1996,24.90,39.50,96.10,41.80,61.40,207.60,124.20,94.00,85.10,94.20,79.10,33.60
1997,88.80,81.70,27.00,46.00,72.70,68.70,59.90,43.10,49.30,29.40,54.60,37.00
1998,149.20,49.30,43.60,36.20,17.80,3.10,181.20,140.20,102.10,74.60,17.00,15.80
1999,55.10,14.10,60.10,13.90,67.80,48.40,61.40,95.50,76.60,43.20,49.00,86.90
2000,27.00,60.60,57.10,72.40,55.90,64.00,78.90,101.70,88.50,56.90,37.70,43.40
2001,12.40,74.70,84.10,101.70,69.40,65.50,102.30,118.60,139.50,44.00,18.80,43.40
2002,40.90,33.80,114.20,103.10,48.40,78.00,45.30,127.90,37.40,51.00,17.00,35.50
2003,71.10,52.20,93.10,68.20,25.80,64.00,27.80,100.10,68.10,27.50,58.40,69.10
2004,127.90,38.10,87.10,103.10,29.10,73.30,58.50,107.90,57.80,23.60,9.40,21.70
2005,23.10,55.00,111.20,94.70,95.30,92.10,5.80,69.30,40.80,49.10,32.00,21.70
2006,63.90,73.30,34.60,98.90,32.30,43.70,99.40,100.10,40.80,53.00,58.40,39.50
2007,55.10,52.20,70.60,62.70,56.50,113.90,46.80,155.60,57.80,66.80,52.70,33.60
2008,63.90,77.50,85.60,36.20,156.60,159.20,127.10,63.20,103.80,44.00,73.50,82.90
2009,115.50,69.10,85.60,59.90,69.40,134.20,77.40,101.70,71.50,64.80,33.90,69.10
2010,85.30,47.90,135.20,114.20,127.50,76.50,124.20,58.50,73.20,51.00,41.40,73.00
2011,101.30,170.50,156.20,85.00,138.80,101.40,38.00,57.00,35.70,51.00,64.00,84.90
2012,17.80,69.10,45.10,72.40,53.30,93.60,83.30,107.90,108.90,104.10,43.30,15.80
2013,48.00,18.30,39.10,15.30,32.30,131.10,78.90,143.30,47.60,39.30,7.50,61.20
2014,124.30,46.50,117.20,32.00,35.50,168.60,154.90,75.50,55.00,27.50,5.70,84.90
2015,16.00,86.00,63.10,50.10,71.00,115.50,146.10,60.10,63.00,25.50,54.60,29.60
2016,63.90,59.20,99.10,18.10,27.40,26.50,86.20,24.70,59.50,19.60,35.80,21.70
2017,42.60,162.10,93.10,110.00,80.70,65.50,87.70,38.50,57.80,44.00,32.00,25.70
