Variable:,pr
Country:,Svalbard
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1902,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1903,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1904,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1905,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1906,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1907,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1908,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1909,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1910,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1911,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1912,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1913,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1914,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1915,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1916,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1917,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1918,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1919,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1920,28.48,35.41,35.95,22.13,19.73,22.86,29.18,34.84,33.53,27.91,31.69,32.92
1921,29.17,34.29,35.44,22.74,21.67,24.78,28.48,36.64,33.22,27.32,29.08,31.83
1922,28.41,36.98,34.70,24.01,19.32,22.60,28.74,34.29,37.07,27.77,29.26,31.01
1923,29.87,34.10,37.15,22.37,19.32,23.39,28.48,33.91,33.01,27.18,29.56,31.76
1924,28.54,32.85,34.99,22.92,18.53,21.88,28.10,34.54,36.40,30.37,31.44,34.01
1925,31.20,32.92,36.77,23.47,20.33,21.61,28.67,33.60,33.48,27.54,28.90,31.08
1926,27.72,33.23,35.22,22.01,18.60,22.33,27.79,35.47,34.76,28.73,29.75,33.47
1927,30.62,35.48,37.15,22.98,18.93,22.93,27.60,35.71,32.81,31.10,31.08,32.75
1928,31.38,36.23,38.19,23.01,19.00,22.93,28.80,35.22,33.38,28.00,29.32,34.70
1929,29.36,34.35,35.89,22.13,19.80,21.94,27.73,35.28,34.25,27.68,31.99,33.95
1930,28.79,37.41,37.37,22.50,19.46,22.01,28.48,33.54,33.12,28.00,29.14,33.40
1931,28.35,35.29,34.40,21.89,18.40,22.21,29.11,35.71,34.81,28.64,31.32,33.40
1932,28.79,34.16,34.55,22.13,19.46,23.26,28.48,34.84,33.12,27.96,31.87,36.67
1933,29.08,34.54,39.08,23.65,19.31,22.40,28.42,36.20,35.32,29.64,31.62,31.62
1934,29.08,34.79,37.60,22.86,21.00,22.53,27.79,34.54,36.40,29.28,32.41,34.35
1935,31.76,33.97,36.56,23.59,21.40,21.74,30.06,34.72,33.63,27.91,29.81,33.54
1936,29.43,33.42,37.22,22.50,18.86,22.40,28.80,34.66,34.35,27.91,31.69,32.75
1937,30.06,33.23,35.67,22.86,18.66,22.60,27.91,35.65,34.45,28.36,32.78,32.17
1938,29.08,34.04,36.41,24.20,18.66,22.74,29.62,36.52,35.17,29.68,31.08,32.45
1939,28.54,34.79,38.34,23.47,19.20,23.66,27.73,34.91,32.96,28.23,31.50,33.20
1940,30.31,33.23,35.81,23.04,20.20,23.06,28.29,37.39,34.40,28.55,29.87,33.67
1941,29.74,34.92,36.41,23.16,19.53,22.47,29.10,35.52,34.25,28.72,30.39,32.75
1942,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1943,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1944,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,30.39,32.75
1945,29.08,34.15,35.95,23.01,19.31,22.85,29.10,35.52,34.25,28.72,22.94,28.56
1946,24.69,24.88,29.66,17.90,19.78,19.96,21.89,26.98,28.95,27.68,23.73,28.15
1947,23.80,26.41,26.74,20.10,17.48,19.00,20.01,33.01,39.17,28.51,25.07,26.92
1948,23.54,29.75,34.38,21.09,20.00,22.86,21.06,32.17,35.84,28.49,30.26,28.11
1949,25.28,36.08,30.86,24.09,14.80,17.11,28.62,41.54,45.87,23.98,27.67,29.56
1950,28.58,28.45,39.41,18.99,22.37,19.29,21.00,41.50,34.16,30.21,24.94,36.13
1951,36.19,30.61,38.87,27.73,16.89,19.46,23.74,34.28,29.64,29.24,23.35,30.81
1952,24.48,33.37,32.51,23.37,19.21,23.45,33.85,32.09,35.98,26.00,25.62,26.85
1953,29.84,30.56,31.47,21.55,16.90,15.66,22.54,34.45,30.03,32.67,30.41,32.09
1954,27.92,30.27,32.75,23.82,18.44,22.44,29.45,31.26,33.20,24.92,23.56,26.93
1955,30.45,30.08,34.14,21.83,18.94,20.10,34.24,39.72,34.17,24.57,24.07,30.30
1956,28.90,30.88,36.39,20.32,20.83,20.01,20.22,33.07,30.89,24.75,28.22,23.34
1957,28.09,27.63,37.69,20.61,21.39,19.93,26.21,34.49,31.90,32.64,32.81,32.65
1958,34.63,30.81,28.88,19.48,16.94,23.94,40.27,27.37,40.94,29.23,33.45,32.75
1959,22.84,50.87,41.11,17.79,20.89,23.10,26.67,44.18,27.46,27.19,31.97,35.53
1960,34.00,33.46,40.47,22.46,18.66,21.18,35.08,33.40,39.86,27.81,26.09,26.57
1961,26.52,31.11,32.54,19.06,19.76,32.42,32.76,29.23,39.70,37.51,30.69,31.96
1962,24.90,32.35,27.15,21.30,14.69,18.15,25.36,31.16,40.59,30.55,27.87,31.65
1963,26.25,28.02,29.04,18.45,25.54,20.82,34.84,32.71,32.98,27.18,26.62,28.32
1964,30.79,31.66,31.96,21.43,17.40,28.12,28.37,42.62,34.57,27.53,26.60,30.93
1965,30.36,33.06,30.83,20.18,18.44,19.50,27.04,35.46,29.72,28.34,25.01,28.67
1966,42.09,17.28,25.37,20.89,14.75,36.99,28.34,38.64,18.26,23.00,53.72,50.60
1967,21.13,57.62,18.57,25.97,10.45,42.94,48.13,31.54,48.59,20.82,54.69,17.69
1968,14.71,40.34,29.17,16.80,9.68,20.73,14.24,44.52,32.22,16.96,30.37,26.60
1969,27.61,27.88,46.09,17.72,7.16,5.97,17.24,31.84,41.50,25.46,21.31,50.34
1970,33.04,13.76,18.07,9.26,16.90,34.20,29.56,36.45,33.74,19.37,15.02,30.89
1971,13.01,23.43,36.72,14.97,19.54,7.12,49.79,30.68,30.52,25.30,13.85,30.55
1972,50.63,56.83,43.32,18.73,20.21,21.63,66.38,47.02,36.03,38.12,14.32,43.08
1973,25.63,29.67,50.33,21.24,22.73,24.81,42.12,44.84,30.45,30.95,20.98,21.58
1974,27.60,24.11,53.46,24.94,19.85,38.88,40.25,41.53,28.66,30.96,26.55,36.41
1975,28.17,35.14,51.17,24.03,37.91,15.53,33.68,28.44,27.00,24.14,57.38,18.37
1976,22.79,52.73,56.05,19.35,13.05,10.79,26.76,43.26,35.18,43.79,30.11,24.96
1977,29.81,22.04,17.59,23.84,33.41,19.50,43.64,37.89,25.59,28.11,36.97,42.69
1978,36.57,21.49,51.62,21.26,23.02,14.13,13.04,35.63,26.21,33.91,50.01,35.77
1979,22.54,27.18,31.28,22.71,29.42,34.54,19.59,33.78,35.12,39.93,29.18,25.76
1980,28.63,41.43,20.83,26.62,8.75,18.06,24.99,33.40,37.33,42.85,27.17,14.97
1981,30.97,52.80,19.56,20.73,14.41,42.42,23.88,31.87,51.81,9.59,32.59,35.36
1982,34.08,31.38,26.54,51.04,14.89,13.80,26.99,27.42,25.52,17.18,31.84,50.34
1983,30.77,78.43,47.39,23.62,24.77,28.97,18.22,51.78,35.27,26.26,27.07,33.05
1984,31.63,60.67,28.35,25.47,23.97,31.08,23.86,29.44,29.90,28.16,29.99,39.28
1985,39.22,46.59,49.22,25.37,26.42,15.27,22.86,40.89,35.79,30.42,26.92,44.28
1986,37.91,20.58,59.17,21.40,13.39,27.72,26.34,29.67,15.61,26.32,22.93,21.67
1987,21.30,16.53,22.58,13.93,16.05,8.17,29.72,31.10,35.31,38.33,41.98,25.02
1988,28.44,11.41,31.22,25.70,24.34,20.31,16.71,28.69,36.32,30.61,22.60,25.77
1989,32.61,41.83,50.48,29.83,18.13,19.18,28.34,29.83,64.99,35.78,32.41,34.32
1990,20.64,14.91,33.56,40.55,20.05,14.40,10.89,34.13,35.97,29.73,23.89,48.88
1991,37.23,40.30,40.80,32.42,25.06,6.13,22.32,40.55,31.43,26.41,26.92,31.75
1992,47.17,19.01,42.25,14.20,47.03,56.42,12.22,34.16,33.05,13.10,21.50,28.37
1993,35.54,49.20,54.31,40.33,21.48,26.00,5.62,34.22,27.28,17.98,61.77,33.53
