Variable:,pr
Country:,"Solomon Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1902,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1903,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1904,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1905,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1906,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1907,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1908,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1909,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1910,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1911,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1912,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1913,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1914,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1915,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1916,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1917,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1918,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1919,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1920,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1921,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1922,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1923,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1924,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1925,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1926,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1927,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1928,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1929,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1930,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1931,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1932,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1933,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1934,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1935,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1936,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1937,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1938,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1939,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1940,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1941,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1942,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1943,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1944,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1945,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1946,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1947,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1948,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1949,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1950,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1951,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1952,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1953,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1954,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1955,340.50,337.02,361.83,264.83,219.62,178.79,239.77,221.65,210.17,215.26,214.00,275.77
1956,343.66,342.43,355.96,260.76,208.86,171.07,239.77,221.65,210.17,215.26,214.00,275.77
1957,344.37,332.09,373.79,263.15,226.87,174.48,239.77,221.65,210.17,215.26,214.00,275.77
1958,346.48,352.84,356.01,257.31,220.25,171.40,239.77,221.65,210.17,215.26,214.00,275.77
1959,357.85,340.91,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1960,340.50,337.02,361.83,264.83,219.62,177.70,239.77,221.65,210.17,215.26,214.00,275.77
1961,290.29,234.15,380.25,248.54,182.68,156.35,437.78,256.72,277.19,233.05,294.06,183.95
1962,253.07,332.38,220.60,402.80,622.06,217.20,210.50,182.00,160.15,237.08,196.17,330.97
1963,210.80,221.43,422.69,234.76,95.49,137.09,283.54,326.87,377.28,357.15,173.52,217.03
1964,282.79,174.62,408.51,239.21,234.39,125.25,213.09,124.98,92.67,276.84,197.36,168.71
1965,446.62,413.64,463.04,200.92,248.47,272.48,665.76,230.88,176.48,202.46,118.96,269.85
1966,142.47,259.60,296.08,191.54,160.96,183.37,149.35,151.57,87.99,144.58,389.68,330.75
1967,637.72,335.49,721.34,257.91,326.90,179.17,252.87,283.09,160.27,479.91,264.32,120.20
1968,528.82,397.37,253.46,267.43,92.65,168.12,332.72,215.23,274.48,211.46,210.47,207.40
1969,369.49,483.22,248.08,261.64,201.13,276.35,236.79,267.53,214.59,173.77,150.63,377.29
1970,233.30,545.67,355.18,427.43,229.89,229.69,153.83,206.80,319.76,284.74,176.88,367.07
1971,303.89,147.77,499.48,399.89,176.04,198.86,214.59,180.32,175.24,230.57,165.82,518.16
1972,931.79,302.13,444.68,318.69,299.36,437.96,256.55,225.91,250.00,138.75,93.18,238.78
1973,175.30,332.69,405.74,211.18,148.51,170.53,212.15,249.77,133.47,318.27,175.15,298.83
1974,252.18,469.62,268.04,211.24,142.95,220.95,142.07,240.75,151.64,220.50,213.62,235.93
1975,340.01,317.50,409.56,264.94,207.29,147.16,192.97,223.44,219.57,225.46,255.90,309.44
1976,406.31,394.32,339.65,355.36,254.59,159.45,245.56,245.44,152.25,207.34,193.53,285.80
1977,485.69,304.35,391.69,271.86,223.27,185.50,263.46,271.48,223.68,206.78,202.63,222.76
1978,341.73,414.09,288.28,243.00,240.78,179.11,183.27,288.71,204.81,163.25,239.33,282.13
1979,430.93,369.66,376.98,252.45,220.53,184.33,245.60,114.68,170.96,128.54,268.53,232.92
1980,259.71,547.85,450.99,67.58,155.74,128.56,189.06,230.94,435.45,129.20,241.80,178.22
1981,392.47,382.53,113.74,167.15,77.72,87.20,275.98,167.19,173.97,153.37,86.82,244.29
1982,369.62,288.09,396.42,492.92,233.47,125.53,333.55,438.07,192.26,244.28,92.33,192.79
1983,245.75,388.17,267.26,173.75,214.08,137.85,192.66,141.41,333.71,174.54,169.36,252.86
1984,135.02,238.92,419.77,287.76,193.98,126.92,129.19,120.27,150.45,266.73,344.68,337.17
1985,357.56,221.43,683.44,211.03,193.01,115.74,280.51,492.59,146.92,213.16,328.74,216.11
1986,322.67,240.74,296.76,369.06,440.56,107.91,188.44,205.93,253.61,71.14,231.71,140.28
