Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1902,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1903,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1904,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1905,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1906,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1907,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1908,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1909,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1910,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1911,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1912,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1913,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1914,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1915,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1916,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1917,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1918,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1919,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1920,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1921,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1922,6.24,4.84,11.40,45.97,177.00,307.29,268.10,271.19,344.98,219.94,44.53,9.75
1923,6.24,4.84,11.40,45.97,177.00,307.29,264.15,266.55,334.17,217.79,43.07,9.75
1924,6.24,4.84,11.40,45.97,177.00,307.29,269.40,271.97,349.48,227.61,43.43,9.79
1925,6.82,4.84,11.89,45.22,176.43,301.33,264.70,262.75,341.68,214.28,46.42,9.92
1926,6.09,4.66,10.83,45.48,178.16,303.31,275.53,277.04,341.03,225.93,43.00,9.55
1927,6.12,4.90,11.19,48.06,175.74,313.17,263.67,269.71,345.66,222.36,46.12,9.61
1928,6.51,5.05,11.43,44.33,176.98,312.80,269.11,267.12,342.93,215.01,46.43,10.47
1929,6.12,4.69,11.44,44.25,184.60,306.89,263.72,271.01,355.21,217.38,46.02,10.24
1930,6.25,4.87,10.98,44.60,176.63,309.94,258.63,271.05,352.16,221.16,43.52,10.64
1931,2.14,4.86,10.83,23.08,216.39,505.98,402.23,255.88,311.62,220.59,16.23,34.47
1932,4.63,4.53,10.99,51.19,201.94,346.73,310.65,501.53,244.99,228.87,14.38,12.35
1933,2.66,4.33,10.40,41.57,240.28,393.48,549.24,412.96,455.88,213.16,11.98,11.12
1934,6.37,4.55,11.47,24.09,179.77,279.04,204.61,198.06,358.18,221.43,24.18,5.37
1935,5.36,4.19,10.09,17.21,286.73,309.64,266.01,310.48,249.93,242.92,30.09,3.13
1936,1.84,4.95,10.85,49.73,184.44,455.51,464.03,325.44,337.74,219.84,46.93,6.19
1937,10.75,5.17,12.44,112.12,323.83,315.44,239.56,312.04,281.75,226.81,14.14,3.64
1938,7.98,5.18,10.18,37.16,143.03,291.52,232.11,241.98,407.78,214.52,40.84,3.05
1939,2.81,4.72,10.68,23.72,149.69,247.41,253.25,266.88,514.94,219.34,12.77,3.46
1940,6.47,3.95,11.39,16.94,183.71,402.39,215.54,176.92,464.10,229.58,87.47,5.57
1941,4.05,4.16,10.31,97.88,260.52,290.95,234.73,216.88,356.38,219.50,52.34,3.81
1942,1.95,4.90,11.31,47.02,134.44,253.72,347.74,319.34,314.61,203.88,40.22,24.53
1943,6.38,5.05,14.54,46.72,201.68,218.90,250.42,374.00,363.95,242.25,44.03,3.03
1944,5.44,4.12,11.97,26.98,113.12,299.52,304.72,414.98,403.89,281.60,28.86,6.78
1945,3.79,3.21,7.63,35.85,152.79,295.98,315.90,348.10,406.76,190.62,62.09,4.58
1946,2.19,5.59,5.08,28.89,50.79,158.57,192.52,184.83,242.16,125.32,24.38,3.05
1947,8.70,7.91,14.69,49.07,195.15,264.91,385.75,292.73,416.61,174.83,87.19,29.50
1948,7.84,10.32,8.04,44.81,309.65,365.36,411.71,268.14,346.00,169.22,86.64,8.03
1949,4.81,2.83,7.39,17.29,81.57,198.91,213.27,268.82,468.91,170.82,38.59,10.42
1950,7.00,5.67,22.53,12.80,188.48,390.54,261.73,172.64,280.83,280.77,23.65,4.27
1951,3.56,3.08,4.40,22.21,197.53,303.11,305.53,220.30,391.89,199.49,36.07,7.16
1952,4.95,3.86,15.59,117.61,212.90,445.55,273.65,262.53,347.47,271.23,28.90,8.00
1953,3.17,2.36,4.81,23.80,251.25,277.88,299.47,189.23,430.48,167.72,34.56,12.33
1954,8.43,3.68,8.46,68.74,305.99,474.15,269.66,226.60,515.13,312.56,25.29,5.08
1955,2.69,6.33,3.09,18.63,69.29,193.19,455.87,420.53,315.97,347.03,50.35,17.55
1956,2.48,2.51,6.18,15.22,217.39,439.70,235.33,220.36,324.28,210.14,55.71,8.33
1957,5.79,3.58,23.00,18.92,163.26,252.61,335.28,288.41,395.02,145.32,18.08,9.15
1958,3.17,1.44,22.62,11.44,184.83,420.46,477.71,260.44,289.54,218.64,42.17,5.24
1959,9.99,1.09,8.47,82.36,189.50,303.09,174.38,235.49,265.66,239.42,62.98,4.74
1960,5.64,2.76,17.87,55.85,165.80,383.31,325.81,324.89,410.04,280.28,66.35,8.20
1961,12.88,10.65,15.75,31.82,182.68,278.50,418.06,216.97,257.45,211.27,75.81,18.72
1962,9.42,1.20,15.49,88.19,197.50,350.43,306.50,280.45,312.69,302.40,15.82,6.44
1963,3.73,6.39,22.13,34.52,119.87,258.37,260.37,249.16,345.18,176.16,81.50,6.18
1964,1.71,1.88,1.59,40.65,107.64,378.18,378.66,286.40,332.73,157.35,47.34,13.12
1965,7.62,2.22,3.49,17.24,144.29,343.69,186.59,183.83,353.09,277.39,34.44,13.83
1966,10.66,7.03,34.33,66.66,248.25,519.26,330.93,292.64,274.62,213.88,27.27,5.91
1967,7.28,5.20,24.11,103.64,69.13,251.67,180.02,173.77,258.22,189.94,52.87,20.10
1968,2.93,3.47,7.45,15.17,313.89,375.42,217.72,226.86,428.41,245.30,53.34,13.17
1969,8.16,1.75,21.59,52.16,294.01,333.88,330.83,454.14,501.89,341.27,42.51,4.96
1970,5.22,5.80,5.02,59.95,137.82,266.73,516.77,328.68,478.09,233.52,40.56,9.07
1971,7.38,4.61,4.67,33.00,159.96,154.54,201.25,281.38,258.09,203.17,58.56,5.62
1972,2.82,6.84,6.34,30.54,191.57,241.17,217.05,195.50,179.21,125.87,35.36,7.21
1973,2.17,3.72,3.82,50.79,196.38,300.24,269.71,386.23,334.23,302.33,35.56,10.11
1974,3.84,2.77,7.09,17.47,196.89,370.51,152.76,236.21,547.96,254.58,23.24,2.81
1975,6.40,2.12,3.31,10.15,156.59,137.63,199.36,238.87,422.68,333.02,61.47,5.09
1976,7.02,2.55,0.65,100.13,153.11,487.86,136.09,154.41,139.42,246.80,37.69,8.34
1977,1.94,4.06,3.72,60.15,207.53,309.28,107.88,243.87,264.28,120.63,43.33,8.29
1978,8.85,4.00,22.18,42.91,208.11,245.76,289.87,257.23,327.58,171.96,42.10,12.91
1979,3.06,6.38,9.31,99.77,162.44,335.06,432.28,386.97,363.12,263.74,60.21,9.83
1980,11.55,3.46,3.88,65.57,188.32,290.03,291.04,235.68,440.09,318.94,43.19,6.66
1981,5.53,5.79,30.71,25.63,162.32,398.88,272.76,413.13,343.27,309.65,26.00,19.25
1982,13.54,8.33,13.79,66.16,315.68,311.27,172.70,141.63,403.50,146.36,18.81,5.91
1983,3.66,12.30,6.98,41.43,76.54,357.58,248.52,275.34,326.80,192.09,77.62,9.44
1984,5.98,7.42,13.44,34.71,195.08,293.77,322.96,271.07,418.01,160.03,19.65,4.99
1985,2.71,3.74,9.39,36.71,117.56,208.63,298.15,216.72,279.64,234.96,63.50,9.48
1986,5.45,7.12,9.25,10.41,239.74,189.89,173.92,208.07,273.32,147.79,35.02,7.09
1987,2.33,1.16,17.82,26.24,78.75,356.48,282.07,207.25,309.35,109.00,21.42,17.51
1988,7.36,4.86,15.71,43.12,134.47,332.92,448.96,514.51,443.22,241.53,32.52,7.97
1989,4.72,3.89,3.85,42.85,161.48,280.78,203.82,361.18,489.41,213.94,45.91,13.34
1990,3.39,4.56,9.63,54.14,171.21,268.61,201.15,241.27,310.13,117.57,111.55,12.56
1991,5.60,1.27,9.42,24.40,185.07,322.67,160.44,266.42,341.17,149.88,30.80,19.61
1992,4.48,2.04,17.73,55.30,543.95,382.76,258.67,172.57,291.77,396.77,59.11,12.56
1993,5.41,2.64,25.65,49.68,251.94,379.43,248.66,289.60,440.01,225.50,33.89,8.79
1994,7.58,4.35,8.02,32.56,168.63,155.26,124.01,188.31,438.50,152.79,38.88,8.52
1995,6.23,5.34,14.46,74.31,56.20,295.00,345.57,439.78,381.81,218.27,40.84,9.14
1996,4.85,1.99,12.06,72.40,192.31,278.92,269.29,469.72,314.00,218.51,50.82,8.77
1997,6.05,6.03,11.56,44.07,168.61,304.58,255.72,261.53,348.26,207.96,59.66,8.93
1998,6.11,3.95,9.69,42.26,171.53,295.44,265.16,271.51,335.64,256.10,55.50,9.24
1999,7.84,4.95,11.33,45.14,161.86,298.93,258.90,267.77,357.43,209.12,43.54,8.67
2000,5.35,3.95,9.24,39.96,199.69,294.68,249.99,286.35,339.94,223.99,26.32,8.96
2001,5.07,5.04,9.48,39.39,214.18,125.62,248.18,277.11,336.83,319.00,40.23,13.61
2002,4.48,4.60,10.68,38.58,195.02,386.29,257.84,177.93,291.37,150.41,24.22,12.04
2003,4.40,2.86,13.91,44.39,182.40,308.51,227.79,246.79,320.15,215.76,46.37,3.73
2004,6.00,6.47,12.56,41.47,208.46,275.27,249.07,267.46,330.14,234.01,41.53,8.57
2005,5.68,3.89,12.32,51.67,171.74,319.13,266.94,280.90,356.05,254.12,39.34,6.11
2006,6.55,6.69,9.43,46.95,181.15,487.20,273.03,270.15,338.23,225.92,51.87,20.72
2007,2.71,3.59,21.27,54.82,118.38,276.38,154.83,398.92,445.70,163.65,22.13,2.64
2008,9.55,4.79,11.56,33.80,173.25,236.77,446.19,270.24,343.76,434.03,25.05,4.15
2009,3.92,6.42,10.50,10.19,137.12,467.62,196.11,205.22,183.25,163.56,51.40,20.13
2010,4.12,6.29,2.83,53.61,204.71,250.36,290.48,300.19,422.59,193.55,39.22,3.93
2011,8.67,4.74,16.11,53.88,175.43,309.44,273.89,280.75,328.72,254.96,40.04,3.74
2012,4.61,2.60,10.57,95.84,283.53,186.55,203.03,415.52,158.16,264.00,19.11,6.54
2013,4.52,2.04,29.88,47.41,303.22,325.49,212.99,285.41,487.03,202.72,47.86,6.92
2014,12.23,2.55,14.16,18.19,175.55,301.67,127.36,302.62,220.18,257.62,53.24,5.75
2015,5.23,2.57,18.86,40.86,79.71,466.10,118.92,250.43,332.00,228.47,54.80,9.10
2016,6.02,4.38,10.86,40.39,184.42,301.18,261.15,266.82,332.07,210.14,52.33,9.60
2017,5.90,4.37,13.27,45.85,202.68,321.35,255.84,298.48,272.94,215.44,38.86,20.23
2018,5.55,4.66,12.28,34.69,222.62,299.88,151.60,264.87,320.90,232.12,18.94,7.64
2019,6.37,4.70,17.20,38.78,162.47,228.32,236.58,141.78,325.88,170.19,40.08,8.75
2020,5.33,4.21,10.85,44.88,175.60,320.10,232.46,287.38,347.58,222.16,52.61,8.39
2021,6.39,4.24,10.87,44.47,183.01,286.27,255.71,271.99,326.52,217.78,41.04,10.16
