Variable:,pr
Country:,"San Marino"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.02,56.35,137.05,35.69,57.11,78.09,64.32,52.86,149.37,160.50,43.19,121.97
1902,45.89,168.63,58.32,68.15,85.93,71.12,20.22,20.24,34.81,130.90,92.44,15.90
1903,34.15,11.39,63.53,94.91,40.36,94.88,57.72,6.13,46.07,92.25,101.52,159.24
1904,49.38,79.16,111.11,55.31,24.34,44.14,12.31,74.43,117.24,95.89,65.91,75.06
1905,48.53,77.25,78.64,58.58,143.42,95.24,78.57,45.05,66.44,157.03,275.11,21.32
1906,30.53,87.71,52.83,63.35,84.28,42.05,71.29,9.31,69.75,86.26,126.72,88.56
1907,36.08,52.08,8.70,124.59,39.35,29.31,45.54,19.23,70.37,137.46,91.56,113.93
1908,43.14,35.15,79.26,75.82,26.82,34.74,108.66,57.17,15.17,36.64,114.60,71.54
1909,33.04,55.70,152.34,26.05,45.88,75.74,33.84,47.00,105.66,71.85,109.19,83.81
1910,89.63,83.04,38.34,108.07,82.22,78.90,38.22,42.11,160.14,125.52,184.09,140.48
1911,34.08,9.79,75.05,74.46,149.65,64.71,37.24,35.11,141.52,94.31,88.64,76.97
1912,71.94,67.33,81.30,63.14,102.22,66.31,41.66,23.73,65.68,120.54,82.22,48.19
1913,45.17,20.50,39.54,90.11,42.54,101.19,80.62,39.03,102.27,74.65,131.94,65.91
1914,61.25,60.05,90.88,29.83,120.87,77.44,60.97,23.45,45.82,94.32,115.34,115.39
1915,135.97,118.80,68.59,67.09,77.57,109.97,44.23,57.22,101.22,108.46,139.98,67.31
1916,8.20,39.64,108.15,81.31,51.88,8.62,41.38,46.02,148.98,102.40,199.98,149.04
1917,160.04,33.92,117.95,96.67,47.08,27.21,35.00,21.41,46.93,175.94,115.66,66.11
1918,32.58,5.79,51.74,127.35,73.16,62.01,23.33,47.90,50.17,188.00,48.69,42.50
1919,126.62,43.41,61.81,68.51,43.21,33.30,52.77,39.20,53.11,115.64,168.23,31.04
1920,91.39,36.81,68.75,81.83,35.46,79.69,29.56,67.41,52.98,103.72,90.72,106.33
1921,31.09,58.37,48.88,109.57,74.39,75.79,32.26,36.30,10.98,25.61,65.89,58.82
1922,51.02,41.97,82.06,91.46,12.17,51.62,21.27,13.02,126.23,135.80,46.01,31.59
1923,30.34,106.34,41.55,110.52,23.34,60.10,10.15,30.53,72.73,21.92,154.60,95.65
1924,68.08,70.32,113.25,86.73,47.07,71.19,52.03,44.61,45.59,84.44,13.26,65.38
1925,18.65,98.09,60.07,82.48,70.19,50.26,33.63,32.27,61.74,45.33,165.22,34.61
1926,79.82,56.02,46.09,65.26,54.00,49.10,61.66,43.90,92.50,81.07,223.17,98.91
1927,85.80,51.34,91.21,25.28,75.90,20.72,10.13,15.11,72.71,62.52,84.60,129.74
1928,30.99,15.07,159.11,77.41,101.80,23.33,6.58,13.91,177.55,139.08,147.95,76.56
1929,93.09,64.50,8.78,66.24,35.84,30.97,11.23,65.24,15.58,88.78,157.77,77.24
1930,59.73,69.48,68.70,84.31,122.43,40.50,70.17,53.57,89.16,90.83,51.55,89.97
1931,42.38,112.25,91.44,69.47,78.58,12.64,23.04,24.42,52.59,61.99,144.80,27.39
1932,17.77,15.64,115.51,103.02,93.33,74.41,144.00,21.32,48.78,105.93,119.28,86.31
1933,67.05,70.99,30.77,57.90,81.33,82.65,24.92,7.61,115.69,80.04,160.48,114.08
1934,30.69,47.00,118.92,72.64,64.06,98.94,28.65,64.30,80.31,48.68,147.45,86.70
1935,52.28,48.44,35.41,51.73,59.10,12.21,19.08,50.14,47.08,186.15,167.48,89.28
1936,68.41,90.51,67.30,97.65,69.89,73.67,41.98,14.25,91.82,124.07,30.04,42.52
1937,76.17,43.42,143.42,97.67,47.53,88.14,62.26,106.86,188.90,121.30,144.10,153.85
1938,35.94,31.39,7.18,71.30,102.23,38.61,22.04,84.35,77.30,97.59,59.59,79.86
1939,72.91,9.79,73.37,38.56,164.27,75.85,10.94,49.41,135.49,121.56,58.05,108.80
1940,52.60,77.79,17.10,38.33,108.77,117.54,36.47,61.79,45.22,226.99,120.07,20.63
1941,87.66,136.53,41.99,98.57,116.03,63.22,25.82,25.82,50.80,110.26,137.01,41.48
1942,30.14,85.08,49.63,89.98,48.20,66.53,72.44,16.14,98.58,54.96,86.79,71.54
1943,66.71,61.84,50.73,18.70,63.96,44.96,23.78,21.07,90.03,103.79,119.38,91.50
1944,20.68,46.46,33.22,28.61,42.91,67.41,56.63,30.59,101.20,182.36,118.83,55.18
1945,57.23,17.16,22.84,48.30,34.85,12.04,15.37,45.11,37.42,42.62,79.53,73.26
1946,47.57,2.30,83.01,29.08,83.42,44.87,66.75,24.88,9.98,146.23,233.43,64.84
1947,51.89,113.75,86.47,31.25,65.12,45.69,25.43,70.36,102.44,98.41,75.51,75.35
1948,92.00,37.34,7.80,62.55,77.21,50.89,63.11,33.77,74.08,158.63,35.08,27.11
1949,44.61,3.01,40.43,27.35,81.59,74.36,11.77,21.73,47.41,143.60,238.70,47.47
1950,52.68,39.31,23.77,111.49,29.54,40.63,14.72,31.32,89.27,80.91,92.06,97.91
1951,102.36,130.85,105.95,56.88,77.28,42.97,82.38,16.07,142.93,98.86,121.60,49.24
1952,65.45,53.37,12.87,33.06,54.39,18.03,74.44,25.22,87.71,79.07,95.85,132.21
1953,66.98,39.12,4.02,90.50,89.30,88.85,53.04,43.62,69.81,133.79,27.24,52.55
1954,35.49,49.74,69.97,65.39,122.98,83.82,75.98,58.69,35.94,39.23,96.57,36.00
1955,30.19,124.43,73.32,12.68,26.89,35.30,57.67,58.06,109.06,88.91,88.47,83.12
1956,69.56,52.62,59.61,131.57,62.42,73.22,39.05,12.34,33.71,49.68,153.28,27.13
1957,51.81,75.95,29.56,95.93,119.31,38.43,43.93,38.09,39.54,69.46,46.35,48.08
1958,37.32,27.72,114.33,146.07,33.51,45.40,12.88,14.38,27.50,94.87,188.73,89.16
1959,46.32,34.94,102.57,73.78,84.14,66.20,36.17,91.75,96.92,55.68,129.17,175.51
1960,66.61,99.42,128.11,110.72,26.69,69.74,107.75,18.79,125.72,143.68,109.14,133.28
1961,81.74,16.44,9.72,126.52,56.14,61.42,61.40,21.95,44.18,159.53,121.58,91.69
1962,44.03,41.12,89.95,70.88,48.99,50.06,23.24,1.48,55.93,97.17,209.73,60.63
1963,100.20,71.32,43.64,52.94,97.87,88.74,52.13,60.85,118.15,72.92,95.95,99.87
1964,7.43,43.51,141.63,59.46,48.64,76.56,88.73,69.65,50.32,240.80,80.16,123.23
1965,66.96,12.95,60.97,95.47,87.10,64.65,10.88,70.10,141.82,5.88,196.30,64.80
1966,54.66,49.01,23.42,66.01,61.49,32.01,91.31,76.93,86.98,152.68,198.81,59.95
1967,31.82,20.38,29.55,52.57,58.77,85.68,15.39,53.21,93.55,15.65,137.02,84.08
1968,44.44,108.53,20.36,64.33,109.69,113.98,55.35,82.59,39.28,35.96,129.77,98.12
1969,66.60,128.37,76.95,78.12,63.28,63.82,50.50,67.40,75.28,19.23,132.55,88.37
1970,76.90,57.77,85.86,44.07,64.10,39.34,39.40,51.19,24.62,24.49,69.53,99.88
1971,80.09,44.21,67.36,46.38,82.52,36.39,11.07,15.71,70.05,16.24,139.47,25.36
1972,95.21,112.24,52.67,131.73,69.78,27.86,56.87,82.45,105.09,62.29,61.59,56.48
1973,106.48,60.59,30.54,94.34,19.26,64.76,40.77,68.30,186.52,74.66,53.45,37.69
1974,31.55,54.35,60.02,97.99,74.31,39.74,37.21,47.79,70.86,94.35,73.29,9.64
1975,17.40,51.12,97.49,47.35,91.88,61.59,34.24,115.81,42.78,125.21,125.56,73.80
1976,15.88,101.49,83.30,66.57,57.73,42.02,119.25,123.71,102.65,144.75,127.59,99.27
1977,72.87,71.81,67.71,37.76,70.53,37.36,53.43,101.29,80.35,43.03,110.35,57.58
1978,107.70,79.31,83.65,138.48,107.57,78.61,53.11,37.13,44.77,113.97,65.23,85.80
1979,91.71,107.45,79.40,107.86,7.34,62.33,51.64,74.81,92.68,77.87,152.10,110.57
1980,77.24,24.97,101.04,57.12,122.20,54.58,38.74,51.50,20.77,119.90,258.41,81.18
1981,38.97,32.81,79.96,49.88,82.82,89.17,54.70,44.96,187.22,80.62,13.65,130.94
1982,27.98,29.69,86.21,35.08,75.19,37.91,67.85,70.77,87.54,137.61,159.12,131.04
1983,17.20,97.01,96.93,51.77,43.70,61.61,16.89,95.12,64.90,48.59,15.35,89.77
1984,56.98,86.92,84.40,100.66,145.30,57.91,11.40,112.15,158.75,98.13,92.82,57.24
1985,74.88,40.97,124.83,30.88,66.13,34.16,40.06,49.02,1.90,50.46,121.35,58.11
1986,84.27,103.68,93.16,106.63,35.73,106.84,112.80,22.83,64.51,32.65,84.76,29.73
1987,102.56,80.50,40.77,54.85,70.82,49.86,60.27,29.24,44.67,167.57,177.42,73.03
1988,45.93,58.08,50.18,76.49,125.23,103.93,7.18,28.95,36.95,107.67,50.93,26.53
1989,4.17,35.49,44.89,116.87,47.01,62.17,141.54,92.95,120.34,16.22,75.60,31.77
1990,28.80,23.10,66.96,138.68,50.44,29.17,31.63,45.37,61.39,133.97,107.17,87.67
1991,21.57,68.06,33.61,103.77,135.56,65.55,44.10,43.19,111.77,122.43,222.20,13.65
1992,24.87,32.45,64.46,82.88,56.48,81.71,75.29,36.85,59.84,198.94,53.69,107.94
1993,4.89,2.41,65.22,81.66,25.77,41.05,28.51,40.66,105.80,162.79,129.13,68.99
1994,76.18,34.92,4.62,125.06,42.55,94.00,30.11,13.66,165.33,74.24,71.00,37.20
1995,34.49,91.67,70.72,46.22,85.03,87.06,23.67,79.35,113.89,21.38,44.59,109.59
1996,56.33,85.69,39.72,100.11,90.75,48.80,37.40,83.08,177.16,129.86,138.09,111.88
1997,73.79,39.04,33.78,87.73,37.86,98.21,57.03,35.43,22.01,40.95,156.79,109.31
1998,44.86,48.10,46.43,101.05,93.71,69.68,27.74,18.78,140.45,112.47,69.34,73.61
1999,44.02,66.21,61.72,74.32,47.70,67.45,29.70,47.34,85.73,112.01,192.61,80.27
2000,19.40,12.91,61.97,63.91,34.10,57.99,50.39,33.66,48.05,98.19,164.99,86.69
2001,87.73,45.11,95.27,90.38,59.39,32.86,45.53,20.42,127.37,53.75,113.27,39.46
2002,15.97,70.81,5.58,90.73,93.98,58.83,112.63,112.86,132.86,82.50,103.18,128.91
2003,72.87,17.51,43.69,85.25,24.19,54.81,12.27,31.01,56.92,110.18,141.87,55.42
2004,65.52,117.88,84.44,97.86,65.41,47.32,22.82,18.02,55.63,122.23,82.71,128.98
2005,33.88,49.22,42.60,83.96,60.08,30.40,53.06,97.74,90.09,137.48,179.98,109.26
2006,43.48,42.32,62.19,51.58,58.50,8.74,42.92,89.69,101.48,32.76,54.75,64.73
2007,42.78,79.65,71.18,9.10,137.40,40.81,14.34,58.93,84.71,59.21,27.53,49.70
2008,60.63,29.02,80.75,80.38,88.63,91.72,21.33,32.48,56.83,82.90,161.60,127.60
2009,71.08,74.25,89.71,72.99,28.43,85.00,17.28,21.97,52.88,75.24,89.68,109.27
2010,77.70,76.31,55.88,60.03,108.70,84.89,64.59,59.78,91.78,85.51,174.13,103.55
2011,36.57,41.97,67.93,33.74,43.94,64.46,75.58,22.78,52.71,66.74,89.01,60.02
2012,20.99,30.65,14.93,70.98,66.56,18.04,24.46,31.64,99.09,77.73,180.87,64.28
2013,85.49,79.55,140.00,62.05,87.37,35.98,27.28,47.54,52.06,107.15,128.29,34.98
2014,102.27,125.05,44.02,77.45,51.48,97.18,106.85,36.43,91.46,61.67,178.17,67.33
2015,48.01,63.51,59.93,42.42,39.73,52.13,34.08,63.68,51.88,116.48,37.14,5.35
2016,46.30,101.64,50.91,40.32,81.38,69.73,32.49,18.86,71.40,83.74,132.90,16.61
2017,52.56,73.35,37.20,38.28,22.01,33.47,8.72,10.13,89.11,10.34,84.59,102.99
2018,34.42,90.18,104.27,46.12,79.20,53.45,37.21,51.07,48.35,80.92,73.91,39.22
2019,39.13,35.21,16.77,70.17,157.88,16.58,106.09,42.92,53.21,63.50,280.07,95.10
2020,26.47,20.38,72.86,62.35,64.66,105.33,22.34,61.54,97.17,95.41,42.73,111.53
2021,66.69,33.92,26.85,63.77,88.28,23.52,44.53,29.69,45.11,45.68,130.06,88.09
