Variable:,pr
Country:,Suriname
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,122.55,139.54,323.84,312.50,364.62,292.01,217.68,180.00,87.88,64.28,121.86,189.38
1902,226.83,186.01,352.28,512.02,318.52,371.59,293.43,147.43,61.52,43.24,119.79,146.75
1903,123.99,177.73,224.39,457.43,408.75,398.89,217.79,161.15,72.28,33.89,49.57,163.28
1904,176.72,173.97,449.45,328.75,390.91,267.73,258.86,79.78,52.22,56.01,82.17,225.85
1905,156.26,186.75,157.48,397.39,354.97,348.13,292.03,107.66,48.55,52.27,98.32,218.16
1906,176.31,98.44,246.94,427.80,383.24,247.96,232.00,146.97,63.18,56.49,102.39,103.06
1907,175.66,264.19,499.13,640.40,469.31,287.10,245.16,96.77,77.03,34.45,87.88,152.93
1908,166.71,314.04,269.54,234.61,374.55,279.66,340.24,232.04,67.47,39.53,83.00,140.98
1909,142.63,262.18,292.78,287.95,422.37,313.50,241.35,201.94,39.53,51.39,66.90,132.92
1910,360.35,186.63,201.53,196.50,314.29,363.64,221.09,186.42,67.61,47.44,101.31,192.50
1911,192.64,337.25,454.13,265.84,339.23,341.16,213.97,109.48,38.60,54.37,109.64,108.64
1912,85.75,58.77,117.77,204.35,403.25,324.44,262.02,170.27,52.40,43.41,108.76,201.50
1913,305.60,96.90,196.79,124.27,187.45,349.16,260.77,123.05,61.37,42.23,71.21,295.90
1914,129.21,196.22,209.22,301.81,575.86,272.93,237.55,120.85,80.37,47.22,85.38,118.40
1915,207.59,438.18,163.75,330.56,456.38,317.12,196.94,111.21,36.96,28.50,83.63,187.95
1916,309.92,181.91,256.35,129.80,382.56,303.30,327.73,214.73,55.22,53.50,93.47,242.37
1917,289.70,157.02,349.18,192.91,286.22,246.31,255.63,190.41,83.37,40.83,97.09,152.49
1918,186.86,166.18,343.67,423.25,389.40,355.19,325.02,117.51,37.54,52.99,49.30,159.87
1919,146.03,77.05,375.65,304.25,519.37,276.31,277.18,142.99,94.82,39.55,65.33,155.07
1920,281.34,155.70,133.99,157.40,272.90,281.70,258.98,119.40,78.78,60.79,80.55,126.99
1921,177.25,77.84,173.55,312.83,159.57,383.58,304.09,150.91,99.29,69.97,124.65,207.78
1922,214.32,159.11,160.75,247.30,404.13,358.93,191.51,211.24,89.54,40.68,151.06,233.83
1923,278.43,162.11,174.40,215.93,306.49,400.04,168.24,116.70,49.70,52.80,103.75,208.31
1924,135.63,95.00,103.51,139.88,275.89,355.94,349.33,186.85,80.07,86.54,75.59,206.39
1925,130.17,156.33,307.79,118.11,280.31,278.84,233.33,181.64,62.71,24.38,37.67,120.07
1926,73.55,62.36,75.00,161.19,402.64,332.68,281.58,178.43,74.98,55.31,73.49,193.43
1927,405.21,202.86,161.75,226.09,532.85,359.68,328.33,158.08,74.82,73.96,72.15,287.10
1928,361.54,212.31,295.61,292.60,380.43,305.07,217.50,111.43,61.75,33.29,75.09,210.62
1929,121.93,115.02,168.88,289.11,413.88,300.31,286.74,113.99,89.68,64.67,150.55,156.66
1930,263.35,106.34,180.32,317.54,346.30,325.50,289.92,93.21,64.53,37.65,50.77,135.24
1931,175.76,235.14,115.09,234.71,419.88,294.87,383.43,155.16,78.30,46.22,58.64,155.64
1932,226.48,119.72,326.15,510.81,422.41,303.16,203.93,154.82,55.39,30.73,32.10,130.66
1933,209.14,118.31,258.42,171.17,407.62,343.18,260.30,189.66,53.92,83.22,172.40,269.00
1934,181.10,104.34,226.29,183.71,200.02,240.66,189.83,116.87,76.35,87.42,79.13,136.99
1935,150.94,295.86,126.74,118.55,291.92,322.22,239.77,217.25,55.28,83.15,51.91,102.01
1936,175.38,91.80,455.34,462.56,375.33,261.50,230.47,133.64,38.30,46.28,89.61,177.66
1937,218.88,63.50,143.52,270.13,494.75,391.69,285.50,148.48,46.76,55.92,70.84,171.57
1938,309.37,312.53,433.63,441.56,375.05,290.12,219.68,178.19,73.06,40.39,64.59,117.31
1939,239.79,170.40,289.91,388.21,361.99,349.03,272.20,124.93,49.53,45.99,61.77,172.68
1940,117.22,59.73,103.09,143.48,300.95,355.40,276.42,178.04,69.64,61.12,75.05,207.77
1941,271.37,87.10,145.85,220.24,403.74,386.36,250.50,181.47,73.21,101.05,73.16,205.52
1942,109.16,146.98,123.65,322.65,397.07,364.57,292.56,145.81,73.16,48.97,42.85,204.52
1943,274.12,231.67,431.83,237.13,352.52,296.75,247.48,129.32,42.96,41.80,119.45,184.26
1944,159.22,207.52,279.58,241.47,314.88,367.08,295.98,115.48,104.43,26.65,70.34,123.45
1945,243.00,249.90,196.85,189.67,418.04,445.14,232.45,170.20,43.11,46.11,90.25,160.24
1946,160.79,183.29,170.57,340.43,549.67,243.23,276.72,174.95,60.98,61.36,77.23,115.56
1947,224.05,74.92,75.04,145.79,383.55,354.17,280.19,99.42,89.47,100.34,106.12,133.37
1948,202.43,180.90,356.21,481.63,430.34,323.83,228.24,117.99,81.98,55.89,98.04,186.00
1949,346.56,273.71,286.77,368.05,414.06,238.39,249.59,206.35,94.37,65.31,122.21,238.31
1950,333.98,134.35,128.08,190.16,418.17,357.29,252.43,209.99,45.50,38.35,105.70,143.86
1951,302.68,282.81,222.64,225.74,400.37,377.75,262.08,152.50,81.67,83.76,33.95,138.52
1952,204.04,157.71,82.30,156.57,413.73,367.29,274.80,177.62,83.10,39.06,119.41,165.25
1953,310.47,311.27,414.88,260.49,436.62,247.33,191.34,119.84,87.09,23.61,63.20,139.07
1954,284.87,186.86,200.78,530.59,394.54,304.75,278.99,219.58,61.16,66.83,134.04,197.22
1955,172.50,192.48,384.04,302.10,421.30,249.03,314.38,137.45,88.23,53.71,77.26,229.01
1956,238.86,183.27,348.97,260.52,449.19,330.41,251.04,164.92,107.41,63.82,90.46,226.44
1957,170.20,164.64,116.90,146.76,300.56,291.23,209.34,89.19,29.57,33.14,65.19,164.29
1958,145.79,152.93,227.48,522.59,370.39,288.64,165.00,137.41,48.81,63.61,34.04,100.45
1959,130.93,117.88,154.50,290.29,282.82,331.57,311.02,147.12,57.97,58.66,110.73,130.93
1960,143.94,316.08,69.84,318.61,413.18,328.53,266.27,156.95,50.20,40.45,109.22,131.35
1961,168.16,81.40,59.96,64.09,211.69,360.12,268.06,151.12,74.22,46.59,97.09,177.29
1962,153.15,119.96,132.27,153.52,359.83,338.19,202.98,130.19,29.69,49.92,99.33,157.54
1963,286.20,341.06,196.04,217.98,392.24,360.49,248.45,103.95,36.86,17.52,75.42,129.54
1964,63.73,76.77,118.91,77.19,191.36,332.48,240.01,135.59,50.38,61.95,58.58,217.19
1965,245.82,139.72,136.46,122.80,343.32,279.85,193.57,136.96,43.77,30.13,71.28,127.49
1966,156.69,118.42,220.03,163.11,282.01,355.92,300.87,212.78,85.43,52.10,101.54,152.00
1967,312.73,142.20,173.27,261.86,429.12,386.48,251.70,146.41,69.80,29.36,91.73,145.33
1968,273.92,283.24,233.19,316.80,316.97,426.22,261.26,104.96,104.51,66.67,177.17,147.81
1969,227.08,216.36,156.63,336.20,496.79,277.18,146.72,176.58,46.71,55.44,29.59,84.18
1970,305.75,209.71,273.43,346.58,477.94,325.08,238.66,246.60,104.98,44.52,126.36,178.57
1971,341.51,278.34,264.64,299.48,481.65,350.26,305.57,210.49,60.69,75.28,61.15,83.86
1972,309.99,182.03,333.46,387.76,388.91,238.09,241.64,135.71,81.49,39.90,111.37,152.49
