Variable:,pr
Country:,Slovakia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.62,23.57,72.22,62.25,49.93,96.21,112.27,84.10,75.22,59.73,50.74,58.32
1902,39.70,68.20,53.46,44.54,103.19,125.53,120.71,71.39,44.31,114.94,6.80,61.76
1903,35.21,29.74,30.35,104.02,44.55,121.38,158.10,77.18,63.32,63.85,99.00,64.81
1904,16.63,63.17,44.57,50.74,71.41,57.44,23.47,64.15,98.86,97.90,60.55,52.88
1905,26.31,22.68,44.41,60.72,93.55,102.54,61.46,82.86,72.71,98.75,105.57,27.80
1906,28.58,31.98,80.26,38.11,78.62,127.13,145.64,79.14,139.52,19.69,52.42,88.83
1907,63.64,18.24,37.09,89.78,51.97,94.17,129.18,53.42,38.59,26.11,33.20,84.63
1908,31.08,55.10,49.51,73.95,77.81,64.89,120.35,87.53,34.94,8.55,35.52,44.04
1909,29.90,55.46,60.81,43.95,111.63,98.30,106.14,83.13,71.43,35.78,40.33,89.98
1910,57.52,45.34,15.66,66.19,123.73,109.09,92.54,80.64,123.23,27.98,116.26,58.83
1911,31.52,42.08,36.03,45.32,138.00,55.46,39.16,70.61,63.64,61.59,41.28,65.29
1912,38.33,52.95,75.70,78.10,100.02,113.72,100.43,93.93,115.03,83.67,52.40,36.83
1913,34.05,11.10,31.36,60.58,90.28,83.17,147.69,115.12,90.82,32.10,66.61,59.14
1914,16.80,10.32,69.09,27.03,99.53,106.86,191.53,48.60,115.62,60.16,15.88,72.80
1915,87.72,31.53,69.72,45.66,52.88,122.72,123.66,111.58,115.51,116.53,61.80,66.53
1916,56.78,52.28,66.87,110.72,66.72,112.46,91.35,69.30,90.09,53.99,49.25,80.75
1917,63.79,22.67,51.11,73.46,27.31,35.47,73.35,48.09,27.05,75.03,55.43,67.15
1918,23.33,28.78,16.48,51.89,47.17,96.83,112.17,166.01,64.44,120.81,48.57,83.73
1919,44.97,33.07,66.86,80.43,97.34,78.06,96.19,49.90,56.88,73.36,108.24,63.98
1920,68.75,29.33,31.60,56.52,87.04,115.81,157.29,91.80,75.17,30.09,13.66,87.56
1921,52.10,57.17,6.15,83.51,64.08,73.38,53.80,61.96,26.35,41.90,56.74,36.69
1922,80.43,35.59,60.27,71.47,38.74,70.48,72.03,62.65,144.81,127.30,45.56,38.84
1923,54.49,49.38,44.12,67.85,31.31,94.95,49.07,48.72,49.79,97.58,98.85,82.49
1924,27.03,54.60,44.24,78.44,114.28,157.61,72.29,73.86,58.80,26.41,26.79,13.61
1925,16.23,33.93,39.73,60.63,96.85,126.82,167.93,110.30,66.59,45.67,93.99,53.18
1926,39.91,39.37,45.86,41.01,81.81,185.93,151.85,74.23,38.15,114.07,32.67,56.82
1927,59.20,13.78,65.62,79.01,53.26,85.24,108.01,103.77,88.00,31.68,61.62,34.77
1928,29.65,43.29,31.69,53.42,97.29,77.59,27.36,60.83,86.80,30.76,60.94,56.61
1929,57.78,35.36,14.04,54.50,90.30,93.90,73.84,95.15,26.55,76.28,61.85,40.53
1930,24.57,53.34,49.08,94.75,56.77,39.46,75.16,114.84,80.33,137.58,78.94,82.25
1931,38.05,53.95,53.53,61.49,42.63,73.15,77.40,131.48,97.00,62.73,43.02,35.63
1932,29.71,16.50,35.86,41.75,101.47,49.71,106.57,69.35,20.93,78.49,30.07,21.76
1933,27.09,48.29,30.42,32.19,99.32,119.34,89.39,80.36,50.27,94.82,93.78,49.34
1934,18.45,30.99,20.67,37.17,51.71,119.31,86.25,89.48,78.13,64.70,61.24,56.73
1935,34.33,69.30,44.20,82.45,86.79,43.45,46.55,85.90,52.76,85.05,42.84,84.05
1936,54.92,86.09,36.81,53.98,115.83,83.81,118.71,79.48,69.84,140.25,31.03,31.87
1937,47.85,39.79,83.10,82.13,70.90,117.02,97.30,136.82,103.25,28.59,94.23,87.90
1938,52.44,19.32,32.41,49.00,111.95,61.28,109.10,166.78,39.66,68.76,33.32,55.62
1939,37.34,21.03,74.65,22.78,164.43,93.96,85.05,83.06,64.92,140.12,78.20,43.20
1940,40.70,46.80,37.22,33.66,152.16,138.86,138.36,128.30,61.40,83.50,51.61,31.84
1941,56.34,53.14,86.75,96.52,77.83,88.83,109.41,72.12,41.20,86.42,78.51,48.14
1942,41.92,44.62,20.76,86.37,109.23,86.24,99.29,50.53,19.48,45.30,45.20,23.91
1943,33.78,37.86,26.18,42.26,59.94,114.99,125.13,40.24,50.91,11.60,67.96,54.77
1944,41.97,46.81,72.52,27.86,94.17,130.90,106.54,64.42,37.63,127.94,94.84,53.36
1945,67.43,38.06,28.53,53.84,78.86,70.57,67.52,75.00,62.81,56.40,84.41,43.88
1946,23.55,65.64,32.33,8.72,76.66,106.91,104.84,69.22,16.02,70.29,81.29,61.88
1947,33.21,96.72,45.36,43.58,23.64,67.03,86.54,42.82,17.67,16.89,81.41,89.39
1948,85.07,74.43,20.53,51.43,46.83,139.08,131.43,63.56,39.54,63.64,22.88,27.25
1949,27.81,11.77,23.29,34.44,103.43,81.57,100.93,91.56,47.76,28.08,136.24,59.59
1950,56.63,35.95,11.08,77.24,47.05,35.69,73.51,64.55,97.88,120.92,89.05,72.81
1951,39.97,43.33,83.08,50.46,117.54,118.70,71.18,81.00,68.47,2.68,62.14,45.40
1952,73.00,85.59,57.09,23.64,75.48,74.88,33.58,52.72,102.33,107.18,98.94,70.37
1953,65.52,26.72,19.34,58.33,67.96,127.97,109.51,74.61,45.70,37.65,28.17,13.72
1954,40.15,12.21,35.43,66.28,79.18,108.67,122.35,52.26,47.56,36.98,43.71,97.44
1955,47.33,57.97,33.96,58.33,51.18,76.88,128.27,145.26,51.91,95.71,27.21,55.68
1956,19.98,48.89,39.98,46.38,50.65,113.41,68.05,63.11,22.31,62.65,64.38,42.18
1957,27.33,65.25,39.53,50.79,68.64,74.96,161.11,75.06,68.10,28.22,29.33,38.81
1958,43.35,48.67,59.11,48.17,38.32,173.10,85.19,101.79,44.69,67.20,58.04,65.88
1959,46.37,8.53,25.22,64.41,74.66,137.24,151.48,52.14,11.88,15.20,34.81,99.78
1960,38.45,28.15,40.93,57.84,72.38,122.50,179.24,101.45,47.93,72.00,71.74,57.06
1961,25.84,39.72,25.10,30.44,79.62,90.97,92.12,38.73,14.85,41.38,95.01,64.03
1962,35.53,49.45,59.41,56.20,93.79,70.43,91.68,39.79,42.17,23.50,146.20,49.54
1963,53.76,51.27,38.45,37.33,72.88,79.03,62.57,111.13,87.92,58.44,39.65,26.42
1964,6.10,39.11,61.33,44.43,49.17,104.18,66.04,95.77,53.55,128.39,53.53,66.62
1965,50.64,30.13,52.07,77.26,106.02,161.40,141.62,99.91,65.58,9.52,88.59,65.16
1966,36.53,70.45,40.31,65.37,94.13,108.34,150.48,114.10,31.72,70.34,92.35,73.18
1967,44.28,39.72,44.14,71.70,74.07,90.40,61.84,53.14,72.35,48.85,32.68,54.58
1968,50.88,27.27,25.13,44.23,63.57,83.64,116.74,104.79,82.25,34.43,67.00,44.82
1969,28.97,82.13,44.14,24.37,51.95,127.36,65.72,116.21,15.31,25.65,61.87,60.69
1970,49.67,70.97,54.40,73.12,66.18,112.96,143.27,112.94,36.44,43.32,68.01,67.33
1971,29.91,30.37,34.19,42.04,70.77,96.79,81.73,79.72,48.40,20.95,55.84,35.71
1972,37.47,26.93,18.84,94.32,120.78,97.41,138.22,124.31,58.79,23.64,47.23,6.20
1973,31.80,51.39,17.01,64.39,30.38,142.77,92.25,32.63,56.38,32.79,39.38,31.04
1974,52.01,42.18,4.82,27.52,93.77,136.01,91.04,89.67,69.36,173.47,43.18,71.83
1975,20.31,12.63,57.79,56.48,89.59,130.91,128.21,84.85,40.13,75.96,23.92,47.61
1976,82.74,6.72,27.60,41.19,88.36,39.92,77.44,53.22,118.59,59.40,64.05,88.23
1977,74.77,93.23,65.73,60.93,47.55,62.23,96.23,97.14,53.87,17.23,59.29,34.94
1978,22.38,30.65,30.61,74.58,117.51,86.26,80.50,91.94,49.74,38.60,31.61,38.77
1979,83.16,38.89,60.28,72.76,42.28,107.90,69.18,85.16,38.02,35.35,93.78,57.72
1980,29.16,27.27,41.13,71.22,51.73,113.32,123.30,76.01,52.78,116.48,94.24,37.46
1981,30.72,20.78,48.86,18.20,67.69,108.83,91.03,68.83,76.52,59.86,51.75,95.76
1982,46.64,12.99,24.53,29.23,53.78,90.02,112.79,55.35,47.24,40.53,36.62,94.48
1983,46.17,59.27,56.59,42.61,72.85,88.60,60.84,50.60,58.99,42.71,30.41,22.38
1984,45.58,35.30,36.02,32.70,125.08,74.35,60.07,68.67,118.94,48.90,50.62,28.56
1985,26.11,36.68,51.81,50.67,102.23,114.99,81.48,145.53,21.67,29.83,94.07,55.04
1986,59.28,36.09,23.95,32.09,72.31,92.58,53.15,98.74,14.97,35.46,18.85,58.45
1987,65.96,29.50,56.19,53.91,132.06,80.32,56.06,64.37,61.94,32.22,61.01,60.59
1988,40.12,65.38,61.42,29.32,61.88,81.23,65.10,108.94,78.59,18.61,30.24,67.47
1989,16.48,29.28,39.58,85.53,90.22,145.67,89.08,92.96,38.53,31.10,42.97,15.92
1990,17.71,43.01,21.85,92.96,60.58,74.27,68.08,44.46,94.99,65.38,67.58,48.03
1991,8.48,39.94,19.19,45.71,86.34,83.91,116.59,78.05,39.56,74.20,88.55,49.17
1992,26.17,25.87,53.39,46.04,36.28,84.60,67.57,18.71,71.19,101.06,52.84,58.35
1993,28.71,23.85,36.46,26.52,46.35,72.74,85.21,57.89,50.37,75.40,50.78,68.97
1994,47.76,15.66,49.58,106.29,99.59,58.54,43.53,88.52,70.48,86.74,37.78,35.83
1995,32.35,52.64,58.67,70.92,81.49,130.73,49.87,101.88,87.91,6.80,52.65,59.94
1996,45.01,30.64,27.10,71.26,122.17,69.86,76.74,121.38,113.24,46.43,36.96,36.66
1997,22.00,24.71,25.10,45.13,78.43,89.81,171.50,58.58,38.29,38.63,82.15,45.18
