Variable:,pr
Country:,Slovenia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,42.74,79.34,191.60,100.03,89.96,183.65,97.85,151.09,264.21,112.34,105.70,191.59
1902,68.96,195.71,94.11,71.99,186.26,147.79,162.82,76.10,80.70,234.77,44.69,50.30
1903,86.87,29.48,71.91,159.26,95.10,126.01,194.97,89.29,134.83,203.39,203.97,240.72
1904,62.53,194.30,130.91,93.02,120.14,153.57,59.90,199.94,164.46,161.00,91.47,100.52
1905,34.58,102.91,101.92,98.48,160.72,118.36,101.64,177.26,136.22,235.79,351.64,19.19
1906,83.55,96.88,98.02,106.26,125.38,133.40,147.98,110.84,153.06,111.70,210.47,197.22
1907,83.05,51.77,12.22,203.54,130.78,100.06,134.12,89.40,112.59,285.19,58.74,172.83
1908,28.83,67.89,90.44,219.07,38.75,69.27,106.78,211.75,63.06,58.51,57.32,91.86
1909,67.44,56.45,159.97,61.35,84.64,134.14,128.43,200.93,133.31,152.13,88.66,233.89
1910,203.02,132.62,51.29,98.54,149.65,196.42,177.49,122.87,173.97,113.94,288.17,119.55
1911,43.95,10.58,117.80,75.96,143.27,192.54,58.35,60.37,147.50,198.82,106.14,159.61
1912,65.91,117.48,144.90,108.67,123.66,136.10,95.34,161.41,213.63,192.34,126.87,67.62
1913,51.31,22.92,61.29,115.56,97.78,133.97,252.90,155.59,172.28,81.24,168.46,122.57
1914,53.89,56.39,160.74,91.17,220.74,135.49,219.01,104.34,154.63,94.49,87.54,178.98
1915,186.13,188.40,76.46,78.90,94.10,123.85,190.61,210.40,137.07,235.69,171.86,147.80
1916,11.83,112.87,215.85,169.20,103.04,107.02,108.26,108.16,306.82,135.63,230.61,228.52
1917,214.21,29.05,164.32,136.14,46.28,38.96,139.73,99.05,64.99,344.87,183.81,82.98
1918,58.80,18.05,67.51,130.23,116.35,177.26,111.11,202.38,148.00,252.29,46.76,117.26
1919,145.48,56.62,130.44,201.72,35.98,209.29,226.65,110.22,148.70,178.20,256.87,37.22
1920,100.24,12.28,65.00,123.84,103.00,208.86,112.45,132.43,138.27,44.50,30.44,164.32
1921,45.26,58.25,25.34,180.50,125.42,141.23,56.53,98.75,23.68,90.22,69.72,36.77
1922,84.23,53.34,152.45,229.66,80.85,118.06,70.04,67.03,264.97,234.76,83.81,65.17
1923,65.91,73.58,61.56,200.16,65.49,225.22,86.01,133.44,127.47,116.34,308.01,140.66
1924,96.52,66.28,89.66,113.24,136.75,179.02,165.52,190.03,123.22,86.24,5.05,100.58
1925,20.67,137.74,104.85,181.56,154.24,195.02,94.14,165.52,205.63,73.83,266.31,84.54
1926,71.28,70.09,53.21,115.72,132.06,185.12,240.39,178.62,192.15,263.15,199.20,80.67
1927,135.82,35.70,163.92,107.75,127.89,131.91,74.62,138.36,223.01,72.54,188.54,93.25
1928,49.75,23.58,159.10,105.91,188.77,97.64,64.25,134.04,212.67,150.81,158.67,88.56
1929,91.76,52.63,8.15,121.71,93.42,171.47,72.72,124.88,51.37,189.02,209.54,93.92
1930,67.15,58.07,123.67,135.93,148.22,48.26,162.41,169.78,208.50,262.10,98.14,113.42
1931,83.74,137.84,129.69,123.24,66.07,123.59,99.94,137.98,127.12,144.35,199.84,59.63
1932,60.45,31.17,99.48,123.72,167.11,108.70,118.85,44.93,98.46,242.06,117.87,64.29
