Variable:,pr
Country:,"Turks and Caicos Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1902,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1903,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1904,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1905,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1906,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1907,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1908,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1909,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1910,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1911,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1912,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1913,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1914,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1915,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1916,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1917,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1918,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1919,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1920,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1921,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1922,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1923,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1924,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1925,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1926,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1927,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1928,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1929,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1930,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1931,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1932,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1933,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1934,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1935,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1936,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1937,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1938,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1939,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1940,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1941,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1942,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
1943,54.60,43.40,36.60,43.90,48.30,45.80,35.80,48.20,73.30,93.80,120.80,95.90
