Variable:,pr
Country:,Tajikistan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,49.79,10.75,45.41,50.41,109.99,91.84,8.28,5.05,10.53,81.46,69.79,20.60
1902,91.65,36.29,92.27,111.26,68.41,33.14,15.86,2.72,5.75,64.60,195.47,65.56
1903,92.76,89.97,71.16,45.57,170.71,65.31,44.61,16.49,13.69,7.16,36.32,26.19
1904,68.38,12.96,71.39,79.41,126.69,20.10,16.38,9.30,38.38,42.11,47.59,69.54
1905,102.29,17.17,61.66,77.77,104.78,62.76,9.59,10.34,4.00,17.19,30.94,74.19
1906,43.76,71.31,66.46,101.61,75.69,66.20,57.73,11.76,4.05,5.85,15.07,82.40
1907,106.21,30.67,76.60,81.13,115.08,56.56,21.85,17.87,11.79,54.09,53.58,27.08
1908,130.15,108.28,106.05,97.36,71.27,53.26,2.50,8.33,19.69,24.83,21.98,58.32
1909,103.52,53.04,74.47,87.31,54.83,29.27,28.39,3.84,4.52,26.58,23.75,8.81
1910,75.54,77.74,180.73,76.72,71.42,53.23,25.27,14.58,2.49,12.25,11.10,51.38
1911,57.54,70.24,73.49,81.05,96.73,25.71,12.95,2.31,5.54,58.79,55.07,63.85
1912,71.67,101.02,89.79,47.59,102.01,22.43,16.14,2.89,24.02,8.73,21.54,72.54
1913,80.75,63.99,47.32,123.86,68.21,15.03,1.71,4.35,6.11,43.49,63.49,47.67
1914,74.28,58.31,65.80,68.60,84.12,37.26,2.79,6.07,2.18,69.92,102.64,32.27
1915,8.56,55.10,90.28,116.91,24.43,20.31,36.52,3.95,1.50,11.49,18.41,38.95
1916,47.84,46.52,95.81,51.70,43.36,20.45,2.95,2.24,6.67,22.42,16.47,27.30
1917,14.46,40.54,20.73,4.62,25.98,13.34,3.59,7.03,2.46,20.52,13.83,26.33
1918,44.45,68.07,79.93,71.09,78.59,9.78,29.43,3.69,3.98,17.68,71.49,81.33
1919,51.43,80.22,134.78,65.13,79.26,23.30,9.54,3.89,6.11,12.08,22.67,47.74
1920,72.19,89.61,108.37,74.61,98.72,55.97,19.12,7.72,28.28,43.46,108.06,58.22
1921,39.51,65.99,113.10,160.10,87.68,81.00,7.86,19.75,6.93,34.96,53.36,109.31
1922,64.40,99.73,90.95,79.86,139.71,30.28,27.48,4.22,5.84,27.48,41.98,38.90
1923,55.24,117.92,137.22,96.47,84.51,54.98,12.93,6.35,5.13,53.42,37.27,43.59
1924,52.78,70.06,106.38,78.97,108.33,35.42,11.85,8.48,13.60,30.16,55.67,142.57
1925,64.70,20.35,61.29,122.35,43.37,5.04,13.77,6.26,3.18,39.22,34.02,23.08
1926,48.31,46.72,78.84,71.29,47.69,63.95,48.45,7.17,10.23,7.09,42.82,38.60
1927,57.77,29.83,71.92,52.17,70.35,13.51,11.51,3.23,7.45,6.45,55.85,109.02
1928,65.64,64.92,84.57,81.55,73.72,53.51,33.55,19.47,9.38,17.97,132.96,86.36
1929,74.50,98.78,86.07,46.78,48.99,31.96,11.15,8.48,14.89,12.75,65.78,71.97
1930,52.66,115.28,45.04,98.34,78.31,42.64,8.14,13.58,13.70,33.15,25.54,56.06
1931,84.62,52.73,63.26,102.87,136.83,65.33,53.20,10.33,3.08,10.11,114.69,80.57
1932,134.16,46.48,51.75,66.64,76.42,43.07,12.39,14.82,1.98,43.11,58.87,66.13
1933,60.93,38.77,116.54,64.44,41.64,49.83,10.09,5.50,2.72,10.64,55.28,167.26
1934,43.03,129.07,54.12,114.19,104.93,33.95,10.13,8.76,7.86,14.04,28.50,78.80
1935,54.23,62.01,87.08,60.41,65.86,66.51,19.80,4.62,4.28,35.96,136.99,44.12
1936,13.48,49.10,62.22,70.01,61.50,28.09,21.91,14.51,11.80,18.91,42.22,74.50
1937,69.07,40.77,46.08,117.08,97.70,20.15,11.15,1.60,11.50,40.72,58.42,28.63
1938,107.29,94.12,97.08,59.10,35.39,27.32,22.25,4.58,10.36,4.02,37.17,61.86
1939,81.48,64.91,62.42,46.15,42.73,30.99,19.20,5.98,2.71,39.48,60.04,33.69
1940,51.39,47.25,63.99,43.87,79.45,41.98,23.71,6.48,9.08,79.56,14.15,67.58
1941,73.07,83.10,113.05,116.90,49.40,21.10,5.37,3.84,7.75,7.73,51.26,107.91
1942,85.35,81.33,113.92,80.89,103.12,78.71,13.43,2.66,3.98,34.49,106.58,25.45
1943,42.64,63.73,145.86,67.02,101.35,15.69,6.87,7.48,7.17,52.68,47.96,77.05
1944,39.23,55.27,43.45,92.38,49.59,25.91,1.06,0.41,14.65,75.65,69.62,42.92
1945,49.86,77.84,150.40,51.14,83.56,49.51,8.02,14.00,4.79,20.17,100.97,43.58
1946,63.79,80.84,74.96,70.11,36.73,24.29,7.44,6.03,3.66,13.25,22.15,56.42
1947,64.90,55.02,37.11,71.65,69.69,22.36,6.88,1.60,5.54,25.50,77.72,38.03
1948,37.57,52.43,103.64,135.25,77.76,49.51,6.99,9.46,5.50,19.04,35.06,106.85
1949,80.35,59.62,119.32,118.43,105.77,66.63,9.06,31.13,2.00,14.57,33.05,58.27
1950,106.98,33.09,61.86,62.03,62.22,23.20,3.88,17.71,4.15,23.99,50.94,17.85
1951,82.06,87.46,58.14,52.50,95.94,29.23,19.57,1.15,2.76,103.90,65.99,52.69
1952,61.46,107.54,117.35,110.54,84.54,30.19,15.43,12.73,11.98,5.84,54.06,45.56
1953,55.76,93.74,194.72,91.88,94.75,53.39,8.00,15.72,8.64,78.64,137.35,127.12
1954,109.24,81.72,86.52,85.68,64.36,43.08,41.01,16.63,5.55,20.56,62.54,44.62
1955,11.66,45.61,181.77,47.41,100.12,45.44,23.35,2.69,4.17,12.40,47.78,87.71
1956,41.44,112.16,116.03,101.51,37.63,15.93,5.84,9.36,5.36,16.07,9.19,61.92
1957,91.58,69.03,84.76,70.21,73.49,53.08,27.02,6.62,5.47,49.83,86.76,96.11
1958,96.78,44.54,94.15,184.72,100.90,26.23,10.71,12.31,13.10,31.48,47.38,121.45
1959,36.85,86.74,131.67,69.87,114.47,20.55,12.69,4.08,0.23,11.76,79.16,61.16
1960,40.97,82.65,110.14,87.34,133.34,18.91,6.56,0.80,18.01,16.14,125.43,19.86
1961,56.06,43.10,89.84,92.48,60.85,11.92,3.50,19.18,1.71,16.64,61.82,49.53
1962,35.93,65.71,45.98,137.27,75.81,26.45,15.79,14.17,11.69,37.30,90.54,49.74
1963,8.33,74.02,90.86,101.98,111.23,32.72,15.38,1.70,6.26,18.74,78.15,54.25
1964,59.57,111.11,98.25,167.48,75.00,28.28,30.77,6.14,6.39,11.03,33.00,53.52
1965,88.66,96.71,81.62,68.09,62.57,21.08,32.85,36.38,8.01,47.80,103.49,27.15
1966,41.62,115.67,184.35,80.52,87.16,7.01,19.04,11.90,21.79,90.14,10.75,67.99
1967,44.00,99.72,54.33,72.51,116.82,47.21,10.83,2.48,6.24,62.82,69.03,58.08
1968,50.40,27.56,113.93,95.08,98.01,39.77,17.66,14.41,1.88,35.94,39.50,167.74
1969,150.62,76.64,189.28,137.27,112.64,56.22,41.61,6.60,14.52,85.11,68.66,42.39
1970,60.24,34.96,75.32,115.45,57.09,17.34,50.98,4.60,11.23,21.08,28.31,75.42
1971,19.45,69.30,50.38,96.80,43.13,16.14,6.03,1.95,13.56,9.64,35.37,42.12
1972,97.02,74.63,134.68,72.82,122.93,46.59,16.67,7.75,8.24,26.37,38.82,70.84
1973,62.46,94.93,181.55,91.93,102.96,10.23,5.27,1.72,6.18,6.14,20.41,18.15
1974,78.59,64.64,70.29,89.85,76.37,41.10,22.98,21.71,12.86,21.27,34.30,70.53
1975,53.41,61.84,82.44,88.54,89.45,21.10,7.72,8.39,8.36,23.93,51.01,60.84
1976,82.85,103.35,86.50,109.51,72.43,33.41,6.90,7.76,3.39,93.71,18.07,29.75
1977,116.09,26.82,65.95,54.02,97.08,27.87,3.63,6.43,3.02,109.33,67.96,106.20
1978,65.87,51.78,86.03,73.41,104.52,17.77,6.20,1.55,0.91,21.17,101.94,87.33
1979,68.61,51.14,62.83,156.00,88.94,20.84,3.60,30.69,8.65,11.70,30.69,58.55
1980,68.95,117.47,92.24,88.21,81.29,23.30,14.58,18.47,4.22,23.54,78.54,23.60
1981,68.50,132.11,81.68,113.14,88.20,33.20,39.44,17.68,12.52,55.15,50.60,49.62
1982,40.27,58.87,104.23,35.28,53.03,54.10,14.49,8.57,11.53,86.14,118.25,39.60
1983,66.90,27.41,90.66,94.07,67.07,39.57,35.05,6.04,19.80,7.59,31.48,35.86
1984,27.00,78.16,147.67,94.00,77.56,8.70,7.97,5.41,5.23,34.37,97.85,71.73
1985,76.22,57.81,108.37,59.03,83.99,37.19,12.84,9.05,5.40,46.26,28.03,82.88
1986,29.24,27.68,81.97,66.55,75.17,38.26,24.79,12.17,16.28,22.42,83.58,133.78
1987,31.33,61.99,157.46,164.82,63.20,46.16,46.07,16.04,8.16,159.45,33.41,70.71
1988,99.85,70.39,134.96,75.59,80.81,18.11,11.74,13.27,3.76,36.99,9.69,99.85
1989,48.77,70.62,69.88,56.48,73.40,32.98,25.67,17.04,12.58,19.15,80.31,79.50
1990,105.29,74.61,84.85,92.52,51.88,36.09,19.46,17.70,0.69,38.62,28.04,91.14
1991,102.74,70.78,116.75,68.47,123.01,37.47,18.36,18.36,22.32,31.37,42.89,147.24
1992,94.08,86.13,79.88,82.65,90.64,44.59,22.02,14.63,15.46,11.95,33.00,92.58
1993,38.63,106.56,115.72,82.83,160.38,51.05,22.65,13.37,5.22,40.63,121.96,84.63
1994,63.90,77.15,77.27,78.21,58.22,27.93,5.11,4.48,17.43,40.56,86.53,95.70
1995,49.12,80.39,73.12,80.23,65.47,42.84,20.14,4.12,9.62,36.93,12.20,44.80
1996,35.32,96.62,150.07,124.03,59.78,36.49,13.46,5.47,9.90,37.80,32.42,20.08
1997,52.27,56.95,84.70,89.66,110.86,49.69,10.24,11.86,4.05,15.39,49.03,57.47
1998,100.85,151.64,104.17,160.06,171.03,67.71,17.99,14.75,6.64,20.60,48.47,56.00
1999,53.70,66.39,144.45,122.74,68.30,32.68,59.27,13.13,15.38,26.39,148.22,23.04
2000,73.81,46.95,48.45,64.20,26.42,32.09,20.27,13.47,24.26,94.50,66.04,66.92
2001,47.79,55.73,62.02,45.63,25.67,29.72,19.66,32.07,5.54,48.42,88.74,110.15
2002,76.31,86.95,74.54,114.63,110.37,55.61,23.11,8.48,14.49,15.57,46.56,139.73
2003,28.23,97.83,147.72,151.66,100.95,59.69,13.78,19.76,9.62,36.28,98.34,88.51
2004,93.37,45.06,129.22,85.66,66.52,29.18,26.29,13.64,3.50,44.21,84.19,132.66
2005,65.67,93.21,105.02,84.63,126.90,50.32,13.73,13.00,3.93,28.40,52.60,44.86
2006,135.25,84.96,59.98,74.90,56.88,19.63,21.50,9.68,6.82,37.74,69.99,84.01
2007,39.05,59.14,145.30,84.29,73.36,23.97,39.43,15.77,2.95,20.63,26.70,90.54
2008,70.02,82.62,30.04,77.35,50.07,13.70,18.26,9.77,9.68,60.54,57.95,95.36
2009,62.26,103.75,81.61,108.76,139.48,40.90,13.02,7.45,8.01,10.40,67.30,112.41
2010,52.78,144.12,100.49,71.60,137.27,70.32,26.19,22.68,15.70,34.65,28.30,12.60
2011,35.22,133.69,86.86,34.97,58.36,35.21,12.50,26.63,4.90,59.65,125.57,58.95
2012,57.95,90.92,129.60,83.87,87.09,32.88,8.41,4.62,6.43,15.21,62.34,96.69
2013,49.01,85.80,101.36,101.64,61.55,39.17,16.74,27.10,13.71,35.01,37.74,71.56
2014,62.05,76.48,88.99,100.10,61.11,16.92,10.69,18.82,7.52,57.08,94.12,44.75
2015,70.13,143.02,97.65,75.20,88.57,39.23,15.42,35.26,5.88,52.62,106.86,38.39
2016,84.31,30.07,123.94,80.84,98.66,42.45,53.98,10.62,5.05,29.53,86.82,132.31
2017,113.28,87.41,96.29,98.91,77.94,23.44,18.61,6.97,19.18,22.94,22.37,47.47
2018,36.55,69.30,92.77,63.53,84.03,35.45,9.05,9.16,11.39,36.49,77.08,36.94
2019,95.30,50.24,65.51,171.55,73.40,67.29,9.24,5.87,2.42,24.26,86.84,36.81
2020,58.49,93.56,99.04,120.14,81.05,13.34,25.92,22.74,7.23,27.08,76.57,53.93
2021,27.55,42.86,120.27,65.99,74.72,7.03,15.32,2.50,0.98,25.11,28.93,32.01
