Variable:,pr
Country:,Turkmenistan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,11.92,4.13,18.72,16.39,14.38,1.69,0.81,0.18,5.97,18.98,8.67,6.86
1902,26.08,13.38,22.97,19.51,5.00,0.35,0.51,1.57,4.85,11.62,28.72,15.29
1903,18.76,20.79,36.97,8.26,22.22,2.20,2.44,1.11,0.46,1.10,8.16,13.94
1904,17.50,10.59,32.29,17.62,20.75,1.56,0.33,2.36,2.08,5.86,9.68,17.25
1905,13.08,9.48,25.59,22.84,10.95,2.03,6.03,2.44,0.20,1.28,11.60,20.19
1906,17.36,10.92,34.96,30.73,21.95,4.94,1.35,0.78,3.73,2.22,14.93,17.11
1907,24.04,14.12,31.99,40.59,19.53,1.82,0.26,0.33,2.71,6.58,13.49,3.60
1908,26.30,15.45,19.48,19.82,15.75,2.06,0.73,0.36,4.20,8.03,6.43,14.50
1909,14.74,11.90,22.68,34.05,11.09,2.94,4.81,2.92,0.27,2.62,1.26,5.48
1910,19.41,12.04,39.49,7.37,6.05,6.50,0.58,0.98,2.80,1.08,2.03,7.27
1911,27.04,16.16,44.65,20.58,16.13,0.38,7.07,2.21,1.09,5.06,6.59,9.78
1912,10.46,15.61,20.91,27.06,8.16,3.19,0.69,2.66,0.49,3.70,10.18,15.03
1913,23.94,29.71,18.89,25.70,7.84,0.97,0.20,0.12,2.57,21.23,14.64,12.15
1914,21.61,13.84,21.79,27.37,9.98,2.69,0.20,0.84,0.56,11.91,33.26,11.53
1915,7.04,11.33,36.40,56.38,7.36,12.74,7.01,0.20,1.97,1.82,2.67,14.33
1916,22.57,13.72,35.59,34.80,5.85,3.28,5.42,0.18,4.46,2.72,3.91,4.74
1917,10.84,9.86,14.70,4.79,9.30,0.90,1.31,0.73,0.78,10.10,6.50,7.44
1918,19.90,21.20,38.30,21.90,6.81,2.51,1.27,1.17,2.33,5.42,10.83,20.20
1919,10.99,17.44,21.10,21.02,14.86,2.65,2.37,1.18,1.82,5.24,8.84,16.50
1920,17.41,23.96,21.18,26.22,15.98,2.69,2.28,1.36,2.35,7.85,15.04,12.61
1921,10.70,11.65,33.33,21.46,10.19,2.50,4.72,1.10,0.63,6.33,10.68,15.07
1922,21.44,30.64,21.27,27.36,11.13,5.01,1.19,0.23,3.68,4.78,7.86,17.28
1923,17.41,28.22,38.57,36.15,5.66,4.49,0.78,1.53,0.31,9.79,10.42,8.12
1924,23.13,31.25,36.88,34.13,8.66,5.49,2.01,1.34,1.41,8.53,6.21,28.93
1925,17.30,4.97,11.86,19.97,4.37,0.34,5.99,1.92,1.59,17.68,9.33,2.64
1926,19.16,36.09,36.28,24.10,8.07,11.82,2.74,0.16,3.14,2.08,12.46,10.28
1927,9.77,16.10,13.42,15.86,7.15,0.51,1.67,0.50,2.16,5.14,10.58,31.95
1928,20.43,24.04,22.76,11.51,16.50,1.13,8.73,3.34,0.33,5.18,6.09,21.89
1929,13.48,28.99,22.15,6.33,5.23,2.58,3.86,0.07,0.22,2.66,6.17,13.08
1930,12.32,18.95,25.39,25.89,14.07,3.27,0.25,0.07,1.84,8.02,8.68,17.88
1931,34.94,13.42,21.71,24.82,21.03,6.88,2.84,2.86,0.13,5.09,18.15,42.29
1932,27.76,10.98,35.78,19.64,11.60,1.90,7.16,0.54,2.93,9.79,9.97,12.92
1933,17.47,15.91,47.21,24.49,10.00,3.77,2.13,0.37,0.34,3.95,19.03,24.86
1934,9.67,13.42,17.41,39.98,20.10,5.43,0.62,1.86,2.61,2.67,8.33,15.69
1935,15.32,18.68,25.52,9.24,4.57,9.52,4.35,0.09,0.81,7.96,21.20,3.19
1936,3.99,23.99,20.23,27.01,11.27,2.74,3.94,0.54,1.47,3.96,4.19,10.81
1937,12.50,21.22,18.51,17.10,17.98,0.65,1.02,0.12,2.74,5.94,4.40,9.11
1938,20.03,22.37,25.95,18.11,9.13,1.42,2.20,2.14,4.35,2.24,11.64,15.94
1939,20.37,19.13,36.19,38.45,8.84,0.90,3.49,0.34,1.28,6.01,19.81,18.09
1940,24.77,26.95,22.23,10.78,19.46,1.20,3.47,0.08,1.48,11.40,7.48,16.31
1941,16.34,21.92,34.17,38.83,9.25,0.87,1.12,1.40,1.88,3.15,10.36,23.74
1942,19.47,10.55,30.92,19.59,11.90,4.64,0.87,0.11,2.50,6.23,16.03,5.79
1943,15.64,18.23,57.89,18.59,23.03,2.48,0.80,0.85,1.61,6.27,8.20,13.54
1944,14.52,13.26,8.29,27.77,5.53,1.10,3.59,1.48,0.96,3.81,8.14,6.28
1945,22.53,14.16,30.01,18.93,17.98,8.39,0.83,1.02,0.81,3.18,20.21,16.99
1946,17.10,18.40,26.90,15.57,3.91,2.78,6.82,1.47,1.66,8.02,3.66,12.48
1947,19.30,18.94,15.88,13.30,20.09,2.74,0.55,1.27,2.25,3.45,3.82,6.86
1948,9.83,10.97,27.36,34.04,7.35,3.64,0.52,1.33,0.83,4.93,6.47,18.34
1949,10.71,20.37,34.27,40.70,10.04,3.29,0.49,2.08,0.89,4.91,4.52,13.68
1950,29.41,15.84,15.72,16.15,13.50,4.82,1.51,2.26,0.37,1.82,6.33,4.12
1951,23.68,19.84,16.57,8.42,16.24,3.95,0.98,0.72,1.89,17.41,11.09,13.40
