Variable:,pr
Country:,"Trinidad and Tobago"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1902,95.23,65.80,53.63,74.86,137.50,269.48,267.94,256.26,201.60,226.67,258.18,193.10
1903,95.10,65.93,53.46,75.56,136.46,269.48,267.44,257.17,201.81,226.71,257.06,193.22
1904,95.56,65.93,53.75,74.82,136.71,267.71,267.56,256.18,202.30,227.00,256.69,192.85
1905,95.27,65.85,53.71,74.90,136.46,268.41,267.03,256.14,202.01,227.45,257.77,192.56
1906,95.23,65.85,53.58,74.98,136.63,268.86,267.56,256.43,202.34,226.96,257.56,192.68
1907,95.23,65.85,53.63,74.94,136.71,268.04,267.40,256.05,201.48,227.21,257.10,193.14
1908,95.19,65.72,53.46,74.94,136.30,268.53,267.69,255.89,201.72,226.67,256.77,193.84
1909,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1910,95.39,66.13,53.71,74.65,137.74,268.70,267.56,256.51,201.52,226.34,256.94,192.64
1911,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1912,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1913,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1914,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1915,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1916,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1917,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1918,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1919,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1920,95.35,65.97,53.63,74.98,136.71,268.45,267.52,256.43,201.76,227.12,257.60,193.05
1921,53.42,50.04,92.05,127.38,121.94,252.24,278.12,195.76,281.45,411.13,290.70,236.54
1922,60.00,56.25,61.12,45.56,137.06,275.53,258.89,169.06,127.91,139.81,203.13,298.04
1923,68.74,47.99,54.30,38.38,75.50,321.06,255.54,223.59,172.53,341.27,211.75,259.93
1924,35.10,46.58,16.48,33.85,52.35,294.41,159.77,170.17,209.60,132.11,288.99,140.13
1925,55.34,30.27,27.86,86.61,54.99,124.38,181.41,299.98,186.03,260.86,211.79,118.05
1926,42.85,41.26,20.68,108.55,53.38,124.72,171.24,279.47,243.20,245.99,211.04,195.17
1927,71.79,109.53,69.42,117.47,178.06,239.58,213.01,313.26,133.01,264.63,233.24,240.19
1928,69.05,98.30,13.76,48.70,135.97,286.24,222.24,256.27,235.14,103.33,239.05,184.85
1929,125.45,36.71,31.14,77.20,300.70,222.32,242.71,165.07,213.73,121.83,275.34,175.42
1930,107.85,42.35,18.22,133.63,199.14,272.57,207.50,151.86,170.72,315.89,177.33,116.17
1931,49.97,46.25,13.76,26.85,143.95,265.55,333.12,249.05,212.64,178.52,283.39,229.84
1932,44.36,88.31,13.97,66.17,134.04,153.33,195.70,252.75,164.71,199.07,191.19,169.04
1933,161.02,47.07,71.52,32.49,111.82,314.53,330.36,439.56,220.68,285.68,249.97,206.46
1934,89.61,37.77,40.27,52.06,60.44,165.07,274.45,270.61,223.67,263.00,203.08,156.94
