Variable:,pr
Country:,Türkiye
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,59.53,46.34,46.70,40.71,78.12,52.37,15.56,12.86,24.79,45.40,76.00,69.79
1902,76.73,56.29,59.55,56.35,55.43,22.94,19.78,10.43,15.26,48.33,88.54,86.84
1903,64.85,65.49,49.86,48.08,52.68,36.34,18.19,17.48,16.17,34.79,58.04,75.65
1904,66.22,53.12,77.88,59.22,75.27,34.96,15.15,10.00,25.22,44.13,91.55,91.29
1905,82.10,57.56,62.78,56.08,43.46,30.72,11.94,11.38,13.94,51.15,53.39,65.52
1906,71.01,69.76,62.37,55.11,69.14,33.38,18.25,12.71,16.51,48.38,66.02,101.49
1907,74.50,64.43,78.55,62.67,42.21,30.77,17.43,12.77,20.49,34.70,66.71,79.79
1908,68.11,59.25,72.88,57.07,50.72,48.14,12.48,10.70,19.00,34.27,73.60,79.49
1909,66.32,69.89,68.05,54.94,43.93,38.03,10.83,15.03,23.89,59.09,74.67,64.98
1910,75.88,59.12,62.39,58.41,76.59,35.14,23.99,13.44,18.24,41.45,56.03,69.41
1911,81.22,65.83,63.31,65.50,63.44,32.36,14.27,12.68,20.38,38.01,56.02,94.66
1912,76.24,66.04,59.69,64.88,59.74,32.57,18.99,12.62,16.62,55.71,62.64,85.56
1913,79.43,71.71,57.66,58.38,62.95,27.64,15.67,10.54,21.25,50.86,59.13,87.52
1914,79.63,50.53,61.50,70.42,59.64,38.37,18.40,13.59,19.59,49.73,69.73,83.03
1915,70.50,60.07,69.00,73.06,55.62,38.43,19.46,14.14,18.72,44.26,59.36,70.91
1916,74.36,64.78,56.62,66.58,59.25,28.95,14.09,11.67,22.88,35.32,50.24,88.04
1917,78.37,67.62,61.94,59.46,60.26,32.54,13.16,13.02,18.07,40.37,60.64,82.68
1918,68.33,66.44,58.40,58.71,58.58,35.05,14.39,14.20,23.09,52.28,63.07,94.31
1919,75.92,71.96,63.74,61.51,65.64,37.34,16.09,12.28,18.12,47.46,62.29,88.21
1920,76.06,65.65,69.66,62.77,73.92,39.43,17.62,15.60,24.15,56.97,63.36,75.49
1921,70.78,64.27,60.16,74.51,53.86,50.47,19.98,12.57,19.87,40.88,71.98,90.40
1922,85.17,66.49,53.95,61.81,52.71,35.95,24.04,17.19,19.42,47.12,72.95,78.10
1923,81.03,65.39,62.00,67.58,63.57,34.88,16.58,14.21,17.33,42.17,50.55,84.27
1924,83.75,67.07,59.94,59.88,55.69,37.50,14.74,13.58,19.06,53.44,66.05,78.64
1925,71.11,51.24,60.67,61.84,52.68,39.67,14.20,11.61,17.63,49.22,60.58,85.51
1926,82.23,64.07,80.18,53.14,53.74,26.66,19.07,8.60,14.31,29.92,30.47,90.03
1927,61.79,65.76,42.85,70.85,42.85,25.30,22.26,9.59,13.15,36.36,50.35,98.07
1928,61.77,79.02,52.90,48.78,42.93,23.63,11.51,8.60,13.94,34.63,87.62,86.52
1929,72.14,85.90,60.26,59.79,65.03,33.27,7.66,14.41,45.93,39.70,33.04,68.19
1930,48.93,59.31,47.63,54.85,63.67,49.50,17.06,11.42,30.83,54.19,47.55,87.70
1931,88.67,64.07,78.52,96.51,61.82,53.46,16.88,13.11,19.67,24.06,52.53,91.44
1932,60.80,68.16,59.89,50.18,39.20,20.98,8.90,8.94,14.15,11.81,78.19,18.21
1933,60.71,75.90,60.56,59.34,60.15,46.23,26.39,8.03,23.27,28.55,58.82,106.02
1934,51.06,69.56,32.66,42.92,71.40,35.35,19.03,9.08,17.97,43.71,37.94,70.44
1935,99.75,90.85,69.49,64.83,18.87,16.00,13.52,13.89,27.57,55.45,91.32,75.61
1936,40.77,113.02,50.81,65.78,101.23,53.39,31.04,15.81,20.26,57.37,58.69,77.16
1937,72.67,43.34,23.32,72.13,57.31,23.78,9.81,18.72,8.88,63.31,95.42,66.79
1938,98.85,74.98,46.63,78.11,54.69,10.28,25.54,14.57,44.15,24.57,68.10,86.19
