Variable:,pr
Country:,Ukraine
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,31.97,42.18,34.37,44.83,38.92,68.45,61.19,63.48,35.18,32.98,23.40,50.43
1902,26.78,28.47,30.14,36.81,75.19,68.07,76.56,49.54,24.47,59.68,7.23,43.60
1903,23.86,25.44,10.31,41.17,58.39,100.77,64.08,38.60,6.83,50.76,46.52,18.40
1904,18.91,34.94,25.01,24.73,45.64,51.05,26.34,40.65,45.24,42.22,37.34,31.42
1905,28.41,12.32,19.21,56.85,42.24,74.99,44.21,45.52,46.61,86.68,62.76,31.41
1906,43.25,25.36,45.86,25.07,71.54,61.54,102.47,56.27,60.26,36.02,42.39,60.28
1907,28.68,19.84,40.16,44.09,25.51,72.41,73.91,31.72,22.61,12.18,47.27,47.83
1908,40.53,60.56,20.60,44.53,34.67,58.34,81.05,46.99,55.67,23.40,37.76,18.25
1909,29.47,36.69,44.48,37.36,36.74,85.60,46.98,21.23,29.71,26.13,61.66,34.41
1910,50.71,22.29,14.19,50.27,42.68,62.04,107.73,62.75,26.90,30.00,68.47,24.23
1911,32.71,26.69,19.78,33.53,46.55,87.64,62.42,77.87,37.80,35.56,25.42,27.07
1912,52.43,39.22,33.51,54.50,69.76,73.58,75.57,72.19,86.67,48.64,32.54,46.03
1913,28.80,15.39,19.45,36.08,64.07,76.75,105.32,72.84,50.89,13.09,44.17,47.01
1914,34.45,11.38,55.48,28.26,53.52,73.64,89.09,49.23,67.62,48.60,29.81,28.35
1915,79.60,28.10,51.85,37.18,55.09,35.81,82.26,65.66,41.73,34.86,57.44,51.80
1916,33.67,40.03,26.95,51.30,65.14,55.67,73.47,49.91,23.06,60.81,28.85,54.81
1917,42.04,32.31,39.58,47.25,31.55,65.86,66.07,77.47,38.59,37.94,43.99,33.00
1918,21.57,22.39,16.55,7.45,29.23,57.60,95.66,71.56,40.77,41.90,43.39,57.59
1919,14.91,33.51,42.10,35.84,91.13,90.74,78.31,53.07,21.95,68.58,66.71,44.86
1920,44.98,16.41,28.78,13.67,56.71,82.78,47.48,46.98,38.52,20.44,10.18,17.85
1921,37.40,18.58,6.52,39.71,43.95,68.66,34.36,36.86,27.82,23.99,49.62,24.18
1922,51.01,34.36,42.22,60.34,60.90,78.28,36.54,63.20,103.47,63.17,44.53,38.76
1923,43.47,33.03,28.16,29.67,42.03,64.44,40.77,32.27,40.30,41.31,38.85,52.68
1924,31.97,40.90,30.49,66.92,30.19,42.13,63.88,59.96,29.43,18.62,33.96,8.65
1925,15.15,25.86,29.25,24.60,56.72,92.16,82.20,90.92,63.23,38.47,54.51,53.73
1926,26.35,21.56,29.42,31.49,69.99,87.96,54.27,51.03,55.28,49.95,4.36,43.83
