Variable:,pr
Country:,Uruguay
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,80.39,75.91,68.35,68.96,122.66,67.00,52.79,76.27,90.25,81.25,77.98,60.47
1902,65.19,61.72,85.36,63.20,138.83,71.35,81.44,30.55,84.67,100.28,112.58,109.67
1903,103.96,91.15,152.20,121.01,43.21,142.92,102.93,104.43,111.17,44.89,62.28,88.95
1904,57.60,106.33,153.20,128.71,24.33,73.73,132.18,116.23,91.41,118.91,66.91,47.58
1905,70.49,74.51,96.83,112.16,54.57,62.11,95.26,70.13,120.61,165.53,56.54,78.08
1906,41.95,34.03,34.41,92.77,69.00,125.08,113.50,81.61,91.63,78.19,39.23,68.10
1907,40.03,45.39,155.74,80.97,45.20,53.33,83.14,61.69,99.47,72.47,65.49,110.24
1908,96.22,76.00,55.95,154.45,73.34,83.01,97.30,39.07,115.81,71.10,80.21,60.24
1909,93.33,73.04,31.48,48.11,22.94,88.93,96.59,130.31,124.84,52.68,113.31,97.21
1910,152.47,66.21,89.60,81.91,43.29,39.73,60.85,59.15,86.06,63.07,52.57,41.90
1911,63.70,109.42,34.14,152.53,128.04,47.44,151.57,91.15,45.36,115.40,73.61,158.76
1912,118.37,77.05,122.22,203.96,202.79,118.95,87.77,113.32,58.21,89.12,148.19,86.37
1913,33.46,69.88,126.96,139.27,160.33,37.33,64.24,126.48,108.39,105.72,136.64,56.04
1914,91.45,75.25,143.38,138.91,214.10,132.40,206.49,169.93,141.05,100.84,135.13,107.53
1915,116.88,173.57,74.61,206.48,84.00,47.05,47.15,75.08,86.25,59.45,81.56,68.34
1916,91.23,49.58,53.85,66.14,82.90,32.68,25.09,50.01,77.91,30.87,60.03,79.35
1917,74.63,101.18,86.67,135.79,26.89,130.78,72.72,50.35,85.66,35.79,25.68,67.52
1918,119.75,108.31,65.54,81.34,122.21,110.04,34.18,58.24,184.65,42.37,115.34,77.94
1919,91.80,73.36,118.72,179.27,110.66,177.05,102.24,45.80,165.38,78.95,94.42,101.06
1920,83.03,63.59,118.95,111.60,70.58,49.30,64.93,43.21,36.14,147.94,119.02,139.27
1921,124.42,106.52,97.50,103.06,68.06,79.67,45.34,51.22,96.92,92.33,54.22,89.57
1922,80.80,55.45,91.30,124.15,98.10,125.66,117.24,213.88,84.56,56.13,63.35,42.14
1923,53.56,74.02,87.10,101.66,40.98,83.91,98.06,160.08,111.89,88.92,89.67,144.93
1924,70.53,94.67,113.55,55.27,52.69,88.18,47.78,80.48,115.14,30.61,55.85,74.53
1925,88.26,109.60,98.04,113.93,120.81,31.11,55.92,63.48,181.48,75.93,98.76,109.58
1926,79.05,52.76,107.52,74.82,150.34,109.72,99.88,172.79,64.42,97.91,126.82,73.00
1927,81.70,60.23,54.94,138.51,53.25,101.68,89.33,50.85,147.86,78.80,104.99,85.10
1928,127.51,102.00,52.31,145.41,128.13,65.91,88.61,52.29,118.84,86.11,77.74,67.89
