Variable:,pr
Country:,"St. Vincent and the Grenadines"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1902,90.90,47.40,105.30,72.30,327.30,410.60,386.40,240.30,226.50,189.70,387.10,191.80
1903,59.00,77.80,43.10,271.60,90.90,413.50,281.80,432.90,276.60,204.50,160.30,215.10
1904,188.10,87.10,151.80,61.50,145.40,93.40,302.10,223.20,406.70,277.00,89.20,143.70
1905,100.70,60.00,139.20,88.80,88.60,221.40,192.10,218.10,334.30,398.10,303.40,86.40
1906,88.50,63.50,84.70,107.80,125.80,302.90,302.60,277.00,414.50,268.70,265.40,107.20
1907,85.70,59.80,99.10,90.70,148.10,154.60,266.20,198.00,199.30,332.80,170.90,197.50
1908,78.50,18.10,44.30,99.60,48.40,246.30,331.80,165.70,260.40,195.20,105.00,331.00
1909,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1910,142.90,140.00,136.70,17.90,381.30,273.00,310.90,296.10,210.20,113.70,134.40,105.60
1911,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1912,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1913,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1914,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1915,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1916,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1917,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1918,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1919,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1920,126.20,93.90,101.70,107.10,145.40,227.80,297.90,278.40,267.90,308.60,271.20,181.50
1921,126.10,93.80,101.90,107.20,145.40,227.80,297.90,278.30,268.20,309.20,271.30,181.60
1922,126.10,93.90,101.80,107.00,145.40,227.90,297.90,278.10,267.70,308.30,270.90,181.60
1923,126.10,93.80,101.80,107.00,145.30,228.00,297.90,278.40,267.70,309.00,271.10,181.70
1924,126.00,93.90,101.50,107.00,145.20,227.90,297.60,278.20,267.90,308.30,271.20,181.30
1925,126.10,93.80,101.60,107.20,145.20,227.50,297.70,278.30,267.80,308.70,271.00,181.30
1926,126.00,93.80,101.60,107.20,145.20,227.50,297.60,278.40,267.90,308.80,271.00,181.30
1927,126.10,94.00,101.80,107.20,145.50,227.70,297.80,278.70,267.70,308.60,271.10,181.60
1928,126.10,94.00,101.50,107.00,145.40,227.90,297.70,278.50,267.90,308.20,271.00,181.50
1929,126.40,93.80,101.60,107.20,145.90,227.70,297.80,278.10,268.00,308.20,271.10,181.40
1930,126.30,93.80,101.50,107.20,145.60,227.90,297.70,278.10,267.70,308.90,271.00,181.30
1931,126.10,93.90,101.50,106.90,145.30,227.80,298.00,278.20,267.90,308.40,271.10,181.50
1932,105.00,58.30,93.10,73.70,160.50,278.00,295.80,187.70,283.80,310.60,504.20,130.40
1933,179.20,60.90,74.90,48.50,196.70,268.80,344.90,271.70,531.80,296.30,324.40,134.10
1934,57.20,29.60,82.90,64.20,141.80,86.20,218.10,235.50,155.40,151.90,210.50,249.70
1935,95.90,53.70,144.20,96.00,175.60,103.40,397.80,388.90,232.80,245.60,144.30,108.20
1936,68.70,74.80,32.20,40.40,358.90,341.60,281.50,333.00,274.30,456.50,257.90,138.80
1937,174.90,55.00,30.90,111.10,38.80,122.80,202.60,140.60,271.30,218.20,287.10,88.00
1938,102.40,50.10,72.30,69.40,177.20,242.90,249.20,376.40,294.30,199.40,489.00,199.90
1939,106.20,78.10,146.70,53.40,61.80,249.70,147.50,159.70,175.90,281.00,342.00,49.60
1940,45.10,63.70,98.90,49.90,51.40,254.30,233.30,152.50,131.00,179.40,359.10,118.70
1941,106.60,15.50,69.10,141.40,128.60,271.40,285.20,155.80,358.20,149.00,426.00,117.80
1942,76.90,105.20,54.90,160.00,133.30,181.30,263.60,163.80,481.20,295.10,565.40,130.70
1943,96.70,64.20,114.40,110.90,119.90,165.40,213.40,304.20,217.30,264.10,224.50,129.00
1944,93.00,98.80,59.00,76.20,276.70,185.00,394.60,149.10,217.60,353.80,241.90,162.80
1945,69.20,110.60,70.40,220.90,157.40,148.00,250.00,266.60,244.80,303.60,209.70,138.20
1946,165.70,60.40,46.50,68.40,287.20,201.30,238.10,249.50,211.00,183.60,206.90,172.60
1947,180.20,34.00,58.40,45.70,155.70,155.70,276.30,183.20,178.40,193.80,162.50,157.20
1948,92.20,74.30,155.90,142.10,93.10,300.60,346.20,380.00,242.90,411.30,435.00,126.60
1949,61.40,114.20,87.80,69.60,90.30,248.20,280.60,277.20,359.80,313.30,186.50,193.90
1950,173.30,85.40,132.30,151.80,139.10,382.00,207.00,284.70,215.80,292.00,192.70,227.80
1951,190.00,104.40,147.80,201.20,224.90,292.40,246.30,374.90,439.80,157.00,315.80,276.60
1952,41.30,48.90,103.60,164.70,125.10,228.40,307.10,253.00,388.10,267.80,332.60,143.00
1953,163.60,91.90,112.00,59.50,194.70,192.50,392.70,288.70,287.50,178.50,269.40,184.90
1954,89.20,74.90,107.70,210.40,160.30,209.70,275.40,299.20,321.60,420.50,246.00,203.90
1955,116.90,97.10,74.10,47.90,132.90,260.10,336.60,231.40,435.30,388.60,481.30,162.10
1956,245.30,196.40,157.30,204.80,151.90,268.60,234.30,331.30,221.50,285.80,303.70,251.50
1957,181.90,65.70,35.20,144.30,81.60,184.70,276.40,263.40,164.40,332.50,338.10,199.10
1958,97.20,74.70,23.10,189.50,253.10,400.30,467.20,263.90,329.10,288.60,240.30,178.20
1959,81.40,105.20,116.00,108.00,163.20,168.30,203.10,147.80,244.60,332.70,221.70,98.90
1960,115.20,75.20,106.30,129.10,115.50,212.50,336.80,223.30,192.90,306.20,196.60,193.60
1961,136.60,83.90,79.70,38.90,91.60,221.30,387.50,270.20,213.20,362.30,222.90,179.00
1962,177.60,83.40,39.90,86.90,86.70,321.10,342.70,303.00,277.30,198.60,182.70,137.60
1963,137.60,86.40,96.60,96.50,206.90,222.10,446.30,167.20,401.80,202.70,183.50,93.70
1964,79.00,60.90,82.70,165.90,133.10,295.60,333.60,306.40,248.40,247.70,153.30,130.80
1965,168.30,95.40,71.30,144.70,97.40,197.30,332.40,194.70,250.40,202.70,217.10,157.80
1966,46.60,201.40,98.00,157.30,312.30,305.60,468.80,312.20,326.40,301.50,327.00,238.70
1967,212.70,111.50,201.70,108.20,159.80,128.20,250.80,246.00,459.30,217.60,271.40,121.00
1968,110.40,57.10,124.20,137.10,202.80,277.10,221.50,259.40,255.80,197.40,162.00,174.60
1969,176.10,43.70,27.00,129.60,135.60,342.80,405.70,305.60,322.20,300.50,290.10,183.30
