Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,105.40,18.00,89.60,68.00,133.30,112.10,157.90,112.70,182.70,201.10,321.70,185.80
1902,141.10,21.20,52.10,119.90,207.10,175.90,71.20,88.90,110.80,80.50,184.00,182.80
1903,46.20,21.90,62.40,75.40,137.00,64.70,121.80,150.10,115.50,165.60,152.30,222.40
1904,74.20,117.70,107.10,104.20,85.90,48.10,89.80,136.50,168.30,164.00,225.20,96.10
1905,110.20,52.30,89.30,65.90,140.00,49.20,79.30,140.00,154.10,211.50,206.70,71.00
1906,32.30,34.30,67.00,92.10,60.50,123.80,135.20,93.00,210.40,83.50,94.20,171.90
1907,58.70,75.00,32.00,17.50,114.60,66.50,90.90,119.40,125.30,163.80,140.60,221.60
1908,93.50,99.70,95.30,70.50,93.00,63.90,68.70,108.50,187.10,88.20,201.20,130.60
1909,75.20,77.40,44.80,75.40,62.20,124.00,72.00,210.10,119.00,143.00,297.60,64.50
1910,122.00,42.60,79.20,69.00,96.40,80.50,75.30,133.70,204.50,88.70,92.60,289.70
1911,97.80,83.30,25.20,107.10,161.70,51.30,103.80,94.10,140.50,134.40,177.20,295.60
1912,46.50,35.30,65.90,123.80,78.10,53.50,55.70,88.10,126.90,256.00,206.00,72.70
1913,89.50,52.30,112.20,92.10,109.60,74.30,64.40,102.90,142.50,165.80,119.00,101.80
1914,56.20,104.40,91.90,77.30,207.90,71.00,78.40,102.00,118.80,127.90,167.00,147.30
1915,73.50,77.20,37.90,146.00,80.30,100.10,100.40,90.10,132.40,84.70,220.30,143.60
1916,76.10,58.30,17.70,70.30,114.40,77.20,122.70,179.90,177.90,215.00,262.60,32.40
1917,52.30,53.40,31.60,76.80,137.90,74.30,89.30,111.10,128.40,111.60,203.50,91.50
1918,53.20,95.70,54.70,84.20,87.40,67.10,85.90,72.20,154.30,141.90,165.50,137.10
1919,75.60,23.40,36.80,148.70,69.90,102.90,134.00,58.10,173.40,115.60,131.70,160.30
1920,108.00,98.90,75.40,27.50,88.40,62.10,75.70,104.90,168.00,120.70,160.00,124.80
1921,137.40,59.00,82.70,52.60,116.60,56.80,127.00,115.60,177.40,125.90,93.30,83.50
1922,92.10,99.20,90.40,60.20,84.90,67.00,66.00,134.00,149.10,131.10,79.30,235.20
1923,58.70,61.60,31.90,152.90,50.10,64.30,75.10,92.00,110.20,156.70,157.10,89.00
1924,66.10,99.30,23.10,94.50,107.00,71.20,84.20,119.70,127.90,111.90,296.70,122.10
1925,59.70,75.10,52.10,127.00,60.40,79.30,93.80,82.60,149.40,113.50,201.30,22.60
1926,90.20,44.80,49.40,81.90,113.70,58.40,143.40,138.10,120.00,176.50,100.50,59.60
1927,85.40,39.50,75.80,97.10,92.20,92.80,143.60,121.00,120.80,231.60,194.30,52.60
1928,63.00,44.50,50.90,43.60,228.30,41.80,86.10,180.70,349.70,149.50,248.10,193.30
1929,92.30,43.70,78.60,45.70,159.70,67.00,48.80,178.60,150.70,100.00,87.90,97.20
1930,144.20,40.00,54.60,52.80,83.90,57.90,51.80,71.80,135.30,146.00,134.20,115.70
1931,32.30,114.00,44.50,127.90,232.30,137.30,125.00,123.20,256.60,179.60,257.90,95.50
1932,107.10,13.10,41.90,113.70,243.70,122.20,120.80,154.10,231.60,151.90,186.40,106.00
1933,63.40,16.80,85.30,96.30,243.70,107.50,83.30,128.30,223.70,128.40,158.60,126.00
1934,102.70,65.90,84.50,55.30,76.50,74.90,120.50,139.60,170.10,133.80,112.90,230.20
1935,78.20,142.10,31.40,69.60,131.70,74.40,84.60,118.20,169.10,163.90,105.60,123.20
1936,49.00,35.40,24.70,55.80,237.30,103.10,141.50,195.10,190.00,146.70,132.90,177.40
1937,94.70,17.90,31.40,81.00,90.70,53.20,73.90,163.50,114.90,119.20,199.90,68.60
1938,43.90,55.30,68.20,41.50,79.40,162.40,90.90,106.40,142.60,131.00,310.00,176.70
1939,61.20,41.90,67.00,95.50,129.40,43.70,75.20,119.60,160.30,180.70,197.30,109.60
1940,90.90,83.70,41.80,128.90,230.60,87.30,70.00,95.80,112.00,168.80,158.30,117.50
1941,100.40,9.70,49.20,116.00,160.20,97.50,114.30,135.30,155.40,123.80,146.90,142.80
1942,116.80,45.70,47.50,157.70,128.20,121.80,103.70,125.50,140.00,219.70,228.20,78.40
1943,109.80,58.70,71.20,115.10,180.60,93.20,76.40,135.60,109.80,228.10,76.70,98.30
1944,58.70,40.40,21.00,55.10,134.80,131.50,139.10,200.30,208.60,133.40,87.20,83.60
1945,50.00,49.50,29.80,124.60,182.10,39.70,101.80,155.20,136.10,130.90,100.00,95.70
