Variable:,pr
Country:,Vietnam
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.09,16.76,44.06,94.83,152.93,188.65,220.23,231.26,231.08,201.29,140.82,66.59
1902,31.28,16.37,31.56,73.30,133.60,188.17,213.08,290.35,172.74,211.19,147.73,109.05
1903,25.58,30.64,31.19,59.38,120.50,184.27,278.16,254.59,254.32,223.44,137.76,66.24
1904,19.02,14.51,38.86,83.18,231.75,245.86,288.98,261.57,254.37,209.17,161.37,78.46
1905,21.07,19.18,62.88,58.61,144.28,251.82,181.30,199.09,294.28,199.07,148.03,88.80
1906,50.31,10.94,32.03,64.22,204.96,197.29,188.28,185.17,313.91,175.92,134.84,73.75
1907,36.88,31.70,32.67,74.81,156.16,159.90,194.77,252.09,227.81,263.12,157.55,86.63
1908,77.37,45.91,33.50,61.33,177.26,232.82,203.83,274.86,332.94,215.05,150.00,86.40
1909,42.84,35.18,43.35,61.12,216.80,221.85,252.46,317.35,248.34,229.18,166.41,64.94
1910,35.83,40.67,78.96,68.52,164.23,217.73,187.98,289.64,282.53,209.12,176.38,68.77
1911,31.61,49.46,47.66,81.20,194.43,226.62,255.64,256.69,228.49,214.77,139.18,63.32
1912,64.82,25.33,29.36,108.20,158.94,191.47,217.83,232.74,233.77,198.94,179.43,64.74
1913,25.75,48.66,31.86,85.39,198.06,172.25,238.31,339.34,251.50,206.19,187.58,103.23
1914,36.12,32.10,34.19,77.02,154.34,246.92,249.86,236.66,185.62,234.52,167.19,98.62
1915,18.12,12.71,44.03,67.15,150.59,225.39,241.85,270.52,228.13,290.02,163.33,74.22
1916,20.89,14.40,75.60,66.32,160.60,238.35,188.51,232.23,288.49,198.85,122.21,64.10
1917,28.29,14.02,38.52,65.74,143.68,207.31,272.73,262.87,264.07,222.07,152.03,67.20
1918,21.43,25.86,45.26,71.47,228.05,232.22,238.84,309.91,259.69,207.56,159.71,66.34
1919,16.03,20.45,32.43,65.46,154.55,204.98,230.59,312.16,205.28,188.07,154.70,59.13
1920,26.63,26.27,37.29,93.24,175.20,206.07,255.93,282.05,290.99,220.14,187.15,81.69
1921,43.51,36.02,95.58,66.81,201.64,188.93,265.24,301.94,282.47,204.63,119.97,66.38
1922,28.60,18.71,55.41,72.71,133.33,217.71,278.86,301.36,259.82,185.33,138.79,74.83
1923,26.45,24.83,37.80,108.08,166.68,258.87,261.19,305.26,220.55,214.33,138.53,70.65
1924,50.84,17.82,43.35,72.37,166.39,274.05,290.29,293.90,198.50,206.66,116.79,55.76
1925,32.39,11.87,111.39,82.52,168.57,227.73,244.68,223.19,230.15,207.62,137.41,63.64
1926,23.44,32.38,46.91,62.87,145.09,257.45,286.14,311.06,257.88,231.36,126.84,79.78
1927,19.90,30.25,35.79,84.89,189.21,232.69,260.02,256.56,259.07,263.77,136.95,57.27
1928,17.65,57.18,30.50,72.44,199.12,207.27,241.20,303.02,214.89,185.95,141.67,56.36
1929,34.55,44.45,31.54,75.71,188.62,205.97,270.87,259.02,293.04,201.40,123.87,92.42
1930,22.72,42.72,42.26,96.01,192.06,214.69,218.83,243.98,214.95,174.05,152.84,62.45
1931,37.65,22.54,24.52,64.35,135.46,214.69,239.52,265.22,243.88,191.11,119.31,68.31
1932,16.89,40.48,44.09,79.05,139.54,213.42,236.40,265.27,267.20,248.57,149.67,58.15
1933,38.45,23.80,38.98,71.02,167.85,186.74,240.61,245.05,244.99,249.55,163.59,55.85
1934,20.36,52.45,41.29,66.14,146.70,246.34,284.61,302.77,241.98,218.92,164.87,79.76
