Variable:,pr
Country:,Yemen
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,3.92,9.47,20.45,26.29,25.23,17.88,19.98,39.41,21.31,8.16,5.04,4.55
1902,3.72,7.50,19.32,24.56,25.23,16.11,19.41,25.04,16.79,8.60,7.35,3.16
1903,4.41,7.70,19.61,24.78,26.51,16.11,19.42,26.00,35.00,10.81,5.04,3.53
1904,3.54,7.52,22.61,24.57,25.23,16.11,19.98,25.05,30.44,8.16,8.48,3.98
1905,3.57,7.40,21.55,30.92,26.68,16.11,19.70,25.05,35.04,8.87,6.64,3.18
1906,3.49,7.64,21.77,24.58,25.23,16.11,21.39,26.97,16.75,8.16,7.76,3.43
1907,3.60,7.49,19.24,25.30,25.30,16.11,21.11,26.53,18.98,8.69,5.09,4.02
1908,4.01,7.50,19.55,24.72,25.23,16.11,19.98,26.48,19.05,11.09,5.50,3.24
1909,4.10,7.40,19.37,24.66,25.26,16.12,19.99,37.95,16.76,8.17,5.05,3.26
1910,3.53,7.40,20.41,24.60,25.78,16.11,23.08,29.94,16.75,8.18,5.04,3.35
1911,3.78,7.45,28.29,25.36,25.23,16.11,22.24,28.39,37.28,13.10,6.75,3.77
1912,3.64,7.80,19.57,27.96,25.47,16.11,19.98,29.82,16.75,8.16,5.12,5.31
1913,3.65,7.51,24.57,25.24,30.58,16.11,19.44,26.10,19.03,8.16,5.04,3.14
1914,3.68,7.51,19.33,24.56,25.47,16.11,19.42,39.37,25.87,13.59,5.04,3.39
1915,3.71,7.42,20.06,25.16,25.48,16.11,19.42,25.04,25.87,8.16,5.05,3.27
1916,3.66,9.31,23.34,25.09,25.26,16.12,26.79,27.72,16.76,8.17,5.06,4.63
1917,3.51,7.42,19.25,24.59,25.26,16.12,19.72,34.64,23.61,8.17,5.05,3.85
1918,3.55,7.41,19.25,25.19,25.26,16.12,19.44,25.07,16.76,8.35,5.06,3.26
1919,3.55,7.41,25.75,24.59,25.26,16.12,25.09,25.07,19.00,8.17,5.17,3.16
1920,3.99,8.59,19.25,24.59,25.26,16.12,19.72,35.12,19.00,10.20,5.06,3.16
1921,4.00,7.41,19.25,24.60,25.30,16.18,23.10,25.61,16.82,8.79,5.25,3.41
1922,3.51,7.41,24.39,24.59,32.93,16.14,19.55,31.68,19.00,8.18,5.05,3.40
1923,3.51,7.82,20.71,24.65,25.27,16.15,20.05,28.87,34.71,9.04,5.96,3.97
1924,3.77,9.23,20.26,25.49,25.31,16.20,19.58,28.44,16.83,8.19,5.05,5.11
1925,3.92,9.16,19.29,24.64,25.32,16.33,19.70,28.91,18.99,8.19,6.66,3.16
1926,4.16,11.94,19.96,25.35,33.33,16.27,20.08,26.10,16.86,8.21,5.95,3.49
1927,3.62,7.62,19.24,26.38,25.39,16.24,19.58,25.09,38.11,8.16,5.05,3.14
1928,3.51,7.43,19.29,26.16,25.38,16.22,19.54,25.07,16.79,8.17,7.83,3.23
1929,3.56,7.45,19.45,24.64,25.50,16.36,19.85,26.03,33.80,8.26,6.23,5.35
1930,3.87,7.61,19.72,26.02,25.32,16.40,19.50,29.78,18.99,9.57,5.04,3.70
1931,3.63,7.52,19.39,24.68,25.45,16.17,16.30,26.15,19.11,6.50,4.20,2.66
1932,3.50,7.62,20.98,24.63,34.65,16.18,24.05,27.92,16.91,8.18,5.76,3.58
1933,3.20,6.58,17.34,22.73,25.29,16.26,19.56,25.09,16.93,7.36,4.25,2.85
1934,3.77,7.54,19.46,24.61,25.34,16.52,19.70,29.80,16.85,8.16,5.54,3.37
1935,3.73,7.51,19.25,31.33,28.40,16.43,19.45,25.24,16.94,8.16,5.16,3.98
1936,4.52,7.76,20.02,24.63,25.30,16.22,19.55,25.57,29.57,8.17,5.04,3.99
1937,5.55,7.67,24.64,27.46,21.57,16.26,16.28,21.05,18.00,7.09,4.27,3.10
1938,3.35,6.37,23.49,21.77,21.55,16.20,18.40,31.67,26.02,6.55,4.50,2.73
1939,3.04,6.60,22.44,27.51,27.64,16.11,19.43,25.05,18.98,11.69,5.04,3.58
1940,3.62,7.58,20.39,24.59,25.27,16.11,19.43,27.94,16.76,8.17,5.09,3.36
1941,3.51,7.48,22.16,26.34,25.27,16.11,19.43,25.05,16.77,15.05,5.07,3.54
1942,3.87,7.64,19.22,25.68,25.32,16.11,20.02,26.00,19.04,8.02,4.87,3.11
1943,3.78,7.30,18.37,23.16,24.38,15.89,19.59,24.72,17.38,10.03,5.03,5.62
1944,3.36,6.95,18.37,25.78,24.69,16.02,23.80,24.71,16.45,8.01,4.92,4.16
1945,2.95,5.90,16.37,20.26,21.25,15.69,16.42,21.45,14.10,8.95,8.55,2.61
1946,3.38,6.97,22.18,23.48,30.79,15.69,19.47,26.95,25.48,8.57,7.94,2.96
1947,3.11,6.31,16.26,20.21,22.24,16.08,16.34,27.92,13.94,6.37,5.43,3.12
1948,3.84,6.50,17.47,20.24,21.07,15.70,15.94,21.11,13.78,11.49,4.05,4.32
1949,3.89,7.10,19.34,20.15,20.82,15.93,20.08,21.33,15.16,6.31,6.22,9.29
1950,4.09,6.84,19.96,20.15,20.69,15.83,40.38,31.48,22.35,6.31,4.00,2.47
1951,7.20,5.92,32.31,22.07,24.89,17.44,19.52,21.49,15.49,8.90,4.10,3.38
1952,3.35,6.76,19.38,20.44,20.84,15.99,16.53,25.71,14.91,6.38,4.07,2.82
1953,3.86,5.92,16.21,24.05,20.64,18.84,35.91,26.82,16.68,6.32,4.35,4.78
1954,3.65,8.57,24.03,21.42,20.83,17.45,55.15,35.33,59.11,8.85,4.24,2.79
1955,4.30,5.88,17.16,23.11,20.84,18.29,17.19,38.85,32.51,6.32,4.10,5.43
1956,3.82,5.90,16.24,20.63,20.62,17.44,36.46,36.73,18.79,7.91,4.26,2.70
1957,6.55,8.24,16.60,27.76,27.12,15.84,16.63,29.04,14.94,6.37,5.54,2.59
1958,2.98,6.39,16.84,20.15,20.62,16.01,17.21,28.62,14.28,6.34,4.01,3.11
1959,4.06,5.96,18.43,20.16,21.49,15.65,16.90,32.93,16.09,7.00,4.05,2.59
1960,5.08,5.94,44.99,20.15,21.61,16.54,18.12,20.39,16.94,6.32,5.23,2.71
1961,2.18,5.47,19.80,24.52,18.87,19.05,49.23,52.06,46.24,5.49,9.13,11.58
1962,2.22,4.23,23.45,18.68,28.12,18.10,18.14,37.27,16.43,5.31,6.80,2.81
1963,17.89,9.71,9.85,101.77,60.82,7.47,24.19,42.71,5.91,4.85,29.78,11.45
1964,5.01,4.33,8.58,28.46,25.44,44.45,71.00,47.48,23.52,4.60,1.74,9.16
1965,1.85,1.29,18.68,30.90,3.86,8.77,68.54,40.83,4.89,3.98,8.08,1.99
1966,6.42,13.56,8.12,23.06,14.10,11.55,14.93,39.79,19.34,9.45,2.76,0.53
1967,0.65,2.54,14.92,52.93,66.89,12.14,51.34,33.12,8.90,6.53,14.91,2.97
1968,2.64,22.87,54.73,17.84,26.62,52.82,28.71,15.78,5.80,5.83,2.36,12.53
1969,1.89,16.87,10.71,12.67,50.79,5.12,14.16,20.21,4.32,4.21,19.08,0.54
1970,4.99,1.79,4.09,6.03,4.40,17.61,5.19,87.77,33.42,2.95,0.84,0.73
1971,13.96,1.37,4.07,8.53,10.41,3.35,10.38,28.48,2.89,3.69,7.70,8.63
1972,0.64,4.79,7.33,24.96,5.11,14.41,6.02,9.02,12.06,13.20,10.60,1.17
1973,4.85,10.33,43.15,7.76,16.43,16.50,18.06,44.70,10.03,5.42,6.28,2.29
1974,0.66,4.22,17.69,10.81,107.99,11.39,6.98,28.08,5.65,5.11,0.92,0.55
1975,1.86,3.34,21.18,39.68,5.72,11.45,34.85,43.25,37.44,5.98,1.33,0.64
1976,0.76,2.42,20.97,27.15,20.14,2.15,12.03,7.51,55.63,3.39,17.31,1.41
1977,6.75,2.58,10.59,33.10,86.15,6.77,11.57,32.49,28.94,10.15,1.56,1.07
1978,5.95,7.46,8.35,9.41,13.06,16.92,49.17,7.51,5.59,4.72,3.90,6.52
1979,6.34,2.50,25.87,9.82,15.30,13.78,17.19,14.60,60.29,15.16,1.16,7.44
1980,2.73,5.53,7.65,12.37,6.69,8.83,6.05,28.85,7.47,16.88,0.70,0.54
1981,0.64,1.21,49.04,13.16,12.52,17.31,18.75,15.76,5.99,2.38,0.71,0.64
1982,3.21,7.84,17.88,8.61,18.25,5.40,7.15,20.94,7.41,9.56,7.92,2.04
1983,11.26,26.77,38.38,65.45,31.87,10.31,7.85,48.65,5.00,5.02,0.90,0.55
1984,0.68,1.14,5.31,5.14,36.70,20.25,8.74,4.53,7.01,2.32,2.30,5.74
1985,3.61,6.71,8.28,17.51,25.69,9.47,12.26,19.30,18.57,3.05,0.70,0.69
1986,0.61,10.43,23.33,35.20,9.35,40.58,7.68,23.13,11.11,2.35,0.80,1.94
1987,0.78,2.46,46.64,19.46,20.37,26.53,4.18,10.97,33.42,3.56,0.71,4.54
1988,0.85,15.85,4.21,26.79,7.63,10.39,28.00,19.89,59.94,3.30,0.69,1.35
1989,2.40,8.64,54.15,69.28,10.04,27.36,15.72,13.01,16.28,4.70,0.96,3.55
1990,1.19,22.68,15.95,12.46,7.99,10.43,19.49,17.72,9.31,3.70,1.78,1.77
1991,3.26,8.59,20.86,20.16,24.59,16.17,19.77,25.10,17.11,8.05,5.99,3.38
1992,4.44,7.37,19.24,34.55,24.41,15.70,19.16,28.29,35.02,9.09,5.37,3.47
1993,4.03,9.52,14.14,27.70,33.31,15.71,19.28,25.25,22.50,10.41,5.37,3.36
1994,3.37,6.96,16.54,17.75,24.43,15.66,21.91,34.02,19.38,2.78,7.45,3.36
1995,3.39,3.34,18.25,32.32,25.27,16.11,26.44,29.86,7.15,11.37,5.68,4.78
1996,4.10,7.61,19.14,24.73,39.61,16.12,17.61,25.57,15.05,8.70,5.20,3.24
1997,4.02,6.93,26.84,23.60,32.19,17.08,19.14,25.67,16.76,9.19,14.93,4.07
1998,4.61,7.87,21.48,24.13,27.69,17.56,20.83,32.08,17.18,12.58,4.99,3.14
1999,3.54,7.05,20.00,23.13,24.38,15.78,21.72,32.12,36.94,19.35,6.85,2.97
2000,3.38,6.95,18.28,23.15,35.98,15.70,18.81,35.43,19.65,10.22,5.77,4.25
2001,3.74,8.05,19.42,24.94,26.87,17.85,21.55,27.72,19.00,9.19,5.37,3.55
2002,3.88,8.05,19.42,28.51,28.03,17.67,21.55,27.72,18.77,9.19,5.37,3.37
2003,3.74,8.05,19.42,26.93,26.87,17.58,21.37,26.76,19.61,9.19,5.57,3.37
2004,5.17,7.59,19.42,24.94,26.87,17.76,21.55,27.64,19.00,9.19,5.37,5.09
2005,3.74,7.59,20.39,24.94,26.87,18.13,21.14,26.96,18.77,9.19,5.37,3.37
2006,3.74,7.59,19.42,24.94,26.87,17.48,21.67,27.94,18.86,9.19,5.37,3.39
2007,3.74,7.59,29.67,24.94,34.99,22.03,20.62,27.54,18.77,9.19,6.84,3.37
2008,3.74,7.59,19.42,24.94,28.23,17.39,21.97,27.15,18.67,10.72,5.37,3.37
2009,4.81,7.59,19.42,24.94,26.87,17.39,21.55,26.66,18.67,9.19,5.37,3.37
2010,3.74,8.21,19.42,24.94,27.73,17.39,21.07,27.01,19.05,9.19,5.37,3.37
2011,3.74,7.59,19.42,27.52,28.03,17.57,21.55,26.86,18.96,10.26,5.58,3.37
2012,3.74,8.05,19.42,24.94,26.87,17.39,21.03,26.71,18.67,9.35,5.57,3.37
2013,3.74,7.59,19.42,24.94,26.88,17.48,21.45,27.05,18.67,9.19,5.38,3.37
2014,3.74,7.59,20.31,26.38,26.87,17.49,21.41,27.54,18.96,9.19,5.37,3.37
2015,3.74,7.59,19.42,24.94,26.87,17.39,20.69,27.72,19.61,9.19,5.37,3.37
2016,3.74,8.05,20.39,26.38,27.73,17.90,21.56,27.25,18.96,9.19,5.37,3.37
2017,3.74,7.59,20.39,26.33,26.87,17.85,21.26,26.96,18.68,9.19,5.54,4.23
2018,3.74,8.05,19.42,24.94,27.73,17.48,21.03,27.64,18.77,9.85,5.37,3.37
2019,3.74,7.74,19.42,24.94,26.87,17.76,21.11,27.01,18.96,9.27,5.38,3.55
2020,3.74,7.59,20.39,25.14,27.73,17.94,21.55,27.15,18.77,9.19,5.37,3.37
2021,3.74,7.59,19.42,25.14,26.87,18.13,21.55,26.96,19.05,9.19,5.57,3.55
