Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.76,1.91,8.76,13.47,17.82,21.63,24.80,23.16,18.73,11.11,8.05,3.60
1902,1.51,1.95,7.26,12.44,19.00,23.44,24.51,23.63,18.39,12.63,6.77,2.99
1903,-1.99,2.14,2.46,11.31,16.89,22.78,24.31,23.34,19.16,13.70,5.63,0.90
1904,-5.64,3.61,7.20,11.87,17.76,22.33,24.52,23.42,18.14,10.96,8.33,3.62
1905,-2.30,-1.78,3.49,12.83,18.28,22.90,24.62,23.25,18.45,14.27,7.26,1.75
1906,-1.66,0.31,6.55,10.88,18.25,23.03,24.38,24.22,18.20,13.79,7.37,3.72
1907,0.20,0.24,6.30,13.39,16.17,20.86,24.70,22.89,18.10,10.80,5.53,2.45
1908,0.10,1.27,5.72,12.72,16.97,22.47,25.09,23.02,18.16,11.00,7.46,2.10
1909,-2.50,1.59,7.65,14.28,17.70,22.42,24.07,23.58,18.00,12.14,9.48,3.40
1910,0.44,2.43,5.61,11.99,18.83,22.15,24.95,23.42,18.12,12.42,5.95,-1.14
1911,-1.90,2.14,5.73,12.48,18.18,23.33,24.27,23.34,18.67,11.65,4.93,0.62
1912,-0.45,3.73,6.72,13.43,17.51,22.86,25.08,22.62,16.90,13.66,5.98,1.82
1913,0.87,0.08,4.86,11.43,18.93,22.18,25.30,22.71,18.38,13.01,6.67,3.73
1914,3.20,1.65,7.59,13.41,17.88,24.25,24.98,23.36,19.51,12.98,6.89,0.23
1915,1.32,1.34,10.42,13.01,20.07,23.34,24.25,24.43,20.04,12.94,8.14,3.31
1916,1.28,-0.11,7.60,13.73,17.77,21.18,24.38,24.61,18.49,11.75,3.16,2.06
1917,2.57,4.32,7.27,13.34,19.61,22.18,24.31,23.25,18.16,11.37,5.44,0.96
1918,-0.48,1.78,5.65,11.21,18.63,22.03,24.97,23.08,18.28,12.65,5.77,0.79
1919,-2.09,0.80,6.12,13.26,16.89,22.75,24.89,23.17,17.64,12.52,6.37,2.05
1920,0.48,-1.46,6.89,10.96,16.01,21.58,23.94,22.52,18.58,13.31,4.73,-1.56
1921,-0.15,1.01,5.79,14.01,16.83,21.92,24.76,22.11,17.74,12.47,6.35,2.92
1922,0.67,1.70,7.67,13.60,17.38,22.16,24.51,23.06,18.40,12.97,7.30,3.14
1923,-0.44,1.51,7.49,12.17,17.15,22.36,23.56,23.42,16.35,12.23,5.13,0.38
1924,-0.10,1.90,7.60,12.55,15.38,21.50,24.52,23.34,17.49,12.64,6.09,1.10
1925,-2.41,-1.13,8.71,13.65,18.45,22.96,24.93,23.19,18.47,13.37,5.97,4.43
1926,0.79,2.80,7.31,10.82,17.92,21.89,24.39,24.36,18.91,12.57,3.45,2.96
1927,-2.58,0.44,5.15,13.39,18.05,22.54,25.35,23.62,18.69,14.63,6.21,2.66
1928,-2.23,1.57,4.68,13.45,18.49,22.65,23.62,22.10,17.05,12.48,6.88,1.47
1929,-4.00,-0.26,7.97,15.02,17.59,21.75,24.02,22.28,19.44,11.52,5.70,-2.02
1930,-5.58,-0.57,6.68,11.89,17.73,22.76,25.23,22.79,17.03,12.30,7.76,0.47
1931,-0.51,-3.05,7.38,14.26,16.34,21.13,23.92,23.92,19.13,12.57,5.27,1.18
1932,-0.08,2.19,7.90,14.77,16.63,22.26,25.06,22.14,18.51,11.71,5.37,-1.49
1933,-3.71,2.57,5.17,11.94,18.42,22.33,25.51,23.23,17.67,12.30,7.05,3.30
1934,-5.15,4.04,6.57,12.24,15.15,22.59,24.29,23.78,17.67,11.69,4.96,2.69
1935,-3.80,2.97,7.02,11.93,17.03,20.57,24.50,23.85,18.06,12.54,4.94,1.56
1936,-1.93,3.15,4.96,12.30,19.59,23.14,24.54,23.01,19.28,14.40,6.10,0.68
1937,-2.86,2.27,4.76,10.94,18.04,22.84,24.99,23.95,18.78,11.98,5.02,0.60
1938,0.16,2.34,5.89,14.38,20.32,21.76,24.01,23.40,18.25,12.51,4.92,2.00
1939,0.46,1.63,4.87,10.17,17.53,23.90,24.79,23.32,19.18,13.06,7.35,4.62
1940,1.36,3.64,5.44,13.36,17.99,23.41,25.39,22.86,18.66,14.39,7.68,3.53
1941,-0.40,4.92,9.62,14.41,19.70,23.80,24.48,24.21,18.60,15.53,7.17,2.91
1942,0.05,0.79,8.29,13.54,18.68,22.44,24.97,22.74,17.99,13.75,8.88,1.29
1943,-1.50,1.45,5.52,11.88,17.03,21.74,24.91,23.64,18.37,12.14,6.33,4.09
1944,0.84,2.92,9.86,13.21,19.11,22.75,26.26,23.54,17.74,12.58,6.88,-2.05
1945,-2.12,0.03,6.21,12.27,16.82,22.42,24.41,24.17,19.17,13.30,6.54,1.80
1946,-0.63,4.53,7.79,15.67,20.57,22.60,24.58,23.36,19.05,14.56,4.02,-1.69
1947,0.70,2.50,9.67,14.24,18.16,22.12,24.35,24.68,19.09,13.06,9.58,2.32
1948,1.56,2.87,6.48,12.99,19.41,22.24,25.41,23.37,18.62,12.63,5.64,0.44
1949,-2.47,1.60,6.65,13.46,18.36,20.84,25.05,22.60,18.58,10.31,4.07,2.00
1950,-1.90,-1.42,6.55,10.88,18.23,22.36,24.89,23.16,17.27,12.87,3.77,-1.06
1951,-0.87,-0.69,5.66,12.04,17.92,20.72,24.23,23.04,19.39,15.07,6.92,4.21
1952,0.21,4.12,6.99,14.03,17.63,22.66,24.62,23.02,17.88,12.20,4.74,1.43
1953,0.83,5.18,7.77,13.11,18.15,22.44,25.31,23.17,18.49,11.53,6.01,2.64
1954,-0.26,1.08,5.99,13.18,18.37,21.75,24.22,23.06,18.52,12.03,5.88,1.37
1955,0.23,4.40,8.36,11.98,16.28,21.94,24.93,24.06,19.07,11.89,7.82,3.96
1956,-0.65,2.48,6.54,13.46,19.54,21.50,24.79,22.59,18.76,12.00,6.99,1.30
1957,-2.70,-0.08,7.04,10.61,16.20,21.22,23.78,22.60,17.48,11.81,5.55,2.40
1958,2.35,3.06,9.10,14.66,16.58,22.67,25.22,23.08,18.76,12.67,4.17,3.72
1959,-0.51,0.08,7.07,14.17,17.33,22.56,23.86,24.50,20.56,13.97,5.11,-0.07
1960,1.03,5.17,4.25,11.07,16.49,22.92,24.46,23.74,18.60,12.88,5.69,1.01
1961,0.69,0.46,7.67,12.28,19.01,22.26,25.16,23.34,19.94,11.55,5.91,2.91
1962,-0.41,4.36,8.89,13.15,17.56,21.55,24.80,22.88,16.86,11.87,4.08,1.60
1963,1.91,5.62,7.59,13.92,16.85,23.45,24.87,23.14,18.54,14.41,6.85,1.71
