Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.82,-3.56,0.92,5.31,8.06,13.67,15.64,15.04,12.37,6.62,1.14,-0.77
1902,-0.56,0.06,3.17,5.93,5.95,11.08,15.86,14.74,11.67,6.71,2.74,0.22
1903,-0.44,0.72,2.94,3.34,7.74,10.74,14.62,14.84,11.95,8.51,3.14,-0.58
1904,-0.53,0.70,1.31,5.42,9.71,12.98,16.95,15.91,11.07,7.81,1.78,0.94
1905,-1.90,-1.11,3.35,5.56,7.07,12.26,16.66,14.77,11.61,5.14,1.88,-0.47
1906,0.13,-1.13,1.34,3.40,7.84,12.80,15.21,16.20,12.23,8.54,3.03,-1.02
1907,-1.45,-1.93,1.84,3.80,7.56,12.09,14.00,15.46,12.59,7.37,3.50,2.16
1908,-0.74,0.26,0.84,3.00,9.85,11.95,14.91,14.52,12.13,8.49,3.15,0.46
1909,-1.85,-2.35,0.90,5.57,8.34,10.24,13.63,14.89,10.87,8.66,1.87,1.51
1910,-0.08,1.10,1.79,3.83,6.64,12.11,13.91,14.21,10.77,7.84,2.77,1.62
1911,-2.55,-0.03,1.79,3.49,8.09,11.62,17.01,17.01,14.20,7.60,3.60,2.26
1912,0.56,2.36,4.07,4.02,9.27,11.74,14.25,12.96,9.64,6.64,1.23,0.06
1913,1.20,-0.03,3.02,4.05,8.27,12.54,14.19,14.70,11.65,8.26,4.91,-0.04
1914,-2.95,1.45,3.31,5.71,7.67,10.68,14.18,14.48,12.37,7.19,2.24,1.23
1915,-0.50,-0.55,1.75,3.37,9.22,12.31,15.07,14.97,11.25,6.16,1.82,2.45
1916,0.79,0.43,1.48,4.67,8.92,10.89,14.64,15.37,10.88,7.84,3.18,0.98
1917,-1.92,-1.53,0.52,2.50,9.22,12.81,15.42,14.17,13.35,6.12,2.35,-1.70
1918,-0.52,0.04,1.44,3.17,8.79,11.26,14.98,15.09,12.60,5.69,2.49,1.48
1919,-0.93,0.41,1.92,3.25,8.47,12.57,13.08,15.73,12.97,5.16,0.82,0.33
1920,1.02,1.15,3.02,5.01,10.04,11.99,14.84,13.64,11.83,7.49,1.76,-0.15
1921,0.89,-0.13,2.18,3.67,8.56,12.78,16.65,14.90,14.03,10.28,1.76,0.23
1922,-0.72,0.68,2.37,4.04,9.99,11.85,14.18,14.81,10.23,7.14,1.86,-0.13
1923,-0.89,1.47,3.08,4.59,8.58,10.47,16.51,16.43,11.66,9.39,2.53,-0.04
1924,-0.12,-1.96,2.42,5.13,10.36,12.58,15.68,13.37,12.37,8.26,3.61,0.56
1925,0.14,0.62,-0.33,4.27,7.75,12.68,14.18,14.57,10.77,7.98,1.40,0.41
1926,0.20,3.52,3.50,5.45,7.11,11.05,14.90,15.70,14.79,9.55,4.29,-1.15
1927,0.15,0.02,3.22,5.78,9.60,12.56,14.90,14.68,12.26,8.32,3.12,0.87
1928,0.16,1.55,3.19,4.41,7.10,12.63,17.63,16.58,13.16,8.32,3.66,-0.39
1929,-2.84,-1.95,2.26,4.04,8.25,13.22,16.00,14.77,13.93,8.14,3.39,2.27
1930,1.63,-1.31,2.99,4.38,8.30,13.16,14.56,15.37,13.29,9.33,4.95,1.38
1931,0.03,-0.62,2.38,4.58,8.97,14.09,14.94,14.47,9.98,7.69,3.99,-1.12
1932,-0.21,-3.02,2.33,3.56,7.92,11.22,13.54,16.29,13.90,7.75,4.12,1.88
1933,-1.64,-0.12,3.09,5.90,9.27,10.66,16.07,17.34,13.83,8.59,1.69,-2.89
1934,-1.18,-1.35,1.71,4.71,9.73,13.49,16.74,14.27,13.60,8.42,1.17,3.22
1935,-2.13,0.40,1.91,4.58,6.40,12.97,16.42,14.57,13.43,7.12,3.15,0.84
1936,2.70,1.31,3.04,4.24,7.62,11.10,14.24,14.87,12.97,5.28,2.77,0.05
1937,1.28,2.67,1.72,5.10,9.10,12.91,15.85,15.91,12.33,8.13,3.55,-0.40
1938,-0.57,-1.29,3.17,3.57,7.05,13.24,14.88,14.71,12.00,8.33,5.10,-0.37
1939,1.79,0.42,1.03,4.92,6.50,11.57,14.33,14.56,12.38,7.55,4.40,-0.24
1940,-2.50,1.46,3.70,5.04,8.56,11.45,14.19,14.58,12.43,6.79,3.29,-2.60
1941,-1.84,0.84,2.92,3.69,5.98,11.79,15.48,13.82,11.79,7.20,2.36,-1.17
1942,-2.30,-2.90,3.72,5.34,8.90,13.19,15.18,15.11,13.42,9.91,2.47,0.64
1943,1.01,0.83,3.11,6.42,10.06,13.51,15.66,16.30,13.06,8.68,2.10,0.21
1944,-0.51,-2.18,1.46,6.25,9.27,12.56,15.30,16.87,12.59,6.23,3.52,-0.23
1945,-3.97,1.64,3.27,7.24,10.00,13.69,16.89,14.87,13.93,8.98,3.42,1.49
1946,-1.62,1.44,2.37,5.72,8.05,12.29,15.68,15.47,13.73,8.80,3.00,-1.02
1947,-1.82,-0.21,3.98,6.13,9.19,14.29,17.06,16.55,13.41,8.94,5.26,-0.33
1948,1.56,0.64,4.42,5.33,9.06,12.60,13.88,15.37,12.47,8.39,4.03,1.70
1949,0.23,0.08,1.22,6.48,7.50,12.87,16.94,16.47,15.07,9.53,3.26,1.23
1950,-0.67,1.87,2.62,3.82,8.97,14.09,17.40,15.87,12.33,8.29,4.66,-1.52
1951,0.44,0.28,2.05,4.15,6.63,12.31,15.62,14.42,13.42,6.91,4.57,1.58
1952,-1.49,-0.95,4.72,5.85,9.99,14.99,16.92,16.14,11.43,9.00,3.19,0.99
1953,-2.91,-1.69,2.58,5.02,10.71,10.94,15.08,16.27,13.45,8.49,3.69,4.14
1954,-1.57,-1.58,3.03,3.89,7.74,12.23,13.88,14.07,13.02,8.88,5.17,2.26
1955,3.06,0.64,1.27,5.93,9.21,12.70,16.34,16.03,12.83,7.44,2.90,2.79
1956,0.96,-3.82,2.46,3.82,9.30,10.82,14.94,14.73,13.52,7.32,1.35,0.26
1957,-1.37,2.58,4.74,4.49,7.23,11.42,15.24,14.92,12.76,7.87,2.50,0.29
1958,-0.07,1.56,2.39,3.54,9.66,12.05,14.84,15.59,15.10,8.17,3.35,2.16
1959,0.06,0.78,4.02,5.25,8.56,12.77,16.81,15.54,13.12,8.16,3.11,2.26
1960,-0.23,1.04,3.90,5.05,10.31,13.87,14.65,14.68,11.84,7.27,4.16,-0.73
1961,-0.47,2.93,3.62,6.90,9.34,13.19,15.56,14.94,15.00,8.84,3.28,1.95
1962,1.41,-0.32,0.88,4.61,7.85,12.24,15.48,16.49,13.46,9.11,1.46,-1.32
1963,-2.53,-2.87,2.67,4.77,8.19,12.19,16.16,13.82,11.73,8.49,5.42,-1.05
1964,-1.91,1.08,2.14,4.85,10.72,13.43,16.97,15.50,14.38,6.84,3.27,-0.18
1965,-0.27,-2.56,2.72,4.73,9.12,12.86,14.90,14.72,10.75,9.46,3.68,2.34
1966,0.67,3.36,2.14,5.92,8.83,13.00,14.07,14.63,14.01,8.82,1.76,2.00
1967,-0.55,0.86,3.94,4.42,8.34,11.49,17.03,15.69,12.78,10.41,4.68,-0.84
1968,0.32,0.97,2.21,5.23,7.85,12.02,15.29,14.41,12.69,10.27,4.04,1.58
1969,0.91,-1.47,2.55,4.78,8.63,10.80,15.80,15.36,11.63,9.06,3.15,-0.94
1970,1.37,0.96,0.55,3.83,8.31,13.69,15.66,15.46,14.35,7.79,5.41,-1.07
1971,-0.11,0.30,-0.43,5.75,8.42,11.53,16.42,16.53,13.25,9.27,1.48,1.19
1972,0.09,1.66,3.31,4.27,7.37,10.73,15.24,13.72,10.22,7.72,4.66,0.94
1973,-0.12,-0.49,1.39,3.58,9.51,12.89,15.76,16.81,13.52,7.09,3.66,0.68
1974,2.07,0.94,2.71,3.85,8.50,12.33,15.24,15.37,11.86,4.59,3.99,2.40
1975,1.87,1.56,1.22,4.38,7.77,11.95,16.52,16.32,12.49,7.69,3.22,-0.48
1976,-0.24,1.05,2.45,3.79,9.07,14.92,16.32,15.26,11.68,7.46,2.13,1.49
1977,0.41,2.83,3.80,4.58,7.08,10.89,13.84,13.57,12.14,9.77,3.39,1.98
1978,-0.50,1.42,3.22,3.24,7.50,10.99,14.43,15.00,13.56,7.90,2.91,2.51
1979,0.15,1.11,3.11,3.70,8.41,12.98,16.21,14.89,12.61,8.86,2.46,1.56
1980,-0.42,2.15,2.37,3.53,7.20,11.04,13.84,16.10,14.02,7.92,2.59,-0.91
1981,-0.04,-1.19,4.38,5.15,7.72,12.89,14.34,15.89,13.60,8.79,3.63,2.41
1982,2.88,1.35,2.12,5.06,8.77,14.09,17.66,15.09,13.99,8.05,4.60,1.46
1983,0.49,-1.50,2.92,4.78,7.95,12.98,18.18,15.55,13.86,8.95,5.49,1.01
