Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.84,20.11,18.66,14.08,11.70,10.22,8.36,9.67,13.78,16.26,18.08,21.00
1902,21.29,21.33,18.44,16.04,12.37,9.39,7.23,7.37,12.37,14.95,17.56,20.20
1903,20.53,20.01,18.40,13.80,11.24,8.54,7.94,9.08,13.78,14.40,17.27,19.26
1904,20.97,19.60,17.40,15.93,11.61,8.98,9.06,9.56,13.55,14.50,16.67,19.00
1905,20.65,19.62,18.74,14.15,10.06,8.97,6.96,9.65,12.73,14.53,17.22,19.20
1906,20.90,21.24,19.73,15.30,12.32,6.14,7.62,9.87,12.13,16.07,18.41,19.46
1907,21.66,20.52,17.97,14.15,10.06,6.81,8.07,8.43,10.80,14.44,18.03,19.79
1908,21.31,20.28,19.09,13.49,10.75,9.23,8.54,8.77,11.84,14.86,17.41,19.80
1909,21.93,19.72,18.63,15.24,9.85,7.31,7.63,10.95,12.48,14.54,16.70,18.95
1910,20.60,19.45,16.93,13.62,10.68,8.70,7.63,10.18,12.37,15.75,18.50,20.01
1911,21.34,19.83,17.78,13.69,11.24,7.68,8.35,8.41,10.51,14.29,17.69,19.95
1912,21.53,20.70,19.24,14.90,10.28,8.62,7.51,8.78,12.98,16.06,17.53,21.25
1913,21.31,21.76,18.19,16.05,11.63,9.20,10.10,9.93,12.83,15.46,18.71,20.06
1914,21.60,20.91,17.86,14.08,11.59,9.54,9.67,9.53,11.53,14.40,16.20,19.41
1915,20.48,20.72,17.41,14.51,11.24,6.09,8.86,10.67,12.09,15.60,18.44,20.45
1916,21.25,20.37,17.87,15.72,11.97,5.53,6.51,9.70,13.29,16.42,18.85,19.79
1917,22.20,20.38,17.78,14.79,9.86,8.75,7.54,9.10,12.66,15.09,18.32,21.16
1918,20.77,20.17,18.11,15.13,9.84,7.66,8.06,9.82,11.19,15.04,17.95,20.53
1919,22.09,20.31,18.46,14.84,13.50,8.07,8.31,9.46,11.39,15.18,17.41,20.73
1920,22.05,20.49,18.86,15.83,12.02,7.69,6.77,10.00,12.92,14.63,18.00,20.05
1921,20.39,19.81,17.28,15.01,12.46,6.12,6.81,9.22,11.79,14.80,17.77,20.67
1922,20.63,19.90,17.84,13.95,11.43,6.37,9.48,8.67,12.74,13.80,18.30,19.93
1923,21.02,20.95,18.86,14.66,9.92,8.95,6.03,8.70,12.23,13.59,17.91,19.05
1924,20.88,20.44,18.10,14.09,9.98,8.22,7.43,8.37,11.23,15.00,17.33,20.93
1925,21.12,20.89,19.52,14.51,10.17,7.02,7.16,10.71,12.34,14.50,18.34,20.39
1926,21.74,21.41,19.60,14.26,10.34,8.78,7.72,10.41,12.35,15.49,18.16,20.18
1927,20.89,21.89,18.92,14.97,10.98,7.54,8.06,10.15,11.48,15.23,18.33,19.50
1928,20.37,19.02,17.61,14.76,10.30,6.98,7.99,9.12,11.72,15.23,18.41,19.26
1929,21.66,20.74,18.33,16.13,10.16,7.65,8.75,9.57,12.81,14.60,18.43,20.56
1930,21.86,21.15,18.62,15.58,11.12,10.78,6.97,8.09,12.93,13.86,17.63,20.31
1931,20.83,21.37,18.32,13.95,8.60,6.76,7.49,8.99,10.56,16.01,16.47,20.55
1932,22.01,20.64,19.00,14.99,9.92,8.43,10.01,8.61,12.37,15.37,18.91,20.17
1933,20.76,20.14,17.79,15.25,11.77,8.10,6.32,10.58,12.19,15.67,18.05,19.48
1934,22.10,19.25,18.40,12.95,11.02,8.73,8.39,9.94,11.45,14.16,16.81,19.33
1935,20.95,20.68,19.84,13.98,13.26,9.20,7.68,10.17,10.96,13.10,18.25,19.76
1936,21.11,20.26,18.54,14.73,10.91,8.17,8.86,8.51,12.18,15.10,17.50,19.94
1937,21.20,21.24,17.96,14.71,10.37,9.59,7.61,9.58,11.60,14.03,17.97,20.51
