Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-8.89,-3.80,3.72,8.98,11.86,17.59,20.85,20.33,14.51,6.53,1.25,-1.35
1902,-5.40,-4.29,0.33,6.48,11.55,17.43,19.54,20.34,13.65,7.64,-1.07,-5.49
1903,-8.34,-6.13,-2.05,8.27,12.55,16.75,20.61,19.94,13.61,9.13,1.75,-3.99
1904,-11.60,-3.23,0.22,4.37,10.32,14.92,19.98,20.14,15.43,9.17,2.79,-5.34
1905,-9.58,-8.02,-1.72,6.13,10.58,16.50,20.14,19.56,16.15,12.52,4.44,-4.84
1906,-8.95,-5.28,1.45,6.93,13.31,16.73,19.69,18.60,13.56,9.05,2.04,-2.15
1907,-8.23,-7.39,-1.05,5.57,12.35,16.83,21.04,19.53,13.62,7.90,-0.82,-5.23
1908,-8.93,-6.10,-1.89,5.17,10.66,16.54,19.40,20.24,16.40,7.35,0.25,-6.53
1909,-10.90,-6.07,0.47,5.28,12.81,14.69,20.76,19.17,17.38,10.39,4.88,-3.02
1910,-5.66,-3.99,-0.10,6.94,11.78,16.18,21.19,19.94,14.58,8.61,3.32,-6.89
1911,-11.97,-10.43,-3.06,5.21,11.34,14.77,20.33,19.52,13.65,6.47,2.60,-4.82
1912,-6.34,-3.97,1.46,5.24,9.62,16.85,18.72,18.95,17.47,8.54,2.91,-4.66
1913,-8.65,-8.86,-1.25,5.81,10.98,14.57,20.40,21.57,16.50,7.85,2.83,-2.77
1914,-4.79,-2.92,3.78,6.32,11.24,15.59,20.59,19.33,14.13,8.76,-0.85,-4.88
1915,-3.16,-4.39,1.52,6.41,10.44,15.03,19.80,19.06,14.82,8.73,3.74,-1.60
1916,-6.23,-5.33,0.99,7.51,12.68,15.87,20.20,19.80,13.85,8.51,2.56,-2.80
1917,-5.30,-6.31,1.09,10.34,10.18,15.31,20.86,19.92,16.14,9.03,4.40,-4.10
1918,-6.59,-5.52,-0.20,5.74,9.99,15.14,19.76,19.50,17.51,12.28,1.79,-4.42
1919,-5.01,-4.53,-0.13,8.16,9.11,13.84,19.07,18.43,16.33,12.68,3.29,-3.71
1920,-5.95,-11.07,0.29,7.51,11.56,16.01,19.64,20.95,15.17,5.97,-1.91,-8.82
1921,-7.17,-9.06,-1.88,6.50,13.18,16.72,20.34,19.60,13.70,7.02,1.04,-5.04
1922,-6.45,-5.31,1.06,7.56,12.93,16.01,20.75,19.84,14.34,9.64,3.31,-3.55
1923,-5.81,-5.29,0.08,4.71,12.98,17.56,20.99,17.98,15.84,9.81,3.91,-2.22
1924,-4.84,-5.97,0.24,5.87,12.40,18.28,19.89,20.40,17.72,8.64,1.93,-7.44
1925,-10.32,-5.85,3.13,6.13,12.86,15.64,19.76,20.94,16.54,8.45,3.05,-1.80
1926,-6.30,-5.66,-0.21,6.37,12.40,15.72,19.20,19.99,13.60,8.57,2.81,-2.52
1927,-8.81,-9.06,-0.07,6.87,11.82,17.56,20.45,20.70,16.60,12.28,2.53,-7.01
1928,-9.90,-9.37,-5.15,7.70,11.70,15.34,19.55,17.51,15.68,7.32,3.77,-3.77
1929,-9.14,-9.45,-5.11,5.67,13.68,15.23,19.29,21.54,15.01,9.90,3.65,-4.35
1930,-5.98,-5.94,1.44,7.20,12.09,14.57,20.79,21.70,15.26,8.80,4.00,-3.54
1931,-8.59,-7.40,0.76,5.42,10.91,15.99,20.84,19.81,16.98,8.96,0.21,-8.33
1932,-9.96,-7.94,-0.78,7.80,11.72,17.29,18.50,20.07,14.81,11.44,0.60,-7.24
1933,-11.53,-7.44,-3.10,4.99,11.90,14.17,19.74,20.81,16.10,9.20,3.56,-6.81
1934,-10.21,-6.87,-0.06,5.77,11.46,15.45,20.20,19.07,14.54,9.62,3.09,-4.93
1935,-9.91,-5.04,-1.79,8.05,12.45,15.57,20.36,21.70,17.81,10.89,0.97,-1.74
1936,-6.38,-4.38,0.10,7.28,10.39,15.42,20.44,20.37,13.61,9.00,3.97,-4.53
1937,-9.80,-6.09,1.55,6.85,11.06,13.81,21.56,21.10,18.38,10.48,4.45,-1.81
1938,-5.81,-5.66,-2.73,7.30,11.79,15.69,21.07,20.64,16.21,9.56,2.77,-2.05
1939,-5.76,-4.54,-0.61,6.35,13.33,16.99,19.72,19.04,14.57,9.25,1.90,-2.90
1940,-8.20,-4.50,-2.08,8.60,10.22,16.02,20.64,22.21,16.11,8.93,4.30,-1.32
1941,-6.97,-2.50,0.70,8.16,13.25,17.67,21.12,19.17,16.22,6.65,-0.29,-8.38
1942,-9.12,-6.02,-3.02,4.69,12.03,17.08,20.42,20.50,15.18,9.64,3.11,-4.43
1943,-6.74,-7.56,-3.86,5.85,11.96,15.36,19.48,20.28,14.89,10.68,4.16,-2.66
1944,-7.93,-4.34,2.67,6.58,11.14,16.40,20.20,18.32,15.93,10.08,3.74,-4.94
1945,-6.67,-8.39,-2.42,5.10,11.03,14.49,19.96,19.95,15.78,8.92,1.19,-5.32
1946,-8.51,-5.23,-0.08,6.36,11.97,15.63,18.74,19.76,16.86,6.54,2.91,-5.60
1947,-7.17,-6.08,3.50,7.74,11.33,16.41,20.88,19.39,14.42,8.25,4.25,-1.38
1948,-3.79,-3.36,-3.04,5.09,12.50,17.70,21.14,21.08,14.63,7.49,-0.29,-7.69
1949,-9.88,-9.45,-2.68,4.15,11.93,18.04,21.99,19.74,14.36,7.56,3.66,-4.01
