Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.00,25.30,25.30,26.20,26.80,27.10,27.20,27.60,27.10,26.70,25.70,24.70
1902,24.10,24.80,24.70,25.20,26.10,27.00,27.30,27.50,26.70,26.20,25.70,25.10
1903,24.60,24.70,24.50,25.50,26.70,27.40,27.40,27.20,26.80,26.50,25.50,24.90
1904,24.20,24.00,23.90,24.60,25.70,26.60,26.80,26.60,26.30,26.10,26.10,25.10
1905,24.20,23.90,24.20,25.80,25.70,27.00,27.30,27.40,26.80,26.50,26.20,24.90
1906,24.00,24.20,24.30,25.20,26.00,26.50,27.00,27.30,26.60,26.50,26.00,24.10
1907,23.40,23.40,23.70,24.60,25.30,26.60,27.20,26.90,26.40,26.20,25.70,25.00
1908,24.30,24.00,23.90,24.50,25.40,26.60,27.40,27.40,26.70,26.20,25.50,24.80
1909,23.90,23.80,24.80,24.60,25.90,26.10,26.90,26.70,26.80,26.30,25.20,24.20
1910,23.50,23.30,23.70,24.50,25.30,26.40,26.90,27.00,26.40,26.70,26.10,25.10
1911,23.60,23.60,23.60,24.70,25.20,26.90,26.60,27.10,26.70,26.40,25.90,25.10
1912,24.70,24.50,24.20,25.30,26.00,26.60,27.30,27.10,26.60,26.20,25.70,25.20
1913,24.00,23.50,23.80,24.10,26.00,25.80,26.30,26.40,26.40,25.80,25.40,24.20
1914,23.90,24.00,24.40,24.70,25.40,26.10,26.60,26.60,26.70,26.30,25.80,25.60
1915,24.50,24.30,25.10,25.30,26.10,27.10,27.40,27.50,27.00,26.90,26.20,25.30
1916,24.00,24.10,24.10,25.00,26.20,26.90,27.20,27.30,26.60,26.30,25.40,24.10
1917,23.50,23.40,23.50,24.60,25.70,26.60,27.10,26.80,26.50,26.80,25.60,24.20
1918,23.50,23.80,23.90,24.50,25.20,26.50,27.00,27.30,26.90,26.60,25.40,24.50
1919,23.90,24.30,24.20,24.90,26.30,26.90,26.80,27.10,26.40,26.10,25.20,24.90
1920,24.00,24.30,24.50,25.10,25.90,26.20,26.60,26.50,26.30,26.00,25.40,24.50
1921,24.10,24.30,24.10,24.10,25.30,26.50,26.40,26.60,26.50,26.20,25.70,24.90
1922,23.90,24.10,23.80,24.10,25.40,26.20,26.70,26.70,26.40,26.30,25.40,24.50
1923,23.70,23.70,24.10,24.50,26.40,26.40,26.90,27.40,27.00,26.90,26.20,24.80
1924,24.30,24.40,25.30,25.80,26.50,26.90,27.40,27.60,27.30,26.80,25.40,24.70
1925,23.90,23.30,23.60,25.00,25.70,26.50,26.70,27.30,27.00,26.70,25.90,25.70
1926,24.70,24.70,25.20,25.50,26.50,27.20,27.60,27.40,26.90,26.40,26.10,25.20
1927,23.90,23.70,24.40,24.90,26.00,26.60,27.10,27.20,27.10,26.70,26.30,25.30
1928,24.50,24.50,24.60,25.10,26.10,26.80,27.10,27.00,26.50,26.30,26.00,25.20
1929,24.50,24.70,23.90,24.50,24.80,26.30,27.10,26.90,26.40,26.40,25.50,24.70
1930,23.80,23.80,24.30,25.00,26.20,26.80,26.80,27.10,26.60,26.80,26.10,25.30
1931,24.90,24.40,25.80,26.10,27.20,27.50,27.80,27.60,26.90,26.90,26.10,25.20
1932,24.30,24.20,25.20,26.10,26.40,27.50,27.50,27.70,27.60,27.20,26.60,25.70
1933,24.90,23.80,24.80,25.50,26.40,27.10,27.60,27.50,26.80,26.80,26.10,25.00
1934,24.20,24.20,24.20,25.40,26.20,27.10,27.10,27.20,26.70,26.80,25.80,25.20
1935,24.40,24.30,24.30,25.10,25.80,27.20,27.20,27.10,26.60,26.50,25.90,24.70
1936,24.50,24.60,25.00,25.80,26.60,27.30,27.20,27.30,27.20,26.60,25.60,24.60
1937,24.00,24.30,25.20,25.60,26.90,27.40,27.60,27.70,27.60,27.00,26.70,25.40
1938,24.00,23.90,24.30,24.50,25.80,26.80,27.30,27.60,27.20,27.00,25.90,25.30
1939,24.00,23.80,24.60,24.80,25.80,26.70,27.30,27.60,27.60,27.20,26.50,25.70
1940,25.00,25.20,25.40,26.10,27.00,27.40,27.80,27.70,27.80,27.50,26.60,25.50
1941,25.00,25.80,25.90,26.50,27.10,27.40,27.30,27.70,27.30,27.30,26.50,25.60
1942,25.30,25.60,25.80,26.40,26.90,27.70,27.70,27.60,27.40,27.50,26.70,25.70
1943,24.70,24.80,24.50,25.70,25.70,26.80,27.30,27.50,27.50,27.20,26.20,25.40
1944,24.90,24.80,24.80,26.00,26.30,27.10,27.60,27.80,27.20,27.30,26.20,25.30
1945,24.10,24.20,24.40,24.70,25.90,27.00,27.40,27.40,27.10,26.70,25.80,25.10
1946,24.50,24.10,24.60,25.20,25.70,26.80,27.20,27.50,27.10,27.10,26.30,25.50
1947,24.40,25.20,25.40,25.40,26.30,27.30,27.40,27.60,27.30,27.30,26.40,25.40
1948,24.90,24.60,24.80,25.30,27.10,27.70,27.60,27.70,27.30,27.00,26.30,25.20
1949,23.90,24.00,24.60,25.60,26.70,27.00,27.20,27.80,27.20,26.80,26.10,24.80
1950,23.70,24.10,24.10,24.90,25.90,26.80,27.20,27.50,27.20,26.90,26.20,25.00
1951,24.10,24.00,24.30,26.10,27.10,27.60,27.80,28.10,27.50,27.20,26.60,25.60
1952,24.40,24.70,25.30,26.30,27.10,27.70,27.50,27.80,27.20,27.20,26.20,24.60
1953,24.30,24.30,24.80,25.80,26.40,27.20,27.90,27.70,27.30,26.70,26.30,25.30
1954,24.30,24.50,25.30,25.40,26.60,27.20,27.70,27.80,27.00,26.40,25.70,25.00
1955,24.30,24.30,24.40,25.30,26.50,27.10,27.30,27.90,27.10,27.00,26.20,25.30
1956,24.30,24.20,25.10,25.90,26.20,26.80,27.10,27.20,27.00,26.60,25.80,25.00
1957,24.30,24.50,24.90,25.50,26.30,27.20,27.70,27.60,27.30,26.80,26.10,25.40
1958,24.70,24.90,26.20,27.00,27.10,27.60,27.70,28.10,27.60,27.10,26.20,25.60
1959,24.60,24.60,25.50,26.10,26.00,27.10,27.50,27.50,27.50,26.80,26.10,26.00
1960,25.10,25.20,25.50,26.00,27.10,27.80,27.60,27.60,27.20,27.30,26.50,25.20
1961,25.00,24.90,25.20,26.20,26.80,27.30,27.40,27.70,27.30,26.70,25.80,25.30
1962,24.80,24.30,25.20,25.90,26.60,27.30,27.90,27.70,27.30,27.10,26.30,25.70
1963,25.00,25.10,25.20,25.90,26.20,27.40,27.60,28.00,27.50,27.40,26.40,26.10
1964,24.90,25.50,25.80,25.80,26.90,27.40,27.50,27.60,27.30,26.90,26.20,24.40
1965,24.10,24.50,25.60,25.40,26.40,26.90,27.60,27.60,27.30,27.10,26.60,25.60
1966,25.40,24.90,25.50,26.00,26.50,27.30,27.90,27.80,27.20,27.10,26.10,25.40
1967,24.80,24.90,24.60,25.30,26.30,27.30,27.50,27.40,27.30,27.20,26.50,25.10
1968,24.30,24.70,24.70,25.10,26.70,27.20,27.60,27.90,27.50,27.20,26.60,25.60
1969,24.60,24.50,26.00,26.90,27.60,28.20,28.00,27.90,27.50,27.30,26.60,25.70
