Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.71,-7.05,0.35,5.65,10.14,13.97,15.56,14.42,11.51,7.51,-0.38,-1.01
1902,-0.68,-2.11,0.84,6.25,6.00,12.00,14.62,14.26,11.26,6.04,-0.73,-4.12
1903,-4.82,0.14,3.00,2.22,10.09,12.59,14.27,14.52,11.38,7.63,2.12,-2.96
1904,-4.31,-1.20,1.64,6.55,10.31,13.98,16.93,15.33,9.82,6.61,0.45,-1.72
1905,-6.18,-2.35,2.00,4.07,9.46,14.15,17.23,15.36,12.50,3.14,1.39,-1.79
1906,-3.36,-2.99,0.34,5.38,10.16,12.13,15.06,14.67,9.97,7.62,3.51,-4.77
1907,-4.40,-4.50,-1.11,2.98,11.32,13.47,13.43,15.02,11.79,10.07,0.95,-1.41
1908,-5.07,-2.04,-0.32,3.37,12.36,15.20,14.92,13.12,9.86,6.51,-1.46,-3.48
1909,-6.06,-5.74,-0.80,6.18,8.74,12.41,13.42,14.66,11.26,8.38,-0.19,-0.85
1910,-2.56,-0.80,1.60,4.78,9.12,13.72,13.37,13.98,9.60,7.41,-0.01,0.36
1911,-5.09,-2.71,1.44,4.78,9.87,12.72,16.85,16.52,12.62,6.89,3.21,-0.39
1912,-3.97,0.33,3.53,3.80,10.06,13.70,14.85,12.43,7.97,4.88,-1.59,-0.98
1913,-3.93,-3.07,3.42,5.37,9.51,12.74,12.02,12.96,10.84,7.95,3.49,-1.58
1914,-7.08,-1.95,2.11,6.98,8.93,12.03,13.87,14.88,10.33,6.17,0.70,-0.47
1915,-2.85,-2.14,0.03,4.89,11.51,15.01,14.33,12.85,9.50,4.46,-1.21,1.13
1916,0.20,-1.66,3.40,5.36,10.80,11.48,14.51,14.10,9.64,6.39,2.77,0.05
1917,-4.56,-5.90,-1.12,2.16,12.19,15.73,15.47,15.22,13.24,5.99,1.35,-4.96
1918,-2.56,-1.81,1.82,7.12,10.95,10.89,14.28,13.97,12.27,6.03,0.49,-0.04
1919,-1.20,-3.21,1.49,3.17,7.36,12.91,12.40,15.09,12.94,4.59,-0.56,-2.04
1920,-0.33,-0.18,3.73,7.47,12.50,12.25,15.52,13.13,11.86,5.65,-1.03,-1.60
1921,0.71,-1.98,2.77,4.26,11.75,12.27,16.77,15.56,11.89,8.61,-1.29,-2.62
1922,-4.94,-3.77,2.42,4.06,10.99,13.92,14.54,14.80,9.63,4.63,-0.53,-1.77
1923,-2.50,-1.47,1.92,4.68,10.94,9.90,16.38,15.19,11.23,9.07,1.94,-3.37
1924,-5.18,-4.83,-0.01,4.81,11.61,12.94,14.85,12.24,12.15,6.95,0.80,-2.22
1925,-1.83,0.38,-0.91,5.71,10.86,12.70,14.82,14.33,9.47,6.90,0.61,-3.88
1926,-3.65,1.92,1.54,6.89,8.98,11.25,14.19,13.96,12.96,7.37,5.50,-2.51
1927,-1.81,-2.89,2.95,5.40,9.90,14.16,15.70,14.87,12.03,6.50,1.85,-4.12
1928,-2.03,-1.03,0.66,6.03,7.59,13.07,17.84,15.89,11.34,7.23,3.56,-3.61
1929,-7.80,-7.69,-0.06,2.86,10.99,13.47,16.09,15.57,13.08,7.88,2.78,-0.07
1930,-1.68,-3.52,2.81,6.30,9.48,16.13,14.75,14.20,11.83,6.48,3.54,-2.33
1931,-3.28,-3.41,-1.99,3.61,12.80,15.37,15.54,13.81,8.06,5.54,2.00,-3.80
1932,-2.00,-6.56,-2.02,4.76,10.36,12.40,16.04,17.01,14.98,6.92,2.10,-1.54
1933,-5.85,-2.84,1.88,4.53,8.39,11.06,15.45,15.16,11.52,6.88,0.85,-6.40
1934,-3.28,-2.53,2.73,8.24,11.69,13.24,16.25,14.66,13.20,6.87,2.22,2.12
1935,-5.72,-2.08,-0.43,4.72,8.38,15.55,15.78,14.54,11.88,7.86,2.47,-2.74
1936,-0.13,-1.91,3.53,5.79,10.40,13.19,15.50,13.87,11.49,3.59,1.20,-2.00
1937,-3.96,-0.76,1.78,4.94,12.15,14.80,15.24,14.38,11.37,7.71,1.07,-3.50
