Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.80,3.48,8.59,13.69,16.70,22.48,25.02,24.22,18.89,10.90,7.35,5.55
1902,2.87,2.51,5.46,11.13,16.05,22.82,24.06,24.38,18.12,12.50,5.31,1.86
1903,-0.17,2.03,2.64,12.47,17.34,21.95,24.93,23.91,18.15,14.22,7.44,2.35
1904,-4.06,4.08,5.70,8.92,15.33,19.89,23.97,24.11,19.57,13.57,8.91,1.88
1905,-1.70,-0.68,2.53,10.47,15.14,21.80,24.19,23.25,20.54,17.67,10.05,2.53
1906,-1.05,1.50,6.54,11.28,18.03,21.87,24.02,22.54,17.87,14.25,7.74,4.53
1907,0.07,-0.20,4.35,10.36,16.97,21.79,25.67,23.44,18.00,12.28,4.67,1.49
1908,-0.91,1.00,2.89,9.57,14.92,21.63,23.64,24.15,20.71,11.93,6.26,0.66
1909,-2.99,1.29,5.63,9.78,17.31,19.89,24.80,22.96,21.74,14.85,10.89,4.07
1910,2.46,2.93,4.97,11.73,16.68,21.40,25.61,23.97,18.91,13.37,8.86,-0.22
1911,-4.00,-2.85,1.90,9.73,15.86,20.11,24.74,23.46,17.89,10.99,8.02,1.54
1912,1.51,2.98,6.22,9.53,14.38,22.39,23.33,23.09,21.65,13.53,8.64,2.12
1913,-0.27,-1.28,3.87,10.42,15.68,19.61,24.91,25.66,20.86,12.72,8.68,4.33
1914,3.54,4.43,8.89,10.98,15.95,20.77,24.78,23.30,18.61,13.85,4.89,1.58
1915,4.33,2.60,6.90,11.05,15.48,20.21,23.98,23.22,19.53,13.44,9.74,5.31
1916,1.82,1.47,5.59,11.99,17.46,20.87,24.23,23.80,18.34,13.29,7.52,3.65
1917,2.81,0.96,6.03,15.07,14.84,20.61,25.22,23.84,20.73,13.68,10.00,2.95
1918,1.47,1.71,4.76,10.09,14.25,20.38,24.16,23.61,21.89,16.85,7.26,1.59
1919,2.86,2.55,5.01,12.78,13.95,19.20,23.44,22.65,20.65,17.45,9.32,3.06
1920,2.13,-3.61,5.40,11.74,16.11,21.16,23.79,24.77,19.60,11.14,4.41,-1.96
1921,0.83,-1.60,3.32,10.95,18.05,22.24,24.68,23.19,18.11,12.40,6.62,1.85
1922,1.36,1.64,6.29,11.99,17.65,21.23,25.03,23.98,18.48,14.41,9.11,3.58
1923,1.90,1.83,5.16,9.05,17.79,22.77,25.38,22.16,19.95,14.75,9.39,4.01
