Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.51,-1.61,3.55,9.05,12.51,15.69,18.75,17.04,14.39,10.03,4.11,2.91
1902,4.00,0.40,5.72,8.94,9.06,15.32,16.27,15.47,13.28,8.46,3.90,0.91
1903,2.50,5.30,7.23,5.40,12.83,14.49,16.34,15.83,14.57,11.11,5.70,1.11
1904,0.51,2.98,4.13,9.57,12.79,15.08,19.07,16.99,12.59,9.57,4.63,4.38
1905,0.41,3.23,6.39,7.09,11.94,16.93,18.68,16.66,13.37,6.32,4.20,2.79
1906,3.02,2.03,4.37,7.98,12.70,14.63,17.14,17.39,14.32,11.95,7.30,1.02
1907,1.61,0.52,5.16,7.72,12.79,14.35,14.86,16.27,14.54,11.48,5.93,3.76
1908,-0.90,3.48,3.77,6.43,13.53,16.72,17.19,15.48,13.81,10.16,4.20,1.59
1909,0.62,0.57,3.43,9.15,11.75,13.59,15.05,16.83,13.39,11.33,3.91,3.60
1910,3.16,4.19,5.64,8.02,12.45,16.42,15.74,16.53,13.67,10.89,3.82,5.49
1911,0.80,3.55,5.55,7.64,13.91,15.26,19.51,20.46,15.69,10.61,5.91,5.64
1912,2.04,4.85,7.72,8.56,12.63,15.52,18.56,14.53,10.97,8.36,4.92,5.78
1913,2.96,3.67,7.41,8.83,13.02,15.01,14.99,15.93,14.25,11.24,8.45,3.96
1914,-0.64,5.80,6.43,10.79,11.63,14.67,17.73,17.97,14.00,9.79,5.12,5.44
1915,2.85,3.32,4.27,7.82,13.29,16.86,16.43,16.18,13.71,8.05,2.92,5.91
1916,5.96,3.22,4.99,8.97,13.47,12.91,15.99,16.91,13.58,10.36,5.92,3.28
1917,-0.49,-1.48,2.34,5.09,15.29,18.45,17.41,16.70,15.28,8.27,6.99,0.25
1918,2.70,4.17,5.46,8.49,14.48,13.92,16.97,16.90,13.77,9.31,4.78,6.35
1919,2.21,1.17,4.64,6.62,13.63,15.40,14.41,17.03,15.09,7.23,2.41,4.11
1920,4.27,5.57,7.84,9.62,13.82,15.90,16.91,15.13,13.91,9.17,3.34,2.69
1921,6.11,3.56,7.17,9.05,13.83,15.51,19.42,17.64,15.08,13.34,1.49,3.38
1922,0.86,2.09,5.00,6.67,14.15,15.80,15.81,15.70,12.73,6.84,4.51,4.78
1923,3.77,3.97,6.89,8.22,11.20,12.16,19.33,16.74,13.89,11.20,3.64,1.51
1924,0.81,0.57,4.17,7.35,13.94,15.46,17.13,14.86,14.35,10.79,5.29,3.98
1925,4.00,5.20,3.59,8.72,13.91,15.55,18.44,16.86,12.13,10.25,3.30,2.17
1926,2.44,6.79,6.26,10.19,11.01,14.15,17.43,17.11,15.82,8.96,6.94,2.41
1927,3.70,3.29,7.19,8.39,11.96,14.09,17.37,17.10,14.31,10.38,4.33,-0.29
1928,3.65,4.98,5.28,8.71,11.06,14.56,18.34,17.01,13.72,10.06,7.60,2.67
1929,-1.47,-3.91,4.76,5.85,13.12,14.52,17.93,17.16,17.02,10.48,6.17,5.75
1930,4.95,2.03,5.48,9.34,11.88,17.99,16.56,17.13,14.35,10.59,7.33,2.85
1931,2.67,1.59,3.37,7.44,13.88,16.22,17.02,15.97,11.80,9.08,6.88,3.06
1932,4.09,1.07,3.76,7.42,12.21,15.42,17.67,19.64,15.54,9.63,5.63,3.81
1933,0.26,2.83,7.19,8.84,12.37,15.43,18.68,18.47,15.46,10.42,4.09,-1.89
1934,2.23,2.68,5.07,10.51,12.79,16.22,18.61,16.93,16.55,11.39,5.48,7.20
1935,2.45,4.24,5.28,8.13,11.08,16.93,18.33,17.73,14.67,9.76,6.93,2.82
1936,4.85,2.35,6.93,6.58,13.09,16.39,16.65,17.33,14.66,8.57,5.40,3.54
1937,3.25,5.06,3.99,8.92,14.28,16.04,17.35,17.94,14.15,11.09,4.78,2.03
