Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,17.47,20.31,24.72,28.58,28.31,29.33,28.79,28.30,28.00,27.40,22.54,18.95
1902,18.93,20.58,25.90,27.11,27.85,28.67,28.04,28.39,28.05,26.30,22.42,18.64
1903,18.04,19.97,24.77,28.45,28.90,28.34,29.15,27.95,28.16,27.19,22.79,18.75
1904,18.13,20.39,25.35,27.72,27.56,28.11,27.78,28.24,28.30,26.66,22.47,19.08
1905,17.37,18.24,23.44,25.89,27.59,29.53,28.23,27.75,28.23,26.80,23.05,18.98
1906,17.97,19.88,23.53,28.29,28.84,28.63,28.66,27.73,28.75,26.78,23.17,19.51
1907,19.36,20.07,23.60,26.61,28.02,28.17,28.27,28.55,28.22,27.13,23.14,19.00
1908,17.61,20.60,25.41,29.66,28.49,28.77,28.35,28.40,28.33,26.88,22.53,18.60
1909,18.99,20.49,26.26,26.95,28.29,27.46,28.37,27.77,28.70,27.24,24.04,19.48
1910,18.11,20.41,24.75,27.45,28.32,27.72,27.72,28.21,28.57,26.59,22.66,18.57
1911,19.44,19.98,24.20,27.45,28.07,27.80,28.59,28.09,28.05,26.40,22.52,18.10
1912,18.58,21.30,24.81,26.60,28.20,28.73,28.02,28.10,28.34,26.58,22.71,18.69
1913,18.39,20.97,24.07,28.28,27.40,27.10,28.35,28.08,28.25,26.49,22.12,18.52
1914,18.36,21.04,24.84,26.40,27.90,28.28,28.36,27.84,28.04,25.76,22.89,19.54
1915,19.19,20.68,24.63,27.93,28.07,28.19,28.49,28.42,28.05,28.48,24.80,19.44
1916,18.22,20.84,25.96,27.74,29.17,27.85,27.84,28.23,28.47,27.00,23.43,18.61
1917,17.81,20.29,24.23,27.20,27.63,27.73,28.12,28.30,28.06,26.94,23.32,18.96
1918,17.53,20.42,25.24,27.05,28.08,26.76,28.68,27.86,28.50,27.00,23.08,18.83
1919,19.20,20.10,26.18,27.64,28.62,28.33,28.07,28.81,27.78,26.72,23.57,19.32
1920,19.08,20.31,24.57,27.46,28.03,28.97,28.74,28.21,28.37,27.31,23.53,19.99
1921,19.30,20.70,25.81,28.05,29.17,28.06,28.51,28.27,28.43,25.87,22.80,19.43
1922,18.97,21.41,26.02,28.84,29.19,27.64,28.15,28.15,28.32,26.36,23.42,19.39
1923,18.92,20.30,25.33,28.28,28.48,29.12,28.19,28.55,28.38,26.46,23.39,19.75
1924,18.76,20.98,26.92,29.06,28.47,29.32,28.05,28.10,27.76,27.62,23.17,19.46
1925,17.39,19.54,25.13,27.58,27.47,28.27,27.96,28.35,27.86,26.23,22.91,18.78
1926,18.46,21.13,24.29,27.05,28.17,29.21,28.25,28.35,28.49,27.00,22.42,19.96
1927,18.36,20.18,23.60,27.82,27.81,28.67,28.58,28.28,28.05,27.16,23.12,19.81
1928,18.80,21.48,25.84,28.33,28.25,27.81,28.29,28.51,28.74,26.89,22.87,19.81
1929,18.71,20.08,25.54,27.86,28.70,28.50,28.27,28.22,28.41,26.55,22.80,18.95
1930,17.56,20.59,25.21,27.91,28.58,28.08,28.40,28.24,28.49,26.80,22.97,19.01
1931,19.52,20.89,25.05,28.83,28.26,29.13,28.07,28.95,28.09,27.34,22.77,19.82
1932,19.16,19.72,25.68,28.28,28.44,28.74,28.37,28.36,28.53,27.57,23.70,19.68
1933,17.76,21.34,25.84,27.13,27.88,27.97,28.25,28.11,28.45,27.18,22.93,19.44
1934,18.40,20.73,25.41,28.37,28.68,27.86,28.46,28.44,28.77,26.64,22.65,19.37
1935,18.11,21.13,25.82,27.78,29.73,28.83,28.74,27.87,28.44,27.25,23.71,19.46
1936,18.08,20.32,25.96,28.50,28.30,27.53,28.28,28.62,28.30,26.50,24.18,20.05
1937,17.69,20.78,24.81,28.57,28.24,28.71,29.00,28.24,28.71,27.06,23.20,19.68
1938,19.57,19.92,26.47,29.43,27.72,28.03,28.14,28.54,28.97,27.53,22.26,19.31
1939,19.28,21.42,25.20,29.02,28.73,28.34,28.11,28.34,28.16,26.96,23.27,19.73
1940,18.16,20.81,23.50,28.42,28.28,28.68,28.23,28.63,28.33,27.37,24.18,20.07
1941,18.71,21.28,26.55,28.87,28.67,27.94,28.60,28.67,28.53,26.81,22.92,20.66
1942,18.85,21.28,25.79,28.03,29.26,29.23,28.81,28.27,28.05,27.46,24.20,19.63
1943,19.78,20.04,24.84,26.56,28.55,28.38,28.17,28.14,28.56,27.33,24.23,20.52
1944,18.68,20.50,25.42,26.96,29.45,29.19,28.64,28.75,28.39,27.28,23.41,20.86
1945,18.54,19.71,26.06,28.06,28.22,29.07,28.75,28.66,28.91,26.63,23.20,18.98
1946,19.16,22.58,25.66,26.82,28.20,28.21,28.10,28.84,28.56,26.60,24.18,20.46
1947,18.75,21.18,25.75,28.99,28.75,28.99,28.60,28.49,28.55,26.58,23.59,20.49
1948,19.02,20.91,24.64,27.80,27.60,28.68,28.05,28.36,28.60,26.66,23.92,19.04
1949,19.05,20.55,25.34,25.87,27.03,28.27,28.12,28.27,28.21,27.49,22.57,18.00
1950,18.85,20.54,24.85,28.12,28.88,28.18,28.14,27.74,28.54,26.98,22.66,19.49
1951,18.10,20.91,25.20,27.66,28.59,28.37,28.13,28.74,28.48,27.60,23.58,20.60
1952,19.25,22.24,24.45,27.50,27.97,28.75,28.08,28.38,28.09,27.28,23.37,19.33
1953,18.03,21.77,26.38,28.67,28.43,28.06,28.07,28.51,28.10,26.78,22.95,20.87
1954,17.59,22.55,25.58,29.51,29.27,27.54,28.17,28.37,28.49,26.04,21.99,19.62
1955,18.30,20.57,25.86,27.64,29.03,28.43,27.72,27.97,28.32,27.33,23.40,18.87
1956,18.58,20.13,25.76,28.37,28.45,27.42,28.01,28.29,27.99,27.19,23.29,19.69
1957,18.95,19.85,24.39,28.80,29.65,28.75,28.42,28.84,28.55,26.79,22.98,19.96
1958,20.05,21.06,25.93,28.97,29.20,29.72,28.82,28.30,28.68,27.79,23.97,20.39
1959,18.82,20.18,25.02,28.57,28.67,28.48,28.43,28.33,27.70,26.45,22.70,19.71
1960,18.39,22.48,24.31,29.64,29.60,28.93,27.87,28.82,28.24,27.20,22.72,20.07
