Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.96,17.41,21.94,26.53,31.60,33.19,35.24,34.71,33.84,29.56,24.57,20.45
1902,17.56,18.61,23.30,26.63,30.10,33.19,33.54,34.01,32.14,27.79,22.67,17.57
1903,14.99,16.16,19.64,23.73,30.00,32.89,33.54,35.31,32.64,27.26,21.83,17.57
1904,16.92,17.11,20.44,24.73,29.00,31.89,34.14,33.81,31.34,28.06,24.87,17.97
1905,15.46,15.81,19.24,25.17,29.30,32.39,33.94,34.31,32.24,29.16,24.07,17.77
1906,15.72,16.48,19.64,23.53,30.10,31.79,33.64,33.21,31.24,28.56,24.67,19.69
1907,16.66,15.86,20.04,23.93,30.30,32.09,34.04,33.61,31.61,28.86,21.97,18.07
1908,16.52,16.03,20.74,25.93,29.33,33.59,33.47,34.41,32.84,28.56,24.17,18.97
1909,15.94,18.76,22.14,26.33,30.20,31.89,34.54,34.41,32.04,28.66,24.07,18.37
1910,15.66,17.71,18.74,23.67,29.30,31.29,33.94,34.46,31.94,27.46,23.07,16.57
1911,12.86,14.70,18.24,23.63,28.68,30.69,34.02,33.38,30.74,27.66,22.75,19.19
1912,15.72,17.11,20.70,24.40,28.90,33.39,33.44,33.01,31.64,28.06,23.95,17.57
1913,15.86,15.51,18.54,25.63,30.48,31.69,33.12,32.28,31.90,28.56,23.57,18.47
1914,18.06,17.01,20.64,25.73,29.68,31.29,33.14,33.78,31.04,29.56,24.47,18.47
1915,17.66,18.01,21.24,24.93,29.43,34.19,33.67,34.31,33.04,27.79,23.97,18.27
1916,16.26,15.71,22.14,23.85,30.60,33.09,34.94,34.71,31.36,26.76,24.17,18.77
1917,16.46,18.01,19.37,26.23,29.70,32.39,35.44,34.81,32.54,27.49,24.17,17.50
1918,16.46,17.21,19.27,23.95,28.93,30.79,33.84,34.11,32.14,29.96,24.67,19.17
1919,18.44,18.51,20.44,26.23,29.33,31.09,33.47,34.41,32.44,29.66,24.97,19.37
1920,17.06,15.31,22.04,25.53,30.50,33.19,33.57,34.41,33.04,30.26,24.17,15.67
1921,16.56,17.01,21.84,27.70,29.13,32.89,35.24,34.51,32.94,28.26,23.97,17.77
1922,17.76,17.41,20.44,25.43,29.13,33.79,34.54,34.91,31.94,28.56,25.55,19.57
1923,16.76,16.81,22.24,23.85,29.60,32.99,34.64,33.13,31.64,28.96,22.70,19.47
1924,17.94,17.11,23.70,25.63,30.90,33.99,34.94,34.01,32.24,30.26,24.47,17.97
1925,13.46,14.61,22.32,26.43,29.90,31.62,32.97,34.51,33.04,29.66,23.57,19.57
1926,17.76,18.71,21.14,23.85,30.20,33.09,33.67,34.31,31.06,28.36,25.07,18.27
1927,17.06,16.33,20.24,24.25,31.20,33.69,34.64,34.01,33.44,30.16,24.77,17.60
1928,16.46,17.56,20.14,27.60,30.50,32.89,34.82,33.61,32.74,29.16,22.97,17.87
1929,17.86,18.11,20.94,26.03,30.20,31.69,33.64,33.88,32.04,28.84,23.57,18.47
1930,15.16,18.51,21.12,26.30,30.10,32.49,33.34,34.01,32.34,28.66,24.27,18.37
1931,17.96,17.40,21.24,25.23,29.50,32.99,34.54,34.11,33.14,27.46,23.67,17.27
1932,17.16,16.71,21.64,24.63,29.30,32.69,33.54,33.81,31.40,27.96,24.17,16.17
1933,15.66,17.41,20.34,23.93,29.80,30.69,32.94,33.98,31.14,28.56,23.07,18.87
1934,15.06,18.28,19.84,26.03,28.70,32.59,33.34,33.71,31.74,27.96,23.77,19.27
1935,16.46,17.41,22.04,24.33,29.70,32.99,34.14,34.71,32.94,29.36,24.87,20.27
1936,15.86,18.61,20.54,25.93,30.80,31.09,33.69,35.01,31.34,26.86,23.87,17.57
1937,14.06,17.21,20.14,25.13,30.68,32.09,34.04,34.41,32.54,29.36,24.87,18.79
1938,17.64,18.01,18.64,24.83,29.18,31.59,34.84,35.21,34.11,27.46,23.95,19.59
1939,17.86,17.51,20.14,23.33,29.98,32.69,33.84,33.60,31.64,28.56,24.57,19.27
1940,17.56,19.41,18.94,26.13,30.40,32.39,33.74,34.82,32.64,29.76,23.77,19.37
1941,17.16,18.61,21.74,24.73,30.50,33.79,34.44,33.61,31.36,28.04,24.17,17.57
1942,15.66,17.91,21.84,25.43,30.90,32.79,34.34,34.71,31.94,29.16,24.95,18.49
1943,16.66,16.71,19.00,24.63,29.79,31.00,34.04,34.61,31.64,28.26,23.99,20.39
1944,17.96,17.61,22.56,25.03,30.02,33.12,33.94,32.89,31.72,28.16,24.35,17.70
1945,16.26,16.91,19.22,25.65,29.69,33.19,34.06,34.01,31.84,27.49,24.65,19.19
1946,16.36,17.51,20.54,26.40,30.88,32.98,34.07,34.61,32.84,28.86,24.17,20.25
1947,18.54,18.28,22.22,26.91,30.30,33.79,35.44,34.41,31.82,29.34,24.75,19.69
1948,17.24,18.31,20.14,25.03,30.30,32.98,34.64,35.01,31.84,26.79,22.77,19.39
1949,15.26,15.61,20.37,24.55,29.79,32.99,34.07,34.41,31.34,27.08,23.29,19.17
1950,14.56,14.73,20.04,25.00,29.30,32.39,34.44,34.31,32.52,29.14,24.65,19.09
1951,17.96,17.88,20.84,25.75,31.02,33.61,35.09,35.51,34.43,30.34,24.35,18.95
1952,16.44,19.08,21.84,26.78,30.72,32.69,34.54,35.02,33.46,29.44,24.05,19.95
1953,19.03,18.96,20.45,26.10,30.50,33.19,34.83,35.18,32.82,30.12,25.03,17.53
1954,18.24,18.74,21.83,26.02,30.98,33.47,35.04,34.87,33.23,29.46,25.09,19.97
1955,16.75,18.78,22.24,26.31,30.46,33.21,34.82,35.08,33.42,28.26,25.05,19.84
1956,15.88,19.11,22.09,24.79,29.26,33.05,34.94,34.33,33.23,28.86,23.35,18.57
1957,16.01,16.58,21.42,24.03,28.32,32.73,34.56,34.67,33.28,30.18,24.29,18.57
1958,17.26,17.30,23.14,27.33,31.12,33.29,34.84,35.36,32.30,29.36,22.57,19.77
1959,16.54,15.21,20.27,27.12,30.82,33.29,34.24,34.94,32.50,29.54,22.77,17.49
1960,18.34,20.51,21.06,26.37,30.72,33.57,34.90,35.08,33.35,27.94,24.59,18.59
1961,17.56,17.72,20.30,24.45,30.39,32.70,34.64,34.99,31.60,28.15,23.27,19.69
1962,17.24,19.31,22.55,25.77,30.70,33.38,35.33,35.25,32.72,29.28,24.20,19.97
1963,18.79,20.92,20.94,26.23,27.69,33.38,35.54,35.11,32.62,29.88,23.46,17.16
1964,12.66,17.32,22.64,25.23,30.30,34.03,34.52,34.51,32.22,26.94,23.07,16.21
1965,16.37,18.21,21.74,23.85,30.82,33.79,34.74,35.02,33.22,30.15,24.67,18.67
1966,18.86,18.28,20.72,25.23,31.10,33.27,34.24,35.11,33.26,29.66,24.09,19.41
1967,17.06,16.75,19.95,23.60,29.70,31.79,34.44,34.34,32.26,29.56,24.07,17.07
1968,15.99,15.41,21.49,24.50,29.62,32.51,34.34,33.72,32.06,28.96,24.89,20.41
1969,17.66,17.34,24.51,25.22,30.20,33.00,34.34,34.41,32.26,29.86,23.29,20.09
1970,17.04,19.33,21.68,27.15,30.50,33.09,34.66,34.66,31.74,28.32,24.58,18.37
1971,17.00,17.88,21.37,24.65,31.50,32.07,34.61,34.10,31.84,27.77,23.55,17.96
1972,15.58,15.38,19.95,24.49,28.60,33.49,34.34,34.11,32.24,29.16,24.16,16.16
1973,14.56,19.51,21.73,26.31,31.10,32.87,34.36,34.63,32.94,29.26,22.57,18.07
1974,15.95,16.65,21.74,25.43,30.00,33.09,34.23,34.53,32.54,28.25,24.28,18.16
1975,16.16,17.36,20.54,25.08,30.73,33.49,34.74,34.21,33.24,27.55,23.57,18.29
1976,16.60,16.63,18.56,24.52,30.00,32.89,34.23,34.19,32.54,29.58,23.87,19.87
1977,14.86,18.51,23.30,25.73,31.30,34.09,35.24,34.91,32.94,29.32,23.36,20.67
1978,17.62,18.51,21.44,26.53,30.60,33.08,34.74,34.31,32.34,29.07,22.97,20.37
1979,17.86,19.81,21.24,27.03,30.58,34.79,34.84,34.61,32.94,30.26,24.82,18.37
1980,16.46,18.11,22.14,27.43,30.76,33.99,35.54,35.03,32.42,29.25,25.06,18.65
1981,18.24,18.44,21.98,26.31,30.40,32.99,35.34,35.21,32.84,28.92,24.33,20.17
1982,16.70,15.79,19.60,26.16,31.60,33.87,34.64,34.88,33.24,29.76,21.75,16.17
1983,15.56,16.52,18.60,24.39,31.60,33.89,35.34,35.11,32.52,27.92,24.47,18.97
1984,16.84,18.22,22.44,27.53,29.60,33.19,35.24,34.28,32.24,27.96,24.47,18.16
1985,18.44,17.27,21.03,25.95,31.00,33.01,34.86,34.91,32.64,28.66,24.79,18.81
1986,16.45,17.51,20.77,25.59,31.80,33.29,35.19,35.11,32.84,30.49,23.69,17.37
1987,16.99,19.33,20.99,25.88,32.22,33.53,35.26,35.21,33.24,29.48,24.17,19.37
1988,16.05,17.91,21.53,26.13,31.40,33.59,35.34,35.31,33.48,30.06,24.06,20.15
1989,14.60,15.79,21.01,25.31,30.95,33.29,35.36,35.25,32.64,29.16,24.87,18.27
1990,15.73,17.51,21.46,26.00,31.72,33.59,35.64,35.11,33.24,29.66,24.67,20.07
1991,17.46,17.61,20.54,26.93,29.50,32.70,34.56,34.19,32.34,29.06,24.17,20.17
1992,14.54,15.91,17.94,24.73,30.00,33.99,34.44,34.91,32.66,28.27,24.27,18.47
