Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-5.26,-3.79,4.54,8.80,13.02,17.07,19.25,17.77,14.49,10.74,2.85,3.03
1902,1.51,2.37,3.65,8.76,9.61,15.26,18.12,18.61,14.95,9.92,1.83,-2.85
1903,-2.01,2.28,6.09,5.94,13.11,15.40,17.93,18.12,15.20,10.54,5.49,1.86
1904,-1.92,3.08,4.57,9.46,13.50,16.99,20.15,18.81,13.38,10.24,2.85,0.61
1905,-5.22,-0.84,4.81,7.50,13.17,16.72,20.33,19.82,16.81,6.22,6.49,0.96
1906,-1.66,0.30,4.22,8.98,13.24,15.61,18.70,17.88,13.16,9.86,6.88,-1.47
1907,-3.06,-2.48,0.86,6.08,15.25,17.04,17.70,18.76,15.00,13.97,4.14,1.89
1908,-2.99,0.59,3.04,7.10,16.31,18.49,18.65,17.48,13.46,9.04,0.24,-1.45
1909,-3.94,-3.71,3.64,9.41,12.57,15.91,17.72,18.84,15.11,11.50,3.21,3.64
1910,0.55,3.39,4.69,8.23,12.72,16.71,17.27,18.04,13.28,10.27,4.02,4.04
1911,-1.46,-1.16,4.27,7.97,13.02,15.94,19.70,19.66,15.64,10.20,7.46,2.40
1912,-2.09,3.34,6.82,6.50,12.88,17.04,18.59,16.50,11.37,7.89,1.98,1.08
1913,-1.59,-0.80,6.44,8.63,12.55,16.22,15.69,16.38,14.64,10.59,6.28,0.64
1914,-5.44,-1.45,5.16,9.90,12.54,15.29,17.56,18.25,13.33,8.90,3.57,2.54
1915,0.50,0.99,3.15,8.29,14.27,17.77,18.02,16.61,12.54,8.06,2.63,4.01
1916,1.77,0.68,6.90,8.50,13.58,15.89,18.45,17.77,12.99,9.33,6.42,3.40
1917,-0.64,-4.23,2.23,6.64,14.21,18.38,18.98,19.72,16.42,10.13,4.51,-1.74
1918,0.09,-0.85,4.04,9.65,13.60,14.79,18.03,18.05,15.86,9.62,3.51,0.99
1919,1.41,0.01,5.01,7.19,10.20,16.00,16.27,18.38,16.01,7.92,3.12,0.66
1920,1.97,1.91,6.35,11.03,15.57,15.39,19.27,17.10,15.27,7.48,0.95,0.94
1921,2.83,0.46,5.61,7.75,14.74,15.32,19.84,19.52,14.60,10.61,2.15,-0.94
1922,-2.41,-2.55,6.12,7.72,13.89,17.25,18.91,19.12,13.61,7.96,2.16,0.44
1923,0.26,0.87,4.92,7.86,14.96,13.87,19.45,19.10,15.19,12.63,6.96,0.35
1924,-3.59,-1.45,2.99,8.29,15.22,16.71,18.25,16.32,16.07,9.89,3.09,-0.20
1925,-0.28,4.28,3.18,9.09,14.07,15.38,18.34,17.91,13.20,9.87,5.02,-2.28
1926,-0.99,4.25,3.82,10.02,12.33,14.88,17.08,16.74,15.99,11.14,10.23,0.37
1927,0.95,-0.60,6.58,8.97,12.97,18.19,20.03,19.45,16.03,9.76,6.00,-1.95
1928,-0.83,0.72,2.74,9.43,10.74,16.27,21.70,20.18,15.50,9.95,6.66,-0.67
1929,-4.81,-5.09,1.78,5.76,14.56,16.50,19.28,19.69,15.25,11.05,6.48,1.98
1930,0.21,0.41,6.04,9.60,12.61,18.28,18.74,18.00,16.25,9.86,7.09,0.78
1931,-0.16,0.41,1.38,6.81,15.36,18.48,19.95,18.16,11.28,8.79,4.72,-1.56
1932,-1.23,-4.20,0.31,7.77,13.64,15.53,19.86,20.50,18.33,10.81,5.17,1.11
1933,-2.65,0.11,4.46,7.37,11.70,13.87,18.63,18.53,14.25,10.02,4.72,-3.64
1934,-1.32,0.41,6.52,11.28,14.98,16.03,19.08,18.27,16.08,9.77,5.93,4.17
1935,-3.20,0.18,2.86,8.31,11.72,18.66,19.03,18.09,14.78,11.90,5.23,0.56
1936,3.33,1.52,6.64,9.10,13.83,16.16,19.81,17.53,14.42,6.23,4.41,0.16
1937,-2.22,2.03,5.51,7.89,14.96,17.85,18.67,17.90,14.90,10.27,4.46,-0.18
1938,-1.56,-0.06,6.41,5.68,11.95,18.62,19.20,18.18,14.09,11.04,6.24,-1.11
1939,1.33,2.20,1.59,11.13,11.75,16.76,19.29,18.79,14.34,9.12,5.52,-1.30
1940,-6.54,-3.22,2.36,8.65,11.92,16.08,17.66,15.79,14.65,9.73,6.89,-4.34
1941,-2.54,1.22,4.63,7.88,10.74,16.42,18.30,17.38,12.63,8.56,1.80,-0.30
1942,-8.07,-3.09,2.37,7.36,13.90,16.98,18.51,19.11,18.55,12.12,4.14,2.02
1943,-3.97,2.91,5.35,10.06,12.68,15.38,18.91,20.93,17.03,11.87,3.89,1.44
1944,1.24,-0.93,1.28,9.47,12.40,15.83,18.39,20.59,14.55,10.71,4.34,-0.67
1945,-4.37,1.43,5.49,9.48,15.65,18.24,20.16,18.76,15.20,9.46,4.30,0.71
1946,-2.89,1.89,5.37,11.11,15.41,17.82,20.71,20.81,17.44,7.39,5.23,-1.88
1947,-6.30,-1.38,5.75,11.33,14.67,18.13,20.17,19.32,17.95,8.89,6.41,1.09
1948,3.06,-0.11,5.31,10.05,14.67,15.42,16.93,18.98,15.68,10.92,4.62,-1.67
1949,1.21,1.39,1.69,10.84,13.77,15.02,18.42,17.68,16.29,11.16,6.35,1.80
1950,-2.90,1.77,6.08,9.52,15.40,18.85,21.48,20.36,15.80,9.09,5.33,1.82
1951,1.86,3.64,4.77,8.96,13.62,17.35,18.67,19.85,16.87,8.78,7.37,1.57
1952,-0.47,-0.41,2.88,11.82,12.83,17.77,21.18,21.59,15.02,9.83,4.28,1.06
1953,-0.71,-0.39,3.49,10.01,12.74,16.98,19.87,17.90,15.91,11.50,3.21,-0.10
1954,-5.36,-4.94,5.33,7.08,12.15,18.15,17.72,18.39,16.49,9.38,4.35,2.41
1955,1.04,2.29,2.46,6.42,12.87,16.27,18.02,16.96,14.55,10.02,4.02,2.68
1956,1.07,-6.27,0.74,8.41,13.17,15.27,19.17,19.65,16.31,9.52,2.47,-0.84
1957,-2.47,3.81,5.82,9.05,10.98,18.88,19.30,18.09,14.43,9.98,5.80,0.23
1958,-0.86,3.46,0.65,6.60,16.49,16.21,19.73,19.79,15.07,10.36,5.88,3.42
1959,-0.55,-1.19,6.84,9.21,12.95,15.58,19.14,17.49,13.19,8.41,5.16,3.62
1960,-1.22,1.00,4.83,8.69,12.46,17.02,16.88,18.79,14.34,11.74,7.07,3.53
1961,-0.79,1.99,6.50,11.72,12.03,17.13,17.75,18.61,16.67,11.82,6.24,-0.15
1962,0.33,-0.57,1.21,9.34,13.22,15.31,17.94,20.69,15.07,10.84,5.20,-2.63
1963,-5.46,-2.74,2.63,9.76,13.61,17.66,19.95,19.49,16.00,9.80,9.18,-2.16
1964,-5.47,-0.17,3.13,9.31,12.83,18.42,18.29,17.37,14.34,10.27,6.20,0.67
1965,0.38,-3.42,4.70,7.20,12.02,16.59,19.00,16.97,15.24,9.48,4.52,2.23
1966,-3.44,5.52,3.55,10.43,13.18,16.79,17.82,18.18,15.39,13.46,4.16,0.75
1967,-3.03,0.92,5.41,7.94,13.71,15.61,19.70,19.20,15.96,11.85,5.74,-0.72
1968,-2.68,2.48,4.69,11.27,14.91,16.88,18.51,16.50,14.25,10.23,6.07,-1.45
1969,-2.24,-0.09,3.06,8.25,15.58,15.33,17.72,17.41,15.33,9.82,7.65,-2.72
1970,-0.19,0.26,3.39,8.27,11.18,17.23,18.10,18.54,14.92,8.89,6.61,0.27
1971,-0.05,1.55,1.22,9.56,15.07,16.35,18.75,20.13,12.47,8.63,4.43,0.78
1972,-0.63,2.92,6.80,9.61,13.18,17.81,18.49,17.33,12.08,7.66,5.03,0.10
1973,-0.62,1.15,3.28,6.68,14.22,16.68,18.80,18.54,16.07,9.45,2.57,0.03
1974,0.77,4.19,6.00,7.73,11.86,15.43,18.10,19.70,14.92,6.78,4.72,1.41
1975,1.35,0.34,6.03,8.75,14.30,15.70,18.45,17.59,16.92,9.58,3.65,0.53
1976,-0.46,0.04,1.93,8.67,13.09,15.77,18.60,15.17,13.24,10.73,5.89,0.57
1977,1.23,4.33,7.45,7.79,13.74,16.70,18.44,17.88,13.12,10.46,5.49,-1.29
1978,-0.19,0.51,5.27,7.70,11.23,15.82,17.44,17.28,13.28,9.61,1.71,1.22
1979,-1.89,1.91,6.41,7.59,14.07,18.44,17.21,17.24,14.66,9.53,5.50,3.18
1980,-2.57,1.43,4.22,6.29,10.73,15.71,17.65,18.49,14.85,10.34,4.35,-1.19
1981,-3.05,0.05,6.87,9.03,13.16,17.31,18.02,18.49,15.49,11.57,3.34,0.54
1982,-1.68,-1.14,3.86,6.94,14.28,18.07,19.01,18.71,17.97,11.25,5.05,3.02
1983,1.76,-1.04,5.61,10.72,14.84,15.99,20.33,18.80,15.12,9.96,2.55,0.21
1984,0.10,-0.13,3.43,8.10,12.38,15.47,17.42,17.49,14.96,11.32,5.57,0.18
1985,-4.66,-3.40,3.70,9.02,14.68,15.22,19.46,19.32,15.77,9.85,4.12,3.29
1986,0.22,-2.36,3.43,10.20,15.75,16.02,17.32,20.00,15.31,10.28,4.98,-1.25
1987,-2.86,0.93,-0.28,8.91,11.67,16.53,18.21,17.90,18.42,11.16,5.64,1.12
1988,2.51,2.31,3.71,8.52,14.00,16.24,21.12,20.13,15.66,10.29,0.70,0.49
1989,-0.92,3.21,7.59,10.40,12.81,15.07,19.12,18.66,14.80,9.68,3.84,1.39
1990,-0.61,4.85,7.81,8.68,14.26,16.66,18.93,19.29,13.78,11.33,6.14,-0.11
1991,-0.16,-1.89,6.94,7.33,10.16,17.13,19.64,18.86,16.21,9.32,5.61,-2.13
1992,-0.03,1.83,5.04,9.54,14.35,16.80,19.24,22.00,15.95,10.46,6.32,0.04
1993,-0.08,-1.01,3.38,9.38,15.93,17.84,18.85,19.86,14.85,11.67,2.41,1.87
1994,2.22,1.59,7.59,9.20,14.60,17.53,21.42,21.20,17.82,9.63,6.02,1.21
