Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.25,22.70,22.27,20.81,20.15,18.54,18.72,20.15,22.19,22.64,22.26,22.20
1902,22.27,22.02,22.17,21.59,20.47,18.85,18.60,18.58,21.77,22.15,22.41,22.70
1903,22.63,22.89,21.81,20.61,19.04,18.04,18.35,19.19,21.78,21.42,21.57,21.52
1904,21.61,21.76,21.48,21.00,18.93,17.82,18.41,19.46,21.24,21.52,22.10,21.88
1905,21.93,22.30,21.81,20.68,19.71,18.69,18.18,19.50,21.11,22.72,22.22,22.22
1906,22.05,22.76,22.40,21.61,20.21,16.91,18.15,19.60,21.13,21.88,22.44,22.04
1907,22.08,22.02,22.44,20.67,18.92,17.54,17.71,18.83,21.18,21.77,22.51,22.65
1908,22.62,22.24,22.34,20.89,19.53,18.26,18.34,18.52,21.00,21.03,22.01,22.17
1909,22.54,21.99,21.88,21.02,18.49,17.12,17.61,19.49,21.38,21.68,22.10,21.93
1910,21.98,21.89,21.22,21.25,18.88,18.32,18.22,19.73,21.16,21.69,22.31,21.91
1911,22.08,22.19,21.21,20.54,18.83,16.71,17.24,18.70,20.97,21.93,22.56,23.09
1912,22.89,23.07,22.49,21.44,19.50,17.45,16.08,18.82,20.50,21.59,22.01,22.16
1913,21.75,21.89,21.81,21.04,18.55,17.15,17.64,18.81,20.22,22.04,22.13,22.23
1914,22.15,22.13,21.95,20.63,19.06,18.10,18.01,18.48,20.23,21.12,22.03,22.37
1915,22.96,22.83,21.83,22.11,20.05,16.39,17.36,19.22,20.52,22.09,22.23,22.46
1916,22.68,21.89,21.87,21.10,18.68,16.13,16.96,18.72,21.41,21.16,21.50,21.78
1917,21.63,20.90,21.32,20.46,18.02,16.75,16.49,18.80,20.23,21.17,21.41,22.01
1918,21.67,21.11,21.47,20.80,18.87,17.63,17.28,18.98,21.26,21.96,22.83,22.94
1919,23.09,23.45,22.29,22.07,20.63,17.59,18.22,18.47,21.23,22.57,22.92,22.69
1920,22.63,22.71,22.07,21.74,18.95,16.63,17.06,18.35,21.32,22.37,23.02,23.03
1921,22.73,22.00,22.16,21.25,19.85,16.17,16.68,19.43,20.60,22.09,22.16,23.09
1922,22.49,22.78,22.14,21.28,18.85,16.68,17.83,18.81,20.96,21.18,22.25,22.38
1923,22.45,22.72,22.21,21.22,18.34,17.20,16.99,18.96,21.22,21.95,22.29,22.56
1924,22.79,23.11,22.20,21.39,18.73,17.72,17.50,18.46,20.93,21.28,22.53,22.41
1925,22.17,21.99,21.74,21.64,19.45,16.77,17.15,19.75,21.32,22.01,22.90,23.01
1926,23.46,22.94,22.59,22.05,19.08,18.80,17.43,19.31,21.60,22.94,23.58,22.71
1927,22.80,22.55,22.23,21.09,18.68,16.66,17.02,18.83,21.17,23.11,23.52,23.44
1928,23.04,23.23,22.21,22.09,19.65,17.30,17.16,18.96,21.14,21.83,23.38,22.82
1929,23.36,22.80,22.04,21.71,18.45,17.24,17.48,18.74,21.17,22.04,22.83,23.15
1930,22.67,22.30,22.08,21.64,19.09,18.73,17.81,19.09,20.51,22.00,22.47,23.73
1931,23.02,22.85,22.14,21.54,18.36,16.86,17.45,19.20,20.47,22.86,22.85,22.94
1932,22.65,22.84,22.05,21.49,18.44,17.49,18.93,19.13,21.43,22.48,22.88,22.70
1933,22.54,22.48,22.39,21.31,19.31,17.01,16.45,19.30,21.32,22.08,22.36,23.06
1934,22.19,21.40,22.36,20.39,19.45,18.70,17.93,19.14,20.49,22.04,22.57,23.04
1935,22.55,22.93,22.91,20.76,19.42,17.99,17.77,18.98,20.97,22.13,22.85,23.54
1936,23.01,22.64,22.10,22.08,20.18,17.70,17.78,18.73,21.78,23.27,22.61,22.99
