Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.61,3.22,6.87,11.04,12.88,16.47,16.53,15.73,14.18,11.48,5.75,2.62
1902,2.31,3.53,8.11,9.50,12.52,15.49,15.74,15.71,14.20,10.28,5.59,2.24
1903,1.32,2.88,6.79,10.90,13.34,15.26,16.82,15.31,14.44,11.34,6.05,2.46
1904,1.51,3.33,7.44,10.25,12.06,15.18,15.52,15.52,14.47,10.79,5.56,2.62
1905,0.63,0.84,5.39,8.34,12.17,16.59,15.92,15.01,14.48,10.91,6.25,2.60
1906,1.22,2.70,5.67,10.62,13.27,15.65,16.32,14.99,15.00,10.91,6.40,3.10
1907,2.73,2.91,5.51,9.04,12.56,15.13,15.86,16.02,14.29,11.21,6.32,2.63
1908,0.98,3.49,7.68,12.36,13.09,15.86,16.05,15.82,14.50,10.92,5.70,2.20
1909,2.18,3.33,8.67,9.52,12.78,14.39,16.08,15.16,14.98,11.46,7.33,3.14
1910,1.47,3.33,7.01,10.09,12.95,14.58,15.30,15.52,14.77,10.65,5.93,2.32
1911,2.78,2.88,6.28,10.11,12.67,14.81,16.19,15.46,14.19,10.47,5.56,1.73
1912,1.92,4.12,6.74,8.93,12.76,15.72,15.62,15.43,14.47,10.61,5.89,2.38
1913,1.77,3.79,6.09,10.68,11.66,14.05,16.02,15.48,14.38,10.64,5.23,2.10
1914,1.84,3.80,6.91,8.91,12.48,15.46,16.08,15.11,14.21,9.68,5.99,3.21
1915,2.61,3.57,6.75,10.55,12.68,15.05,16.04,15.68,14.18,12.70,7.97,3.14
1916,1.66,3.66,8.29,10.36,13.74,14.96,15.40,15.59,14.69,11.01,6.65,2.26
1917,1.18,3.10,6.47,9.63,12.31,14.79,15.79,15.72,14.26,11.05,6.57,2.65
1918,0.91,3.29,7.45,9.74,13.06,13.77,16.25,15.22,14.67,11.12,6.17,2.41
1919,2.48,2.98,8.52,10.23,13.14,15.38,15.73,16.27,13.85,10.73,6.81,3.01
1920,2.53,3.19,6.58,9.99,12.46,15.93,16.47,15.52,14.52,11.41,6.71,3.77
1921,2.68,3.57,8.07,10.66,13.76,15.01,16.15,15.63,14.54,9.84,6.06,3.00
1922,2.33,4.29,8.28,11.58,13.82,14.63,15.80,15.45,14.52,10.48,6.62,3.05
1923,2.30,3.19,7.83,11.03,12.97,16.11,15.86,16.04,14.49,10.50,6.64,3.41
1924,2.03,3.80,9.36,11.62,12.90,16.43,15.62,15.37,13.87,11.78,6.42,3.25
1925,0.71,2.44,7.29,10.21,11.86,15.37,15.70,15.62,13.87,10.31,6.03,2.33
1926,1.80,4.00,6.37,9.58,12.74,16.26,15.86,15.72,14.71,11.12,5.64,3.60
1927,1.64,2.99,5.68,10.30,12.46,15.64,16.27,15.62,14.12,11.24,6.31,3.40
1928,2.03,4.36,8.18,11.10,12.88,14.91,15.99,15.84,14.89,10.86,5.94,3.42
1929,1.92,2.98,7.88,10.42,13.12,15.55,15.98,15.57,14.58,10.63,6.01,2.56
1930,0.87,3.43,7.41,10.41,13.27,15.06,16.17,15.62,14.63,10.73,6.11,2.62
1931,2.83,3.72,7.23,11.32,12.77,16.08,15.72,16.35,14.18,11.52,5.98,3.44
1932,2.56,2.51,7.91,10.96,12.81,15.81,16.12,15.73,14.67,11.59,6.84,3.32
1933,1.05,4.20,8.18,9.65,12.40,15.08,15.96,15.53,14.73,11.34,6.04,3.09
1934,1.77,3.65,7.61,10.96,13.00,14.77,16.20,15.88,14.98,10.73,5.87,3.03
1935,1.64,4.09,8.23,10.48,14.23,15.93,16.49,15.27,14.78,11.42,7.09,3.15
1936,1.51,3.09,8.27,11.20,13.14,14.73,16.07,16.07,14.60,10.61,7.53,3.69
1937,1.29,3.64,7.32,11.44,12.97,16.00,16.90,15.62,15.13,11.37,6.51,3.54
1938,2.94,2.84,8.68,12.07,12.75,15.36,15.81,16.11,15.39,11.69,5.42,3.03
1939,2.61,4.28,7.42,11.49,13.42,15.37,15.83,15.85,14.37,11.01,6.48,3.41
1940,1.63,3.73,5.62,11.02,12.96,15.87,16.02,16.11,14.47,11.48,7.26,3.74
1941,1.97,4.19,8.79,11.28,13.16,14.91,16.32,16.02,14.71,10.85,6.16,4.28
1942,2.22,4.23,7.96,10.62,13.68,16.22,16.61,15.76,14.34,11.70,7.42,3.38
1943,3.13,3.16,6.93,9.18,13.17,15.65,15.83,15.64,14.87,11.43,7.79,4.10
1944,1.93,3.30,7.79,9.60,13.92,16.37,16.44,16.26,14.66,11.62,6.79,4.73
1945,2.02,2.59,8.28,10.96,12.72,16.17,16.43,16.10,15.25,10.81,6.45,2.59
1946,2.61,5.43,7.89,9.70,12.91,15.43,15.88,16.51,14.98,10.81,7.50,4.16
1947,2.02,4.02,7.92,11.67,13.14,16.23,16.63,16.02,15.03,10.81,6.88,4.39
1948,1.89,3.65,6.97,10.77,12.40,15.86,15.83,15.90,15.02,10.73,7.41,2.75
1949,2.38,3.49,7.43,8.51,11.76,15.19,15.81,15.54,14.47,11.62,5.82,1.78
1950,2.26,3.48,6.98,10.78,13.37,15.01,15.98,15.06,14.57,11.07,6.03,3.39
1951,1.68,4.05,7.64,10.12,13.17,15.39,15.63,16.18,14.57,11.75,6.85,3.60
1952,2.56,5.13,6.57,10.56,12.88,15.74,15.95,15.65,14.22,11.80,6.99,3.27
1953,1.55,4.44,8.71,11.21,13.30,15.27,15.66,16.29,14.31,10.91,6.34,4.35
1954,1.22,5.41,8.21,11.92,13.78,14.75,15.45,15.37,14.76,10.67,5.98,3.25
1955,1.89,3.73,8.24,10.20,13.84,15.01,15.41,15.10,14.62,11.93,6.63,2.22
1956,1.84,3.29,7.86,11.47,14.24,15.48,15.35,15.48,14.48,11.60,7.06,3.20
1957,2.00,2.98,6.46,11.15,13.19,15.52,16.49,16.04,15.18,10.61,6.60,3.65
1958,2.70,3.63,7.79,11.38,13.55,16.54,16.75,15.66,15.28,12.74,7.51,3.64
1959,2.24,2.89,7.47,11.51,13.01,15.28,16.36,16.06,13.81,11.19,7.07,4.01
1960,1.06,4.95,7.03,12.13,14.26,15.95,15.66,15.97,14.32,11.60,6.73,4.03
1961,3.04,3.75,7.77,11.31,13.36,15.96,16.19,16.41,14.77,11.96,5.37,1.38
1962,1.41,2.85,7.08,11.11,12.39,15.06,16.30,15.24,14.59,11.05,7.06,3.34
