Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.52,-7.64,-1.49,4.44,8.45,12.69,13.77,12.71,10.71,5.78,-0.69,-1.92
1902,-2.03,-2.88,0.58,6.05,4.55,10.73,14.03,12.63,10.06,5.08,0.02,-2.81
1903,-3.43,-0.86,1.66,1.07,7.95,10.38,12.48,12.99,10.51,6.82,1.37,-2.92
1904,-3.53,-1.84,0.13,5.62,9.42,12.69,15.95,14.05,8.62,5.94,0.07,-1.61
1905,-5.46,-3.03,1.02,3.93,6.69,12.27,15.85,13.01,10.75,2.45,0.68,-2.12
1906,-2.98,-3.78,-0.66,3.54,8.20,11.27,13.71,14.03,9.66,7.71,2.37,-4.39
1907,-4.48,-5.12,-1.08,2.46,8.74,11.55,11.78,13.70,11.08,7.30,2.04,-0.50
1908,-4.66,-2.51,-1.15,1.84,9.81,13.34,13.15,11.74,9.33,6.12,-0.22,-2.44
1909,-5.08,-5.43,-1.86,5.47,7.74,10.06,11.56,12.82,9.51,7.17,-0.31,-0.52
1910,-2.34,-1.50,0.54,3.33,6.82,11.96,11.64,12.38,8.46,6.76,0.06,0.25
1911,-5.44,-2.69,0.42,3.48,8.32,11.04,16.08,15.91,12.13,6.04,2.76,0.10
1912,-2.10,0.36,2.54,3.06,8.95,11.68,12.88,10.23,6.93,4.41,-1.23,-1.18
1913,-2.15,-2.86,2.01,3.74,7.95,11.49,10.72,11.92,9.59,7.13,3.56,-1.73
1914,-6.30,-0.68,1.14,6.08,6.68,10.43,12.11,13.05,9.73,5.23,0.56,-0.04
1915,-3.19,-2.98,-0.75,3.16,10.15,13.29,12.83,11.91,8.60,3.83,-1.04,1.57
1916,-0.54,-1.69,0.59,4.32,9.05,9.50,12.57,12.62,8.31,5.77,1.64,-0.91
1917,-4.93,-5.33,-2.09,1.05,10.66,13.73,13.30,12.38,12.27,4.15,0.93,-5.23
1918,-2.82,-1.88,0.39,3.96,9.50,9.46,13.32,12.79,10.94,4.35,0.83,0.09
1919,-2.28,-3.27,0.17,1.75,7.88,12.29,10.69,14.60,12.23,2.88,-0.95,-1.40
1920,-0.20,-0.34,2.53,4.72,11.01,11.35,13.36,11.52,10.39,5.77,0.06,-1.56
1921,0.36,-2.23,1.74,3.14,9.50,11.98,15.77,13.31,11.61,8.56,-1.06,-1.77
1922,-4.09,-3.09,1.12,2.47,10.24,12.20,12.24,12.94,8.02,4.04,-0.54,-1.82
1923,-3.10,-0.63,1.30,3.89,8.35,8.41,15.58,14.21,10.03,7.87,1.13,-2.36
1924,-4.25,-4.51,0.04,4.26,9.60,11.59,13.44,10.25,10.54,6.40,1.57,-1.31
1925,-1.27,-0.64,-2.30,3.99,8.28,12.46,12.87,12.71,8.14,6.44,0.16,-2.51
1926,-3.36,1.31,0.96,5.51,6.49,9.47,12.99,13.22,12.56,6.60,3.86,-2.90
1927,-2.30,-2.85,1.41,4.83,9.16,11.98,13.72,12.74,10.45,5.96,2.00,-2.25
1928,-1.38,-0.62,0.83,4.45,6.16,12.15,17.01,14.80,10.33,5.88,2.58,-2.71
1929,-6.73,-7.74,0.43,2.15,8.93,12.62,14.63,13.29,13.17,6.73,1.96,0.37
1930,-1.00,-2.96,1.44,4.69,7.03,14.29,12.39,12.74,10.97,5.95,3.49,-1.54
1931,-2.94,-4.02,-1.88,2.97,10.09,14.02,12.93,11.73,6.77,5.16,2.76,-3.24
1932,-1.86,-6.31,-1.75,2.76,7.46,10.73,12.68,15.50,13.27,5.83,2.20,-1.06
1933,-4.92,-2.94,1.31,4.60,7.02,9.34,14.40,14.52,11.14,6.51,0.10,-5.81
1934,-3.23,-2.85,0.45,6.35,10.14,12.05,14.74,12.17,12.03,5.97,0.53,1.16
1935,-5.01,-1.62,-0.40,3.44,6.46,13.81,14.88,12.66,11.14,6.15,2.53,-2.76
1936,0.45,-2.06,2.15,3.58,8.70,11.45,12.74,12.92,10.46,2.87,1.29,-1.12
1937,-1.82,-0.10,-0.41,4.13,10.03,12.91,14.08,13.35,9.97,6.43,1.00,-3.11
1938,-2.64,-2.78,3.30,1.64,6.64,13.20,13.12,12.87,10.67,6.18,3.48,-3.71
1939,-1.33,-1.45,-2.05,5.52,5.46,12.09,12.79,13.21,9.73,4.89,3.15,-3.23
1940,-7.63,-3.23,0.30,4.52,8.09,11.29,12.21,11.91,10.55,5.72,2.35,-6.23
1941,-5.43,-2.39,1.05,2.72,4.99,12.22,14.39,11.94,9.79,4.97,0.45,-2.39
1942,-7.56,-6.24,1.45,4.49,8.45,12.23,13.55,13.71,12.77,8.81,0.03,-1.17
1943,-2.71,-0.63,2.59,5.98,9.34,11.30,14.04,15.30,11.68,8.21,0.28,-1.24
1944,-1.67,-4.61,-1.99,5.97,8.39,11.03,13.50,16.28,10.12,5.16,0.87,-2.86
1945,-7.80,-0.25,2.47,6.44,10.68,14.05,15.71,12.99,11.42,6.47,0.37,-1.34
1946,-4.12,-0.20,1.66,6.96,9.31,11.31,14.74,13.20,11.57,5.17,1.11,-3.88
1947,-6.26,-4.93,1.12,7.04,10.58,14.08,15.83,16.00,13.19,6.69,2.87,-1.84
1948,-0.15,-1.98,3.96,5.41,9.62,11.35,11.45,13.08,10.75,7.02,2.11,-1.93
1949,-2.09,-1.67,-1.05,7.56,7.44,12.04,15.12,14.41,13.67,8.47,1.12,-0.32
1950,-3.26,-0.04,2.01,3.09,10.20,14.64,16.42,14.18,10.34,6.21,1.85,-3.72
1951,-1.24,-1.23,-0.38,4.23,7.59,11.76,13.86,13.34,11.85,5.56,3.28,-1.49
1952,-3.68,-4.06,1.28,6.47,9.10,13.36,16.58,14.44,7.96,5.24,0.03,-2.31
1953,-5.00,-3.37,1.65,5.68,10.02,10.73,13.98,13.49,11.45,7.67,1.45,0.36
