Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.73,-5.83,1.21,7.95,13.06,17.00,19.41,18.62,14.19,7.46,0.27,-6.38
1902,-7.35,-5.05,1.46,7.47,13.01,16.95,19.09,18.22,14.16,7.77,0.30,-5.82
1903,-7.83,-4.95,0.76,7.73,12.84,16.95,19.32,18.40,14.26,7.52,-0.40,-6.53
1904,-8.36,-4.94,0.43,7.59,12.98,17.27,19.18,18.54,14.14,7.27,0.03,-5.98
1905,-6.97,-6.36,-0.43,6.54,12.82,17.34,19.42,18.29,14.13,7.76,-0.09,-5.82
1906,-8.40,-6.52,0.52,7.81,13.13,17.23,19.44,18.48,14.21,7.76,-0.94,-5.36
1907,-7.01,-6.10,0.24,7.57,12.98,16.75,19.01,18.81,14.07,7.98,-0.40,-6.33
1908,-8.04,-5.75,0.25,7.55,13.01,17.29,19.39,18.72,14.13,7.72,-0.36,-5.53
1909,-8.27,-5.25,0.05,7.57,13.00,16.70,19.45,18.85,14.31,7.61,0.71,-6.34
1910,-8.21,-5.68,-0.01,7.15,13.09,16.82,19.43,18.62,13.80,7.74,-0.57,-7.36
1911,-8.18,-5.49,0.04,7.61,12.89,16.97,19.11,18.38,14.33,7.23,-0.12,-6.77
1912,-7.78,-4.13,0.28,7.85,13.10,17.33,19.38,18.31,13.31,6.98,-1.28,-7.03
1913,-8.17,-5.39,-0.07,7.33,12.75,16.76,19.05,18.53,14.00,7.72,-0.34,-6.41
1914,-6.52,-4.49,1.01,7.72,13.27,17.52,19.71,18.63,14.08,7.78,-0.69,-6.47
1915,-8.67,-5.86,0.11,7.13,12.97,17.05,19.33,18.52,14.05,8.04,0.65,-5.10
1916,-7.56,-5.48,-0.04,7.42,13.27,17.11,19.42,19.06,14.14,7.64,-0.22,-7.02
1917,-9.11,-5.24,0.26,7.27,12.98,17.45,19.63,18.99,14.28,7.59,-0.77,-7.52
1918,-8.67,-5.16,1.05,7.45,13.01,16.84,19.33,18.55,14.08,7.74,-0.89,-7.28
1919,-9.25,-5.21,1.19,7.88,13.25,17.35,19.71,19.34,13.97,7.65,-0.24,-6.49
1920,-7.31,-6.98,0.63,7.61,13.23,16.99,20.01,18.62,14.14,8.16,0.14,-6.33
1921,-7.79,-5.19,0.60,7.90,13.26,17.04,19.75,18.77,14.03,7.46,-0.46,-5.92
1922,-9.15,-4.15,0.85,8.45,13.29,17.52,19.76,18.83,14.24,8.09,-0.75,-6.05
1923,-8.21,-5.78,2.04,7.70,13.42,17.26,19.46,19.25,14.05,7.64,0.20,-5.94
1924,-7.64,-5.70,0.13,8.06,13.15,17.69,19.78,19.26,14.52,7.70,-0.26,-5.80
1925,-8.56,-6.45,0.79,7.36,13.13,17.58,19.71,18.72,14.55,8.24,0.85,-5.72
1926,-7.38,-4.80,1.33,7.46,13.63,17.21,19.65,19.30,14.87,7.29,-0.14,-6.78
1927,-8.25,-5.95,-0.13,7.80,12.97,17.49,20.25,19.05,14.57,8.16,0.69,-5.71
1928,-7.91,-5.08,1.12,8.34,13.70,17.28,19.96,18.83,14.35,7.60,-0.33,-6.70
1929,-8.61,-6.02,1.65,8.30,13.49,17.67,19.71,18.87,14.28,7.54,-0.32,-7.61
1930,-9.73,-4.78,1.47,7.77,13.57,17.27,20.36,18.80,14.05,7.74,-0.42,-6.25
1931,-8.57,-6.92,1.30,7.69,12.85,17.46,19.20,19.33,14.51,7.97,0.25,-5.98
1932,-6.39,-6.16,1.04,8.24,13.41,17.52,20.26,18.61,14.44,7.92,0.48,-5.94
1933,-9.76,-5.40,0.25,7.91,13.58,17.49,20.09,19.36,14.81,7.51,0.13,-4.92
1934,-9.60,-4.35,0.21,6.61,13.72,17.31,19.78,18.69,14.32,6.89,-0.78,-4.69
1935,-8.24,-3.43,2.27,7.31,13.35,17.53,19.92,19.21,14.68,9.22,-0.67,-8.69
1936,-9.71,-6.04,-1.13,7.32,12.89,17.39,19.75,18.48,14.69,8.59,0.36,-6.41
1937,-8.47,-4.65,0.03,7.52,13.33,17.20,19.75,19.05,14.59,8.32,-1.05,-6.36
1938,-8.68,-5.40,1.45,9.36,13.92,17.20,20.11,19.11,14.14,8.60,0.28,-6.52
1939,-7.95,-4.30,0.99,7.41,13.69,17.31,20.27,19.72,14.47,8.11,-0.20,-5.22
1940,-7.62,-4.64,1.30,7.65,13.16,17.63,20.01,18.01,14.27,8.70,0.06,-4.24
1941,-6.82,-4.56,1.56,8.28,13.54,18.06,20.07,19.17,14.39,8.60,0.33,-4.95
1942,-7.29,-6.44,2.95,8.05,12.78,17.97,20.15,18.96,14.57,8.36,0.97,-6.01
1943,-8.28,-4.98,1.51,7.63,13.97,17.31,20.26,19.14,14.68,8.19,-0.18,-5.30
1944,-7.89,-5.53,2.04,7.80,13.38,17.81,20.59,19.03,14.79,7.75,-0.64,-9.01
1945,-9.40,-8.12,0.42,9.17,13.61,18.10,19.91,19.31,15.28,8.36,1.51,-6.19
1946,-6.46,-2.81,-0.00,9.51,13.19,17.91,20.14,19.48,14.72,8.72,0.75,-6.93
