Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.30,21.18,22.47,22.76,24.90,26.58,26.90,26.69,26.77,25.84,21.72,21.39
1902,20.20,20.35,23.46,24.03,26.22,26.76,27.20,27.32,26.89,26.58,25.03,22.95
1903,22.41,24.06,24.83,23.46,24.72,26.35,26.97,27.40,26.25,24.83,23.07,20.49
1904,21.61,22.97,24.21,24.25,25.41,26.09,26.43,26.45,26.30,25.63,22.71,22.15
1905,19.94,23.04,24.22,24.36,26.98,26.99,27.03,27.16,26.98,26.35,24.54,22.98
1906,22.21,22.09,22.82,24.08,25.51,26.41,26.79,26.63,26.66,25.43,24.00,21.74
1907,23.13,21.68,24.25,23.86,26.29,26.29,26.93,26.92,26.75,25.41,24.60,22.90
1908,21.79,20.94,24.45,26.40,25.96,26.09,26.99,26.82,26.57,24.91,23.86,23.61
1909,23.00,22.43,24.04,24.93,26.03,26.72,26.81,26.80,26.22,25.22,23.62,21.42
1910,21.02,21.68,22.47,23.35,25.29,26.14,26.37,26.74,26.14,25.10,22.06,20.05
1911,22.86,22.61,23.57,25.00,24.83,26.57,26.55,26.77,26.71,26.83,25.48,23.99
1912,22.84,20.52,24.91,26.21,26.55,26.38,27.00,27.31,26.94,26.43,23.72,24.40
1913,24.45,23.93,25.62,23.77,24.94,25.67,26.80,26.71,26.21,25.01,23.73,22.73
1914,21.38,22.49,21.23,24.83,25.39,26.76,26.99,27.37,26.32,25.55,23.57,23.38
1915,22.37,21.71,20.45,22.70,26.38,26.71,27.31,27.64,26.96,26.52,24.48,21.72
1916,24.35,22.01,21.79,23.36,25.65,26.46,26.74,26.79,26.29,25.64,24.01,22.93
1917,23.43,21.64,24.36,23.91,24.98,26.16,26.74,27.09,26.39,25.72,21.86,20.84
1918,20.36,23.73,24.44,24.48,25.04,26.41,26.65,27.09,26.25,26.49,24.20,22.91
1919,21.66,22.39,24.22,23.89,25.71,26.21,26.89,27.45,26.74,26.99,24.65,23.01
1920,22.78,21.14,22.73,25.41,25.65,26.57,27.06,26.94,26.71,25.05,24.13,23.01
1921,22.30,23.03,24.77,25.07,24.92,26.76,26.83,27.11,26.89,25.75,24.80,23.67
1922,22.08,23.23,24.37,25.20,25.48,26.68,26.48,26.75,26.33,25.99,24.66,24.03
1923,22.63,23.05,24.57,25.13,25.45,26.67,26.81,26.94,26.81,25.18,22.60,23.79
1924,23.21,21.17,22.13,25.46,26.40,27.32,27.57,27.92,26.80,25.83,23.94,24.27
1925,24.48,22.99,23.59,24.09,25.32,26.64,27.09,27.35,27.22,26.67,24.40,22.90
1926,22.01,22.22,22.80,25.28,25.48,26.59,27.12,27.40,27.35,26.40,24.18,23.84
1927,21.22,24.12,23.38,25.06,26.20,27.49,27.39,27.44,26.46,25.53,24.16,22.34
1928,21.04,23.48,23.89,24.59,24.67,26.61,27.12,27.04,26.74,26.08,23.90,22.14
1929,23.63,24.20,24.92,25.67,26.50,26.24,26.48,26.96,26.68,24.70,25.45,22.78
1930,24.00,23.10,22.83,24.57,26.11,25.88,27.19,27.28,27.05,25.41,22.97,21.17
1931,20.81,21.31,21.16,23.41,25.29,26.51,27.66,27.60,26.85,25.95,24.44,25.44
1932,24.07,24.77,23.04,24.16,25.49,26.60,27.55,27.16,26.99,25.90,22.96,23.94
1933,23.04,24.23,23.62,25.31,26.73,26.25,26.84,27.13,26.99,26.13,23.03,23.51
1934,22.99,22.19,23.52,24.56,25.73,26.59,27.01,27.00,26.71,26.34,24.00,22.54
1935,22.28,21.80,24.39,25.33,26.88,26.71,26.93,27.26,26.63,26.06,23.88,20.06
1936,22.99,22.83,22.91,24.77,25.44,26.14,27.29,27.08,26.81,27.05,24.27,23.87
1937,25.75,23.23,23.50,24.68,25.60,26.60,26.85,27.11,26.67,25.56,23.49,22.22
1938,22.48,23.43,24.40,24.58,26.04,26.46,26.57,27.10,26.75,25.25,24.83,22.50
