Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.30,24.40,24.80,24.70,26.50,28.20,28.30,27.90,28.10,28.00,24.50,24.60
1902,23.30,23.70,25.80,26.00,27.90,28.30,28.70,28.40,28.50,28.70,27.50,26.10
1903,25.40,27.10,26.90,25.50,26.40,28.20,28.60,28.60,27.90,27.10,25.80,24.00
1904,24.70,26.10,26.50,26.20,27.00,27.80,28.00,27.70,27.80,27.80,25.50,25.40
1905,23.00,26.20,26.40,26.10,28.60,28.70,28.50,28.40,28.40,28.50,27.20,26.10
1906,25.10,25.00,25.20,25.90,27.20,28.00,28.40,27.90,28.20,27.80,26.60,25.00
1907,26.00,24.80,26.30,25.90,27.90,28.00,28.40,28.10,28.20,27.70,27.20,26.00
1908,24.70,24.10,26.60,28.10,27.80,27.80,28.50,27.90,28.00,27.10,26.40,26.60
1909,25.80,25.50,26.40,26.80,27.80,28.30,28.40,28.00,27.60,27.40,26.20,24.90
1910,24.10,24.80,24.60,25.20,26.90,27.80,28.10,28.10,27.70,27.30,24.80,23.40
1911,25.80,25.60,25.90,26.90,26.50,28.10,28.00,28.10,28.30,29.10,28.10,27.10
1912,25.90,23.80,27.20,28.10,28.20,28.00,28.40,28.60,28.40,28.50,26.30,27.60
1913,27.50,27.10,28.00,25.80,26.70,27.40,28.40,28.00,27.70,27.40,26.30,26.00
1914,24.50,25.60,23.70,26.80,27.20,28.40,28.50,28.60,27.80,27.70,26.20,26.60
1915,25.40,24.80,23.00,24.50,28.10,28.50,28.80,28.90,28.40,28.60,27.00,25.00
1916,27.40,25.20,24.20,25.30,27.30,28.10,28.30,28.00,27.70,27.80,26.60,26.20
1917,26.50,24.80,26.70,25.80,26.70,27.80,28.20,28.30,27.90,28.00,24.50,24.10
1918,23.50,26.70,26.60,26.40,26.70,28.10,28.30,28.40,27.90,28.70,26.90,26.20
1919,24.70,25.50,26.50,25.80,27.40,27.90,28.40,28.70,28.20,29.20,27.30,26.20
1920,25.90,24.30,25.00,27.30,27.30,28.20,28.50,28.10,28.10,27.30,26.70,26.30
1921,25.40,26.20,27.10,27.00,26.60,28.40,28.30,28.30,28.30,28.00,27.40,26.80
1922,25.30,26.30,26.70,27.10,27.10,28.30,28.10,28.20,28.00,28.20,27.30,27.10
1923,25.70,26.30,26.90,27.10,27.10,28.30,28.40,28.20,28.30,27.40,25.20,26.80
1924,26.20,24.30,24.40,27.30,28.00,28.80,29.00,29.00,28.30,28.00,26.50,27.40
1925,27.60,26.20,25.90,26.00,27.00,28.40,28.60,28.60,28.60,28.80,27.10,26.10
1926,25.10,25.30,25.20,27.20,27.10,28.30,28.70,28.60,28.80,28.50,26.80,27.00
1927,24.40,27.30,25.80,27.00,27.90,29.20,28.80,28.70,27.90,27.70,26.70,25.50
1928,24.10,26.50,26.20,26.50,26.30,28.30,28.60,28.30,28.20,28.20,26.50,25.30
1929,26.60,27.20,27.20,27.50,28.10,28.00,28.00,28.20,28.10,26.90,28.00,26.00
