Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.41,-6.11,1.11,7.29,12.67,15.98,17.80,16.01,12.15,8.75,0.96,-0.08
1902,0.88,-2.15,2.01,6.76,8.40,14.43,15.66,15.23,11.81,6.35,-0.69,-4.53
1903,-3.36,1.63,4.56,4.32,12.46,14.53,16.22,15.79,12.52,8.56,3.35,-2.42
1904,-3.37,-0.40,2.30,8.05,11.79,15.50,18.86,17.08,11.28,7.42,1.51,-0.25
1905,-4.92,-0.71,3.34,5.16,11.88,16.73,18.63,16.75,12.89,3.89,2.25,-0.58
1906,-1.68,-1.50,1.47,7.96,12.89,14.26,17.04,15.99,11.42,8.04,4.96,-3.94
1907,-3.04,-3.31,0.69,4.86,13.67,15.44,14.82,16.15,12.38,11.18,1.27,-0.58
1908,-4.04,-0.62,1.26,5.29,14.12,17.06,16.78,14.34,10.98,7.18,-0.90,-3.11
1909,-4.28,-4.90,0.34,7.25,10.37,14.57,15.03,16.28,12.69,9.42,0.73,-0.42
1910,-1.20,0.47,2.52,6.56,11.99,16.22,15.31,15.44,11.02,7.81,1.14,0.93
1911,-3.41,-1.51,2.71,6.66,12.33,14.97,18.82,18.48,13.58,7.42,3.55,0.39
1912,-5.11,0.28,4.69,5.58,11.57,15.79,17.18,14.11,8.95,5.23,0.17,0.70
1913,-3.59,-1.58,4.73,7.20,11.61,14.57,14.06,14.49,11.93,8.10,4.73,0.38
1914,-5.86,-1.13,3.48,8.80,11.24,14.47,16.58,16.57,11.48,7.11,1.86,0.51
1915,-1.40,-1.05,0.25,6.60,13.09,17.33,16.15,14.40,10.52,5.61,-0.12,1.87
1916,1.72,-1.11,4.43,7.34,12.83,13.14,16.15,15.47,11.06,7.18,3.64,1.12
1917,-4.28,-5.89,-0.94,3.70,14.06,18.42,17.49,16.95,14.19,7.20,3.17,-3.69
1918,-1.39,-0.62,2.94,9.65,13.24,13.05,16.09,15.74,13.26,7.55,1.42,1.24
1919,-0.49,-2.21,2.27,5.02,9.42,14.72,14.39,16.03,14.34,5.72,-0.31,-1.07
1920,0.28,0.75,4.79,9.79,14.11,13.95,17.49,15.00,12.60,5.27,-0.83,-1.02
1921,2.34,-1.14,4.24,6.52,13.88,13.95,18.26,17.25,12.45,9.23,-0.83,-1.78
