Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.77,24.90,25.24,25.97,26.84,26.79,26.80,27.14,26.82,26.02,25.57,24.67
1902,24.07,24.40,24.54,25.24,26.32,26.69,26.73,27.04,26.62,25.72,25.67,24.97
1903,24.47,24.47,24.54,25.37,26.64,26.92,26.80,26.84,26.62,25.99,25.54,24.74
1904,24.07,23.90,24.04,24.64,25.92,26.39,26.40,26.34,26.39,25.59,25.87,24.87
1905,24.24,23.80,24.22,25.57,25.82,26.62,26.73,26.97,26.72,25.99,25.97,24.74
1906,24.04,24.00,24.42,25.17,26.14,26.32,26.50,26.84,26.52,26.02,25.87,24.24
1907,23.54,23.47,23.89,24.74,25.52,26.32,26.60,26.54,26.49,25.79,25.57,24.87
1908,24.17,23.87,24.12,24.64,25.62,26.39,26.73,26.87,26.69,25.79,25.44,24.84
1909,23.94,23.77,24.74,24.74,26.02,26.06,26.40,26.37,26.62,25.82,25.34,24.24
1910,23.64,23.47,23.92,24.64,25.72,26.29,26.50,26.74,26.32,26.02,25.97,24.94
1911,23.74,23.57,23.92,24.84,25.52,26.62,26.20,26.74,26.69,25.92,25.77,24.94
1912,24.47,24.30,24.32,25.17,26.22,26.39,26.80,26.74,26.52,25.79,25.64,24.97
1913,23.94,23.47,24.02,24.42,26.32,25.86,26.00,26.14,26.39,25.39,25.34,24.24
1914,23.94,23.97,24.52,24.84,25.62,26.06,26.20,26.24,26.42,25.69,25.67,25.27
1915,24.37,24.10,24.94,25.24,26.22,26.72,26.73,27.04,26.79,26.22,25.97,25.07
1916,23.94,23.97,24.22,25.04,26.24,26.52,26.60,26.67,26.49,25.79,25.37,24.14
1917,23.74,23.57,23.92,24.84,26.12,26.59,26.70,26.44,26.52,26.22,25.67,24.44
1918,23.74,23.80,24.12,24.74,25.72,26.59,26.60,26.94,26.89,26.12,25.54,24.54
1919,23.84,24.10,24.32,24.94,26.32,26.69,26.30,26.67,26.39,25.69,25.17,24.77
1920,23.87,24.00,24.44,25.14,26.02,26.09,26.20,26.32,26.22,25.59,25.34,24.44
1921,24.14,24.27,24.42,24.52,25.92,26.39,26.07,26.44,26.59,25.72,25.67,24.74
1922,23.97,23.97,24.02,24.52,25.72,26.19,26.40,26.44,26.49,25.92,25.44,24.37
1923,23.74,23.67,24.04,24.74,26.52,26.29,26.50,26.94,26.82,26.22,25.97,24.67
1924,24.14,24.20,24.97,25.57,26.54,26.59,26.73,26.97,26.92,26.02,25.44,24.57
