Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.45,-2.42,1.07,6.19,11.34,13.62,18.54,16.61,13.50,10.39,3.86,0.74
1902,2.95,-1.64,1.94,4.94,7.79,13.82,13.63,12.81,10.94,7.47,3.00,-0.82
1903,-0.08,3.14,4.68,4.76,10.97,14.21,15.16,13.88,12.52,8.05,4.18,0.29
1904,0.70,-0.50,1.38,6.35,9.55,13.48,15.72,15.21,12.47,8.67,4.47,2.68
1905,0.42,1.63,2.99,4.07,10.73,15.92,16.58,15.11,12.27,5.64,3.36,2.15
1906,1.28,0.86,1.84,6.44,11.41,14.80,15.61,15.57,13.10,9.46,7.02,-0.41
1907,0.10,-0.52,2.49,5.37,9.69,12.28,14.07,13.33,11.98,11.51,4.28,0.83
1908,0.69,2.24,1.14,4.91,9.65,14.31,16.69,15.07,12.40,9.16,3.13,1.21
1909,0.47,-1.42,-0.40,4.35,8.17,12.89,14.25,14.49,12.20,10.86,2.70,1.47
1910,1.28,2.04,3.73,6.56,11.62,15.86,16.15,15.87,13.05,9.26,2.74,2.61
1911,1.62,1.81,2.76,5.98,12.63,14.06,16.15,17.59,13.74,8.06,5.24,2.93
1912,-2.15,-1.06,3.91,6.05,9.52,13.82,17.67,14.65,10.52,7.61,3.87,4.34
1913,0.03,1.95,4.24,6.90,10.91,13.74,15.48,14.74,12.86,8.91,7.16,2.83
1914,-0.23,3.66,3.10,7.82,10.06,14.94,18.64,16.86,13.29,8.49,4.03,3.37
1915,-0.47,0.79,0.45,6.07,9.58,13.67,14.77,15.06,12.29,6.53,2.52,-0.73
1916,3.17,0.66,0.60,6.68,10.44,11.99,15.78,14.75,11.69,7.94,5.80,1.79
1917,-2.67,-1.53,-1.46,3.54,10.58,16.64,16.41,16.98,13.67,8.05,5.77,0.38
1918,-0.58,0.80,2.18,6.87,11.84,12.42,15.53,15.70,11.73,9.56,4.75,2.44
1919,1.09,-1.25,0.93,5.58,11.46,13.35,15.16,13.73,13.16,7.08,0.51,-0.42
1920,0.53,2.79,4.80,7.30,11.04,14.36,16.32,14.65,12.77,6.74,4.30,1.09
1921,2.85,2.00,5.18,8.19,12.27,13.48,15.67,15.01,12.28,10.11,1.40,2.32
