Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.89,22.60,23.02,23.80,24.38,24.79,24.81,25.20,25.05,24.27,22.70,21.44
1902,20.91,21.98,22.54,22.92,23.84,24.62,24.89,25.07,24.63,23.84,22.92,21.97
1903,21.66,22.15,22.41,23.10,24.19,24.87,24.83,24.79,24.48,23.92,22.71,21.70
1904,21.32,21.57,21.88,22.39,23.39,24.10,24.23,24.15,24.07,23.66,23.09,21.94
1905,21.13,21.49,22.11,23.58,23.62,24.70,24.77,24.97,24.64,24.19,23.47,22.00
1906,21.26,21.80,22.12,22.94,23.67,24.05,24.45,24.70,24.45,24.06,23.13,20.94
1907,20.58,20.82,21.60,22.39,23.10,24.19,24.60,24.42,24.22,23.83,22.96,21.96
1908,21.29,21.33,21.81,22.53,23.06,24.18,24.81,24.89,24.52,23.71,22.72,21.77
1909,20.93,21.27,22.53,22.41,23.57,23.74,24.39,24.24,24.52,23.87,22.30,20.94
1910,20.49,20.72,21.46,22.14,22.82,23.91,24.33,24.46,24.26,24.32,23.17,21.63
1911,20.82,21.08,21.37,22.42,22.79,24.43,24.03,24.54,24.43,24.06,23.27,22.16
1912,21.88,21.82,22.23,23.27,23.76,24.16,24.78,24.58,24.39,23.85,22.95,22.25
1913,21.37,21.23,21.86,21.91,23.38,23.29,23.85,23.99,24.22,23.41,22.55,21.14
1914,20.83,21.50,21.92,22.58,23.12,23.75,24.17,24.26,24.42,23.88,22.93,22.50
1915,21.55,21.63,22.48,22.85,23.85,24.73,24.96,25.07,24.91,24.50,23.40,22.06
1916,21.16,21.48,21.73,22.71,23.86,24.51,24.66,24.72,24.39,23.86,22.59,20.93
1917,20.62,20.71,21.34,22.29,23.28,23.94,24.55,24.29,24.24,24.17,22.42,20.77
1918,20.23,21.25,21.63,22.26,22.71,23.94,24.44,24.73,24.43,24.21,22.55,21.45
1919,20.97,21.72,22.03,22.62,23.99,24.48,24.27,24.74,24.22,23.83,22.37,21.64
1920,21.01,21.49,22.18,23.01,23.70,23.87,23.94,23.99,23.95,23.51,22.52,21.38
1921,20.84,21.57,21.71,22.00,22.97,24.09,23.84,24.02,24.31,23.61,22.78,21.73
1922,20.62,21.22,21.42,21.70,22.86,23.56,23.87,23.99,24.21,23.78,22.50,21.45
1923,20.60,20.89,21.90,22.19,23.93,23.96,24.25,24.80,24.77,24.44,23.35,21.76
1924,21.51,21.79,22.98,23.84,24.42,24.58,25.10,25.38,25.24,24.53,22.61,21.86
1925,21.06,20.88,21.56,22.87,23.38,24.03,24.07,24.81,25.00,24.23,23.14,22.68
1926,21.56,22.12,23.07,23.56,24.18,24.60,25.06,25.02,24.84,24.17,23.48,22.37
1927,20.79,21.36,22.33,22.99,23.73,24.39,24.61,24.71,24.75,24.20,23.40,22.27
1928,21.70,22.14,22.46,22.72,23.60,24.39,24.52,24.41,24.26,23.75,23.20,22.19
1929,21.88,22.37,21.94,22.36,22.67,23.88,24.57,24.34,24.12,23.77,22.76,21.64
1930,21.09,21.29,22.13,22.87,23.88,24.28,24.33,24.67,24.49,24.27,23.09,22.14
1931,21.80,21.63,23.20,23.69,24.78,25.07,25.38,25.17,24.79,24.48,23.23,22.19
1932,21.42,21.75,22.87,23.63,24.22,24.90,24.89,25.08,25.26,24.42,23.44,22.52
1933,22.05,21.57,22.74,23.45,24.34,24.75,25.18,25.34,24.82,24.67,23.33,22.16
1934,21.48,21.61,22.13,23.22,24.05,24.72,24.78,24.91,24.77,24.63,22.96,22.09
1935,21.26,21.35,22.19,23.04,23.70,24.36,24.80,24.86,24.69,24.01,22.76,21.85
1936,21.64,21.98,22.50,23.55,24.21,24.88,24.80,24.96,24.81,24.23,23.03,21.58
1937,21.29,21.83,23.21,23.38,24.37,24.59,24.65,24.71,24.74,24.14,23.47,21.85
1938,21.28,21.64,22.18,22.39,23.64,24.49,24.61,24.95,24.84,24.28,23.04,21.82
1939,21.25,21.36,22.13,22.62,23.64,24.37,24.89,25.21,25.37,24.76,23.44,22.27
1940,21.66,22.53,23.03,23.66,24.37,24.93,25.51,25.25,25.27,24.68,23.48,22.36
1941,21.93,22.90,23.19,23.88,24.59,25.13,24.87,25.11,25.01,24.79,23.73,22.85
1942,22.31,22.45,23.66,24.00,24.43,25.09,25.33,25.31,25.19,24.91,23.75,22.67
1943,21.81,21.89,22.48,23.25,23.66,24.45,24.77,25.13,25.38,24.44,23.32,22.14
1944,21.88,22.14,22.53,23.77,23.94,24.72,24.97,25.05,24.73,24.45,22.79,21.76
