Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.62,-14.78,-7.70,0.24,6.02,14.08,17.52,14.21,9.25,5.32,-6.99,-13.78
1902,-13.62,-11.95,-10.15,-3.64,3.99,9.03,11.69,11.15,6.07,-1.55,-5.52,-9.58
1903,-10.90,-6.92,-2.59,0.34,6.43,11.96,12.89,12.12,8.05,-2.10,-3.66,-6.32
1904,-6.07,-14.05,-7.65,0.48,4.56,10.56,12.36,11.56,7.88,3.05,-7.46,-12.27
1905,-12.06,-9.21,-5.18,-1.61,7.04,13.54,14.44,11.94,7.05,-0.62,-4.17,-6.77
1906,-7.63,-8.39,-9.38,1.37,8.25,12.67,15.73,10.91,6.38,1.51,-4.01,-8.08
1907,-14.56,-8.31,-4.10,0.23,3.89,12.46,14.07,10.69,6.50,4.24,-2.34,-13.89
1908,-10.86,-10.10,-7.45,0.28,4.85,10.72,13.99,13.27,6.88,2.85,-7.27,-6.41
1909,-6.10,-11.63,-7.76,-3.45,2.82,11.17,14.52,12.48,8.72,5.14,-7.74,-8.26
1910,-9.52,-4.72,-3.77,0.97,7.16,11.55,13.54,11.22,8.01,0.70,-5.07,-7.35
1911,-8.85,-12.91,-5.13,-1.17,7.14,10.65,13.38,14.22,8.25,0.12,-2.60,-5.21
1912,-15.16,-16.62,-4.80,-2.10,4.79,12.46,14.88,13.64,6.36,-1.28,-4.41,-7.27
1913,-11.16,-9.40,-5.31,1.13,5.69,11.04,16.20,13.49,8.29,0.07,-2.25,-10.40
1914,-12.29,-8.10,-6.84,0.62,5.96,12.88,17.52,11.28,7.63,0.59,-3.94,-5.38
1915,-12.93,-10.86,-11.35,-0.63,4.46,9.25,16.30,11.90,6.23,0.12,-7.72,-18.42
1916,-9.51,-8.28,-8.80,-0.32,3.79,10.95,16.98,10.74,5.94,-1.57,-1.39,-8.28
1917,-13.92,-15.78,-12.75,-2.18,3.57,14.15,13.65,15.91,7.62,3.63,-4.04,-9.02
1918,-16.20,-9.94,-5.17,1.06,4.99,10.71,15.34,10.63,7.29,3.82,-0.39,-7.86
1919,-8.82,-14.08,-8.59,-1.40,7.33,13.26,16.66,11.82,8.67,0.66,-8.11,-11.70
1920,-12.37,-6.71,-1.45,1.79,8.85,12.15,15.79,12.90,9.87,0.62,-1.46,-6.30
1921,-12.13,-10.99,-2.83,3.94,9.55,12.58,12.69,13.27,7.56,0.04,-8.27,-8.36
1922,-12.38,-11.30,-7.51,-0.48,6.78,13.00,14.86,12.45,8.96,0.33,-4.96,-10.10
1923,-6.72,-14.45,-5.84,-2.28,4.59,8.68,14.73,10.82,8.10,2.56,-3.53,-9.03
1924,-11.10,-12.64,-8.03,-2.00,5.69,9.93,16.04,14.98,9.87,4.59,-2.83,-4.41
1925,-3.72,-6.36,-9.08,1.69,7.04,11.49,18.53,13.14,7.92,-0.57,-8.31,-11.85
1926,-14.65,-12.74,-5.65,-1.29,5.43,12.08,14.71,13.30,7.42,-1.31,-2.61,-10.96
1927,-12.63,-9.04,-5.50,-1.03,4.36,11.44,18.11,14.84,7.10,-0.78,-8.33,-10.79
1928,-9.84,-9.73,-5.35,0.10,5.98,9.40,12.25,12.30,7.33,0.51,-4.26,-7.66
1929,-12.24,-15.93,-6.10,-4.38,6.97,11.13,13.12,12.15,8.12,2.95,-0.62,-1.80
1930,-4.49,-8.79,-5.83,1.01,8.50,12.82,16.40,14.53,5.69,2.19,-3.27,-8.36
