Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1902,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1903,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1904,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1905,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1906,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1907,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1908,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1909,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1910,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1911,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1912,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1913,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1914,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1915,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1916,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1917,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1918,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1919,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1920,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1921,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1922,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1923,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1924,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1925,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1926,26.70,26.60,26.80,26.70,26.70,25.80,25.90,26.00,25.80,25.30,25.30,26.70
1927,26.60,26.90,27.40,26.50,26.80,26.50,26.70,26.10,25.50,25.50,26.20,26.90
1928,26.30,26.40,26.50,26.20,25.80,25.60,25.70,25.40,25.50,25.60,26.10,26.10
1929,26.10,26.40,26.30,26.00,26.20,25.70,25.30,25.20,25.70,25.90,26.20,25.80
1930,25.90,26.00,26.20,26.00,26.00,25.80,25.50,25.30,25.60,25.80,26.00,26.00
1931,26.30,26.10,26.40,26.70,26.60,26.20,25.70,25.70,25.80,25.70,25.80,25.80
1932,25.80,25.40,26.20,26.00,25.90,25.70,25.90,26.30,25.70,25.40,25.70,25.90
1933,26.50,26.20,26.50,26.10,26.10,25.40,25.40,25.40,25.20,24.80,25.40,25.50
1934,26.00,25.90,26.40,25.90,26.30,26.10,26.30,25.90,25.90,25.00,25.70,26.00
1935,26.10,26.30,26.40,25.90,25.90,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1936,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1937,26.60,26.30,26.50,26.40,26.20,26.20,25.90,26.20,26.30,26.10,26.30,26.60
1938,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1939,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1940,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1941,26.30,25.70,26.60,27.00,27.00,25.90,25.30,25.30,25.70,26.10,26.60,26.30
1942,26.10,26.50,26.40,26.00,26.40,26.50,25.90,25.60,25.30,25.30,25.40,26.10
1943,26.40,26.00,25.80,25.40,26.20,25.90,25.10,25.30,25.40,25.40,25.60,26.20
1944,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1945,26.70,26.60,26.80,26.70,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.70
1946,26.70,26.60,26.80,26.70,26.80,26.50,26.20,26.30,26.40,26.30,26.60,26.70
1947,26.70,26.60,26.80,26.80,26.70,26.50,26.20,26.30,26.40,26.30,26.50,26.80
