Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.93,24.19,24.21,25.09,25.73,26.11,26.16,26.43,25.88,25.44,24.73,23.89
1902,23.11,23.67,23.59,24.19,25.13,25.91,26.17,26.33,25.58,25.06,24.83,24.19
1903,23.61,23.67,23.49,24.39,25.63,26.31,26.26,26.03,25.58,25.34,24.63,23.99
1904,23.21,23.07,22.97,23.57,24.73,25.61,25.76,25.51,25.26,24.94,25.11,24.17
1905,23.21,22.96,23.17,24.69,24.71,25.99,26.16,26.23,25.68,25.36,25.23,23.99
1906,23.03,23.26,23.29,24.19,25.03,25.59,25.86,26.11,25.48,25.36,25.11,23.37
1907,22.51,22.56,22.77,23.67,24.31,25.59,26.06,25.73,25.36,25.14,24.73,24.09
1908,23.31,23.06,22.97,23.57,24.41,25.59,26.17,26.21,25.58,25.14,24.61,23.97
1909,22.91,22.87,23.77,23.67,24.91,25.19,25.86,25.61,25.58,25.14,24.41,23.37
1910,22.61,22.46,22.77,23.57,24.43,25.51,25.87,25.91,25.28,25.46,25.13,24.17
1911,22.71,22.66,22.67,23.77,24.31,25.91,25.56,25.93,25.58,25.26,25.01,24.19
1912,23.61,23.47,23.27,24.17,25.11,25.61,26.17,25.91,25.46,25.06,24.81,24.19
1913,23.01,22.66,22.77,23.27,25.11,24.89,25.26,25.31,25.28,24.64,24.51,23.39
1914,22.91,23.06,23.37,23.77,24.41,25.19,25.56,25.51,25.48,25.06,24.91,24.59
1915,23.43,23.27,23.99,24.29,25.13,26.01,26.26,26.31,25.78,25.64,25.21,24.37
1916,23.01,23.16,23.17,23.97,25.13,25.89,26.07,26.03,25.46,25.14,24.53,23.29
1917,22.71,22.66,22.67,23.77,24.91,25.79,26.07,25.71,25.46,25.64,24.83,23.57
1918,22.71,22.96,22.99,23.67,24.43,25.71,25.97,26.21,25.88,25.46,24.63,23.77
1919,22.91,23.27,23.17,23.87,25.23,25.91,25.66,25.93,25.26,24.96,24.31,23.99
1920,22.93,23.26,23.47,24.09,24.91,25.29,25.56,25.41,25.16,24.94,24.51,23.67
1921,23.21,23.47,23.27,23.37,24.63,25.61,25.36,25.61,25.48,25.06,24.83,23.99
1922,23.01,23.16,22.87,23.37,24.51,25.31,25.76,25.61,25.46,25.26,24.61,23.59
1923,22.81,22.86,22.99,23.67,25.43,25.51,25.86,26.23,25.86,25.66,25.23,23.89
1924,23.23,23.46,24.09,24.69,25.51,25.89,26.17,26.33,25.98,25.46,24.61,23.87
1925,22.83,22.56,22.77,24.07,24.83,25.61,25.67,26.03,25.86,25.54,25.01,24.69
1926,23.63,23.67,24.09,24.49,25.53,26.31,26.46,26.21,25.76,25.26,25.13,24.27
1927,23.01,22.76,23.47,23.87,25.01,25.69,25.96,26.01,25.88,25.46,25.33,24.39
