Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.67,4.30,9.47,11.82,15.25,19.96,23.11,22.09,19.32,15.03,8.71,8.39
1902,5.91,7.93,7.49,11.57,13.75,19.15,22.47,23.07,19.84,15.25,7.49,3.37
1903,4.41,6.08,8.74,10.14,15.82,18.60,21.77,22.35,19.33,14.87,10.05,7.69
1904,3.84,7.94,7.58,11.66,16.05,20.34,23.49,22.51,18.13,14.69,7.46,5.42
1905,1.13,3.18,7.62,10.97,16.08,19.62,23.64,23.90,20.87,12.70,12.18,6.20
1906,4.20,5.21,8.71,11.53,15.28,19.34,22.83,21.89,18.26,13.82,11.17,5.25
1907,2.31,2.91,4.12,9.69,17.76,19.96,22.22,22.61,18.81,17.23,9.35,7.38
1908,3.61,5.17,7.32,10.40,18.40,20.95,22.38,22.32,18.12,13.38,6.77,4.65
1909,2.29,1.70,8.25,11.73,15.91,19.80,22.32,22.89,20.01,15.11,9.18,8.57
1910,5.35,7.43,7.11,11.33,15.14,19.72,21.69,22.38,18.09,14.43,9.64,8.22
1911,4.01,2.48,7.40,10.68,15.43,19.83,22.67,23.17,19.38,15.08,11.57,6.88
1912,3.00,7.50,9.81,9.89,15.03,20.26,22.24,21.60,17.08,13.29,8.80,6.61
1913,4.34,3.74,9.18,11.51,14.95,19.37,20.90,21.17,19.99,14.92,10.53,6.00
1914,2.43,5.00,9.13,11.75,15.51,18.86,21.98,22.02,17.82,13.01,8.33,7.00
1915,6.92,6.13,7.83,11.08,15.55,20.50,22.80,21.85,17.53,14.36,9.32,8.77
1916,5.27,5.90,10.18,11.68,16.31,21.52,23.53,21.69,18.19,14.79,11.37,8.89
1917,5.96,3.32,8.00,11.16,15.39,20.30,22.75,23.90,19.97,15.48,10.46,3.96
1918,4.98,4.04,6.95,11.19,15.81,19.02,22.36,22.09,20.97,15.84,9.62,6.39
1919,6.34,5.87,9.05,12.03,13.63,19.26,21.80,21.68,19.94,14.74,10.29,5.80
1920,5.81,3.83,8.57,12.97,16.85,19.84,23.41,22.81,19.13,12.43,7.63,5.98
1921,6.51,4.13,7.65,10.62,16.94,18.41,23.12,23.49,18.35,13.86,8.68,5.16
1922,3.77,4.23,10.16,12.05,16.09,20.69,23.33,23.43,19.44,14.84,7.70,4.79
1923,4.50,5.86,8.31,11.24,17.33,18.79,22.71,22.63,20.14,16.30,13.45,6.99
1924,1.73,4.83,7.32,12.37,17.52,21.08,22.91,22.06,21.38,13.90,8.42,5.41
1925,4.25,8.18,7.90,11.59,15.83,18.80,22.50,22.56,19.50,14.80,11.80,5.36
1926,5.51,7.54,7.58,12.80,15.83,19.85,21.88,20.75,19.58,16.02,14.18,6.58
1927,6.05,3.63,10.34,12.05,16.28,21.80,23.97,23.95,21.17,15.19,11.85,5.44
1928,4.89,3.83,6.03,12.76,14.97,20.17,24.44,24.08,20.73,14.72,11.76,5.13
1929,2.70,1.29,4.73,10.00,17.64,20.44,22.80,24.18,18.09,14.84,11.50,6.87
1930,5.58,5.13,9.41,12.37,15.28,20.07,23.21,22.78,20.05,14.58,10.79,7.26
1931,5.96,5.80,7.97,10.13,16.45,21.34,24.18,23.67,18.52,14.36,8.79,4.25
1932,3.36,1.55,5.94,11.35,16.07,19.69,23.32,23.07,21.33,17.10,9.82,6.95
1933,3.27,5.51,6.57,9.53,14.17,17.83,21.34,21.89,17.43,14.72,12.16,4.00
1934,4.18,3.43,9.75,13.33,17.15,20.28,23.00,22.90,19.58,14.93,11.66,7.36
1935,3.34,5.24,6.42,11.57,15.91,21.16,22.42,22.75,19.42,16.54,9.67,7.82
1936,8.46,6.58,9.69,12.64,15.15,18.97,23.56,22.43,18.46,14.08,9.80,4.69
