Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.70,24.80,25.40,26.20,26.80,26.30,26.30,26.50,26.20,25.80,25.30,24.50
1902,24.10,24.30,24.50,25.50,26.40,26.20,26.00,26.40,26.10,25.60,25.50,24.80
1903,24.30,24.50,24.70,25.50,26.30,26.30,26.30,26.30,26.30,26.00,25.30,24.50
1904,23.90,24.10,24.20,25.30,26.00,26.00,26.00,26.00,26.20,25.40,25.40,24.60
1905,24.30,23.80,24.30,25.70,25.80,26.00,26.20,26.40,26.40,25.80,25.60,24.30
1906,24.00,24.00,24.60,25.40,26.20,25.80,25.90,26.30,26.00,26.10,25.60,24.10
1907,23.90,24.00,24.40,25.30,25.60,25.70,26.00,26.10,26.20,25.80,25.30,24.60
1908,24.10,23.90,24.20,25.10,25.50,25.90,26.00,26.20,26.30,25.70,25.10,24.80
1909,23.90,24.10,24.90,25.50,26.00,25.60,25.90,26.00,26.00,25.70,25.30,24.10
1910,23.60,24.00,24.10,25.00,26.10,25.90,25.90,26.10,26.10,25.80,25.60,24.80
1911,24.10,23.70,24.70,25.20,25.70,26.30,25.80,26.30,26.40,25.80,25.50,24.70
1912,24.30,24.40,24.60,25.40,26.30,26.20,26.20,26.30,26.30,25.80,25.30,24.70
1913,23.80,24.00,24.60,25.40,26.60,25.90,25.60,25.80,26.10,25.50,24.90,24.00
1914,24.00,24.20,24.80,25.10,25.60,25.90,25.70,25.70,26.00,25.30,25.10,24.80
1915,24.30,24.20,25.10,25.50,26.30,26.00,25.90,26.40,26.20,26.10,25.60,24.70
1916,23.90,24.20,24.50,25.40,26.10,25.90,25.90,26.00,26.10,25.80,25.30,24.30
1917,23.60,23.70,24.10,25.00,26.20,26.10,26.00,25.70,26.00,25.80,25.40,24.50
1918,23.80,23.80,24.30,24.90,25.80,26.20,26.00,26.20,26.50,26.00,25.40,24.30
1919,23.70,24.20,24.70,25.20,26.10,26.30,25.90,26.10,26.20,25.50,24.90,24.50
1920,23.80,23.90,24.70,25.40,25.90,25.90,25.80,26.00,26.00,25.80,25.10,24.20
1921,24.00,24.30,24.70,24.90,26.20,25.70,25.30,25.80,26.10,25.40,25.30,24.30
1922,23.90,23.90,24.10,24.90,25.70,25.60,25.70,25.70,26.00,25.80,25.10,23.80
1923,23.60,23.50,23.90,25.00,26.40,25.70,25.80,26.10,26.30,25.90,25.60,24.40
1924,23.90,24.20,24.70,25.80,26.50,25.80,25.70,25.90,26.10,25.50,25.00,24.10
1925,23.40,23.50,24.10,25.40,26.10,25.80,25.70,25.90,26.10,25.90,25.40,25.00
1926,24.40,24.50,25.10,25.90,26.70,26.70,26.20,26.10,26.10,25.80,25.60,24.50
1927,23.90,23.50,24.60,25.00,25.90,25.80,25.60,25.90,26.20,25.70,25.70,24.70
1928,24.00,24.10,24.50,25.50,26.10,25.90,25.70,25.90,26.10,25.70,25.50,24.50
1929,23.70,24.10,24.10,25.00,25.30,25.60,25.70,25.90,25.90,25.80,25.20,24.20
1930,23.80,24.10,24.50,25.50,26.30,26.10,25.80,26.10,26.20,26.10,25.60,24.90
1931,24.50,24.50,25.60,26.20,26.80,26.40,26.00,26.40,26.20,26.10,25.80,24.90
1932,24.30,24.40,25.30,26.20,26.60,26.60,26.20,26.40,26.90,26.40,26.10,25.20
1933,24.30,23.70,24.70,25.70,26.40,26.10,26.00,26.00,26.10,25.80,25.30,24.30
1934,23.70,23.80,24.20,25.70,26.50,26.60,26.00,26.20,26.20,25.80,25.50,24.80
1935,24.30,24.10,24.20,25.30,25.90,26.20,25.80,25.70,26.00,25.90,25.70,24.50
1936,24.10,24.00,25.10,25.70,26.60,26.10,25.80,26.20,26.40,25.90,25.40,24.50
1937,23.90,24.10,25.10,25.70,26.60,26.50,26.10,26.50,26.80,26.50,26.10,25.20
1938,24.20,24.10,24.30,24.80,25.80,25.80,25.90,26.30,26.60,26.30,25.60,25.10
1939,23.80,23.50,24.40,24.80,26.00,25.90,26.00,26.50,26.80,26.40,26.20,25.60
1940,24.90,25.00,25.50,26.50,27.40,26.70,26.60,26.60,27.20,26.80,26.20,25.20
1941,25.10,25.70,26.00,26.80,27.50,26.50,26.30,26.70,26.90,26.80,26.20,25.30
1942,25.30,25.60,25.80,26.40,26.80,26.60,26.10,26.50,26.90,26.70,26.40,25.00
1943,24.50,24.50,24.60,25.70,25.70,26.10,25.90,26.10,26.90,26.50,25.90,25.10
1944,24.60,24.70,25.00,25.80,26.30,26.00,26.20,26.70,26.60,26.80,26.10,25.20
1945,24.20,24.00,24.80,25.40,26.30,26.10,26.10,26.50,26.60,26.10,25.70,24.90
1946,24.30,24.10,24.80,25.40,25.80,26.10,25.90,26.10,26.60,26.40,26.00,25.40
1947,24.30,25.00,25.40,25.80,26.70,26.50,25.90,26.50,26.70,26.60,26.00,25.30
1948,24.80,24.40,24.80,25.40,27.00,26.50,26.00,26.20,26.40,26.20,25.80,24.80
1949,23.70,23.90,24.90,25.70,26.70,26.10,25.80,26.20,26.40,26.00,25.50,24.40
1950,23.40,24.00,24.30,25.30,25.90,25.70,25.70,26.00,26.50,25.90,25.70,24.70
1951,24.00,24.20,24.70,25.80,26.60,26.20,26.20,26.60,26.80,26.60,26.10,25.20
1952,24.40,24.60,25.40,26.40,27.10,26.30,26.00,26.40,26.50,26.40,25.60,24.80
1953,24.30,24.20,24.70,26.00,26.00,26.40,26.20,26.50,26.60,26.20,25.90,24.90
1954,24.00,24.20,25.00,25.10,26.30,26.00,25.80,26.00,26.00,25.40,25.00,24.20
1955,23.90,24.20,24.30,25.20,26.20,26.00,25.80,26.20,26.00,26.10,25.60,24.80
1956,24.40,24.20,24.60,25.70,25.90,25.80,25.90,25.80,26.20,25.80,25.50,24.60
1957,23.90,24.00,24.70,25.20,26.30,26.20,26.20,26.50,27.00,26.50,25.50,24.80
1958,24.40,24.50,26.10,26.80,26.90,26.50,26.30,26.60,27.00,26.30,25.70,25.10
1959,24.30,24.50,25.30,26.10,26.40,26.00,26.10,26.30,26.70,25.90,25.60,25.50
1960,24.60,24.80,25.30,25.90,27.00,26.50,26.20,26.30,26.50,26.40,25.90,25.00
1961,24.80,24.50,25.30,26.00,26.70,26.40,26.10,26.40,26.60,26.10,25.40,24.90
1962,24.30,24.00,25.20,25.90,27.00,26.20,26.00,26.10,26.50,26.50,26.00,25.10
1963,24.80,24.70,25.10,26.00,26.10,26.30,26.20,26.90,26.80,26.80,25.90,25.20
1964,24.10,24.80,25.40,25.70,26.50,26.10,25.70,26.20,26.40,25.90,25.50,24.00
1965,24.20,23.80,25.00,25.40,26.40,25.80,26.20,26.20,26.60,26.30,26.00,25.40
1966,25.10,24.60,25.40,25.90,26.50,26.10,26.00,26.20,26.20,26.30,26.00,25.10
1967,24.80,24.50,24.60,25.40,26.10,26.30,25.80,26.00,26.40,26.10,25.50,24.60
1968,24.00,24.30,24.80,25.50,26.20,26.00,26.00,26.20,26.50,26.30,25.80,25.00
1969,24.50,24.80,26.20,26.80,27.70,26.90,26.60,26.40,26.80,26.20,26.20,25.60
1970,24.80,25.00,25.50,26.20,27.10,26.30,25.90,26.10,26.30,26.50,25.60,25.20
1971,24.10,24.30,24.90,25.50,25.90,26.10,25.90,25.80,26.30,25.50,25.20,24.50
1972,24.00,24.10,25.00,25.40,25.90,26.60,26.30,26.30,26.80,26.50,25.70,25.10
1973,25.00,25.10,25.60,26.30,26.90,26.90,26.80,26.70,26.60,26.30,25.70,24.20
1974,24.50,24.70,24.90,24.90,26.30,26.40,26.20,26.10,26.20,26.00,25.80,24.60
1975,24.00,24.40,25.20,25.60,26.50,26.60,26.40,26.50,26.70,25.60,25.50,24.30
1976,23.70,23.80,24.00,25.30,26.10,25.80,25.80,26.50,27.00,26.80,26.10,24.70
1977,24.60,24.60,25.30,25.70,26.80,26.50,26.20,26.60,26.80,26.50,26.20,25.00
1978,24.50,25.00,25.70,26.60,26.80,26.40,26.30,26.30,27.00,26.60,26.20,25.10
1979,24.40,24.90,25.50,26.30,27.10,26.80,26.80,26.90,26.60,26.90,26.60,25.70
1980,25.30,25.30,25.60,26.50,27.30,27.00,26.70,26.80,27.20,26.60,26.10,25.50
1981,25.50,25.90,26.40,26.20,27.10,26.60,26.50,26.60,26.60,26.60,26.50,26.00
1982,25.20,25.10,25.50,26.20,27.20,26.80,26.40,26.30,26.80,26.30,26.00,25.30
1983,25.00,25.10,26.30,26.80,26.90,27.20,26.80,26.90,27.20,26.40,26.30,25.50
1984,24.90,25.20,25.40,26.20,26.50,26.70,26.20,26.50,26.40,26.00,25.40,24.70
1985,24.00,24.00,24.80,25.70,26.60,26.60,26.20,26.40,26.50,25.90,25.70,24.70
1986,24.40,24.30,25.10,26.20,26.70,26.30,26.30,26.70,26.70,26.30,25.60,24.90
1987,24.50,24.90,25.90,27.20,27.50,27.40,27.20,27.60,27.40,27.20,26.80,26.40
1988,25.20,25.30,25.80,26.60,27.50,27.30,26.90,26.80,27.00,26.40,26.40,25.30
1989,24.80,24.90,24.70,25.30,26.20,26.20,26.70,27.00,26.90,26.80,25.60,25.70
1990,25.00,24.70,25.40,26.40,27.10,27.10,26.90,27.00,27.40,27.20,26.50,25.60
1991,25.20,25.30,25.90,26.40,27.30,27.40,27.10,26.80,26.80,26.10,25.80,24.90
1992,24.70,25.00,25.60,26.70,27.20,26.60,26.50,26.30,26.50,26.50,25.90,25.30
1993,25.10,25.10,25.80,26.90,27.50,27.20,26.80,26.80,26.90,26.80,25.90,25.40
1994,25.00,24.40,25.30,26.30,26.60,26.40,26.50,26.60,26.70,26.50,26.20,25.50
1995,24.90,25.00,25.60,26.60,27.70,27.10,26.90,27.00,27.30,26.50,26.10,25.70
1996,25.00,25.50,25.60,26.40,26.60,26.30,26.40,26.70,27.00,26.60,26.10,25.50
1997,25.20,24.90,25.00,26.10,26.90,27.00,26.60,26.80,27.50,27.40,26.60,26.10
1998,25.70,26.20,26.50,27.40,27.40,27.30,27.20,27.70,27.70,27.10,26.60,26.10
1999,25.20,24.80,25.70,26.20,27.50,27.10,26.90,26.90,27.20,26.50,26.60,25.80
2000,25.00,24.90,25.00,26.00,26.60,26.40,26.70,26.90,26.80,26.80,26.20,25.30
2001,25.00,24.80,25.70,26.30,27.60,27.20,26.90,27.20,27.00,26.60,26.60,26.30
2002,25.60,25.20,25.90,26.40,26.70,27.00,27.00,27.20,27.60,27.00,26.40,26.00
2003,25.70,25.60,26.20,27.20,27.20,26.70,26.60,27.20,27.20,27.10,26.90,25.90
2004,25.30,25.20,25.80,26.90,26.80,26.80,26.80,27.10,27.20,26.90,26.40,26.00
2005,25.70,25.70,26.40,27.20,28.00,27.30,26.80,27.40,27.60,27.40,26.10,25.70
2006,25.00,25.10,25.80,26.70,27.70,27.00,26.90,27.20,27.60,27.20,26.50,26.10
2007,25.50,25.00,26.40,26.90,27.90,26.70,26.60,26.60,26.60,26.60,26.20,25.30
2008,25.00,24.90,25.00,25.80,27.00,27.30,26.90,27.20,27.40,26.60,26.60,25.60
2009,25.40,25.00,25.40,26.20,27.40,27.30,27.40,27.40,27.80,27.20,27.10,26.20
2010,25.60,26.30,27.20,27.50,28.10,27.70,27.10,27.10,27.00,27.30,26.70,25.50
2011,25.50,25.60,25.50,26.10,27.70,27.50,27.10,27.50,27.60,26.90,26.40,25.80
2012,25.20,25.10,25.50,26.40,26.70,26.60,27.00,27.10,27.30,27.30,27.30,26.20
2013,25.50,25.70,26.20,26.40,27.30,27.10,27.20,27.30,27.70,27.10,26.40,25.80
2014,25.30,25.40,25.90,26.70,27.30,27.60,27.20,27.20,27.20,27.00,26.60,25.80
2015,25.60,25.80,25.80,26.50,27.40,27.50,27.10,27.60,28.10,27.80,26.80,26.20
2016,25.80,25.80,26.20,27.20,27.50,27.10,27.30,27.40,27.30,27.30,26.60,26.30
2017,25.10,25.30,25.90,27.10,27.70,27.00,27.10,27.50,27.40,26.90,26.90,25.90
2018,25.30,24.70,26.00,26.40,26.60,26.90,26.80,26.90,27.20,26.70,26.40,25.50
2019,24.90,25.20,25.90,26.40,27.20,27.20,27.10,27.30,27.70,27.10,26.70,26.30
2020,25.50,25.90,25.80,26.90,27.70,27.30,27.20,27.50,27.70,26.80,26.20,25.50
2021,25.20,25.30,25.60,26.40,27.00,26.90,27.00,27.10,27.60,27.30,26.50,25.90
