Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1902,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1903,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1904,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1905,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1906,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1907,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1908,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1909,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1910,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1911,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1912,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1913,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1914,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1915,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1916,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1917,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1918,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1919,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
1920,26.77,26.67,26.97,27.47,27.77,28.07,27.77,27.57,27.77,27.77,27.67,27.27
