Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.97,22.70,24.12,25.06,25.71,25.13,24.64,24.85,24.77,24.19,22.88,22.33
1902,21.30,22.45,24.58,25.09,25.94,25.11,24.85,24.38,25.43,24.52,23.54,22.53
1903,22.24,23.57,24.44,24.89,25.37,25.59,24.95,25.00,25.25,24.05,22.63,21.66
1904,22.00,22.75,24.13,25.21,25.73,25.13,24.65,24.81,24.76,24.10,22.98,22.44
1905,21.78,22.78,24.17,25.16,25.91,25.24,24.66,24.87,24.82,24.23,23.13,22.46
1906,21.42,22.08,23.78,24.71,25.72,24.97,24.80,24.78,25.05,24.21,23.18,22.11
1907,22.24,22.51,24.12,25.08,25.80,25.03,24.25,24.45,24.59,24.12,23.31,22.27
1908,21.49,22.16,24.18,25.75,26.14,25.17,24.61,24.69,24.68,23.72,22.59,22.44
1909,21.78,22.60,24.55,25.33,26.30,25.02,24.90,24.86,24.59,23.97,22.57,22.25
1910,21.15,22.07,22.91,24.25,25.37,24.77,24.42,24.76,24.60,23.91,22.31,21.31
1911,21.86,22.65,24.16,25.44,24.75,24.51,23.76,24.74,24.82,24.55,23.56,22.65
1912,22.09,21.72,24.53,26.03,25.92,24.94,24.52,24.80,24.69,24.30,22.53,22.73
1913,22.53,23.50,24.41,24.04,24.81,24.30,24.37,24.71,24.45,23.86,22.61,22.22
1914,21.61,22.66,22.98,24.89,25.16,24.65,24.80,25.08,24.58,23.98,22.73,22.78
1915,21.84,22.19,22.72,23.98,26.15,25.49,25.04,25.10,24.90,24.22,23.08,22.51
1916,22.76,22.11,23.50,24.55,25.53,24.82,25.03,24.64,24.53,23.89,22.58,22.49
1917,22.13,22.66,24.26,25.17,25.76,25.13,24.66,24.87,24.77,24.16,22.88,22.25
1918,21.59,23.14,24.32,25.27,25.55,24.85,24.85,24.89,24.85,24.69,23.19,22.42
1919,21.43,22.83,24.28,24.71,25.45,24.68,24.52,24.87,24.76,24.40,23.66,22.55
