Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.64,-2.70,5.50,10.34,14.42,18.59,20.49,19.14,15.75,11.82,4.10,3.77
1902,2.57,3.19,5.20,10.67,10.86,16.61,19.49,19.49,16.07,10.87,3.33,-0.79
1903,-1.18,3.66,7.42,7.28,14.51,17.01,19.25,19.44,16.23,11.73,6.59,2.70
1904,-0.64,3.94,6.14,11.09,15.00,18.60,21.53,19.94,14.44,11.23,4.44,2.15
1905,-3.70,0.72,6.38,9.05,14.27,18.25,21.79,20.74,17.82,7.31,7.04,2.31
1906,-0.43,1.45,5.38,10.21,14.57,17.10,19.91,19.26,14.39,11.26,8.04,-0.39
1907,-1.80,-0.78,2.67,7.65,16.21,18.57,18.90,20.00,16.30,14.83,5.49,2.85
1908,-1.59,1.97,4.19,8.36,17.49,19.90,19.97,18.42,14.55,10.50,2.02,0.01
1909,-2.88,-2.05,4.58,11.01,13.85,17.31,18.94,19.84,16.10,12.66,4.43,4.47
1910,1.34,4.25,6.21,9.64,13.90,18.16,18.48,19.17,14.32,11.58,4.88,5.20
1911,-0.74,0.72,5.74,9.52,14.30,17.32,21.13,20.93,16.98,11.22,8.48,3.65
1912,-0.37,4.63,8.12,8.17,14.51,18.41,19.86,17.58,12.60,9.16,2.93,2.52
1913,-0.39,0.57,7.77,10.07,14.05,17.74,17.01,17.68,15.61,11.96,7.65,1.85
1914,-3.96,0.92,6.50,11.43,13.74,16.73,18.76,19.44,14.64,10.16,4.94,3.69
1915,1.04,2.05,4.63,9.77,15.74,19.19,19.31,17.78,13.89,8.86,3.71,5.22
1916,2.94,2.20,8.20,10.06,15.14,17.12,19.77,19.10,14.21,10.56,7.63,4.44
1917,0.02,-2.44,3.55,7.80,15.91,20.01,20.35,20.66,17.69,10.97,5.60,-0.46
1918,1.24,1.34,5.76,11.34,15.12,15.87,19.29,18.93,17.00,10.54,4.72,2.82
1919,2.63,1.26,6.35,8.44,11.68,17.50,17.47,19.74,17.25,9.03,4.20,1.97
1920,3.16,3.77,8.07,12.33,17.11,16.89,20.63,18.15,16.58,9.17,2.65,2.25
1921,3.85,1.93,7.09,9.08,16.10,16.94,21.45,20.65,16.18,12.33,3.49,0.57
1922,-1.24,-0.39,7.37,9.04,15.44,18.74,20.06,20.24,14.58,9.01,3.62,2.13
1923,1.27,2.24,6.29,9.31,16.01,15.03,20.91,20.25,15.91,13.59,7.41,1.24
1924,-1.80,-0.22,4.51,9.82,16.48,18.04,19.69,17.27,17.05,11.05,4.89,1.60
1925,1.26,5.09,4.22,10.46,15.43,17.19,19.69,19.20,14.19,11.17,5.76,-0.72
1926,-0.23,5.67,5.56,11.44,13.65,16.23,18.59,18.37,17.44,12.17,11.12,1.57
1927,1.80,0.87,7.75,10.42,14.42,19.54,21.25,20.42,16.99,10.97,7.07,-0.17
1928,0.50,2.36,4.40,10.86,12.22,17.85,22.96,21.35,16.37,11.29,7.66,0.56
1929,-3.80,-3.71,3.91,7.56,15.91,18.25,20.90,20.76,16.92,12.06,7.45,3.30
1930,1.43,1.47,7.41,11.01,14.03,19.95,19.89,19.17,17.21,10.83,8.15,2.02
1931,0.88,1.52,2.97,8.38,16.71,20.08,21.23,19.35,12.61,10.09,6.07,-0.16
1932,0.36,-2.76,1.95,9.25,14.97,17.08,21.15,21.91,19.66,11.83,6.55,2.54
1933,-1.50,1.32,5.96,9.14,13.07,15.44,20.09,19.91,15.69,11.27,5.77,-2.21
1934,-0.01,1.83,7.75,12.70,16.29,17.56,20.61,19.46,17.41,11.01,7.01,5.49
1935,-2.11,1.60,4.31,9.71,13.02,20.21,20.56,19.33,16.13,12.95,6.68,1.75
1936,4.31,2.76,8.00,10.60,15.13,17.75,21.06,18.85,15.83,7.42,5.61,1.56
1937,-0.95,3.41,6.75,9.45,16.27,19.35,20.11,19.10,15.95,11.59,5.61,0.99
1938,-0.38,1.21,7.97,7.10,13.28,20.12,20.56,19.44,15.43,12.29,7.49,0.14
1939,2.41,3.48,3.06,12.64,12.96,18.28,20.64,20.09,15.65,10.32,6.84,-0.11
1940,-5.18,-1.64,4.09,10.21,13.40,17.67,19.05,17.18,16.00,10.97,7.99,-3.08
1941,-1.69,2.14,6.08,9.23,12.09,18.16,19.92,18.63,14.25,9.96,3.24,0.96
1942,-6.57,-1.66,4.43,9.02,15.24,18.39,19.68,20.21,19.65,13.49,5.35,3.31
1943,-2.67,4.18,7.06,11.58,14.38,16.93,20.21,22.01,18.14,13.13,4.87,2.74
1944,2.39,0.32,2.64,11.08,13.87,17.08,19.80,21.96,15.72,11.61,5.34,0.40
1945,-3.53,2.95,7.14,11.14,16.91,19.83,21.63,19.94,16.51,10.79,5.50,2.08
1946,-1.51,3.36,6.99,12.67,16.75,19.05,21.89,21.74,18.53,8.90,6.22,-0.73
1947,-4.89,-0.10,6.85,12.82,16.09,19.70,21.64,20.70,19.14,10.31,7.63,2.18
1948,3.74,1.18,7.09,11.53,16.11,17.10,18.22,20.10,16.91,12.09,6.26,0.24
1949,2.32,2.88,3.38,12.57,14.97,16.76,19.98,19.06,17.73,12.55,7.15,2.98
1950,-1.56,3.24,7.62,10.63,16.76,20.40,22.78,21.46,16.85,10.41,6.38,2.47
1951,2.90,4.73,5.73,10.43,14.67,18.75,19.96,21.09,18.16,10.08,8.63,2.92
1952,0.11,0.49,4.18,13.20,14.44,19.23,22.53,22.29,15.33,10.93,5.09,1.72
1953,0.07,1.02,5.51,11.51,14.48,18.36,21.09,19.05,17.21,13.25,4.87,1.84
1954,-4.04,-3.23,6.75,8.68,13.71,19.53,18.65,19.39,17.53,10.75,5.63,4.01
1955,1.52,2.76,3.45,8.39,13.73,17.54,19.66,18.55,16.09,11.02,5.24,3.79
1956,2.29,-5.64,2.68,9.53,14.87,16.84,20.63,20.31,17.42,10.74,3.59,0.78
1957,-1.16,4.93,7.58,10.38,12.32,20.31,20.63,19.11,15.60,11.21,7.28,1.92
1958,0.12,4.40,2.23,8.18,18.20,17.73,21.13,20.88,16.67,11.85,7.37,4.31
1959,0.96,0.86,8.43,10.96,14.54,17.46,20.99,19.10,14.94,9.97,6.59,4.76
1960,-0.08,2.01,6.30,10.28,14.12,18.70,18.35,19.87,15.62,12.64,8.16,4.54
1961,-0.04,3.75,8.24,13.38,13.60,18.93,18.98,19.80,18.27,13.04,7.16,0.83
1962,1.20,1.13,2.67,10.72,14.01,16.70,18.95,21.67,15.99,11.94,5.96,-1.70
1963,-4.45,-2.05,4.08,11.36,14.85,19.10,21.47,20.45,17.26,11.07,10.39,-1.48
1964,-4.25,1.37,4.26,11.07,14.66,20.11,20.15,18.83,15.93,11.10,7.66,1.83
1965,1.55,-1.57,6.03,8.89,13.44,18.21,19.94,18.20,16.32,10.81,5.22,3.13
1966,-2.19,6.85,5.24,12.16,14.83,18.70,19.12,19.03,16.80,14.75,5.10,2.09
1967,-1.19,2.50,7.13,9.60,15.30,17.42,21.48,20.24,17.25,12.97,6.97,0.75
1968,-1.41,3.68,6.44,12.55,15.73,18.38,19.99,18.20,15.73,11.90,7.19,-0.50
1969,-0.73,0.74,4.43,9.82,16.85,17.05,19.68,18.55,16.65,11.37,8.60,-1.53
1970,0.62,1.37,4.44,9.37,12.68,19.03,19.59,19.85,16.37,10.29,8.19,1.37
1971,0.63,3.06,2.91,11.26,16.24,17.57,20.54,21.42,14.01,10.24,5.78,2.20
1972,0.02,4.28,8.18,10.78,14.37,18.90,20.16,18.92,13.35,9.31,6.16,1.67
1973,0.62,2.45,5.07,8.37,15.57,18.31,20.15,20.14,17.27,10.35,4.26,1.29
1974,2.32,5.64,7.61,9.49,13.59,16.72,19.63,21.09,16.32,7.71,6.27,3.25
