Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.04,22.63,23.19,23.79,24.48,25.31,25.33,25.64,25.52,24.80,23.08,22.02
1902,21.26,22.11,22.92,23.32,24.26,25.20,25.41,25.54,25.22,24.59,23.53,22.57
1903,22.02,22.63,22.94,23.36,24.27,25.23,25.32,25.38,24.96,24.41,23.27,22.19
1904,21.82,22.18,22.58,23.02,23.89,24.69,24.82,24.84,24.71,24.34,23.43,22.51
1905,21.42,22.16,22.79,23.86,24.34,25.30,25.26,25.49,25.18,24.82,23.98,22.69
1906,21.89,22.32,22.62,23.31,24.07,24.70,25.05,25.20,25.04,24.60,23.60,21.70
1907,21.39,21.53,22.37,22.97,23.86,24.85,25.14,25.05,24.86,24.48,23.61,22.60
1908,21.72,21.79,22.53,23.37,23.74,24.89,25.28,25.36,25.05,24.26,23.39,22.49
1909,21.57,21.89,22.94,23.06,24.06,24.57,24.97,24.92,25.02,24.46,22.97,21.70
1910,21.09,21.42,22.06,22.72,23.44,24.61,24.89,25.06,24.87,24.78,23.43,21.92
1911,21.59,21.80,22.10,23.04,23.39,24.97,24.71,25.12,24.99,24.75,23.98,22.85
1912,22.36,22.04,22.96,23.89,24.28,24.83,25.27,25.22,25.02,24.56,23.53,23.01
1913,22.17,22.15,22.83,22.63,23.79,24.14,24.66,24.78,24.83,24.17,23.17,21.99
1914,21.34,22.13,22.20,23.23,23.75,24.59,24.89,25.06,24.97,24.52,23.41,23.02
1915,22.01,22.03,22.52,23.02,24.32,25.27,25.45,25.58,25.42,25.03,23.88,22.45
1916,21.94,21.98,22.11,23.10,24.21,25.11,25.14,25.22,24.94,24.47,23.26,21.82
1917,21.50,21.43,22.23,22.87,23.79,24.64,25.10,25.02,24.87,24.68,22.81,21.48
1918,20.80,22.01,22.40,22.96,23.39,24.67,25.02,25.29,24.89,24.82,23.24,22.24
1919,21.58,22.22,22.68,23.11,24.36,25.02,24.91,25.38,24.89,24.64,23.14,22.27
1920,21.63,21.82,22.57,23.59,24.22,24.73,24.67,24.74,24.63,24.18,23.23,22.25
1921,21.30,22.08,22.44,22.94,23.65,24.83,24.64,24.83,24.97,24.28,23.40,22.45
1922,21.12,21.74,22.15,22.53,23.45,24.40,24.44,24.66,24.86,24.44,23.25,22.30
1923,21.26,21.51,22.54,22.88,24.20,24.70,24.84,25.28,25.29,24.86,23.66,22.51
1924,22.11,22.10,23.04,24.28,24.88,25.28,25.68,25.91,25.62,25.03,23.29,22.72
1925,21.84,21.79,22.44,23.52,23.97,24.78,24.79,25.38,25.54,24.85,23.71,23.11
1926,21.85,22.50,23.35,24.08,24.53,25.14,25.48,25.63,25.44,24.92,24.07,23.07
1927,21.38,22.24,22.86,23.71,24.23,25.18,25.24,25.28,25.10,24.67,23.79,22.77
1928,22.09,22.68,22.94,23.20,23.87,25.02,25.10,25.05,24.92,24.41,23.70,22.64
1929,22.45,22.89,22.78,23.15,23.63,24.62,25.09,25.04,24.80,24.24,23.49,22.41
1930,21.95,22.00,22.64,23.44,24.30,24.85,24.99,25.29,25.12,24.68,23.40,22.54
1931,21.96,21.96,23.00,23.76,24.79,25.41,25.80,25.68,25.32,24.94,23.73,22.97
1932,22.06,22.49,23.08,23.72,24.61,25.27,25.34,25.53,25.54,24.69,23.56,22.96
1933,22.35,22.38,23.17,23.86,24.73,25.21,25.45,25.79,25.33,25.14,23.65,22.83
1934,22.05,22.06,22.70,23.51,24.33,25.20,25.28,25.44,25.23,25.08,23.38,22.48
1935,21.82,21.84,22.80,23.64,24.32,24.92,25.25,25.40,25.16,24.55,23.32,22.19
1936,22.19,22.48,22.83,23.87,24.48,25.23,25.34,25.45,25.24,24.90,23.65,22.39
1937,22.29,22.43,23.49,23.76,24.55,25.11,25.16,25.25,25.19,24.62,23.77,22.39
1938,21.98,22.40,22.65,22.96,24.14,25.04,25.01,25.38,25.25,24.70,23.59,22.31
1939,21.88,22.17,22.62,23.08,24.03,24.92,25.34,25.62,25.66,25.23,23.74,22.71
1940,21.76,22.57,23.18,23.86,24.49,25.43,25.95,25.64,25.49,24.83,23.78,22.84
1941,22.21,22.68,23.11,23.92,24.67,25.63,25.38,25.63,25.42,25.22,24.14,23.38
1942,22.46,22.41,23.74,24.07,24.66,25.50,25.77,25.74,25.57,25.20,24.13,23.14
1943,22.25,22.13,22.82,23.41,24.07,24.98,25.17,25.49,25.70,24.74,23.74,22.52
1944,22.11,22.49,22.96,24.05,24.19,25.17,25.35,25.39,25.06,24.72,23.04,22.16
1945,21.26,22.05,22.52,23.18,23.63,25.21,24.97,24.99,24.99,24.34,22.97,21.90
1946,21.92,21.91,22.63,22.66,24.07,24.82,25.06,25.24,25.03,24.87,23.38,22.63
1947,22.30,22.14,23.14,23.61,24.17,25.03,25.17,25.41,25.23,25.02,24.22,22.46
1948,22.28,22.52,23.22,23.45,24.74,25.44,25.53,25.93,25.41,24.81,24.02,22.76
1949,21.20,21.84,22.34,23.58,24.02,24.54,24.80,25.23,25.09,24.35,23.27,21.90
1950,21.29,21.35,22.14,22.48,23.65,24.71,24.72,25.05,24.80,24.34,23.02,21.72
1951,20.88,21.01,21.65,23.82,24.74,25.41,25.40,25.93,25.70,25.20,24.28,22.73
1952,21.46,22.12,23.11,23.95,25.09,25.85,25.42,25.82,25.48,25.21,23.71,21.62
1953,21.73,22.24,22.81,23.97,24.41,25.21,25.41,25.61,25.40,24.81,24.29,22.93
1954,22.20,22.01,23.51,23.77,24.80,25.31,25.71,26.00,25.30,24.21,23.64,22.18
1955,21.34,21.90,22.22,23.06,24.21,24.78,25.20,25.70,25.40,24.90,23.89,22.43
1956,20.76,21.73,22.91,23.86,24.32,24.92,25.12,25.32,25.39,24.65,23.57,22.47
1957,22.08,22.42,23.11,24.07,24.81,25.51,25.85,26.21,25.90,25.11,24.20,23.12
1958,22.06,22.10,23.98,25.16,25.56,26.01,25.96,26.34,26.11,25.20,24.30,23.24
1959,22.40,22.87,23.91,24.51,24.53,25.62,25.84,25.84,26.11,25.31,24.12,23.23
1960,22.85,23.42,23.79,24.54,25.47,25.69,25.73,26.06,25.80,25.41,24.40,22.49
1961,22.60,23.11,23.44,24.36,25.01,25.61,25.67,26.10,25.50,24.90,23.39,22.73
1962,22.57,22.43,23.21,24.50,24.43,25.53,26.08,25.92,25.78,25.42,23.95,23.04
1963,22.17,23.01,23.63,23.96,24.51,25.33,25.64,26.03,26.00,25.25,24.09,23.34
1964,22.47,23.41,24.11,24.05,24.92,25.52,25.70,25.83,25.65,25.01,23.92,22.31
1965,21.27,22.24,23.20,23.49,24.20,25.00,25.50,25.64,25.68,25.26,23.99,22.73
1966,22.56,22.82,23.51,24.26,24.56,25.43,25.68,26.13,25.76,25.01,23.09,22.32
1967,22.38,22.48,22.47,22.95,24.31,25.21,25.60,25.44,25.40,25.11,24.17,22.53
1968,21.68,21.91,22.55,22.74,24.62,25.41,25.50,25.71,25.42,25.18,24.20,22.62
1969,21.99,22.01,23.81,24.86,25.51,25.97,26.00,25.84,25.68,25.21,23.69,22.41
1970,22.13,22.44,23.13,24.26,24.40,25.38,25.50,25.42,25.17,25.09,23.59,22.73
1971,21.97,22.32,23.01,23.35,24.21,25.32,25.30,25.34,25.30,24.31,23.49,22.64
1972,22.08,22.32,22.61,24.05,24.54,25.41,25.70,25.63,25.40,25.11,24.49,23.23
1973,22.60,22.41,23.69,24.16,25.21,25.51,26.02,25.83,25.60,25.13,23.89,21.92
1974,21.89,22.13,22.90,23.35,24.02,25.02,25.32,25.13,24.99,24.59,23.09,22.53
1975,22.07,22.29,23.11,24.06,24.40,25.20,25.39,25.73,25.18,24.52,23.59,21.92
1976,21.18,21.72,22.22,23.06,24.11,24.71,25.29,25.72,25.59,24.76,24.15,22.96
1977,22.25,22.92,23.71,23.85,24.31,25.57,25.35,25.54,25.45,25.07,24.20,23.03
1978,22.25,22.30,23.48,23.69,24.83,25.41,25.54,25.73,25.59,24.89,23.72,22.76
1979,22.47,23.02,23.20,23.73,24.54,25.33,25.71,25.74,24.99,25.20,24.00,22.82
1980,22.77,22.71,23.76,24.36,25.62,26.28,26.13,26.12,26.18,25.66,24.49,22.95
1981,22.15,22.92,23.62,24.28,25.40,25.71,26.00,25.95,25.79,25.31,24.43,23.42
1982,22.77,22.93,23.53,24.27,24.30,25.72,25.62,25.83,26.03,25.10,23.98,22.71
1983,22.87,23.11,24.28,24.34,25.21,26.06,26.52,26.13,26.02,25.40,24.39,23.53
1984,22.67,23.03,23.70,24.86,24.81,25.30,25.32,25.62,25.19,24.70,23.49,22.53
1985,21.96,22.61,23.01,23.40,24.71,25.81,25.72,25.90,25.50,24.82,24.00,22.83
1986,22.06,22.32,23.32,24.15,24.40,25.30,25.89,26.13,25.63,25.28,24.28,23.33
1987,22.37,23.12,23.71,24.66,25.40,25.81,26.42,26.73,26.40,25.53,24.77,23.83
1988,22.91,23.18,23.71,24.54,25.42,26.31,26.30,25.83,25.68,25.45,24.30,22.94
1989,22.68,22.62,22.91,23.96,24.86,25.58,25.75,26.02,25.88,25.39,24.47,23.19
1990,22.86,22.73,23.16,24.23,25.38,26.22,26.11,26.49,26.50,25.51,24.57,23.03
