Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.30,7.64,13.26,18.12,22.74,26.84,29.06,27.53,23.80,16.52,12.32,8.93
1902,6.41,7.50,12.42,17.09,22.23,27.47,28.12,27.70,23.04,17.39,11.05,7.10
1903,3.73,7.07,8.61,16.12,22.12,26.96,28.34,27.72,23.46,18.35,10.67,5.87
1904,1.68,8.20,11.66,15.67,21.57,25.65,28.24,27.21,23.14,17.25,13.28,7.05
1905,3.43,5.10,9.13,16.69,21.44,26.92,28.23,27.13,23.64,19.85,12.62,6.40
1906,4.04,6.19,11.21,15.36,22.55,26.47,27.95,26.99,22.68,18.80,12.17,8.11
1907,5.15,5.61,11.15,16.48,21.61,25.89,28.82,26.72,22.77,16.83,9.94,6.76
1908,4.64,6.31,10.36,16.22,20.95,26.90,28.10,27.45,23.95,17.01,11.98,6.68
1909,3.30,7.57,12.30,16.86,22.06,25.72,28.34,27.13,23.91,18.18,13.92,7.66
1910,5.63,7.72,10.26,16.15,22.16,25.83,28.60,27.27,22.98,17.81,11.72,4.41
1911,1.71,5.42,9.19,15.57,21.41,25.78,28.38,27.03,22.64,16.56,11.05,6.09
1912,4.85,8.29,11.82,16.01,21.08,27.25,28.10,26.47,23.23,18.54,11.88,6.01
1913,4.81,4.78,9.76,15.83,22.60,25.59,28.67,26.90,23.91,18.04,12.22,8.01
1914,7.55,7.49,12.81,16.97,21.70,26.66,28.27,27.06,23.32,18.91,11.24,5.76
1915,7.12,7.42,13.45,16.21,22.24,26.83,27.88,27.81,24.59,17.80,13.04,8.04
1916,5.69,5.60,11.77,16.48,22.47,25.61,28.41,28.11,23.04,16.88,10.37,7.41
1917,6.70,7.83,11.30,18.29,22.35,26.22,28.94,27.51,23.79,17.06,11.99,5.89
1918,5.16,6.91,10.14,15.31,21.23,25.19,28.30,27.03,24.07,19.35,11.86,6.27
1919,5.89,7.34,10.95,17.49,20.86,25.47,28.03,27.28,23.71,18.89,12.59,7.24
1920,5.93,3.91,12.03,16.00,21.53,26.34,27.71,27.19,24.04,18.65,10.58,3.08
1921,5.13,5.92,10.39,17.63,21.60,26.99,29.06,26.82,23.14,17.70,11.56,6.66
1922,6.09,6.66,11.71,17.16,21.94,26.85,28.65,27.51,23.28,18.79,13.17,7.72
1923,5.21,6.95,12.04,15.15,21.94,26.82,28.61,26.79,22.45,18.44,11.13,6.55
1924,6.34,6.83,12.46,16.23,21.55,26.96,28.26,27.55,23.73,18.37,11.82,5.19
1925,2.55,4.79,13.57,17.06,22.70,26.56,28.20,27.99,24.16,18.52,11.72,8.92
1926,5.92,7.66,11.63,15.37,22.71,26.03,27.66,28.00,22.82,18.07,11.12,7.67
1927,3.83,5.51,10.54,16.38,22.42,27.19,28.89,27.72,24.28,20.30,12.12,6.19
1928,3.34,6.11,8.87,17.90,22.11,26.46,27.71,25.85,23.26,17.76,12.11,6.32
1929,3.02,5.20,10.44,17.18,22.59,25.43,27.81,26.87,24.05,17.97,11.50,5.21
1930,2.20,5.53,11.45,16.47,21.87,26.13,28.43,27.47,22.86,17.66,12.82,5.80
1931,4.24,3.35,11.80,16.34,20.68,25.63,28.80,27.42,24.48,17.42,10.52,5.04
1932,4.48,7.03,11.54,17.41,21.39,26.31,27.69,26.56,23.04,17.85,10.65,3.01
1933,2.72,7.07,9.46,15.64,22.32,25.26,28.19,27.60,23.11,17.96,12.11,6.60
1934,1.72,7.82,10.88,15.81,19.93,26.27,28.10,27.30,22.61,17.65,10.93,6.72
1935,2.25,8.10,11.33,16.92,21.40,25.12,28.13,28.61,24.32,19.11,10.83,7.32
1936,4.35,7.81,10.13,16.85,22.09,26.28,28.54,27.54,23.44,18.98,12.25,5.71
1937,2.69,6.71,10.07,15.66,21.80,25.71,29.13,28.37,24.45,18.78,11.93,6.82
1938,6.46,8.28,9.96,17.64,22.37,25.77,28.40,27.69,24.31,17.97,11.54,6.86
1939,6.01,7.40,10.77,14.90,22.19,27.78,28.39,27.15,23.59,18.35,12.46,8.51
1940,5.91,8.32,9.86,17.83,21.64,26.98,28.94,27.86,24.34,19.42,13.02,8.83
1941,5.43,9.68,12.90,17.34,23.33,27.72,28.96,27.62,24.14,18.70,11.56,6.21
1942,5.54,6.27,11.18,16.08,22.82,27.13,28.87,27.20,23.31,19.27,13.24,6.20
1943,4.24,5.54,8.86,15.90,21.97,25.61,28.60,27.76,23.06,18.20,11.74,8.20
1944,6.20,8.65,14.40,16.73,22.35,27.11,29.19,27.02,23.55,18.38,12.35,3.56
1945,4.12,5.44,10.44,16.17,21.06,25.94,28.22,28.00,23.91,18.65,11.44,6.64
1946,4.29,8.67,11.94,17.29,23.48,26.45,27.65,27.04,24.44,18.54,10.41,3.92
1947,6.33,7.29,13.43,17.39,21.56,26.13,28.54,27.73,23.11,18.57,14.21,7.54
1948,7.12,8.53,10.51,15.59,22.98,27.25,29.17,27.68,23.38,17.53,10.95,4.80
1949,2.80,5.69,10.18,15.90,21.45,26.79,29.13,27.17,23.13,15.82,10.61,6.80
1950,2.22,4.06,11.25,16.55,22.81,26.01,28.37,27.06,23.28,18.97,10.08,5.08
1951,5.59,5.11,11.25,17.00,22.53,26.28,28.57,27.72,24.80,18.96,12.18,7.74
1952,5.29,8.97,11.85,17.06,21.82,25.94,28.51,27.17,23.77,18.78,10.94,7.06
1953,7.40,9.64,10.71,17.04,21.94,26.26,28.81,27.91,23.74,18.12,11.33,5.63
1954,6.06,6.38,10.72,16.47,22.65,26.65,28.79,27.22,23.88,18.68,12.11,7.50
1955,5.98,9.19,12.25,16.98,21.35,26.32,28.77,27.93,24.53,17.56,13.01,8.12
1956,4.62,7.73,10.94,16.76,21.54,26.15,28.55,27.08,23.57,17.63,12.03,5.97
1957,2.95,6.34,11.56,15.14,21.00,25.46,27.75,26.90,23.61,18.00,11.26,7.20
1958,7.08,7.84,13.73,18.20,22.37,26.75,28.56,27.62,23.55,18.10,9.21,7.54
1959,5.15,4.50,10.72,18.67,22.03,26.44,28.23,28.51,24.54,18.54,10.19,4.64
1960,7.15,9.71,9.22,16.08,21.72,26.99,28.44,27.55,23.97,18.37,11.92,6.53
1961,5.48,6.64,11.38,15.46,23.40,26.71,29.28,27.42,24.40,17.51,11.72,8.73
1962,5.59,9.60,13.89,16.49,22.44,26.03,28.82,26.87,22.53,18.12,10.61,7.90
1963,8.50,10.69,11.78,17.87,20.41,26.88,29.07,27.74,24.07,19.68,11.98,5.61
1964,-0.88,7.26,13.40,16.34,22.67,26.96,29.14,27.99,23.34,16.08,11.49,3.41
1965,4.51,7.49,11.81,15.41,22.77,26.56,28.65,27.22,23.41,19.14,13.26,7.57
1966,9.38,9.77,11.95,16.82,22.35,27.60,28.50,27.97,24.05,18.20,11.46,8.01
1967,5.40,6.29,10.79,15.22,21.79,25.27,28.86,27.51,23.94,18.31,12.91,6.40
1968,5.80,5.32,11.98,16.02,21.24,25.82,28.01,27.35,23.77,18.81,12.97,8.29
1969,3.70,4.89,13.80,16.40,21.99,26.43,28.22,26.76,22.85,19.31,10.24,9.12
1970,5.44,9.28,11.86,18.82,23.33,27.21,28.59,28.73,23.39,18.45,13.60,6.61
1971,4.67,7.22,12.88,16.69,23.74,26.78,28.68,27.61,22.99,17.48,12.54,7.62
1972,2.12,1.58,9.63,16.99,19.99,26.48,28.34,25.83,23.66,19.30,12.58,3.96
1973,1.80,9.01,12.05,17.74,22.58,27.26,28.79,27.96,23.65,18.96,11.18,6.15
1974,2.72,3.34,11.96,16.57,22.56,26.82,28.16,26.83,23.44,16.68,12.65,5.44
1975,4.60,6.47,11.17,16.95,22.46,26.99,29.52,27.68,24.04,17.16,10.67,5.85
1976,6.58,5.15,8.61,16.12,21.86,26.45,28.92,27.78,24.48,18.42,10.59,7.37
1977,1.58,8.00,14.89,17.59,22.69,28.11,29.56,27.89,23.96,18.03,12.24,8.19
1978,6.10,8.25,12.00,18.23,22.18,26.29,28.55,27.19,24.32,18.96,9.98,9.55
1979,6.07,8.96,10.90,18.75,20.95,26.70,29.34,26.84,24.22,19.83,12.16,7.20
1980,4.45,6.19,11.72,19.16,22.93,27.29,29.10,27.84,23.63,18.36,13.43,8.42
1981,6.90,8.63,13.15,17.69,22.01,26.00,28.84,27.68,23.57,17.66,12.61,9.35
