Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-2.69,-3.63,-3.29,-2.45,3.70,6.47,8.85,7.25,6.52,-0.24,-2.08,-5.51
1902,-7.62,-6.11,-5.92,-1.99,0.97,5.24,7.06,6.54,5.07,2.01,-0.65,-2.58
1903,-4.92,-5.16,-4.98,-2.92,1.99,5.93,7.71,5.35,4.90,-0.15,-3.55,-2.79
1904,-4.40,-4.88,-3.78,-1.48,2.96,7.13,9.04,7.55,6.07,-0.16,-4.05,-4.24
1905,-5.25,-6.06,-1.68,-2.05,2.96,7.31,8.17,7.14,4.48,-0.23,-2.37,-2.62
1906,-3.30,-6.07,-4.47,-2.41,-0.08,7.09,7.25,6.70,5.44,1.06,-2.32,-6.14
1907,-3.97,-6.90,-5.18,-0.85,1.89,4.38,7.23,5.45,3.16,-0.40,-2.85,-1.66
1908,-3.75,-5.43,-2.59,-0.47,2.26,6.02,9.09,7.10,5.20,3.77,-2.42,-2.80
1909,-4.60,-2.05,-4.68,0.73,2.38,7.40,8.05,7.33,5.23,-0.96,-2.34,-6.93
1910,-5.84,-5.44,-2.63,-3.49,2.26,5.54,8.12,7.75,4.83,2.45,-5.06,-3.52
1911,-3.89,-5.46,-2.85,-1.66,3.62,6.12,7.96,7.43,3.77,1.39,-2.41,-2.08
1912,-2.77,-5.81,-3.39,-0.54,3.71,6.91,8.70,5.77,5.39,1.50,-3.56,-4.73
1913,-3.19,-3.14,-5.29,0.08,3.21,6.00,9.03,7.66,5.15,0.69,-2.89,-4.33
1914,-2.45,-5.56,-5.72,-2.39,0.28,6.03,7.92,8.28,4.15,2.19,-4.12,-4.46
1915,-3.60,-5.50,-5.65,-1.09,2.23,6.15,6.83,7.56,4.58,4.14,-1.20,-5.18
1916,-3.47,-3.68,-4.79,-2.58,1.89,6.50,9.20,8.16,5.05,1.51,-2.05,-6.48
1917,-3.45,-2.95,-2.94,-4.51,2.29,5.45,9.56,7.96,3.50,-2.94,-4.41,-6.69
1918,-7.31,-5.56,-1.96,-1.52,4.08,6.07,7.37,7.22,2.14,0.39,-2.09,-4.14
1919,-4.08,-6.04,-7.73,-2.99,3.60,6.70,9.09,6.68,3.26,0.21,-5.39,-4.13
1920,-6.81,-6.02,-4.50,-3.23,1.57,7.18,8.12,7.43,5.17,3.78,-0.61,-2.94
1921,-5.73,-1.65,-4.95,-0.93,1.26,6.25,7.72,6.16,3.58,-0.20,-2.17,-3.56
1922,-2.66,-2.42,-2.50,-2.29,1.60,5.40,7.19,6.96,3.08,1.36,-2.22,-1.86
1923,-5.22,-1.93,0.48,0.77,1.77,6.00,7.81,6.72,2.74,0.05,-4.91,-5.13
1924,-2.57,-3.82,-5.42,-2.69,1.16,5.50,8.31,7.52,3.23,1.11,-0.99,-2.20
1925,-3.18,-4.65,-2.87,-1.08,2.60,7.23,8.47,7.82,4.73,0.31,-1.47,-5.53
1926,-2.50,-1.45,-3.49,2.41,2.95,7.00,9.53,8.11,3.93,-2.13,-2.35,-3.32
1927,-5.26,-2.26,-1.65,-2.25,3.25,6.53,9.43,8.01,4.44,0.23,-1.44,-2.65
1928,-3.99,-2.88,-1.49,1.47,4.89,5.90,8.68,7.89,6.14,2.21,-1.29,-2.68
1929,-1.76,-0.53,2.05,0.52,2.74,6.38,9.29,7.15,3.82,-1.48,-2.40,-1.92
1930,-4.50,-1.86,-5.51,1.54,4.19,7.20,8.36,7.80,6.13,-0.02,-4.59,-2.04
1931,-4.72,-6.33,-3.91,0.14,2.75,5.64,8.54,9.03,6.25,0.80,-0.18,-3.26
1932,-3.86,0.88,-1.23,-2.83,4.17,7.82,8.94,8.60,4.06,-0.01,-1.89,-1.71
1933,-1.58,-5.38,-1.34,-1.00,4.79,8.33,10.17,8.66,6.66,0.65,0.62,0.75
1934,-3.07,-2.49,-3.40,-0.31,2.20,7.73,9.51,8.62,5.86,0.59,-2.09,-0.51
1935,-1.41,-6.69,-0.70,-1.53,4.73,6.17,8.43,7.93,5.13,0.16,-0.21,-3.54
1936,-7.41,-5.28,-3.22,-0.04,5.13,7.37,9.89,8.52,5.93,2.44,-1.47,-5.89
1937,-2.49,-4.77,-5.90,1.14,3.58,7.11,8.41,8.00,4.74,0.64,-0.63,-1.92
1938,-3.98,-2.24,-2.40,1.17,2.14,6.32,7.92,7.79,5.59,1.42,-2.04,-1.58
1939,-5.31,-2.89,-0.54,0.18,5.13,7.68,9.02,9.27,7.23,3.39,-2.68,-3.55
1940,-2.53,-3.42,-4.41,-1.10,4.28,7.53,8.29,7.39,4.04,1.94,-2.83,-2.11
1941,-4.24,-5.81,-2.78,0.49,4.66,8.16,9.36,7.88,7.04,3.14,0.54,-1.53
1942,-1.79,-3.23,-1.69,-0.14,3.49,6.52,8.33,8.19,4.24,-0.81,-0.47,-2.43
1943,-4.13,-5.46,-2.75,-1.07,1.51,6.07,8.58,5.76,4.54,1.07,-1.96,-1.50
1944,-5.91,-3.95,-2.70,-0.78,2.90,6.39,8.97,8.23,4.73,1.22,-3.41,-3.74
1945,-6.27,-3.76,-0.15,0.47,3.54,6.52,9.34,8.88,6.16,3.09,1.05,-2.55
1946,-0.78,-4.06,-1.53,-0.12,5.20,5.80,8.79,8.03,5.09,4.07,-2.06,-0.64
1947,0.32,-5.11,-6.18,-1.75,4.83,7.05,9.18,9.35,5.29,2.40,-3.51,-3.32
1948,-3.23,-1.16,-0.15,-1.65,1.97,6.19,8.32,8.52,3.35,0.06,-1.49,-2.88
1949,-6.40,-3.58,-3.68,-3.98,0.27,7.23,8.80,7.34,6.24,1.04,-0.88,-4.68
1950,-1.05,-4.63,-2.51,-2.18,3.87,6.74,8.80,8.55,4.19,1.19,-2.76,-5.39
1951,-4.90,-3.80,-6.61,-3.72,4.15,6.37,8.29,7.86,5.97,2.06,-2.36,-4.26
1952,-6.08,-3.87,-3.14,-0.59,2.55,4.76,8.06,6.89,4.47,2.48,-1.30,-2.61
1953,-3.37,-2.16,-1.01,-3.83,3.57,8.11,8.93,8.63,6.76,1.36,-1.68,-0.86
1954,-1.62,-3.43,-2.96,0.88,4.06,6.79,7.60,7.75,2.46,0.14,-0.75,-4.28
1955,-5.70,-6.41,-3.01,1.54,2.36,6.83,9.34,8.51,5.12,-0.12,-0.14,-5.58
1956,-6.66,-1.02,-0.37,-0.63,3.55,5.74,7.90,6.31,5.74,1.48,1.01,-1.58
1957,-2.11,-5.36,-3.22,1.55,3.37,6.50,8.53,8.40,3.99,1.04,-0.63,-3.92
1958,-5.76,-6.26,-3.85,0.73,0.88,6.42,8.23,6.45,7.58,2.93,0.86,-3.33
1959,-7.18,-1.20,-0.10,-1.87,4.43,6.01,8.51,7.13,6.45,4.40,-2.06,-2.68
1960,-2.32,-5.05,-0.86,0.84,4.89,7.40,8.76,7.65,6.15,1.52,0.14,-3.00
1961,-2.13,-2.73,-3.20,-2.23,5.01,5.88,8.26,7.79,6.30,2.57,-1.23,-5.35
1962,-2.82,-3.99,-6.43,0.68,3.27,6.00,8.24,6.94,4.68,1.68,-2.43,-3.43
1963,-4.36,-3.22,0.12,-0.42,1.86,7.31,7.08,6.33,3.03,1.68,-4.59,-2.31
1964,-0.96,-1.11,1.66,0.54,4.01,6.42,8.02,6.30,3.13,2.00,-1.39,-5.43
1965,-4.42,-0.39,-5.94,-1.08,2.61,5.55,8.17,7.06,3.43,3.85,-3.52,-5.58
1966,-5.42,-6.31,-4.86,-0.63,2.07,7.25,7.97,7.20,4.79,-0.23,-3.36,-5.46
1967,-2.85,-2.11,-7.61,-1.74,0.99,5.86,6.77,7.34,5.60,-0.58,-3.28,-4.86
1968,-5.93,-5.97,-5.66,-1.84,1.12,4.80,8.90,7.56,5.93,-1.20,0.78,-3.78
1969,-5.61,-7.31,-5.16,-1.98,2.08,6.74,7.38,8.73,3.48,1.24,-5.54,-3.60
1970,-3.37,-5.95,-6.40,-1.75,2.80,7.15,6.02,7.17,4.35,0.46,-3.03,-2.17
1971,-7.17,-3.27,-2.94,-0.62,3.51,5.82,8.06,7.11,4.81,0.80,-3.32,-3.70
1972,-0.60,-1.45,-1.08,-0.14,4.73,5.82,8.12,7.11,5.43,1.48,-2.97,-1.92
1973,-0.46,-6.50,-1.74,-0.61,2.06,4.69,8.00,7.42,5.90,1.04,-6.04,-7.56
1974,-2.16,-3.75,0.59,3.51,4.78,6.68,8.14,6.82,3.09,1.20,-0.99,-6.12
1975,-6.68,-1.19,-3.60,-1.48,3.32,4.44,8.30,8.15,2.50,2.51,-1.36,-4.69
1976,-6.27,-2.93,-1.58,-0.43,2.71,6.91,9.38,8.46,5.71,3.03,-0.36,-5.03
1977,-4.98,-4.17,-1.73,-2.32,3.56,6.12,8.62,7.58,4.62,1.68,-4.16,-2.66
1978,-5.47,-5.21,-2.65,0.10,3.61,5.68,8.26,8.93,4.47,1.28,-3.27,-2.05
1979,-7.82,-4.12,-8.30,-1.88,-1.81,5.87,6.54,6.64,2.05,1.77,-2.78,-3.50
1980,-4.07,-2.50,-2.70,0.79,4.39,6.73,8.33,7.97,5.00,-1.67,-2.84,-5.71
1981,-6.10,-5.35,-4.82,0.45,2.37,5.32,7.34,8.24,4.04,-2.50,-3.84,-5.59
1982,-5.08,-1.68,-2.97,0.09,1.22,6.29,8.71,6.56,2.67,1.43,-3.57,-4.82
1983,-5.77,-2.15,-4.25,-3.95,1.76,5.62,7.43,6.97,3.14,0.01,-2.32,-4.18
1984,-6.82,-2.96,-2.16,0.62,3.32,7.29,9.60,8.59,4.49,0.19,-2.33,-2.40
1985,-4.19,-3.35,-3.99,-0.33,3.89,6.35,7.42,6.66,3.31,3.24,-3.60,-5.35
1986,-3.84,-2.96,-2.63,-0.24,1.61,6.97,7.81,7.30,4.13,-0.68,-2.84,-4.07
1987,-0.81,-3.34,-3.15,0.33,4.23,6.48,8.93,7.97,4.71,-0.56,0.75,-0.93
1988,-6.49,-5.03,-4.79,-3.66,3.56,7.07,7.78,8.15,4.32,0.83,-1.16,-3.25
1989,-3.66,-6.51,-4.45,-1.74,1.96,6.10,8.56,7.45,4.66,1.75,-1.70,-3.41
1990,-2.98,-4.88,-5.44,-2.96,4.17,6.88,9.29,8.18,3.93,1.61,-0.58,-3.71
1991,-1.96,-2.10,-1.25,-2.13,4.84,6.19,10.06,8.69,4.67,1.81,-3.09,-2.47
1992,-0.96,-3.91,-3.37,-0.84,3.26,6.27,7.43,7.06,4.39,1.19,-2.67,-3.88
1993,-6.18,-3.09,-2.16,0.31,2.45,5.51,6.24,6.86,6.13,1.24,0.80,-5.25
1994,-5.61,-2.64,-4.63,-1.76,4.02,5.28,9.61,8.50,4.01,0.00,-1.05,-4.36
1995,-5.35,-5.95,-5.36,-2.28,1.72,7.11,7.67,8.75,4.76,0.40,-1.75,-4.22
1996,-1.70,-4.30,-0.71,0.73,3.62,6.79,8.87,7.89,7.25,1.15,-5.86,-3.85
1997,-3.34,-4.99,-4.02,0.23,2.38,5.35,9.61,8.44,5.23,1.65,0.09,-1.38
1998,-3.06,-5.27,-5.14,-0.78,4.12,5.68,7.36,8.61,4.88,-0.48,-1.84,-2.46
1999,-3.54,-4.89,-5.37,-1.58,3.66,6.83,8.89,8.73,5.30,2.12,-1.58,-4.60
2000,-2.87,-4.62,-3.38,-2.09,3.99,6.30,9.50,8.75,6.01,1.73,-2.09,-3.23
2001,-1.77,-3.73,-4.70,-0.63,3.80,5.88,8.17,8.06,6.33,2.83,-1.91,-1.58
2002,-2.59,-6.94,-4.28,0.88,3.26,7.33,8.33,7.95,6.71,1.84,1.11,0.22
2003,-3.05,-1.20,0.07,2.66,3.09,7.95,9.47,10.60,5.66,1.51,-1.02,-3.41
2004,-4.13,-2.82,0.49,1.99,3.98,7.41,9.55,9.98,6.31,1.32,-1.90,-4.09
2005,-3.79,-2.61,-0.81,0.34,2.31,7.07,9.46,7.59,3.01,-0.43,-2.29,-1.47
2006,-1.78,-0.96,-3.22,-1.00,2.62,7.48,8.67,8.98,6.70,1.67,-2.81,-0.95
2007,-4.11,-3.75,-1.25,1.85,2.36,8.03,8.80,7.99,4.81,2.56,-1.36,-2.01
2008,-3.96,-3.54,-3.66,-0.65,5.09,7.09,9.84,8.80,6.86,-0.57,-1.41,-2.79
2009,-1.97,-4.25,-3.32,1.17,4.50,7.24,9.13,8.45,5.41,1.38,-0.73,-2.78
2010,-1.84,-4.20,-1.25,-1.03,4.44,8.31,9.42,9.08,7.13,2.62,-2.86,-3.38
2011,-2.32,-1.92,-3.37,1.80,3.16,5.32,9.11,7.89,5.85,1.75,0.56,-5.62
2012,-2.75,-1.07,-0.49,-0.13,3.03,6.84,9.59,9.03,4.14,0.54,-2.45,-2.71
2013,-1.07,-0.27,-3.32,-2.27,2.74,7.76,8.78,7.82,4.19,0.90,-1.80,-3.87
2014,-1.07,-2.31,-1.52,1.09,4.41,8.43,9.72,8.53,6.80,1.04,1.46,-3.83
2015,-3.64,-3.42,-2.19,-0.41,1.30,5.85,7.09,7.92,6.75,2.39,-1.47,-3.59
2016,-3.65,-4.46,-1.34,0.22,3.58,8.40,9.23,8.81,6.19,4.57,0.04,-0.07
2017,-2.15,-0.32,-1.81,-0.09,4.99,6.91,9.41,8.31,6.87,3.53,-2.99,-3.59
2018,-3.22,-1.10,-1.55,0.85,3.45,6.63,8.69,7.84,4.63,1.16,0.49,-1.30
2019,-2.96,-2.53,-2.77,3.13,3.42,7.08,10.01,8.04,6.04,1.93,-1.73,-2.59
2020,-2.06,-3.09,-3.01,1.04,3.55,7.33,8.23,8.48,4.29,2.30,-1.11,-2.16
2021,-3.62,-0.97,-1.21,-0.05,2.25,6.63,10.23,10.28,5.79,2.02,-1.28,-1.52
