Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.83,15.51,16.99,17.80,18.30,22.49,24.46,24.59,22.63,20.79,16.54,14.05
1902,11.06,14.71,13.00,16.87,20.02,21.46,24.13,24.28,24.33,21.44,15.91,12.15
1903,10.23,10.53,12.29,17.09,20.23,20.98,22.51,23.72,21.35,19.17,15.08,13.22
1904,11.60,12.93,14.03,16.07,18.85,21.49,23.38,24.26,22.59,21.96,15.79,11.25
1905,9.64,9.55,12.42,17.28,20.50,22.02,24.87,25.10,23.95,22.09,18.43,11.71
1906,11.21,12.20,14.09,17.10,18.98,22.99,24.49,24.94,22.60,21.04,17.17,14.61
1907,11.19,11.96,11.93,16.39,19.76,21.97,24.47,24.71,22.08,20.29,15.32,13.10
1908,11.45,11.73,14.05,17.10,20.87,22.60,23.68,24.23,22.55,20.49,15.42,11.20
1909,11.38,12.14,16.09,15.43,23.15,23.18,25.47,25.63,23.57,20.89,17.80,14.87
1910,11.14,12.85,11.19,18.07,20.07,22.00,24.53,25.23,23.26,19.46,16.21,11.80
1911,10.46,9.76,12.42,16.60,20.00,22.16,24.34,24.65,22.47,21.16,17.11,13.14
1912,10.81,13.15,14.00,17.24,18.62,22.32,23.87,24.63,22.71,21.04,16.74,12.31
1913,11.77,11.75,13.57,16.82,19.46,21.79,24.18,24.73,23.91,21.66,16.15,12.12
1914,11.76,12.35,15.34,15.39,20.75,23.00,24.58,25.66,23.88,20.45,17.06,13.51
1915,13.42,13.55,15.06,17.21,20.30,24.15,25.61,25.69,23.81,21.90,17.48,14.86
1916,11.06,13.14,16.01,18.00,22.22,25.56,26.53,24.92,23.43,19.94,19.24,15.04
1917,13.03,13.14,15.89,18.58,19.35,22.30,24.47,25.27,23.33,20.21,19.30,13.27
1918,11.35,12.03,14.11,17.35,20.13,22.44,25.10,24.81,24.24,23.30,19.27,13.12
1919,13.76,14.66,16.37,16.94,18.96,21.71,24.94,24.51,24.44,22.84,19.18,12.97
1920,12.08,10.12,14.21,18.31,20.85,23.47,25.18,26.22,23.70,21.41,16.19,12.41
1921,11.59,11.52,12.81,17.38,19.76,22.26,25.27,26.30,22.88,20.39,16.99,12.74
1922,12.02,12.30,14.92,17.52,20.42,22.43,25.74,26.03,24.32,22.50,19.15,12.51
1923,12.72,12.50,14.68,16.99,20.90,24.85,24.63,24.64,24.44,21.04,18.85,14.67
