Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-15.29,-13.15,-1.81,3.49,6.80,8.54,13.68,13.12,9.03,-1.02,-3.14,-9.64
1902,-11.75,-11.59,-4.92,1.87,8.25,12.53,13.39,13.62,9.01,2.69,-5.31,-9.77
1903,-15.77,-12.29,-10.27,0.87,6.25,10.06,12.94,13.07,9.40,3.08,-6.24,-12.29
1904,-18.24,-9.97,-3.59,1.60,8.42,11.84,13.80,13.61,8.12,0.05,-3.36,-8.98
1905,-15.57,-16.92,-10.57,1.20,7.38,10.98,14.05,13.17,9.47,4.72,-3.03,-11.27
1906,-16.34,-13.82,-4.43,1.37,7.63,12.85,13.90,14.33,9.08,3.13,-4.43,-8.27
1907,-12.95,-13.55,-5.86,3.93,6.33,9.24,13.91,13.84,7.86,-0.09,-6.11,-10.91
1908,-13.01,-13.88,-7.59,2.95,7.63,10.85,15.76,14.05,9.29,-0.25,-3.78,-10.16
1909,-17.26,-11.37,-4.47,6.14,8.55,11.32,14.05,14.71,8.93,1.55,-0.82,-8.33
1910,-10.90,-10.83,-6.59,2.24,9.09,11.42,15.62,14.54,8.75,1.83,-6.30,-14.54
1911,-14.19,-11.19,-4.96,4.37,9.04,13.01,13.95,13.12,8.71,0.26,-6.20,-12.96
1912,-14.06,-10.08,-5.03,6.26,8.38,12.16,14.80,12.91,7.54,3.77,-5.29,-10.82
1913,-12.89,-13.14,-7.66,0.51,9.00,11.68,15.87,13.12,9.02,2.92,-5.77,-9.32
1914,-10.28,-10.83,-4.12,4.19,7.83,13.83,15.40,14.49,10.62,1.95,-4.87,-12.62
1915,-12.77,-12.85,-2.28,4.14,10.10,13.36,14.26,15.26,11.42,3.03,-2.70,-8.20
1916,-12.73,-14.97,-3.54,5.41,8.95,10.99,15.44,16.43,9.80,2.54,-9.58,-12.24
1917,-10.99,-7.71,-4.31,3.34,12.13,11.44,14.79,15.11,9.67,2.25,-5.10,-12.73
1918,-14.79,-12.72,-5.65,2.39,9.57,13.22,14.76,15.33,9.42,2.65,-8.22,-16.41
1919,-20.25,-13.10,-7.19,4.28,8.53,11.44,14.82,14.71,7.44,3.37,-4.30,-10.04
1920,-11.66,-16.09,-6.82,0.63,6.26,11.36,13.80,13.05,8.46,2.85,-7.17,-17.28
1921,-14.54,-12.78,-7.16,3.63,5.96,10.15,14.66,13.13,8.92,2.89,-5.08,-10.39
1922,-13.39,-11.27,-3.26,4.19,8.07,11.54,14.34,13.80,9.66,3.40,-3.64,-8.99
1923,-15.19,-12.43,-4.40,3.02,7.79,12.23,13.47,16.03,7.23,2.67,-5.10,-13.07
1924,-13.92,-11.27,-5.25,3.74,5.26,10.43,15.64,14.97,9.18,3.17,-5.21,-11.27
1925,-15.40,-16.27,-2.86,3.07,8.72,12.60,15.79,14.63,9.98,4.26,-5.32,-7.28
1926,-12.26,-10.54,-2.43,1.77,8.61,11.54,14.19,15.70,10.35,2.61,-8.50,-10.26
1927,-16.81,-12.78,-6.99,5.36,8.63,12.63,16.22,14.68,9.17,5.39,-5.12,-10.83
1928,-17.33,-11.79,-8.29,2.51,9.06,12.80,13.83,13.16,7.36,2.48,-4.16,-12.84
1929,-19.49,-14.59,-3.99,6.50,6.91,11.24,14.68,13.87,10.19,0.38,-5.77,-18.28
1930,-20.53,-14.44,-5.25,1.63,8.44,12.60,16.17,13.50,7.56,1.73,-2.80,-14.05
1931,-15.91,-18.04,-5.49,3.76,6.07,10.87,13.60,14.18,11.25,3.28,-6.99,-12.58
1932,-13.39,-13.46,-2.33,5.63,7.19,11.57,15.89,12.13,9.03,1.26,-7.00,-16.49
1933,-19.76,-12.22,-7.81,4.49,9.54,11.18,15.78,15.60,9.20,1.92,-4.33,-10.33
1934,-20.78,-10.82,-5.70,0.76,4.80,11.57,13.03,13.93,6.85,1.46,-7.54,-10.26
1935,-19.64,-10.54,-5.40,2.63,7.82,10.06,14.63,15.59,8.23,3.35,-9.11,-15.35
1936,-17.03,-12.04,-8.45,1.98,8.00,12.36,14.06,11.98,9.67,5.41,-4.63,-12.51
1937,-17.28,-11.83,-7.34,0.66,7.49,11.21,14.98,13.82,9.85,2.64,-9.94,-13.79
1938,-13.81,-11.06,-6.46,5.74,10.57,11.22,13.98,13.87,8.54,2.35,-5.48,-12.94
1939,-14.41,-11.99,-6.76,0.98,9.00,13.17,15.79,14.26,9.55,2.16,-4.61,-7.19
1940,-12.58,-9.97,-4.23,5.26,7.22,13.30,15.27,13.82,8.86,4.29,-5.03,-8.42
1941,-13.59,-8.76,-2.16,4.65,9.69,14.16,14.14,15.04,9.60,5.44,-4.80,-10.13
1942,-13.50,-15.87,-4.30,2.80,7.92,12.18,15.50,13.62,8.87,3.25,-3.49,-10.41
1943,-14.09,-12.91,-6.56,2.21,8.26,11.05,16.52,14.92,9.29,1.52,-7.66,-11.38
1944,-14.45,-10.36,-0.69,4.20,10.14,12.11,17.48,14.84,8.72,1.59,-6.76,-18.70
1945,-16.38,-17.54,-8.68,3.97,8.25,11.71,14.40,15.62,9.80,4.69,-6.26,-11.90
1946,-13.87,-8.65,-5.29,4.79,9.41,10.61,14.06,13.35,9.80,5.03,-7.88,-15.59
1947,-14.93,-12.14,-0.02,4.80,7.78,10.48,13.99,14.96,9.34,2.43,-2.38,-12.85
