Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.88,26.42,28.16,29.04,28.34,27.68,27.15,27.07,26.84,26.45,25.70,24.59
1902,23.90,24.03,28.23,28.95,28.50,28.55,27.64,27.40,26.67,26.71,25.87,25.83
1903,25.24,25.76,29.09,29.89,29.12,27.10,27.24,26.82,26.35,26.12,24.55,21.80
1904,22.49,24.61,27.80,28.21,28.40,27.75,27.32,27.56,27.26,26.95,25.04,23.61
1905,25.58,27.57,28.67,29.89,28.53,27.75,27.57,27.98,27.33,27.12,26.28,27.64
1906,26.64,27.89,28.82,30.57,29.79,28.32,27.81,27.89,27.66,26.55,25.04,24.93
1907,24.52,26.51,27.45,28.87,27.96,27.58,27.32,26.97,27.10,26.55,25.87,22.87
1908,24.51,26.00,27.91,29.09,28.26,27.71,27.32,27.06,27.01,26.71,24.46,24.42
1909,24.70,26.41,28.04,28.93,28.14,27.80,27.05,27.40,27.10,26.95,24.79,23.53
1910,25.23,25.35,27.26,28.76,28.29,27.54,27.48,27.40,26.42,26.45,25.52,23.20
1911,23.98,25.61,27.91,29.22,28.59,27.80,27.41,27.81,27.34,26.95,27.17,25.91
1912,24.99,26.42,29.05,29.31,29.68,28.33,27.05,26.75,26.75,26.21,24.33,24.28
1913,23.94,26.42,28.22,29.67,27.67,27.37,26.50,26.83,26.84,26.30,24.89,24.19
1914,23.57,26.59,28.15,29.48,29.44,27.62,26.83,26.75,26.68,26.14,25.80,25.10
1915,24.45,27.16,28.32,29.07,28.21,27.76,27.06,27.41,26.52,26.13,24.57,22.15
1916,22.92,25.61,28.43,28.97,28.35,27.21,27.24,26.91,26.52,25.89,23.92,23.05
1917,24.23,25.85,27.11,29.43,28.62,27.04,26.90,26.50,26.28,25.49,24.57,23.30
1918,24.71,24.53,27.28,28.17,27.70,27.72,27.73,27.16,27.17,26.62,26.44,25.74
1919,25.12,26.59,28.93,29.09,28.47,27.18,26.99,26.99,26.68,26.30,25.13,24.76
1920,22.95,26.17,28.23,28.87,28.83,27.64,26.91,27.40,26.84,25.89,25.96,24.69
1921,23.79,25.36,28.00,28.65,27.78,27.50,26.25,26.83,26.11,26.04,24.33,24.11
1922,24.84,26.61,27.11,28.86,28.76,27.59,26.39,26.85,26.84,26.17,24.61,23.60
1923,24.00,24.87,27.68,28.01,27.51,27.24,26.16,26.29,26.42,26.06,25.77,24.87
1924,24.89,26.05,28.10,28.39,28.37,27.47,26.22,26.86,26.43,25.61,26.28,22.71
1925,24.42,25.09,28.10,27.60,28.32,27.45,26.94,27.03,26.87,25.99,25.62,23.22
1926,24.74,26.25,27.79,29.48,29.19,27.94,27.08,26.67,26.87,25.94,25.44,24.68
1927,24.38,26.07,28.30,28.05,27.60,27.33,26.70,26.79,26.59,25.93,25.71,24.56
1928,25.96,25.73,28.26,28.29,28.14,27.17,26.78,26.97,26.44,25.55,25.05,24.84
1929,25.15,25.82,26.98,28.22,28.50,27.28,26.36,26.75,26.65,26.04,25.20,25.48
1930,24.56,25.79,27.14,28.38,28.34,27.71,26.63,26.74,27.06,26.35,25.64,24.95
1931,25.34,25.54,28.78,29.61,29.09,28.15,27.30,26.98,26.64,25.47,24.78,24.48
1932,23.72,26.16,27.62,29.06,29.19,28.21,27.02,27.81,26.85,26.35,26.14,23.75
1933,24.69,26.76,28.00,29.19,28.92,28.01,27.03,27.58,27.12,26.56,24.74,24.48
1934,24.02,25.43,27.80,28.75,29.16,28.22,27.04,27.10,27.11,26.13,25.99,23.26
1935,25.62,26.93,28.74,29.26,28.60,27.97,26.96,27.34,26.86,27.03,26.45,25.18
1936,24.18,25.94,27.52,29.38,28.93,27.76,27.12,27.06,26.84,25.77,25.66,26.03
1937,25.45,26.82,29.27,29.33,27.66,27.41,26.41,26.77,26.31,25.93,26.03,25.02
1938,25.09,26.22,27.49,28.26,27.54,26.70,26.09,27.08,26.47,26.18,24.79,24.90
1939,24.91,26.26,27.78,28.51,28.22,27.26,27.07,27.08,26.75,26.45,26.37,21.64
1940,22.62,26.26,28.04,29.81,28.89,27.96,27.25,26.97,27.40,27.32,26.53,25.68
1941,27.51,27.50,29.08,30.11,29.06,28.09,27.69,27.45,27.55,26.83,26.59,26.09
1942,24.35,26.72,28.61,28.94,28.19,27.73,27.03,26.93,26.70,26.35,25.67,24.69
1943,23.66,25.80,28.07,27.85,28.28,27.35,27.00,27.06,26.65,26.42,25.28,23.93
1944,25.33,26.82,28.22,29.41,28.40,27.56,26.92,27.06,27.17,26.71,25.69,23.60
1945,25.03,26.99,27.60,28.63,28.15,27.46,27.40,27.32,26.84,26.03,26.52,25.25
1946,24.30,26.13,28.90,28.59,28.00,27.92,27.25,27.16,26.90,26.35,26.09,26.49
1947,27.22,26.94,28.37,28.41,28.97,27.78,27.07,27.29,27.19,26.76,25.42,24.83
1948,24.42,27.22,28.48,28.28,28.11,27.82,26.92,27.20,26.94,26.50,24.35,25.54
1949,23.71,26.00,28.45,28.42,28.40,28.08,27.10,27.02,26.99,26.75,25.82,25.61
1950,25.05,26.01,28.32,28.60,28.14,27.22,26.88,27.47,26.75,26.29,26.05,23.18
1951,24.39,25.89,27.96,29.21,28.25,27.09,26.88,27.12,27.09,26.55,26.28,24.61
1952,24.99,27.22,28.04,28.73,28.72,27.54,26.96,26.64,26.78,26.33,25.75,23.24
1953,24.90,26.08,27.85,28.71,28.12,27.34,26.96,27.04,26.88,27.03,25.81,24.58
1954,26.27,26.29,27.66,29.39,28.24,27.70,27.32,27.10,26.25,26.14,24.83,23.84
1955,23.08,26.23,27.95,28.27,28.39,26.88,27.12,26.93,26.84,26.13,24.39,23.30
1956,23.29,26.53,28.29,28.33,27.61,27.15,26.68,26.71,26.54,26.02,24.23,23.57
1957,24.50,25.70,27.56,28.82,29.49,27.96,27.14,27.18,26.73,26.25,25.99,25.41
1958,25.35,25.90,28.91,29.66,29.78,28.01,27.05,26.99,26.74,26.22,24.60,23.70
1959,24.49,27.18,27.20,29.23,28.64,28.39,26.71,27.02,26.69,26.26,26.25,26.27
1960,25.18,25.90,28.88,29.89,28.88,27.74,27.21,27.33,26.92,26.39,26.24,24.24
1961,24.02,26.39,28.14,29.14,28.00,27.10,27.00,27.15,26.72,26.23,26.28,25.21
1962,23.80,25.19,28.00,29.10,28.53,27.57,26.96,26.91,26.59,26.54,26.04,24.48
1963,21.96,25.63,27.49,28.64,29.29,27.68,26.77,27.03,26.97,26.47,26.66,24.70
1964,25.19,26.27,27.89,29.50,27.78,27.61,27.36,27.02,26.84,26.77,24.45,23.76
