Variable:,tas
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.90,-3.42,3.06,10.66,14.58,19.41,21.49,23.84,18.32,13.64,5.18,-1.60
1902,-2.59,-1.43,5.49,9.36,15.22,19.22,22.09,22.70,18.12,12.71,7.81,1.96
1903,-1.85,-0.53,5.56,10.75,14.77,19.18,21.80,24.44,19.85,12.74,4.94,-1.54
1904,-3.90,-0.28,3.80,10.96,14.91,20.27,23.65,23.99,18.36,12.31,4.44,0.15
1905,0.07,-2.12,3.95,9.13,15.02,19.65,23.44,22.42,18.78,12.91,5.92,1.75
1906,-3.40,-2.29,3.31,9.90,15.29,19.80,23.18,23.87,18.65,12.74,4.30,-0.76
1907,-1.14,-3.10,3.44,10.25,15.23,19.27,22.62,24.34,18.86,13.33,5.80,-2.05
1908,-2.44,-2.54,3.37,9.85,14.71,19.95,22.36,23.77,18.36,13.09,4.25,0.25
1909,-2.34,-2.27,2.29,10.15,14.73,19.64,23.65,24.18,19.71,12.09,5.73,-1.96
1910,-1.87,-2.77,2.76,9.41,15.26,19.54,22.87,23.61,18.24,12.81,5.43,-3.10
1911,-3.58,-0.77,4.18,9.39,15.15,19.65,22.84,24.07,20.22,11.69,6.24,-1.92
1912,-3.60,1.29,4.46,10.19,14.60,19.92,22.98,24.02,17.69,11.27,2.96,-1.68
1913,-4.02,-2.46,2.32,10.78,14.12,19.28,21.90,22.97,18.06,12.39,5.26,-1.28
1914,-1.99,0.02,5.44,9.69,16.01,20.19,25.48,24.56,19.63,13.02,6.13,-0.39
1915,-3.45,-1.62,1.79,9.34,14.58,20.14,24.08,23.98,18.67,14.22,6.69,0.90
1916,-0.44,-0.73,1.27,10.13,14.72,20.38,22.83,24.25,19.50,12.66,6.75,-0.51
1917,-6.64,-2.73,2.64,9.75,13.82,19.81,24.57,23.81,19.61,12.94,3.37,-4.07
1918,-5.80,-0.41,4.08,10.10,14.18,19.37,22.74,23.48,18.22,12.46,4.93,-0.71
1919,-3.71,-1.03,5.08,10.36,15.42,20.42,23.88,24.26,18.39,12.34,5.83,-1.88
1920,-4.04,-2.44,4.51,10.20,15.28,20.30,24.49,23.98,19.96,13.66,7.30,-0.32
1921,-1.99,-0.74,3.08,10.36,15.04,18.87,23.03,24.52,18.54,11.88,3.88,-0.44
1922,-5.82,0.89,3.39,11.55,15.50,20.99,23.62,25.46,19.91,13.16,4.36,-2.19
1923,-4.51,-2.44,5.00,9.41,15.72,19.67,22.81,25.40,18.92,12.16,5.02,-1.16
1924,-2.30,-1.36,1.28,10.61,14.95,19.74,24.89,24.76,18.79,12.44,3.78,-1.31
1925,-3.32,-2.53,2.59,9.11,15.32,19.74,22.83,24.25,18.80,12.37,7.03,-0.93
1926,-3.51,-1.83,3.51,9.10,15.35,19.44,23.51,25.00,19.46,11.21,6.06,-2.78
1927,-3.50,-2.42,3.40,10.58,13.85,20.14,24.98,24.04,18.35,12.19,7.41,-0.55
1928,-3.66,-1.91,3.79,10.91,16.05,20.16,23.35,23.87,19.58,11.99,5.22,-1.09
1929,-4.03,-2.55,4.00,9.84,15.42,21.30,24.84,25.10,18.08,12.33,4.69,1.72
1930,-3.96,0.85,5.95,11.41,15.83,20.12,25.32,24.79,18.27,13.02,3.70,-0.26
1931,-2.56,-1.95,4.61,8.70,14.93,20.18,21.40,24.29,18.66,11.55,7.25,0.13
1932,-0.68,-1.49,2.73,9.30,15.62,19.88,25.16,24.09,18.07,11.57,5.64,0.63
1933,-5.25,-2.53,1.77,10.00,15.95,20.75,24.93,23.74,18.90,12.45,5.79,0.98
1934,-6.25,-1.67,2.85,9.23,16.21,20.41,23.95,23.96,18.36,11.22,4.68,1.15
1935,-2.46,0.01,5.50,10.55,15.74,20.14,23.77,24.51,18.82,13.60,6.41,-2.38
1936,-6.63,-3.21,0.66,9.36,15.04,20.55,23.06,22.70,19.45,12.74,5.78,0.44
1937,-2.45,0.65,4.18,10.64,15.64,20.30,24.14,25.65,19.47,12.99,7.03,-1.81
1938,-4.94,-2.47,4.83,11.25,16.42,19.41,24.34,25.17,18.57,14.18,5.23,-0.90
1939,-3.67,-1.10,4.22,10.98,15.40,20.70,26.11,25.19,19.73,13.63,6.12,-0.11
1940,-4.94,-1.63,3.99,9.59,15.94,20.12,24.22,23.37,18.50,13.61,6.82,0.92
